,open,high,low,close,adj_close,volume
1998-05-19,25.6200,27.0000,25.5600,26.6200,9.8329,5078200
1998-05-20,26.8800,30.3800,26.8800,29.3800,10.8524,1237400
1998-05-21,29.1200,29.2500,27.8800,28.3100,10.4571,885100
1998-05-22,28.2500,28.6200,28.1900,28.5000,10.5273,151000
1998-05-26,28.5000,28.5000,27.9400,28.0000,10.3426,225000
1998-05-27,27.5600,27.9400,27.3100,27.8800,10.2983,278400
1998-05-28,27.8800,28.5600,27.8800,28.1200,10.3870,29900
1998-05-29,28.2500,28.5000,28.0000,28.0000,10.3426,158700
1998-06-01,28.1200,28.1200,27.8800,27.8800,10.2983,74300
1998-06-02,28.1200,28.2500,27.5000,27.6900,10.2281,100900
1998-06-03,27.8100,27.8100,27.3100,27.3100,10.0878,90000
1998-06-04,27.0000,27.4400,26.0000,27.4400,10.1358,86600
1998-06-05,27.6900,28.3800,27.6200,28.0000,10.3426,68400
1998-06-08,28.0000,28.0600,27.2500,27.6200,10.2023,67700
1998-06-09,27.6200,27.8100,27.6200,27.6900,10.2281,64200
1998-06-10,27.7500,28.6200,27.6200,28.3800,10.4830,41200
1998-06-11,28.6200,29.0600,28.3800,28.5000,10.5273,45500
1998-06-12,28.5000,29.1200,28.3800,29.0000,10.7120,62700
1998-06-15,29.0000,29.0000,28.7500,28.7500,10.6197,133400
1998-06-16,28.7500,28.8100,28.0600,28.0600,10.3648,27500
1998-06-17,27.8100,28.0000,27.0000,28.0000,10.3426,234900
1998-06-18,28.0000,28.5600,27.8800,28.2500,10.4350,82600
1998-06-19,28.5000,29.2500,28.5000,28.8100,10.6418,157500
1998-06-22,29.0000,29.1200,28.4400,28.4400,10.5052,34200
1998-06-23,28.6200,29.0000,28.6200,29.0000,10.7120,94100
1998-06-24,29.0000,29.4400,28.5000,28.6200,10.5717,70200
1998-06-25,28.6200,29.3800,28.6200,29.1200,10.7563,86300
1998-06-26,29.1200,29.4400,29.1200,29.3800,10.8524,12700
1998-06-29,29.3100,31.0000,29.3100,30.8100,11.3806,44800
1998-06-30,31.1200,33.0000,31.1200,32.5000,12.0049,260400
1998-07-01,33.1200,34.2500,32.6900,33.0000,12.1895,142400
1998-07-02,33.1200,34.2500,33.0000,33.7500,12.4666,46400
1998-07-06,34.1200,36.4400,34.1200,36.1200,13.3420,193300
1998-07-07,36.7500,37.3800,34.6200,35.4400,13.0908,121300
1998-07-08,35.6200,36.5000,35.5000,35.5000,13.1130,46900
1998-07-09,35.7500,35.7500,35.0000,35.0600,12.9505,48000
1998-07-10,35.2500,36.1200,35.0000,35.8100,13.2275,16000
1998-07-13,35.8800,36.4400,35.8800,36.1200,13.3420,30900
1998-07-14,36.3800,36.6200,36.2500,36.5000,13.4824,27700
1998-07-15,36.4400,37.7500,36.4400,37.5600,13.8739,28800
1998-07-16,37.7500,39.6200,37.7500,39.3800,14.5462,54900
1998-07-17,39.5000,39.6900,38.5000,38.5000,14.2211,60900
1998-07-20,38.6200,38.8800,38.6200,38.6200,14.2655,28200
1998-07-21,38.6900,38.8100,38.5600,38.6200,14.2655,22900
1998-07-22,38.5600,38.6200,37.8800,37.9400,14.0143,26800
1998-07-23,37.8100,37.9400,34.8800,36.0000,13.2977,65700
1998-07-24,36.1200,36.8100,36.0000,36.0000,13.2977,43000
1998-07-27,36.1200,36.1200,34.1200,34.1200,12.6032,30700
1998-07-28,33.7500,33.8100,32.6200,32.7500,12.0972,52200
1998-07-29,32.7500,33.3800,32.7500,33.3800,12.3299,49100
1998-07-30,33.5000,34.2500,33.5000,34.1200,12.6032,23700
