,open,high,low,close,adj_close,volume
1998-01-02,77.8800,78.4400,77.1300,78.1300,24.3716,234500
1998-01-05,77.8800,78.8800,77.4400,78.3800,24.4496,135200
1998-01-06,77.6300,78.0000,77.3800,78.0000,24.3310,180900
1998-01-07,76.6300,76.9400,76.2500,76.6300,24.0659,206900
1998-01-08,76.6300,76.7500,74.9400,75.3800,23.6733,204400
1998-01-09,74.7500,75.0000,72.5000,72.8800,22.8882,323800
1998-01-12,72.5000,73.5000,72.2500,73.1900,22.9856,242100
1998-01-13,73.1900,73.4400,72.5000,73.3100,23.0232,177200
1998-01-14,73.2500,74.3800,73.0000,74.0600,23.2588,149100
1998-01-15,74.0000,74.0600,73.5000,73.6900,23.1426,101800
1998-01-16,74.0000,75.0000,74.0000,74.3800,23.3593,277800
1998-01-20,74.3800,76.3800,74.3800,76.3800,23.9874,248600
1998-01-21,76.3800,76.9400,74.8100,75.5000,23.7110,193900
1998-01-22,74.6900,76.0000,74.6300,75.8100,23.8084,68900
1998-01-23,75.6300,76.1900,75.2500,75.5600,23.7299,132200
1998-01-26,75.5600,76.0000,75.5600,75.5600,23.7299,135400
1998-01-27,75.5600,77.2500,75.5600,76.6900,24.0847,108400
1998-01-28,76.5600,76.8100,75.8800,76.6300,24.0659,117700
1998-01-29,76.7500,77.6300,76.2500,76.6300,24.0659,146500
1998-01-30,76.3800,76.7500,75.6900,76.1300,23.9089,109300
1998-02-02,76.3800,77.0000,76.3100,77.0000,24.1821,115100
1998-02-03,77.0000,77.0000,76.0600,76.8800,24.1444,102000
1998-02-04,76.6300,77.1900,76.3800,76.5600,24.0439,130800
1998-02-05,76.7500,76.7500,74.5000,76.3800,23.9874,258600
1998-02-06,76.6300,77.3800,76.6300,77.1900,24.2418,206800
1998-02-09,76.9400,78.1900,76.8100,78.1300,24.5370,221600
1998-02-10,78.0600,79.3800,77.6300,79.2500,24.8887,355900
1998-02-11,79.2500,80.5000,79.2500,80.0000,25.1243,314900
1998-02-12,80.0000,80.3800,79.2500,80.1900,25.1839,599300
1998-02-13,79.9400,80.5600,79.9400,80.0000,25.1243,289400
1998-02-17,80.1900,82.1300,80.1900,81.4400,25.5765,265600
1998-02-18,82.0000,83.1300,81.9100,82.3800,25.8717,547200
1998-02-19,82.0000,82.3800,81.3800,82.0600,25.7712,107700
1998-02-20,82.3100,82.8100,82.0000,82.6300,25.9502,111300
1998-02-23,82.8800,83.2500,81.3800,83.0000,26.0664,233500
1998-02-24,83.0000,83.2500,82.5000,83.0000,26.0664,293900
1998-02-25,83.1900,84.2500,83.1900,83.9400,26.3616,287300
1998-02-26,83.6900,84.5000,82.8800,84.4400,26.5187,150600
1998-02-27,84.1900,84.3800,83.0000,84.0000,26.3805,116600
1998-03-02,83.6300,83.9400,83.0600,83.5000,26.2234,147100
1998-03-03,83.2500,83.8800,83.0000,83.8800,26.3428,98200
1998-03-04,83.6300,83.6900,82.6300,82.8800,26.0287,123200
1998-03-05,82.3800,82.4400,81.3100,81.3100,25.5357,169700
1998-03-06,81.3100,81.8800,81.0000,81.8800,25.7147,355200
1998-03-09,81.8800,83.6300,81.6300,82.8100,26.0067,187500
1998-03-10,82.9400,83.6900,82.5600,83.6900,26.2831,61200
1998-03-11,83.4400,83.9400,83.3100,83.6300,26.2643,134500
1998-03-12,83.5000,83.9400,83.4400,83.6900,26.2831,147700
1998-03-13,83.6900,83.6900,82.8800,83.5600,26.2423,82100
1998-03-16,83.8100,84.8100,83.5600,84.8100,26.6349,238600
1998-03-17,84.6900,85.5000,84.0000,84.8100,26.6349,173800
1998-03-18,85.0000,85.0000,84.4400,84.5600,26.5563,105500
1998-03-19,84.5600,84.9400,83.8800,84.2500,26.4590,79800
1998-03-20,84.2500,84.9400,83.7500,84.5600,26.5563,483300
1998-03-23,84.5600,85.3100,84.5000,84.5000,26.5375,184300
1998-03-24,84.5600,85.3800,84.4400,85.0000,26.6945,399800
