,open,high,low,close,adj_close,volume
1998-01-02,24.8800,25.1300,23.8100,24.2500,6.6529,413985
1998-01-05,24.2500,25.6300,24.2500,25.3800,6.9629,882044
1998-01-06,25.6300,25.8100,24.3800,24.5000,6.7215,904652
1998-01-07,24.2500,25.4400,24.0000,25.4400,6.9794,896000
1998-01-08,25.4400,25.7500,24.5600,25.0000,6.8587,687230
1998-01-09,24.9400,25.8800,23.5000,24.0000,6.5843,1289067
1998-01-12,23.0000,25.0600,23.0000,25.0000,6.8587,1338785
1998-01-13,24.8800,25.1900,24.8800,25.1300,6.8944,645244
1998-01-14,25.3800,25.3800,24.5000,24.9400,6.8422,598430
1998-01-15,24.6900,25.2500,24.5000,24.5600,6.7380,624444
1998-01-16,25.0000,25.8100,25.0000,25.4400,6.9794,1286963
1998-01-20,26.0000,27.3100,25.8800,27.1300,7.4431,1882252
1998-01-21,27.5000,28.3800,26.8800,28.0000,7.6817,2248830
1998-01-22,27.6300,28.2500,27.0000,27.0000,7.4074,1244563
1998-01-23,27.1900,27.3800,25.7500,26.0600,7.1495,1105452
1998-01-26,27.0000,27.5600,25.8100,26.2500,7.2016,1076267
1998-01-27,26.2500,26.5600,25.0000,25.6300,7.0315,1197363
1998-01-28,26.5000,27.7500,25.8100,27.6300,7.5802,1407378
1998-01-29,27.6300,27.7500,26.7500,26.9400,7.3909,741630
1998-01-30,26.8100,26.9400,26.0600,26.0600,7.1495,677867
1998-02-02,27.9400,27.9400,27.0600,27.9400,7.6653,1243644
1998-02-03,27.5000,27.9400,27.2500,27.3800,7.5116,950252
1998-02-04,27.6900,27.8100,27.4400,27.6300,7.5802,620030
1998-02-05,27.9400,28.0000,27.1900,27.6300,7.5802,729778
1998-02-06,27.5000,28.3100,27.5000,28.0600,7.6982,1069985
1998-02-09,28.2500,28.9400,28.0000,28.9400,7.9396,1449778
1998-02-10,28.8800,30.0000,28.8100,29.6300,8.1289,2203467
1998-02-11,29.7500,29.8100,29.4400,29.5600,8.1097,1127585
1998-02-12,29.3800,30.8100,29.1900,30.0600,8.2469,1148978
1998-02-13,30.4400,31.5000,29.6900,29.9400,8.2140,1751052
1998-02-17,30.1900,30.3800,29.8800,30.0000,8.2304,806963
1998-02-18,30.0000,30.3100,29.1300,29.2500,8.0247,985985
1998-02-19,29.6300,29.6900,28.5600,28.6900,7.8710,818430
1998-02-20,28.3100,28.4400,26.7500,27.7500,7.6132,2435230
1998-02-23,28.7500,29.5000,28.6300,28.9400,7.9396,3462044
1998-02-24,28.9400,29.5600,28.3800,28.4400,7.8025,1304830
1998-02-25,29.0000,29.5000,28.8100,29.1300,7.9918,2882252
