,open,high,low,close,adj_close,volume
2016-11-10,32.0400,32.3500,29.8200,30.3300,29.3831,35019076
2016-11-11,29.8000,30.0900,28.8500,29.8900,28.9568,6020148
2016-11-14,29.3400,30.4300,28.7500,30.1900,29.2475,4481917
2016-11-15,29.6400,30.6995,29.6200,30.4300,29.4800,3667256
2016-11-16,30.7700,32.0400,30.6100,31.7000,30.7103,4342310
2016-11-17,31.4000,33.0650,30.6350,32.5100,31.4950,5252133
2016-11-18,32.1400,33.1000,31.7900,32.6800,31.6597,4253380
2016-11-21,32.2600,32.5000,31.2900,31.7400,30.7491,5036677
2016-11-22,31.5200,33.1500,30.4300,32.7000,31.6791,5601830
2016-11-23,32.7000,33.4700,32.5000,33.0200,31.9891,3620409
2016-11-25,32.7600,32.7800,32.2700,32.5900,31.5725,827809
2016-11-28,32.2700,33.5000,32.1700,32.7400,31.7179,1929250
2016-11-29,33.0500,33.3600,32.7200,33.1900,32.1538,2139479
2016-11-30,33.2600,34.3000,33.0000,33.4800,32.4348,2764920
2016-12-01,33.0400,33.2600,32.1850,32.5100,31.4950,2914939
2016-12-02,32.1600,33.2100,32.0100,32.9900,31.9601,1213120
2016-12-05,32.8700,33.7595,32.7501,33.6500,32.5995,2004735
2016-12-06,33.4500,33.8600,33.2100,33.8200,32.7641,1622915
2016-12-07,34.0700,34.9800,34.0000,34.7500,33.6651,3809431
2016-12-08,34.9100,36.0000,34.6100,35.9300,34.8083,2602986
2016-12-09,35.8200,36.5100,35.6000,36.3800,35.2442,1993074
2016-12-12,36.3800,37.2150,36.3100,36.7300,35.5833,1258339
2016-12-13,36.9700,37.0900,35.6700,36.5800,35.4380,1814756
2016-12-14,36.6200,37.0000,34.9700,35.1500,34.0526,3886277
2016-12-15,35.0600,35.2640,34.1500,34.3800,33.3067,1555074
2016-12-16,34.3400,35.4700,34.2800,35.2600,34.1592,3783968
2016-12-19,35.3100,35.8400,34.2700,34.4800,33.4035,1983266
2016-12-20,34.2200,35.1100,34.2000,34.9500,33.8589,944998
2016-12-21,34.6400,35.2200,34.4600,35.0200,33.9267,703934
2016-12-22,35.0000,36.6200,34.8000,36.3300,35.1958,1438479
2016-12-23,36.4100,37.0700,35.9700,36.8500,35.6995,888289
2016-12-27,36.6500,37.4900,36.6100,37.3400,36.1743,822236
2016-12-28,37.2500,37.6600,37.0100,37.2300,36.0677,534220
2016-12-29,37.3700,37.9600,37.1430,37.7700,36.5908,658516
2016-12-30,37.7400,38.5200,37.6750,37.8500,36.6683,773230
2017-01-03,37.7100,38.6000,37.3600,37.4900,36.3196,2006963
2017-01-04,37.6700,38.4100,36.4248,36.9800,35.8255,1712669
2017-01-05,36.9800,37.7100,36.4800,36.6200,35.4767,1099841
2017-01-06,36.4200,36.9600,36.0600,36.8300,35.6802,1367990
