,open,high,low,close,adj_close,volume
1998-01-02,105.5000,106.3000,104.0000,104.3000,14.3260,77900
1998-01-05,104.2000,105.3000,103.6000,104.1000,14.2985,115700
1998-01-06,104.1000,105.1000,104.0000,104.9000,14.4084,209600
1998-01-07,104.8000,104.8000,103.8000,104.0000,14.2848,166300
1998-01-08,103.9000,104.4000,103.5000,103.8000,14.2573,279700
1998-01-09,102.8000,103.1000,100.1000,100.3000,13.7766,283600
1998-01-12,98.3800,103.9000,98.1300,103.4000,14.2024,274400
1998-01-13,103.4000,105.1000,103.4000,105.1000,14.4359,183000
1998-01-14,105.1000,106.9000,105.1000,106.4000,14.6144,200300
1998-01-15,106.0000,106.0000,103.8000,104.6000,14.3672,118500
1998-01-16,104.8000,105.5000,104.8000,105.0000,14.4222,247700
1998-01-20,104.3000,104.8000,103.6000,103.9000,14.2711,253400
1998-01-21,102.9000,103.8000,102.5000,103.0000,14.1474,220200
1998-01-22,102.8000,102.8000,101.2000,101.6000,13.9551,386900
1998-01-23,101.4000,101.6000,99.4400,100.1000,13.7491,220600
1998-01-26,100.0000,100.2000,99.3100,99.8800,13.7189,140700
1998-01-27,99.7500,101.2000,99.6900,100.9000,13.8590,190600
1998-01-28,101.1000,103.1000,100.9000,102.0000,14.0101,296600
1998-01-29,100.1000,101.5000,99.8800,100.8000,13.8453,301800
1998-01-30,100.5000,100.9000,99.7500,99.8800,13.7189,283500
1998-02-02,100.1000,100.8000,99.5000,99.9400,13.7271,376500
1998-02-03,100.0000,100.9000,100.0000,100.6000,13.8178,365000
1998-02-04,99.3100,100.8000,99.3100,100.1000,13.7835,299900
1998-02-05,101.3000,102.3000,101.1000,101.9000,14.0313,453400
1998-02-06,101.8000,104.0000,101.8000,103.3000,14.2241,289100
1998-02-09,103.5000,103.6000,100.4000,102.7000,14.1415,234300
1998-02-10,102.5000,102.6000,101.4000,101.6000,13.9900,214400
1998-02-11,101.9000,103.3000,101.9000,102.8000,14.1552,100500
1998-02-12,102.6000,102.7000,100.4000,102.6000,14.1277,114000
1998-02-13,102.6000,102.8000,100.9000,101.5000,13.9762,52400
1998-02-17,102.0000,102.3000,100.9000,102.0000,14.0451,133100
1998-02-18,102.0000,102.8000,101.6000,101.9000,14.0313,148600
1998-02-19,102.0000,102.0000,101.3000,101.3000,13.9487,254400
1998-02-20,101.3000,101.5000,100.3000,100.9000,13.8936,184000
1998-02-23,100.9000,100.9000,99.6300,100.0000,13.7697,243600
1998-02-24,99.9400,100.0000,98.9400,99.4400,13.6926,293600
1998-02-25,99.4400,100.3000,99.3800,99.5000,13.7008,123500
1998-02-26,99.6300,101.0000,99.6300,101.0000,13.9074,506700
1998-02-27,101.0000,101.0000,99.8800,100.4000,13.8248,311000
1998-03-02,100.1000,100.5000,99.6900,99.9400,13.7614,316400
1998-03-03,99.7500,101.3000,99.5600,101.2000,13.9349,411100
1998-03-04,101.1000,101.2000,100.0000,100.3000,13.8110,204800
