,open,high,low,close,adj_close,volume
1998-01-02,28.6900,29.0600,28.6900,29.0000,7.8869,30500
1998-01-05,29.1300,29.5000,29.1300,29.4400,8.0066,71000
1998-01-06,29.4400,29.5600,29.2500,29.5000,8.0229,50400
1998-01-07,29.5600,29.7500,29.4400,29.5600,8.0392,37300
1998-01-08,29.6300,29.6300,29.4400,29.5600,8.0392,23000
1998-01-09,29.5000,29.5000,29.3100,29.3800,7.9903,34100
1998-01-12,29.1900,29.3800,29.0000,29.3100,7.9712,34800
1998-01-13,29.4400,29.5600,29.2500,29.3800,7.9903,25100
1998-01-14,29.3100,29.6900,29.3100,29.6300,8.0582,24800
1998-01-15,29.6300,29.7500,29.5600,29.7500,8.0909,105700
1998-01-16,29.7500,29.8100,29.6300,29.8100,8.1072,59100
1998-01-20,29.8100,29.8800,29.6900,29.7500,8.0909,85900
1998-01-21,29.1900,29.5000,29.0600,29.3100,8.1208,35200
1998-01-22,29.2500,29.2500,29.1300,29.2500,8.1042,36500
1998-01-23,29.3100,29.3800,29.0600,29.1300,8.0709,34200
1998-01-26,29.0600,29.1900,28.5000,28.8100,7.9823,43900
1998-01-27,28.8100,28.9400,28.5600,28.8100,7.9823,42400
1998-01-28,28.9400,29.0000,28.8100,28.8800,8.0017,54400
1998-01-29,28.9400,29.3800,28.8800,28.8800,8.0017,29100
1998-01-30,29.0600,29.2500,28.8800,28.9400,8.0183,28100
1998-02-02,29.1900,29.1900,28.9400,29.0000,8.0349,43500
1998-02-03,29.0600,29.1900,28.9400,29.0600,8.0515,20300
1998-02-04,29.0000,29.0600,28.8800,28.9400,8.0183,22200
1998-02-05,28.9400,29.0600,28.9400,28.9400,8.0183,29600
1998-02-06,29.0000,29.0000,28.7500,28.9400,8.0183,38500
1998-02-09,28.8800,28.9400,28.8100,28.9400,8.0183,31900
1998-02-10,28.8100,29.0000,28.6300,28.6300,7.9324,51500
1998-02-11,28.8100,29.0000,28.7500,28.9400,8.0183,34600
1998-02-12,28.9400,28.9400,28.4400,28.6300,7.9324,77800
1998-02-13,28.5000,28.5000,28.1300,28.4400,7.8797,53400
1998-02-17,28.5000,28.5000,27.6300,27.8100,7.7052,57500
1998-02-18,27.9400,28.2500,27.8800,28.1900,7.8105,38200
1998-02-19,28.0600,28.2500,27.9400,28.0600,7.7745,36600
1998-02-20,28.0000,28.1900,27.8800,27.8800,7.7246,31000
1998-02-23,28.0000,28.0000,27.8800,27.9400,7.7412,44400
1998-02-24,28.1300,28.3800,28.0000,28.3800,7.8631,40000
1998-02-25,28.4400,28.6900,28.4400,28.6300,7.9324,36400
1998-02-26,28.5000,28.8800,28.5000,28.6300,7.9324,23200
1998-02-27,28.5000,28.6900,28.3100,28.3100,7.8437,30400
1998-03-02,28.3800,28.3800,27.8100,28.0600,7.7745,33500
1998-03-03,28.1900,28.3100,28.0000,28.2500,7.8271,36600
1998-03-04,28.1300,28.1900,28.0000,28.1300,7.7939,32900
1998-03-05,27.9400,28.1900,27.9400,28.1900,7.8105,29500
1998-03-06,28.0600,28.2500,28.0600,28.2500,7.8271,57900
1998-03-09,28.0600,28.1300,28.0000,28.1300,7.7939,12200
1998-03-10,28.1300,28.1900,27.9400,28.0000,7.7578,34300
1998-03-11,28.0000,28.1900,28.0000,28.1300,7.7939,30800
1998-03-12,28.0600,28.3100,28.0000,28.1300,7.7939,68100
1998-03-13,28.1300,28.2500,28.1300,28.1900,7.8105,17000
1998-03-16,28.1300,28.1900,28.0600,28.0600,7.7745,29900
1998-03-17,28.0600,28.2500,27.8800,28.0000,7.7578,25900
1998-03-18,27.8100,28.0000,27.5000,27.6300,7.6553,122700
1998-03-19,27.6900,27.8100,27.5600,27.6900,7.6720,16000
1998-03-20,27.7500,27.8800,27.6900,27.8100,7.7052,33100
1998-03-23,27.7500,28.0600,27.5600,27.6900,7.6720,80100
1998-03-24,27.7500,28.0000,27.6300,27.9400,7.7412,40700
1998-03-25,27.9400,28.0000,27.7500,28.0000,7.7578,33400
1998-03-26,28.0000,28.2500,27.9400,28.2500,7.8271,49700
1998-03-27,28.2500,28.2500,27.9400,28.1300,7.7939,44200
1998-03-30,28.0600,28.2500,28.0600,28.2500,7.8271,36400
1998-03-31,28.2500,28.2500,28.0000,28.1900,7.8105,72500
1998-04-01,28.1300,28.2500,28.0600,28.2500,7.8271,26300
1998-04-02,28.2500,28.8800,28.2500,28.8100,7.9823,52300
1998-04-03,28.8800,29.0600,28.8100,28.9400,8.0183,24100
1998-04-06,28.8100,29.0600,28.8100,28.8100,7.9823,56000
1998-04-07,28.8100,28.9400,28.7500,28.8800,8.0017,34100
