,open,high,low,close,adj_close,volume
1998-01-02,28.6900,28.6900,28.0000,28.1900,7.8017,18500
1998-01-05,28.1300,28.5000,27.6300,27.6300,7.6468,63700
1998-01-06,27.8100,27.8100,27.0000,27.5000,7.6108,58700
1998-01-07,27.6300,27.6300,27.1300,27.1300,7.5084,39800
1998-01-08,27.0600,28.0000,27.0600,27.4400,7.5942,55500
1998-01-09,27.6900,27.6900,27.1900,27.4400,7.5942,39500
1998-01-12,27.3100,27.3800,26.9400,27.0600,7.4890,47300
1998-01-13,27.3100,27.6300,27.1900,27.6300,7.6468,44500
1998-01-14,27.6900,28.5000,27.6300,28.5000,7.8875,44400
1998-01-15,28.5000,29.1300,28.3100,28.3800,7.8543,44500
1998-01-16,28.6300,29.1300,28.5000,28.5000,7.8875,45400
1998-01-20,28.6900,28.9400,28.6900,28.8800,7.9927,43400
1998-01-21,28.9400,29.0000,28.5000,28.5000,7.8875,31300
1998-01-22,28.6300,28.8800,28.5600,28.5600,7.9041,22500
1998-01-23,28.6900,28.8100,28.3800,28.6300,7.9235,32000
1998-01-26,28.7500,28.7500,28.4400,28.4400,7.8709,16800
1998-01-27,28.5600,28.6900,27.9400,28.1900,7.8017,30000
1998-01-28,27.5600,28.6300,27.5600,28.3100,7.8350,57400
1998-01-29,28.5600,28.6900,28.2500,28.3100,7.8350,26400
1998-01-30,28.1900,28.5600,28.0000,28.3800,7.8543,16200
1998-02-02,28.2500,28.6300,28.2500,28.4400,7.8709,16500
1998-02-03,28.6300,28.6300,28.2500,28.3100,7.8350,15000
1998-02-04,28.4400,29.0000,28.3100,28.4400,7.8709,43400
1998-02-05,28.0600,28.5600,28.0000,28.0000,7.8765,24000
1998-02-06,28.1900,28.3800,28.0600,28.1900,7.9299,18600
1998-02-09,28.3100,28.5000,28.1300,28.1300,7.9130,34400
1998-02-10,28.1900,28.2500,28.1300,28.2500,7.9468,32400
1998-02-11,28.2500,28.2500,28.0600,28.2500,7.9468,18900
1998-02-12,28.2500,28.2500,28.0600,28.2500,7.9468,74400
1998-02-13,28.0000,28.1300,27.8100,27.8100,7.8230,28500
1998-02-17,28.1300,28.2500,27.7500,27.8100,7.8230,65500
1998-02-18,27.5600,27.5600,27.3100,27.3800,7.7021,118400
1998-02-19,27.5000,27.5600,27.3800,27.5000,7.7358,73100
1998-02-20,27.5000,28.1300,27.3800,27.8800,7.8427,98300
1998-02-23,27.7500,28.2500,27.7500,28.1300,7.9130,93800
1998-02-24,28.3800,28.5000,28.1300,28.2500,7.9468,138500
1998-02-25,28.1300,28.3800,28.1300,28.2500,7.9468,69800
1998-02-26,28.2500,28.3100,28.1900,28.2500,7.9468,9900
1998-02-27,28.3100,28.7500,28.2500,28.2500,7.9468,144300
1998-03-02,28.2500,28.3800,28.1300,28.1900,7.9299,61000
1998-03-03,28.1900,28.1900,28.0600,28.0600,7.8933,18400
1998-03-04,28.1300,28.5600,28.1300,28.3800,7.9834,152900
1998-03-05,28.3100,28.4400,28.1300,28.1900,7.9299,69700
1998-03-06,28.4400,28.8100,28.1900,28.8100,8.1043,24900
1998-03-09,28.6300,28.7500,28.5600,28.6900,8.0706,13000
1998-03-10,28.8100,29.0600,28.6900,28.7500,8.0874,30500
1998-03-11,28.7500,28.9400,28.6300,28.6300,8.0537,21900
1998-03-12,28.6900,28.6900,28.0000,28.2500,7.9468,63100
1998-03-13,28.3100,28.6300,28.2500,28.2500,7.9468,18800
1998-03-16,28.1300,28.6900,28.1300,28.6900,8.0706,44000
1998-03-17,28.6900,29.0000,28.6300,28.9400,8.1409,103700
1998-03-18,29.0600,29.1900,29.0000,29.1900,8.2112,36200
1998-03-19,29.1900,29.7500,29.1900,29.5000,8.2984,219300
1998-03-20,29.5000,30.3800,29.4400,30.0000,8.4391,77700
1998-03-23,30.0600,30.3800,29.8800,29.8800,8.4053,77100
1998-03-24,29.9400,29.9400,29.3800,29.3800,8.2647,28500
1998-03-25,28.8800,29.6300,28.8800,29.5000,8.2984,50900
1998-03-26,29.2500,29.8100,29.2500,29.6900,8.3519,79600
1998-03-27,29.6300,29.6900,29.5600,29.5600,8.3153,16800
1998-03-30,29.3100,29.7500,29.3100,29.5600,8.3153,40400
1998-03-31,29.3800,29.7500,29.3800,29.7500,8.3687,27900
1998-04-01,29.5000,29.7500,29.5000,29.6300,8.3350,36500
1998-04-02,29.6900,29.7500,29.5000,29.5600,8.3153,47500
1998-04-03,29.4400,29.5600,29.4400,29.5000,8.2984,36100
1998-04-06,29.2500,29.6900,29.2500,29.5000,8.2984,65400
1998-04-07,29.4400,29.5600,29.2500,29.5000,8.2984,28500
1998-04-08,29.5600,29.5600,29.0000,29.1900,8.2112,36900
1998-04-09,29.2500,29.3800,29.0600,29.1300,8.1943,34700
1998-04-13,29.1900,29.1900,28.7500,28.7500,8.0874,87800
1998-04-14,28.6900,28.7500,28.5600,28.5600,8.0340,87400
1998-04-15,28.1300,28.4400,28.1300,28.3800,7.9834,39300
1998-04-16,28.5000,28.6300,28.0600,28.3100,7.9637,67000
1998-04-17,28.1300,28.3800,28.0600,28.3800,7.9834,25000
1998-04-20,28.3800,28.6300,28.3800,28.4400,8.0002,21900
1998-04-21,28.3100,28.4400,27.7500,27.8100,7.8230,201400
1998-04-22,27.9400,28.0000,27.6300,27.7500,7.8061,108000
1998-04-23,27.5000,27.8100,27.5000,27.5600,7.7527,39100
1998-04-24,27.6900,27.8800,27.5600,27.5600,7.7527,20700
1998-04-27,27.6900,27.6900,27.1900,27.2500,7.6655,47400
1998-04-28,27.5000,27.7500,27.2500,27.3800,7.7021,38300
1998-04-29,27.2500,27.5600,27.2500,27.3800,7.7021,44300
1998-04-30,27.8100,28.2500,27.7500,28.0600,7.8933,67800
1998-05-01,28.2500,28.5000,28.2500,28.3100,7.9637,36400
1998-05-04,28.3100,28.4400,28.2500,28.2500,7.9468,11400
1998-05-05,28.2500,28.2500,28.0600,28.1300,7.9130,33400
1998-05-06,27.8800,28.2500,27.7500,28.0600,7.8933,99300
1998-05-07,28.1300,28.4400,28.1300,28.4400,8.0002,31600
1998-05-08,28.3800,28.7500,28.3800,28.5600,8.0340,56200
1998-05-11,28.3100,28.3800,28.1300,28.1300,8.0424,29300
1998-05-12,28.2500,28.7500,28.2500,28.6300,8.1854,118800
1998-05-13,28.6300,28.7500,28.4400,28.5000,8.1482,32200
1998-05-14,28.2500,28.2500,27.7500,27.8100,7.9509,325200
1998-05-15,28.0000,28.0000,27.5000,27.6900,7.9166,50300
1998-05-18,27.6300,27.8800,27.6300,27.7500,7.9338,38700
1998-05-19,27.8100,28.0600,27.6300,27.6900,7.9166,16500
1998-05-20,27.8100,27.8800,27.3800,27.6300,7.8995,57700
1998-05-21,27.7500,27.7500,26.6900,27.1300,7.7565,128000
1998-05-22,27.1300,27.2500,26.6300,27.1300,7.7565,21100
1998-05-26,26.8800,27.2500,26.7500,26.8800,7.6851,60000
1998-05-27,27.0000,27.0000,26.6900,26.8100,7.6650,24100
1998-05-28,26.8100,27.5000,26.8100,27.1300,7.7565,35900
1998-05-29,27.1300,27.1900,26.9400,27.0000,7.7194,25800
1998-06-01,26.7500,27.0600,26.7500,27.0000,7.7194,34700
1998-06-02,27.0600,27.1300,27.0000,27.0600,7.7365,19400
1998-06-03,26.9400,27.3100,26.9400,27.0600,7.7365,54900
1998-06-04,27.0000,27.1300,26.9400,27.0000,7.7194,38900
1998-06-05,26.8800,27.1300,26.8800,27.0600,7.7365,15600
1998-06-08,27.1300,27.2500,26.9400,26.9400,7.7022,39600
1998-06-09,26.7500,26.7500,26.3100,26.4400,7.5593,104300
1998-06-10,26.2500,26.5600,26.2500,26.5000,7.5764,54000
1998-06-11,26.1900,26.1900,26.0600,26.1300,7.4706,84300
1998-06-12,26.0000,26.5000,25.8100,26.3100,7.5221,63800
1998-06-15,26.4400,26.8100,26.3100,26.8100,7.6650,38800
1998-06-16,26.6900,26.7500,26.6300,26.6300,7.6136,27400
1998-06-17,26.5000,27.0000,26.5000,27.0000,7.7194,26600
1998-06-18,26.7500,27.5000,26.7500,27.2500,7.7908,43500
1998-06-19,27.2500,27.5000,27.2500,27.4400,7.8452,32000
1998-06-22,27.0000,27.5000,26.8800,27.3800,7.8280,30200
1998-06-23,27.3100,27.3800,27.1900,27.2500,7.7908,25500
1998-06-24,27.2500,27.3100,27.1900,27.2500,7.7908,49700
1998-06-25,27.3100,27.3800,27.2500,27.3800,7.8280,99100
1998-06-26,27.5000,27.7500,27.3800,27.4400,7.8452,47700
1998-06-29,27.2500,28.3800,27.2500,28.3100,8.0939,37500
1998-06-30,28.2500,29.6300,28.2500,29.3100,8.3798,146800
1998-07-01,29.1300,29.1900,27.7500,28.3800,8.1139,35500
1998-07-02,28.2500,28.5000,28.2500,28.5000,8.1482,81500
1998-07-06,28.1300,29.3800,28.1300,29.0000,8.2912,148600
1998-07-07,28.6900,28.9400,28.5000,28.5000,8.1482,106400
1998-07-08,28.3800,28.9400,28.3800,28.9400,8.2740,80900
1998-07-09,28.9400,29.3800,28.8800,29.3800,8.3998,99500
1998-07-10,29.0000,29.2500,29.0000,29.1300,8.3283,18900
1998-07-13,28.7500,29.1300,28.6900,29.0600,8.3083,44300
1998-07-14,28.8100,29.0000,28.5600,28.8100,8.2368,29600
1998-07-15,28.6300,28.9400,28.5600,28.8800,8.2569,25900
1998-07-16,28.6300,29.2500,28.6300,29.0000,8.2912,140200
1998-07-17,28.8800,29.2500,28.8100,29.0600,8.3083,134700
1998-07-20,28.8800,29.0000,28.8800,28.9400,8.2740,13100
1998-07-21,28.3800,29.0000,28.3800,28.7500,8.2197,59400
1998-07-22,28.5600,28.7500,28.5000,28.5600,8.1654,48900
1998-07-23,28.3800,28.6300,28.3800,28.5000,8.1482,59000
1998-07-24,28.3100,28.5000,28.0600,28.3800,8.1139,76200
1998-07-27,28.2500,28.2500,28.0000,28.0600,8.0224,90100
1998-07-28,28.0000,28.0000,27.7500,27.8100,7.9509,60100
