,open,high,low,close,adj_close,volume
1998-01-02,31.2700,31.2700,30.8800,30.9100,9.9945,211783
1998-01-05,30.9100,31.1900,30.7100,31.1300,10.0656,291808
1998-01-06,31.0200,31.1900,30.5900,30.7100,9.9298,207381
1998-01-07,30.7100,31.0500,30.3700,30.8500,9.9751,264952
1998-01-08,30.7900,30.7900,30.2500,30.5400,9.8749,218262
1998-01-09,30.4200,30.4200,28.4100,28.7800,9.3058,1063219
1998-01-12,27.9900,28.3800,27.8700,28.1000,9.0859,1109711
1998-01-13,28.1300,29.0100,27.6200,28.9500,9.3607,1141414
1998-01-14,29.0100,29.5700,28.7800,29.5700,9.5612,308129
1998-01-15,29.6900,29.6900,29.4000,29.5500,9.5548,312333
1998-01-16,29.8300,30.2300,29.6000,30.1400,9.7455,346559
1998-01-20,30.1400,31.3000,30.1400,31.3000,10.1206,945458
1998-01-21,31.2700,31.4400,31.0800,31.3600,10.1400,407146
1998-01-22,31.3900,31.5600,31.0500,31.3600,10.1400,647616
1998-01-23,31.4700,31.6400,31.1000,31.3000,10.1206,312778
1998-01-26,31.2700,31.6100,31.2200,31.4200,10.1594,536432
1998-01-27,31.5000,32.2900,31.5000,32.1500,10.3954,390775
1998-01-28,32.1000,32.1800,31.7800,31.9300,10.3243,280432
1998-01-29,31.9800,31.9800,31.5000,31.8100,10.2855,531041
1998-01-30,31.8700,31.8700,31.1000,31.3300,10.1303,222862
1998-02-02,31.7300,32.1200,31.6400,32.0400,10.3599,398540
1998-02-03,31.9300,32.9200,31.8700,32.9200,10.6444,370200
1998-02-04,32.6900,33.1400,32.6100,32.8600,10.6250,310701
1998-02-05,32.7500,32.9200,32.4100,32.6300,10.5506,299573
1998-02-06,32.6900,33.1200,32.6300,32.7800,10.5991,194522
1998-02-09,32.6600,32.7200,31.9300,32.2900,10.4407,201347
1998-02-10,32.2700,33.0900,32.2700,32.6600,10.5603,176519
1998-02-11,32.5500,32.9700,32.4900,32.9500,10.6541,149910
1998-02-12,32.8900,33.2900,32.4400,33.2300,10.7446,226423
1998-02-13,33.1200,33.3100,32.9200,33.0600,10.6897,192049
1998-02-17,33.0900,33.1700,32.5200,32.7200,10.5797,245465
1998-02-18,32.7500,33.1200,32.7500,33.0600,10.6897,238541
1998-02-19,32.9700,33.0300,32.5500,32.8300,10.6153,170436
1998-02-20,33.0600,33.5100,32.9700,33.5100,10.8352,277613
1998-02-23,33.4300,33.5400,33.0900,33.1400,10.7155,150256
1998-02-24,33.0300,33.0300,32.5800,32.8300,10.6153,268117
1998-02-25,32.8300,33.6500,32.8000,33.3700,10.7899,346361
1998-02-26,33.1400,33.7100,32.9200,33.6000,10.8643,171474
1998-02-27,33.6000,34.3500,33.5400,34.3300,11.1003,294528
1998-03-02,33.9900,34.1400,33.8000,34.0500,11.0098,220241
1998-03-03,34.0500,34.6200,33.7700,34.6200,11.1941,229588
1998-03-04,34.7300,35.2100,34.6200,35.1000,11.3493,332216
1998-03-05,35.0100,35.3300,34.8200,35.2100,11.3849,232309
1998-03-06,35.2100,36.1500,35.2100,35.8300,11.5853,297446
1998-03-09,35.7200,35.8900,35.4700,35.8100,11.5789,247690
1998-03-10,36.1500,36.6800,35.9800,36.6600,11.8537,249174
1998-03-11,36.5400,36.5400,35.8300,36.2300,11.7147,228748
1998-03-12,36.1700,37.4500,36.0300,37.1400,12.0089,214009
1998-03-13,37.0800,37.2800,36.0600,36.2000,11.7050,223901
1998-03-16,35.9500,37.0200,35.9500,36.8300,11.9087,153471
1998-03-17,36.7400,36.8000,35.8100,36.0600,11.6597,277366
1998-03-18,36.1200,36.9400,36.0600,36.9400,11.9442,179239
1998-03-19,36.8300,36.9700,36.4900,36.6800,11.8602,118850
1998-03-20,37.1400,37.1400,36.0900,36.2000,11.7050,262726
1998-03-23,36.0000,36.0000,36.0000,36.0000,11.6403,495
1998-03-24,36.5000,37.3800,36.5000,37.3800,12.0865,57669
1998-03-25,37.8800,37.9400,37.5000,37.9400,12.2676,13700
1998-03-26,37.6900,37.7500,37.3100,37.7500,12.2062,37539
1998-03-27,37.6300,37.6300,36.3800,36.8800,14.0486,419016
1998-03-30,36.3800,36.8100,35.7500,35.9400,13.6905,190269
1998-03-31,36.1300,36.4400,35.5000,35.8100,13.6410,318812
1998-04-01,35.0000,35.1300,33.7500,34.8800,13.2867,496914
1998-04-02,34.8800,36.6300,34.8800,36.5000,13.9038,517539
1998-04-03,36.3800,37.2500,35.7500,37.0600,14.1171,379202
1998-04-06,36.9400,37.1900,36.0000,36.0000,13.7133,206491
1998-04-07,36.2500,36.2500,34.5000,35.3100,13.4505,749847
1998-04-08,35.3100,35.5000,34.5600,35.1900,13.4048,297595
1998-04-09,35.2500,36.0600,34.5000,34.5000,13.1420,351653
1998-04-13,34.0000,34.6300,33.7500,34.6300,13.1915,622045
1998-04-14,34.7500,36.2500,34.7500,36.1900,13.7857,780116
1998-04-15,37.2500,37.2500,36.5000,37.1900,14.1666,295122
1998-04-16,37.1300,37.1300,35.0600,35.1900,13.4219,208964
1998-04-17,35.1900,35.3100,34.1900,34.3800,13.1130,389885
1998-04-20,34.3100,34.3800,33.4400,33.4400,12.7545,285329
1998-04-21,33.5600,33.9400,31.7500,31.7500,12.1099,408086
1998-04-22,31.7500,32.5000,31.7500,32.3100,12.3235,602707
1998-04-23,31.8800,32.1300,31.5000,32.1300,12.2548,482719
1998-04-24,32.0000,32.6300,32.0000,32.5000,12.3959,426584
1998-04-27,32.3100,32.6300,32.0000,32.5000,12.3959,426188
1998-04-28,32.5600,33.7500,32.5000,33.3100,12.7049,150998
1998-04-29,33.5600,33.5600,32.8800,33.1300,12.6362,468920
1998-04-30,33.0600,33.2500,32.0000,32.0000,12.2052,983788
1998-05-01,32.0000,33.5000,32.0000,33.3800,12.7316,465013
1998-05-04,34.7500,35.0000,34.3800,34.7500,13.2541,228599
1998-05-05,34.8100,34.8800,34.1300,34.6900,13.2312,112569
1998-05-06,34.8800,35.0000,33.6300,33.7500,12.8727,367628
1998-05-07,33.3100,33.3100,32.3100,32.3800,12.3502,429947
1998-05-08,32.3800,33.1300,32.3800,32.4400,12.3730,300166
1998-05-11,32.4400,32.5000,31.5000,31.7500,12.1099,521100
1998-05-12,32.0000,32.0000,30.5000,30.5000,11.6331,625013
1998-05-13,31.0000,33.4400,31.0000,33.1300,12.6362,1090521
1998-05-14,32.5600,33.2500,32.0000,33.1300,12.6362,176074
1998-05-15,33.1300,33.8800,32.8100,33.5600,12.8002,188142
