,open,high,low,close,adj_close,volume
1998-01-02,50.5000,51.1900,50.5000,50.6900,13.5557,430300
1998-01-05,50.6900,51.0600,50.3800,51.0000,13.6386,881200
1998-01-06,50.5600,51.2500,50.5000,50.6300,13.5397,542100
1998-01-07,50.3800,50.9400,50.0600,50.9400,13.6788,749700
1998-01-08,50.6300,51.4400,50.6300,51.0000,13.6949,808100
1998-01-09,51.0000,51.0000,50.1300,50.1300,13.4612,557100
1998-01-12,49.6300,50.1300,49.5000,49.9400,13.4102,1043000
1998-01-13,50.0000,51.0000,50.0000,51.0000,13.6949,1212800
1998-01-14,51.0000,51.2500,50.3100,50.8100,13.6438,674100
1998-01-15,50.6300,51.0000,50.2500,51.0000,13.6949,447600
1998-01-16,51.0000,51.0000,50.5600,50.9400,13.6788,628300
1998-01-20,50.9400,51.0600,50.1300,50.9400,13.6788,836500
1998-01-21,51.0000,51.1900,50.3800,51.0600,13.7110,791700
1998-01-22,51.0600,51.0600,50.5000,51.0000,13.6949,689400
1998-01-23,51.0000,51.0000,49.5000,49.5600,13.3082,376100
1998-01-26,49.7500,49.8800,49.1300,49.3100,13.2411,262800
1998-01-27,49.3100,49.6900,49.2500,49.5000,13.2921,1062000
1998-01-28,50.0000,50.3800,49.2500,49.4400,13.2760,396400
1998-01-29,49.5000,49.8800,49.3100,49.3800,13.2599,530300
1998-01-30,49.3800,49.7500,49.2500,49.2500,13.2249,624200
1998-02-02,49.3800,50.6900,49.3100,50.0000,13.4263,679200
1998-02-03,50.0000,50.5000,49.6300,50.5000,13.5606,288000
1998-02-04,50.1300,50.8800,49.8100,50.8100,13.6438,534500
1998-02-05,50.9400,51.0000,49.9400,50.6900,13.6116,669500
1998-02-06,50.8800,51.0000,50.6300,50.9400,13.6788,690900
1998-02-09,51.0000,51.0600,50.6900,51.0600,13.7110,548500
1998-02-10,51.1900,51.6900,50.6900,51.4400,13.8130,1122200
1998-02-11,51.6300,51.6900,50.7500,50.9400,13.6788,220200
1998-02-12,51.1300,51.1300,50.4400,51.0000,13.6949,240400
1998-02-13,51.0000,51.2500,50.6300,51.0000,13.6949,270000
1998-02-17,51.3800,51.6900,50.8800,51.1300,13.7298,825800
1998-02-18,51.3800,52.8800,50.7500,50.9400,13.6788,813600
1998-02-19,51.1900,51.8100,50.0000,50.1900,13.4774,617100
1998-02-20,50.3800,51.1900,50.1900,51.1900,13.7459,388000
1998-02-23,51.4400,51.6900,50.6900,51.4400,13.8130,398800
1998-02-24,51.5000,52.1300,50.8800,51.2500,13.7620,368800
1998-02-25,51.5000,52.8800,51.5000,52.3100,14.0466,562100
1998-02-26,53.0000,53.9400,52.8100,53.8800,14.4682,844300
1998-02-27,53.7500,54.6300,53.6300,54.3800,14.6025,737300
1998-03-02,54.3800,54.8800,54.3800,54.7500,14.7018,491600
1998-03-03,54.0000,54.6900,53.5600,54.3800,14.6025,385300
1998-03-04,54.7500,54.9400,54.3800,54.6300,14.6696,268900
1998-03-05,54.1900,55.8800,54.1300,55.1300,14.8039,389800
1998-03-06,55.9400,56.4400,55.8100,56.2500,15.1046,825000
1998-03-09,56.2500,57.2500,56.0000,57.1900,15.3570,534400
1998-03-10,57.9400,58.5000,57.0600,58.5000,15.7088,451600
1998-03-11,58.5600,59.0600,58.3100,59.0000,15.8431,428400
1998-03-12,59.1300,59.6900,58.8800,59.6900,16.0284,543300
1998-03-13,59.8100,59.8100,58.8800,58.8800,15.8109,403200
1998-03-16,58.8100,59.6900,58.8100,59.3100,15.9263,505300
1998-03-17,59.0600,59.6900,58.9400,59.5600,15.9935,265500
1998-03-18,59.3100,59.3100,58.6900,58.8100,15.7921,303200
1998-03-19,58.9400,59.6900,58.6900,59.6900,16.0284,137700
