,open,high,low,close,adj_close,volume
1998-01-02,30.1300,30.7500,29.3800,30.0000,5.4916,225630
1998-01-05,30.1300,32.4400,29.7500,31.8800,5.8357,840652
1998-01-06,31.2500,31.7500,30.1300,30.3100,5.5483,815644
1998-01-07,29.3800,29.5000,27.0000,27.6900,5.0687,1828385
1998-01-08,27.3800,27.5600,26.3100,26.7500,4.8967,1422252
1998-01-09,26.8800,27.3800,25.6300,26.1900,4.7941,1092830
1998-01-12,25.2500,26.1300,24.6300,25.5000,4.6678,752030
1998-01-13,26.1300,26.3800,24.1300,25.2500,4.6221,2674963
1998-01-14,26.0000,28.5000,25.3800,27.6300,5.0577,1270044
1998-01-15,28.2500,28.3800,26.2500,27.7500,5.0797,919378
1998-01-16,21.5000,22.2500,20.7500,21.8800,4.0052,8353067
1998-01-20,22.7500,23.6300,22.2500,23.1900,4.2450,2173985
1998-01-21,23.0000,23.2500,22.7500,22.8800,4.1882,881363
1998-01-22,22.8800,23.1300,22.5000,23.0600,4.2212,816267
1998-01-23,23.0600,23.5000,22.8800,23.0000,4.2102,799644
1998-01-26,23.1300,24.0000,22.8800,22.9100,4.1937,1385985
1998-01-27,22.8800,23.3800,22.7500,22.8100,4.1754,672800
1998-01-28,23.0000,23.1300,22.5000,22.8800,4.1882,702163
1998-01-29,22.6300,23.5000,22.6300,23.2500,4.2560,883378
1998-01-30,23.0600,23.7500,23.0000,23.0900,4.2267,782430
1998-02-02,24.1300,25.6900,24.0000,25.6900,4.7026,1371052
1998-02-03,25.7500,26.7500,25.5000,26.7500,4.8967,983052
1998-02-04,26.3800,27.5000,26.2500,27.1300,4.9662,1195763
1998-02-05,27.3800,27.4400,25.3800,25.8100,4.7246,1230430
1998-02-06,25.8800,25.8800,24.5000,25.4100,4.6514,438785
1998-02-09,25.6300,25.6300,25.0000,25.0600,4.5873,234844
1998-02-10,25.0000,25.6300,24.8800,25.3800,4.6459,949985
1998-02-11,25.6300,26.0000,25.1300,25.3100,4.6331,337244
1998-02-12,25.3800,25.5000,24.8800,25.0000,4.5763,539585
1998-02-13,25.0000,25.1900,24.8800,24.8800,4.5544,593067
1998-02-17,25.0000,25.3800,24.8800,24.9400,4.5653,798667
1998-02-18,25.0000,25.1300,24.6300,25.0000,4.5763,672267
1998-02-19,25.0000,26.0000,24.8800,25.8800,4.7374,990844
1998-02-20,26.0000,26.0000,25.0000,25.3800,4.6459,332830
1998-02-23,26.1300,26.3800,25.2500,25.6300,4.6916,478785
1998-02-24,25.6300,25.6300,24.8100,25.0000,4.5763,656000
1998-02-25,25.1300,25.2500,24.5000,25.0000,4.5763,438400
1998-02-26,25.0600,25.0600,24.1300,24.6300,4.5086,1025778
1998-02-27,24.8800,25.0000,24.0000,24.1900,4.4280,576385
1998-03-02,24.2500,24.3800,22.7500,24.2500,4.4390,1109630
1998-03-03,24.0000,24.0000,22.8800,23.0900,4.2267,1488800
1998-03-04,23.2500,23.6300,23.0000,23.3800,4.2798,798963
1998-03-05,22.1900,23.3800,22.0000,23.1900,4.2450,1672563
1998-03-06,23.1300,23.5000,22.5000,22.8800,4.1882,724267
1998-03-09,22.5000,22.7500,21.2500,21.5000,3.9356,947585
1998-03-10,21.9400,22.8800,21.7500,22.1300,4.0510,999644
1998-03-11,22.1300,23.8800,22.0600,23.0600,4.2212,1618400
1998-03-12,23.0000,23.7500,23.0000,23.6900,4.3365,1013452
1998-03-13,23.7500,23.7500,23.0000,23.4400,4.2908,668267
1998-03-16,23.1900,23.6300,23.1900,23.4400,4.2908,374785
1998-03-17,23.3800,23.7500,22.6300,22.8800,4.1882,668830
1998-03-18,22.5600,23.0600,22.3800,22.7500,4.1644,451230
1998-03-19,23.0000,23.0000,22.2500,22.3800,4.0967,649244
1998-03-20,22.3800,22.3800,21.8800,22.0000,4.0272,1249867
1998-03-23,22.0000,22.4400,22.0000,22.4400,4.1077,869985
1998-03-24,22.4400,22.6300,22.1300,22.5600,4.1297,1223230
1998-03-25,22.9400,23.1300,22.0000,22.5000,4.1187,356000
1998-03-26,22.2500,22.6900,22.0000,22.1900,4.0619,957600
1998-03-27,22.3100,22.3800,21.5000,21.6900,3.9704,410400
1998-03-30,21.8800,22.5600,21.6300,22.0200,4.0308,640978
1998-03-31,22.1300,22.2500,21.0000,21.0000,3.8441,654430
1998-04-01,21.3800,21.6300,20.7500,21.1300,3.8679,2437452
1998-04-02,23.4400,26.2500,23.2500,25.8800,4.7374,3464444
1998-04-03,26.0600,26.2500,24.2500,24.8100,4.5415,1205244
1998-04-06,24.8100,24.8800,23.7500,24.5000,4.4848,484563
1998-04-07,24.0000,24.3800,23.8800,24.0600,4.4042,710785
1998-04-08,24.2500,25.0000,23.7500,24.9400,4.5653,455467
1998-04-09,25.0000,25.2500,24.3100,24.7500,4.5306,339585
1998-04-13,24.8800,25.0600,24.3800,25.0000,4.5763,221363
1998-04-14,25.0000,25.7500,24.8100,25.4400,4.6569,758667
1998-04-15,25.3800,26.6300,25.3800,26.5000,4.8509,776030
