,open,high,low,close,adj_close,volume
1998-01-02,108.2000,108.2000,106.0000,106.5000,45.2270,131900
1998-01-05,53.2500,54.0000,52.5000,52.7500,44.8024,107650
1998-01-06,52.6300,52.6300,51.5600,51.7500,43.9530,251600
1998-01-07,51.6300,51.6300,51.0600,51.5000,43.7407,371900
1998-01-08,51.5000,52.1900,51.3100,52.0600,44.2163,181300
1998-01-09,52.0600,52.0600,50.5000,50.6300,43.0018,213800
1998-01-12,49.5000,51.1300,49.3800,49.9400,42.4158,208400
1998-01-13,50.1900,50.8100,49.1900,50.6900,43.0528,127900
1998-01-14,50.8800,52.0600,50.6900,52.0600,44.2163,198900
1998-01-15,52.0000,52.8100,51.5600,52.8100,44.8533,538800
1998-01-16,53.0000,53.5000,51.5000,51.7500,43.9530,302700
1998-01-20,51.6300,51.8800,50.5600,51.2500,43.5284,522900
1998-01-21,51.5000,51.6300,50.6300,51.2500,43.5284,342600
1998-01-22,51.3800,52.2500,51.0000,52.0600,44.2163,258500
1998-01-23,52.0600,52.0600,49.4400,50.3800,42.7895,254300
1998-01-26,50.5000,50.5000,49.8800,50.3100,42.7300,239300
1998-01-27,50.7500,50.7500,49.0600,49.6300,42.1525,560800
1998-01-28,49.6300,50.4400,49.6300,50.3800,42.7895,417600
1998-01-29,48.5000,50.0000,48.5000,49.1900,41.7788,655100
1998-01-30,49.3100,49.3800,47.8800,47.8800,40.6661,441100
1998-02-02,48.5000,51.8800,48.4400,51.7500,43.9530,553100
1998-02-03,51.5600,52.0000,51.0000,51.6300,43.8511,482100
1998-02-04,51.8800,51.8800,50.3800,50.4400,42.8404,293900
1998-02-05,50.4400,51.8800,50.4400,51.6900,43.9021,406200
1998-02-06,51.8800,53.0000,51.5000,53.0000,45.0147,383300
1998-02-09,53.0000,53.4400,53.0000,53.3100,45.2780,607500
1998-02-10,53.3100,53.9400,53.2500,53.5600,45.4903,307400
1998-02-11,53.5600,54.8800,53.5600,54.3100,46.1273,217900
1998-02-12,54.3100,55.3100,53.7500,55.3100,46.9767,312700
1998-02-13,55.1900,55.8800,54.5000,55.6300,47.2485,285200
1998-02-17,55.6900,56.1300,55.1900,55.2500,46.9257,230600
1998-02-18,55.5000,55.6300,55.3100,55.4400,47.0871,205200
1998-02-19,55.6900,56.8100,55.5600,56.6900,48.1488,214400
1998-02-20,56.6900,56.6900,54.5000,54.7500,46.5010,374600
1998-02-23,55.1900,55.9400,54.9400,55.9400,47.5118,409900
1998-02-24,55.6300,55.6300,53.1900,53.1900,45.1761,534200
1998-02-25,53.2500,53.6900,52.8800,53.2500,45.2270,459300
1998-02-26,53.1900,53.1900,51.8100,52.0000,44.2715,960100
1998-02-27,52.2500,52.3100,51.8100,52.1300,44.3822,488300
1998-03-02,52.2500,52.4400,51.7500,52.0000,44.2715,154100
1998-03-03,52.0600,53.2500,51.5600,53.2500,45.3358,591700
1998-03-04,52.5000,54.5000,52.2500,54.0000,45.9743,1755300
1998-03-05,53.8800,54.9400,53.0000,54.9400,46.7746,530900
1998-03-06,54.9400,56.1300,54.3800,55.7500,47.4642,226400
1998-03-09,55.5000,56.4400,55.5000,55.9400,47.6260,172500
1998-03-10,57.2500,58.5000,57.2500,58.3100,49.6437,426500
1998-03-11,58.3100,59.1300,58.1300,58.3800,49.7033,265200
1998-03-12,58.1900,59.9400,58.1300,59.7500,50.8697,329300
1998-03-13,59.6300,61.6300,59.5600,61.6300,52.4703,309600
1998-03-16,61.5000,61.5000,60.5000,60.8800,51.8318,198700
1998-03-17,60.0000,60.0600,58.8100,59.0600,50.2823,195800
1998-03-18,59.2500,60.1900,59.1900,59.2500,50.4440,76100
1998-03-19,59.7500,60.0000,59.3800,59.5600,50.7079,145400
1998-03-20,59.4400,59.6300,58.9400,59.6300,50.7675,122200
1998-03-23,59.6900,60.0000,59.6300,59.6300,50.7675,91300
1998-03-24,59.6300,60.3800,59.2500,59.3100,50.4951,179700
1998-03-25,59.5600,59.8800,58.4400,59.0600,50.2823,326400
1998-03-26,59.1300,59.1300,58.4400,58.5000,49.8055,136800
1998-03-27,58.3100,58.6300,57.7500,57.7500,49.1670,326400
1998-03-30,57.5000,57.5000,56.9400,57.0600,48.5795,127100
1998-03-31,56.9400,59.0600,56.9400,57.7500,49.1670,245700
1998-04-01,57.8100,63.1300,57.8100,63.0000,53.6367,537000
1998-04-02,63.5000,63.6300,62.1300,63.0000,53.6367,752600
1998-04-03,63.0000,63.7500,62.5000,62.5000,53.2110,302800
1998-04-06,62.5000,63.2500,61.6900,61.9400,52.7342,84100
1998-04-07,62.1900,64.5000,62.1900,63.0000,53.6367,209300
1998-04-08,62.9400,62.9400,61.5600,61.6900,52.5214,145900
1998-04-09,61.5000,61.8800,60.8800,61.2500,52.1468,278100
1998-04-13,61.0000,61.2500,60.5600,60.6300,51.6189,166200
1998-04-14,59.9400,60.8800,57.6300,57.7500,49.1670,564600
1998-04-15,58.0000,60.1300,58.0000,59.4400,50.6058,689900
1998-04-16,59.4400,60.0000,59.0000,59.8800,50.9804,234100
1998-04-17,59.8800,60.6300,59.3800,59.3800,50.5547,70000
1998-04-20,59.5000,63.5000,59.5000,63.1300,53.7474,251600
1998-04-21,62.9400,62.9400,60.6300,61.8800,52.6831,336700
1998-04-22,61.7500,62.5000,60.8800,62.5000,53.2110,398100
1998-04-23,62.3800,62.6300,61.5900,62.5600,53.2621,1208700
1998-04-24,62.5600,63.7500,62.5000,63.5600,54.1135,333900
1998-04-27,63.0000,63.0600,61.8800,62.3800,53.1088,452700
1998-04-28,64.0000,64.5000,63.5000,64.0000,54.4881,669000
1998-04-29,64.0000,68.5000,63.8100,67.9400,57.8425,618900
1998-04-30,68.1300,71.0600,68.1300,70.6900,60.1838,669000
1998-05-01,70.4400,71.3800,69.1900,69.8800,59.4941,326000
1998-05-04,69.6300,70.5600,67.2500,68.0600,57.9446,308500
1998-05-05,68.0600,68.0600,66.0000,67.0600,57.0933,276700
1998-05-06,67.0600,67.0600,65.8800,65.8800,56.0886,137500
1998-05-07,65.8800,66.1300,65.6300,65.6900,55.9269,162500
1998-05-08,65.8800,69.0000,65.7500,68.7500,58.5321,296000
1998-05-11,68.8100,70.2500,68.0000,69.7500,59.3835,247600
1998-05-12,69.7500,70.1900,69.3800,69.8100,59.4346,142000
1998-05-13,69.8100,70.0000,69.1900,69.9400,59.5452,73400
1998-05-14,69.6900,69.9400,69.3800,69.8800,59.4941,171700
1998-05-15,69.9400,70.8800,69.8800,70.0600,59.6474,218600
1998-05-18,70.0600,73.0000,70.0600,72.5600,61.7758,308300
1998-05-19,72.6300,75.2500,72.6300,74.6300,63.5382,402000
1998-05-20,74.8800,74.8800,72.9400,73.9400,62.9507,335800
1998-05-21,73.7500,74.7500,73.5000,74.3100,63.2657,158500
1998-05-22,74.3100,75.3800,74.3100,74.6300,63.5382,151500
1998-05-26,75.0000,75.8800,73.5000,74.0000,63.0018,319600
1998-05-27,74.0000,74.4400,73.7500,74.1900,63.1636,296800
1998-05-28,77.2500,81.0000,76.1300,80.2500,68.4293,686300
1998-05-29,80.0600,80.1300,77.8100,78.1300,66.6216,332200
1998-06-01,77.7500,77.9400,75.8800,76.1300,64.9162,208500
1998-06-02,76.3800,76.5000,75.8800,76.3800,65.1294,153200
1998-06-03,76.8800,77.3800,75.8100,75.8100,64.6433,262300
1998-06-04,76.0000,77.8800,75.8100,77.5000,66.0844,175800
1998-06-05,77.7500,78.4400,77.5000,78.1300,66.6216,238800
1998-06-08,78.2500,78.8800,78.1300,78.7500,67.1503,121800
1998-06-09,79.7500,81.4400,79.7500,80.7500,68.8557,304200
1998-06-10,80.2500,81.1200,79.7500,80.3100,68.4805,151100
1998-06-11,80.2500,80.5600,78.8100,79.0600,67.4146,186700
1998-06-12,78.9400,79.5600,78.0600,78.3100,66.7751,145200
1998-06-15,78.0000,78.0000,76.2500,76.5000,65.2317,143900
1998-06-16,77.0000,77.1900,76.0000,76.0000,64.8054,325400
1998-06-17,76.7500,78.6900,76.7500,78.6300,67.0480,530200
1998-06-18,78.5600,80.3800,77.7500,79.1900,67.5255,466700
1998-06-19,78.7500,79.7500,76.8100,76.8100,65.4960,184600
1998-06-22,77.0000,77.6300,75.7500,77.0000,65.6581,146600
1998-06-23,77.2500,79.1900,76.8800,78.3100,66.7751,231400
1998-06-24,79.2500,81.6300,78.7500,81.2500,69.2820,265800
1998-06-25,82.0000,82.9400,80.8100,80.8100,68.9069,263900
