,open,high,low,close,adj_close,volume
1998-01-02,23.2500,23.2500,22.8800,23.2500,6.5572,461600
1998-01-05,23.2500,23.2500,23.0000,23.1200,6.5206,359000
1998-01-06,23.1200,23.3800,23.0000,23.2500,6.5572,800600
1998-01-07,23.2500,24.5000,23.0000,24.5000,6.9098,934700
1998-01-08,24.5000,24.5000,24.0000,24.5000,6.9098,966900
1998-01-09,24.5000,24.7500,24.1200,24.1200,6.8026,466200
1998-01-12,24.0000,24.0000,23.2500,23.7500,6.6982,818800
1998-01-13,23.6200,23.6200,23.1200,23.3800,6.5939,542800
1998-01-14,24.1200,24.1200,24.1200,24.1200,6.8026,0
1998-01-15,24.1200,24.3800,23.8800,24.0000,6.7688,1000700
1998-01-16,24.0000,24.1200,23.7500,23.8800,6.7349,750800
1998-01-20,23.8800,24.0000,23.6200,24.0000,6.7688,704300
1998-01-21,24.0000,24.0000,23.5000,23.6200,6.6616,894600
1998-01-22,23.6200,23.6200,23.2500,23.5000,6.6277,964500
1998-01-23,23.5000,23.6200,23.2500,23.3800,6.5939,327800
1998-01-26,23.3800,23.7500,23.0000,23.7500,6.6982,366500
1998-01-27,23.7500,24.0000,23.6200,23.7500,6.6982,550100
1998-01-28,23.7500,24.1200,23.7500,24.0000,6.7688,927000
1998-01-29,24.0000,24.1200,23.7500,24.0000,6.7688,443800
1998-01-30,24.0000,24.0000,23.3800,24.0000,6.7688,556600
1998-02-02,24.0000,24.5000,24.0000,24.1200,6.8026,874400
1998-02-03,24.1200,24.3800,24.1200,24.3800,6.8759,221700
1998-02-04,24.3800,24.3800,24.0000,24.0000,6.7688,405000
1998-02-05,24.0000,24.1200,23.8800,24.0000,6.7688,437800
1998-02-06,24.0000,24.3800,23.8800,24.0000,6.7688,556600
1998-02-09,24.0000,24.1200,23.7500,24.0000,6.7688,666700
1998-02-10,24.0000,24.3800,24.0000,24.0000,6.7688,365300
1998-02-11,24.1200,24.3800,24.1200,24.1200,6.8026,308400
1998-02-12,24.1200,24.5000,24.0000,24.3800,6.8759,573500
1998-02-13,24.3800,24.3800,24.1200,24.1200,6.8026,319600
1998-02-17,24.1200,24.3800,23.7500,23.7500,6.6982,393200
1998-02-18,23.7500,24.2500,23.6200,24.2500,6.9013,407400
1998-02-19,24.2500,24.3800,24.0000,24.3800,6.9383,397300
1998-02-20,24.3800,24.7500,24.3800,24.7500,7.0436,267500
1998-02-23,24.7500,25.0000,24.5000,24.6200,7.0066,380200
1998-02-24,24.6200,25.0000,24.2500,24.3800,6.9383,249100
1998-02-25,24.3800,24.8800,24.3800,24.7500,7.0436,460400
1998-02-26,24.7500,25.0000,24.6200,25.0000,7.1148,328400
1998-02-27,25.0000,25.1200,24.7500,25.1200,7.1489,565100
1998-03-02,25.1200,25.5000,25.0000,25.1200,7.1489,461400
1998-03-03,25.1200,25.5000,25.0000,25.5000,7.2570,588000
1998-03-04,25.5000,25.5000,25.2500,25.3800,7.2229,408700
1998-03-05,25.3800,25.5000,25.1200,25.1200,7.1489,278800
1998-03-06,25.2500,25.8800,25.2500,25.8800,7.3652,278700
1998-03-09,25.8800,26.2500,25.6200,26.1200,7.4335,352100
1998-03-10,26.1200,26.5000,26.1200,26.2500,7.4705,249100
1998-03-11,26.2500,26.3800,26.0000,26.3800,7.5075,303100
1998-03-12,26.3800,26.5000,26.0000,26.1200,7.4335,124100
1998-03-13,26.1200,26.2500,25.6200,26.1200,7.4335,247000
1998-03-16,26.1200,26.2500,25.1200,25.6200,7.2912,827200
1998-03-17,25.6200,25.6200,25.2500,25.6200,7.2912,307000
1998-03-18,25.6200,26.0000,25.1200,25.7500,7.3282,232700
1998-03-19,25.7500,26.1200,25.6200,26.1200,7.4335,283500
1998-03-20,26.1200,26.1200,25.7500,25.8800,7.3652,352000
1998-03-23,25.6200,25.6200,25.1200,25.3800,7.2229,974600
1998-03-24,25.3800,25.5000,25.1200,25.2500,7.1859,658600
1998-03-25,25.2500,25.6200,24.7500,25.1200,7.1489,1074400
1998-03-26,25.1200,25.2500,25.1200,25.1200,7.1489,592400
1998-03-27,25.1200,25.2500,24.7500,25.0000,7.1148,1120400
1998-03-30,25.0000,25.2500,24.6200,24.8800,7.0806,1144800
1998-03-31,24.8800,25.7500,24.8800,25.6200,7.2912,495400
1998-04-01,25.6200,27.8800,25.6200,27.1200,7.7181,1023700
1998-04-02,27.0000,27.0000,26.6200,27.0000,7.6839,234600
1998-04-03,27.0000,27.6200,26.6200,27.0000,7.6839,691400
1998-04-06,27.0000,27.1200,26.3800,26.6200,7.5758,478400
1998-04-07,26.6200,26.6200,25.8800,26.2500,7.4705,427700
1998-04-08,26.1200,26.1200,25.8800,25.8800,7.3652,183200
1998-04-09,25.8800,26.2500,25.8800,26.0000,7.3993,714500
1998-04-13,26.0000,26.0000,25.3800,25.7500,7.3282,643100
1998-04-14,25.7500,25.8800,25.0000,25.1200,7.1489,1304400
1998-04-15,25.1200,25.7500,25.0000,25.3800,7.2229,2363400
1998-04-16,25.3800,25.6200,25.0000,25.3800,7.2229,3189900
1998-04-17,25.3800,25.8800,25.0000,25.7500,7.3282,1004800
1998-04-20,26.2500,26.5000,26.2500,26.3800,7.5075,2022100
1998-04-21,26.6200,27.1200,26.6200,27.1200,7.7181,800600
1998-04-22,27.0000,27.0000,26.2500,26.8800,7.6498,511900
1998-04-23,26.8800,27.1200,26.6200,26.6200,7.5758,460100
1998-04-24,26.6200,26.8800,26.1200,26.2500,7.4705,673500
1998-04-27,26.2500,26.2500,25.2500,25.5000,7.2570,309000
1998-04-28,25.5000,25.8800,25.5000,25.6200,7.2912,368700
1998-04-29,25.6200,26.5000,25.6200,26.2500,7.4705,436700
1998-04-30,26.2500,26.8800,26.2500,26.6200,7.5758,261300
1998-05-01,26.6200,26.7500,26.0000,26.6200,7.5758,392200
1998-05-04,26.8800,27.5000,26.8800,27.1200,7.7181,457000
1998-05-05,27.1200,27.2500,27.0000,27.2500,7.7551,504600
1998-05-06,27.0000,27.0000,26.2500,26.2500,7.4705,208400
1998-05-07,26.1200,26.1200,25.6200,25.6200,7.2912,598600
1998-05-08,25.6200,26.0000,25.5000,25.5000,7.2570,378700
1998-05-11,25.5000,26.0000,25.2500,25.5000,7.2570,291700
1998-05-12,25.5000,25.6200,25.2500,25.5000,7.2570,394500
1998-05-13,25.5000,26.0000,25.5000,26.0000,7.3993,497300
1998-05-14,26.0000,26.1200,25.8800,25.8800,7.3652,307600
1998-05-15,25.8800,26.1200,25.5000,25.5000,7.2570,629300
1998-05-18,25.5000,25.5000,24.5000,24.8800,7.1432,597700
1998-05-19,24.8800,25.0000,24.3800,24.6200,7.0686,803800
1998-05-20,24.6200,25.2500,24.6200,25.1200,7.2121,550100
1998-05-21,25.1200,25.5000,24.7500,25.0000,7.1777,492400
1998-05-22,25.0000,25.1200,24.3800,24.6200,7.0686,230500
1998-05-26,24.7500,25.3800,24.7500,25.1200,7.2121,435500
1998-05-27,25.1200,25.2500,24.8800,25.2500,7.2494,528900
1998-05-28,25.2500,25.6200,25.1200,25.2500,7.2494,203800
1998-05-29,25.2500,25.7500,25.2500,25.3800,7.2868,443900
1998-06-01,25.3800,25.6200,25.2500,25.5000,7.3212,380400
1998-06-02,25.5000,25.6200,25.2500,25.3800,7.2868,347900
1998-06-03,25.3800,25.5000,25.0000,25.1200,7.2121,225200
1998-06-04,25.1200,25.5000,25.0000,25.5000,7.3212,309600
1998-06-05,25.5000,26.2500,25.3800,26.0000,7.4648,298200
1998-06-08,26.0000,26.2500,25.8800,26.0000,7.4648,199500
1998-06-09,26.0000,26.1200,25.6200,26.0000,7.4648,282400
1998-06-10,26.0000,26.2500,25.6200,26.0000,7.4648,551300
1998-06-11,26.0000,26.1200,25.6200,26.0000,7.4648,553100
1998-06-12,26.0000,26.0000,25.6200,25.8800,7.4303,277100
1998-06-15,25.8800,26.2500,25.6200,25.6200,7.3557,865500
1998-06-16,25.8800,26.5000,25.8800,26.2500,7.5365,1019500
1998-06-17,26.2500,26.5000,26.2500,26.5000,7.6083,427600
1998-06-18,26.5000,26.5000,26.1200,26.1200,7.4992,552700
1998-06-19,26.1200,26.1200,25.8800,26.1200,7.4992,504200
1998-06-22,26.1200,26.5000,26.0000,26.2500,7.5365,243900
1998-06-23,26.2500,26.5000,26.1200,26.5000,7.6083,402600
1998-06-24,26.5000,27.0000,26.5000,27.0000,7.7519,310400
1998-06-25,27.0000,27.0000,26.7500,27.0000,7.7519,184800
1998-06-26,27.0000,27.0000,26.5000,26.6200,7.6428,265200
1998-06-29,26.6200,26.8800,26.3800,26.5000,7.6083,293700
1998-06-30,26.5000,27.3800,26.5000,27.0000,7.7519,696000
1998-07-01,25.8800,25.8800,25.5000,25.8800,7.4303,666700
1998-07-02,25.7500,25.7500,25.2500,25.5000,7.3212,615600
1998-07-06,25.5000,25.5000,25.1200,25.1200,7.2121,246000
1998-07-07,25.1200,25.1200,24.7500,24.7500,7.1059,213500
1998-07-08,24.7500,25.2500,24.5000,25.2500,7.2494,289100
1998-07-09,25.2500,25.3800,23.8800,24.1200,6.9250,591200
1998-07-10,24.1200,24.1200,23.6200,23.8800,6.8561,567400
1998-07-13,23.8800,24.0000,23.1200,23.1200,6.6379,494000
1998-07-14,23.1200,23.6200,23.1200,23.6200,6.7815,271400
1998-07-15,23.6200,24.0000,23.6200,23.7500,6.8188,484900
1998-07-16,23.7500,24.0000,23.1200,23.2500,6.6752,319600
1998-07-17,23.2500,23.2500,22.8800,23.1200,6.6379,377200
1998-07-20,23.1200,23.1200,22.8800,23.1200,6.6379,564700
1998-07-21,23.1200,23.8800,22.8800,22.8800,6.5690,645400
1998-07-22,22.8800,22.8800,22.3800,22.5000,6.4599,944000
1998-07-23,22.5000,22.5000,21.3800,21.7500,6.2446,2409100
1998-07-24,21.7500,21.7500,21.2500,21.2500,6.1010,1040600
1998-07-27,21.0000,21.0000,20.3800,20.5000,5.8857,1209800
1998-07-28,20.5000,20.7500,20.3800,20.7500,5.9575,644000
1998-07-29,20.7500,20.8800,20.6200,20.7500,5.9575,404100
1998-07-30,20.7500,20.7500,20.5000,20.7500,5.9575,1063800
1998-07-31,20.6200,20.6200,20.5000,20.6200,5.9201,1018300
1998-08-03,20.6200,20.8800,20.2500,20.7500,5.9575,499300
1998-08-04,20.7500,20.7500,19.2500,19.5000,5.5986,1227000
1998-08-05,19.5000,20.0000,19.3800,20.0000,5.7421,1694600
1998-08-06,19.8800,19.8800,19.6200,19.7500,5.6704,742000
1998-08-07,19.7500,20.0000,19.5000,19.5000,5.5986,879600
1998-08-10,19.5000,19.5000,18.6200,18.8800,5.4206,1260200
1998-08-11,18.8800,19.0000,18.2500,18.8800,5.4206,1036700
1998-08-12,18.8800,20.0000,18.8800,19.7500,5.6704,1136700
1998-08-13,19.7500,20.0000,19.3800,19.5000,5.5986,902100
1998-08-14,19.5000,19.7500,19.3800,19.3800,5.5641,1035400
1998-08-17,19.3800,19.5000,18.8800,19.5000,5.5986,655600
1998-08-18,19.5000,19.5000,19.1200,19.2500,5.5799,583600
1998-08-19,19.2500,19.3800,18.8800,19.0000,5.5074,896900
1998-08-20,19.0000,19.1200,18.6200,18.8800,5.4727,377500
1998-08-21,18.8800,19.5000,18.6200,19.3800,5.6176,506300
1998-08-24,19.3800,19.7500,19.2500,19.5000,5.6524,421700
1998-08-25,19.5000,20.0000,19.5000,19.7500,5.7248,665400
1998-08-26,19.3800,19.3800,19.0000,19.1200,5.5422,913600
1998-08-27,19.0000,19.0000,17.8800,18.5000,5.3625,908300
1998-08-28,18.8800,19.6200,18.8800,18.8800,5.4727,727800
1998-08-31,18.8800,19.2500,17.2500,17.2500,5.0002,574400
1998-09-01,17.3800,18.6200,17.3800,18.5000,5.3625,865700
1998-09-02,18.5000,18.6200,17.8800,18.1200,5.2524,557200
1998-09-03,17.8800,17.8800,17.1200,17.3800,5.0379,630100
1998-09-04,17.3800,17.3800,16.3800,17.0000,4.9277,487100
1998-09-08,17.2500,18.2500,17.2500,18.0000,5.2176,684400
1998-09-09,18.0000,18.5000,18.0000,18.5000,5.3625,671800
1998-09-10,18.1200,18.1200,17.0000,17.0000,4.9277,729200
1998-09-11,17.0000,17.2500,16.5000,17.1200,4.9625,316300
1998-09-14,17.2500,17.6200,17.2500,17.5000,5.0726,494100
1998-09-15,17.7500,19.0000,17.7500,18.8800,5.4727,784500
1998-09-16,18.8800,19.3800,18.5000,18.8800,5.4727,709600
1998-09-17,18.5000,18.5000,18.1200,18.2500,5.2900,460800
1998-09-18,18.5000,19.0000,18.5000,18.8800,5.4727,585600
1998-09-21,18.7500,18.7500,18.3800,18.7500,5.4350,313100
1998-09-22,19.2500,20.1200,19.2500,19.8800,5.7625,506300
1998-09-23,19.8800,20.0000,19.5000,19.8800,5.7625,547600
1998-09-24,19.7500,19.7500,19.3800,19.3800,5.6176,690000
1998-09-25,19.3800,19.6200,19.0000,19.3800,5.6176,878600
1998-09-28,19.3800,19.7500,19.0000,19.1200,5.5422,573100
1998-09-29,19.1200,19.7500,19.1200,19.6200,5.6872,426100
1998-09-30,19.6200,20.3800,19.3800,20.2500,5.8698,742000
1998-10-01,20.2500,20.5000,19.6200,20.0000,5.7973,900900
1998-10-02,20.0000,20.1200,19.5000,19.7500,5.7248,585900
1998-10-05,19.7500,19.7500,18.3800,19.0000,5.5074,588500
1998-10-06,19.0000,19.5000,19.0000,19.1200,5.5422,671500
1998-10-07,19.1200,20.1200,18.8800,19.0000,5.5074,730600
1998-10-08,19.0000,19.0000,18.1200,18.1200,5.2524,642400
1998-10-09,18.1200,18.8800,18.0000,18.8800,5.4727,365700
1998-10-12,19.0000,19.7500,19.0000,19.0000,5.5074,275600
1998-10-13,19.0000,19.0000,17.8800,18.1200,5.2524,430800
1998-10-14,18.1200,18.2500,17.5000,17.5000,5.0726,1362200
1998-10-15,17.5000,18.3800,17.1200,18.2500,5.2900,839200
1998-10-16,18.6200,19.6200,18.6200,19.5000,5.6524,720000
1998-10-19,19.5000,19.6200,19.1200,19.5000,5.6524,536500
1998-10-20,19.5000,19.7500,19.0000,19.1200,5.5422,524100
1998-10-21,19.1200,19.5000,19.0000,19.2500,5.5799,310200
1998-10-22,19.2500,19.7500,18.3800,19.5000,5.6524,561800
1998-10-23,19.5000,19.6200,19.0000,19.0000,5.5074,315100
1998-10-26,19.0000,20.0000,18.8800,19.8800,5.7625,465400
1998-10-27,19.8800,20.1200,19.5000,19.6200,5.6872,390100
1998-10-28,19.7500,20.6200,19.7500,20.3800,5.9075,651100
1998-10-29,20.3800,21.0000,20.3800,20.7500,6.0147,349100
1998-10-30,20.7500,21.2500,20.7500,21.2500,6.1596,443900
1998-11-02,21.2500,21.6200,21.2500,21.6200,6.2669,296800
1998-11-03,21.6200,21.6200,21.1200,21.2500,6.1596,301900
1998-11-04,21.5000,21.7500,21.5000,21.6200,6.2669,313200
1998-11-05,21.6200,21.7500,21.3800,21.5000,6.2321,570700
1998-11-06,21.5000,22.2500,21.3800,22.2500,6.4495,824900
1998-11-09,22.2500,22.2500,21.6200,21.8800,6.3423,471400
1998-11-10,21.8800,22.1200,21.6200,22.1200,6.4118,462100
1998-11-11,22.1200,22.2500,21.5000,22.0000,6.3770,698500
1998-11-12,22.0000,22.1200,21.6200,22.1200,6.4118,462100
1998-11-13,21.7500,21.7500,21.5000,21.7500,6.3046,346000
1998-11-16,21.7500,22.0000,21.5000,21.5000,6.2321,658500
1998-11-17,21.5000,22.0000,21.5000,21.8800,6.3423,367100
