,open,high,low,close,adj_close,volume
2001-06-13,31.5000,32.0000,31.0900,31.2500,13.0429,69567200
2001-06-14,30.5000,31.0000,29.5000,30.1500,12.5838,31979800
2001-06-15,30.0000,30.7500,29.9500,30.6000,12.7716,14369300
2001-06-18,30.5000,30.6000,30.0600,30.3200,12.6548,4019800
2001-06-19,30.6000,30.7100,30.2100,30.4000,12.6881,5690300
2001-06-20,30.4000,30.5900,30.1800,30.3000,12.6464,3791600
2001-06-21,30.3500,30.3500,30.0000,30.0000,12.5212,6027200
2001-06-22,30.0000,30.0200,29.7600,30.0000,12.5212,4847700
2001-06-25,30.0000,30.1500,29.8500,30.1500,12.5838,2420300
2001-06-26,30.0000,30.0800,29.8100,30.0400,12.5379,3333300
2001-06-27,29.9500,30.0000,29.8100,29.9400,12.4962,3182300
2001-06-28,29.9800,30.4400,29.9700,30.4100,12.6923,2778100
2001-06-29,30.5000,31.0000,30.3300,31.0000,12.9386,5777800
2001-07-02,30.7000,30.7000,30.4200,30.4700,12.7174,3167600
2001-07-03,30.4600,30.6400,30.4200,30.5600,12.7549,608700
2001-07-05,30.7500,31.0300,30.6300,30.9300,12.9094,2085500
2001-07-06,30.9800,30.9800,30.5000,30.6500,12.7925,945300
2001-07-09,30.6000,30.7400,30.2500,30.3800,12.6798,2295300
2001-07-10,30.4500,30.8500,30.2800,30.3500,12.6673,3301300
2001-07-11,30.3600,30.3600,30.0000,30.3000,12.6464,2023000
2001-07-12,30.6500,30.9000,30.2000,30.9000,12.8968,1912500
2001-07-13,30.9000,30.9800,30.4600,30.7300,12.8259,995400
2001-07-16,30.7300,31.0100,30.6500,30.7100,12.8175,1198100
2001-07-17,30.8900,31.4500,30.8500,31.4500,13.1264,3792700
2001-07-18,31.4500,31.5000,30.8000,31.4900,13.1431,5645100
2001-07-19,31.7400,31.7400,30.1900,31.3200,13.0721,3326000
2001-07-20,31.2500,31.3400,31.0100,31.2000,13.0220,1390900
2001-07-23,31.1000,31.1900,30.9200,31.0000,12.9386,1756000
2001-07-24,31.1800,31.1900,30.9000,31.0700,12.9678,1146500
2001-07-25,31.0000,31.0000,30.5100,30.7000,12.8134,860600
2001-07-26,30.9500,31.1900,30.6200,31.1200,12.9887,1901900
2001-07-27,31.2000,31.2000,30.8100,30.9100,12.9010,1541800
2001-07-30,31.0900,31.1000,30.5000,30.6000,12.7716,1233900
2001-07-31,30.5000,31.1600,30.5000,30.9500,12.9177,2020200
2001-08-01,30.9000,31.0100,30.5800,30.7800,12.8468,2302200
2001-08-02,30.7000,31.1700,30.6500,30.9500,12.9177,2700000
2001-08-03,30.8600,30.9800,30.5000,30.7000,12.8134,456800
2001-08-06,30.7100,30.8400,30.2500,30.3500,12.6673,847600
2001-08-07,30.4500,30.5400,30.2800,30.5000,12.7299,991400
2001-08-08,30.7000,30.7000,30.0000,30.0100,12.5254,1517200
2001-08-09,30.0500,30.3700,30.0000,30.3700,12.6756,752900
2001-08-10,30.2500,31.1200,30.1500,30.8000,12.8551,1119700
2001-08-13,30.9600,31.1900,30.9200,31.1000,12.9803,1749200
2001-08-14,31.2000,31.2500,31.0000,31.1000,12.9803,1365300
