,open,high,low,close,adj_close,volume
1998-01-02,53.0000,53.0000,49.4400,50.0600,18.4874,1567000
1998-01-05,50.5600,51.3100,50.2500,51.2500,18.9268,1784900
1998-01-06,50.3800,50.7500,49.5600,50.0600,18.4874,1462600
1998-01-07,49.7500,49.8100,48.5600,49.6300,18.3489,1538800
1998-01-08,49.3800,49.4400,48.2500,48.9400,18.0938,1593300
1998-01-09,48.5000,48.5600,46.8800,47.5600,17.5836,1582600
1998-01-12,46.6300,47.5600,46.0000,46.6900,17.2619,2005200
1998-01-13,46.7500,47.1900,45.6300,46.3100,17.1214,2350700
1998-01-14,46.3800,47.0000,45.5000,46.9400,17.3544,1931500
1998-01-15,46.6900,46.9400,45.4400,45.6300,16.8700,1162100
1998-01-16,45.8800,48.2500,45.8800,47.5600,17.5836,2693400
1998-01-20,48.0000,49.4400,47.6300,49.2500,18.2084,1549400
1998-01-21,48.5000,48.8800,47.8800,48.3100,17.8609,734900
1998-01-22,47.9400,48.6300,47.6900,48.6300,17.9792,806800
1998-01-23,48.6300,49.1300,47.7500,47.9400,17.7241,1879100
1998-01-26,47.8800,48.0000,47.4400,47.6300,17.6095,1097300
1998-01-27,47.5000,48.1300,47.0000,47.9400,17.7241,1403400
1998-01-28,48.0000,50.3800,48.0000,50.1900,18.5559,2469400
1998-01-29,50.0000,51.8800,49.9400,50.6900,18.7408,1787100
1998-01-30,50.8800,51.4400,50.7500,51.0600,18.8776,1023400
1998-02-02,52.5000,53.0000,51.5000,52.7500,19.5024,1871800
1998-02-03,52.7500,54.8800,52.1900,53.8100,19.8943,2533500
1998-02-04,53.6900,54.2500,53.0600,53.8800,19.9202,910400
1998-02-05,53.9400,54.3800,53.0600,53.8100,19.8943,1578400
1998-02-06,54.0600,54.8100,53.8100,53.8800,19.9202,938300
1998-02-09,53.8800,53.8800,53.0000,53.3100,19.7094,1198300
1998-02-10,52.6300,54.9400,52.5600,54.5000,20.1494,1865500
1998-02-11,54.7500,57.6900,54.7500,57.6900,21.3288,1705900
1998-02-12,57.5600,58.8800,56.1300,57.7500,21.3510,1431200
1998-02-13,57.0000,57.5000,56.3100,56.5000,20.8888,845100
1998-02-17,56.3800,57.1300,56.2500,57.0000,21.0737,1202200
1998-02-18,56.2500,57.0000,55.5600,56.0000,20.7040,1968400
1998-02-19,53.2500,54.0600,52.0000,52.2500,19.3175,8626400
1998-02-20,52.8800,53.3100,52.3800,53.1300,19.6429,3720000
1998-02-23,53.8800,54.2500,53.3800,53.6300,19.8277,2102700
1998-02-24,53.3800,53.6300,52.8100,53.1900,19.6651,1518300
1998-02-25,53.4400,53.9400,52.3800,53.5000,19.7797,1550600
1998-02-26,52.9400,52.9400,51.6900,52.5000,19.4100,2126800
1998-02-27,52.5000,53.4400,52.3800,53.1300,19.6429,1476300
1998-03-02,53.4400,53.5600,52.5600,52.8800,19.5504,1306100
1998-03-03,52.7500,53.1900,52.0600,52.9400,19.5726,945800
1998-03-04,53.0600,53.0600,51.1300,51.5600,19.0624,1419500
1998-03-05,51.5000,52.0000,50.1900,51.4400,19.0181,1337300
1998-03-06,51.3800,52.8800,51.3800,52.0000,19.2251,1449200
1998-03-09,51.7500,52.1900,51.0000,51.0000,18.8554,1275100
1998-03-10,51.2500,52.6900,51.0600,52.5000,19.4100,1310800
1998-03-11,52.8100,53.1300,52.2500,52.4400,19.3878,1063500
1998-03-12,52.7500,53.1900,51.7500,51.9400,19.2029,828200
1998-03-13,52.1900,52.4400,52.0000,52.1300,19.2732,1198400
1998-03-16,52.1900,52.9400,52.0600,52.7500,19.5024,1974600
1998-03-17,52.7500,52.7500,51.7500,52.3800,19.3656,1264900
1998-03-18,51.7500,53.1900,51.7500,53.1900,19.6651,1514700
1998-03-19,53.1900,54.6900,53.0000,54.5600,20.1716,1719200
1998-03-20,54.8100,55.1900,54.5000,54.8800,20.2899,1771600
1998-03-23,54.5000,54.5600,53.8800,53.8800,19.9202,1143200
1998-03-24,54.1300,54.8100,54.0600,54.6900,20.2196,1173600
1998-03-25,54.9400,55.1900,54.2500,54.6300,20.1974,1316600
1998-03-26,54.3800,54.5000,53.2500,53.3100,19.7094,1126300
1998-03-27,53.5000,53.6300,52.2500,52.6300,19.4580,1490500
1998-03-30,52.8100,53.1900,52.5000,53.1900,19.6651,1031000
1998-03-31,53.0000,53.0000,51.0000,51.8800,19.1807,3998900
1998-04-01,52.3100,53.3800,51.8800,53.1300,19.6429,1806100
1998-04-02,53.1300,53.5600,52.6300,53.5000,19.7797,1467100
1998-04-03,54.0000,54.8800,53.6300,54.7500,20.2418,2180900
1998-04-06,54.5600,55.6900,54.1300,55.1300,20.3823,1682100
1998-04-07,55.1900,55.3100,54.1900,54.5600,20.1919,1797100
1998-04-08,54.6900,54.6900,53.4400,53.5000,19.7996,1065500
1998-04-09,53.7500,54.1900,53.3800,53.9400,19.9624,855900
1998-04-13,53.5000,53.7500,52.8800,53.5000,19.7996,861800
1998-04-14,53.0000,53.1900,52.5000,52.5000,19.4295,877800
1998-04-15,52.5000,52.5600,51.6900,52.1300,19.2926,1033000
1998-04-16,51.3100,51.6300,49.6300,50.5000,18.6894,2687300
1998-04-17,50.6300,52.0000,50.0000,51.3800,19.0150,2245700
1998-04-20,52.3800,53.0000,52.0000,52.0000,19.2445,2155700
1998-04-21,52.0600,53.0600,51.9400,52.2500,19.3370,2998300
1998-04-22,52.3100,52.5000,51.9400,52.3800,19.3851,1310600
1998-04-23,52.2500,52.3800,51.6900,51.7500,19.1520,964200
1998-04-24,51.7500,51.8800,50.3800,50.8100,18.8041,957000
1998-04-27,50.5000,50.6900,48.9400,50.0600,18.5265,2016100
1998-04-28,50.1300,50.7500,49.6300,49.7500,18.4118,1432300
1998-04-29,51.0000,52.7500,50.3100,52.3800,19.3851,1955400
1998-04-30,52.5000,53.1300,51.8100,53.0000,19.6146,1565000
1998-05-01,53.0000,53.0600,51.5000,52.7500,19.5220,861300
1998-05-04,52.7500,52.7500,51.3100,51.6300,19.1075,1160200
1998-05-05,51.5000,51.5000,50.1300,50.6300,18.7375,1225300
1998-05-06,50.6900,50.8800,49.7500,50.3800,18.6449,2023300
1998-05-07,50.8800,51.0600,49.1300,49.3800,18.2749,2337500
1998-05-08,49.5000,49.7500,48.6300,48.8800,18.0898,2472300
1998-05-11,49.2500,50.3100,47.9400,49.3100,18.2489,2698600
1998-05-12,49.4400,50.8800,49.1300,50.6300,18.7375,3017000
1998-05-13,50.9400,51.5000,50.5000,50.9400,18.8522,1482200
1998-05-14,50.6300,52.5000,50.5000,52.3800,19.3851,1578500
1998-05-15,52.6300,52.9400,51.5600,52.0600,19.2667,1259800
1998-05-18,51.7500,51.7500,50.5000,50.8100,18.8041,970000
1998-05-19,51.8800,52.5000,51.3100,51.8800,19.2001,1005900
1998-05-20,51.8800,52.9400,51.4400,51.6900,19.1298,902800
1998-05-21,52.0000,52.1900,50.8800,51.0000,18.8744,867800
1998-05-22,51.0000,51.7500,50.6900,51.5000,19.0594,604700
1998-05-26,51.8800,52.3100,50.7500,51.0000,18.8744,888900
1998-05-27,51.8800,54.9400,51.7500,53.9400,19.9624,3502700
1998-05-28,54.3800,54.8800,53.8800,54.8800,20.3103,2190700
1998-05-29,54.6900,56.1300,54.6300,55.6300,20.5879,1765400
1998-06-01,55.3800,56.0000,54.6300,54.6300,20.2178,1265000
1998-06-02,54.6300,54.9400,53.6900,54.0600,20.0069,778200
1998-06-03,55.1300,56.5000,55.0600,55.5600,20.5620,1272000
1998-06-04,55.3100,55.5600,54.2500,55.2500,20.4473,1019500
1998-06-05,55.9400,58.6300,55.6900,58.2500,21.5575,2056700
1998-06-08,58.3100,59.6900,58.0600,58.5000,21.6500,1412700
1998-06-09,58.7500,58.8100,57.6300,57.6900,21.3503,828600
1998-06-10,57.1900,60.0600,57.0000,59.6200,22.0645,1409400
1998-06-11,58.8800,58.8800,57.5000,57.6300,21.3281,1009900
1998-06-12,57.6300,58.1300,56.1300,57.1900,21.1652,801100
1998-06-15,55.8800,56.7500,55.8800,56.2500,20.8173,974700
1998-06-16,56.2500,57.0000,55.6300,56.4400,20.8877,1090200
1998-06-17,57.0000,60.1300,57.0000,59.6900,22.0904,1710500
1998-06-18,59.5000,60.1300,59.1900,60.0600,22.2274,1147500
1998-06-19,60.1300,61.0000,57.7500,58.6300,21.6982,2136500
1998-06-22,58.7500,60.7500,58.7500,59.5000,22.0201,841000
1998-06-23,59.5600,60.4400,58.8800,60.0600,22.2274,702000
1998-06-24,60.5000,63.5600,60.3800,63.3100,23.4302,1402200
1998-06-25,63.0000,63.7500,61.6300,61.8800,22.9009,1445300
1998-06-26,61.7500,63.1900,61.7500,62.9400,23.2932,731200
