,open,high,low,close,adj_close,volume
2000-04-05,14.5000,15.7500,14.3100,15.5000,8.5174,68703000
2000-04-06,15.3800,15.8800,15.2500,15.5600,8.5503,15301000
2000-04-07,15.3800,15.5600,15.1300,15.3100,8.4130,13486200
2000-04-10,15.4400,15.5000,15.2500,15.3100,8.4130,5637200
2000-04-11,15.3100,15.3800,15.0600,15.1300,8.3141,5425900
2000-04-12,15.2500,16.7500,15.1300,16.1900,8.8965,10846600
2000-04-13,16.2500,17.2500,15.9400,17.0000,9.3416,10626100
2000-04-14,16.9400,17.0000,15.8100,15.8800,8.7262,9500300
2000-04-17,16.0000,16.4400,16.0000,16.1300,8.8636,3522200
2000-04-18,16.1900,16.3100,15.5000,16.1300,8.8636,5422400
2000-04-19,16.1900,16.1900,15.7500,16.0000,8.7921,5348800
2000-04-20,15.7500,15.9400,15.3800,15.5000,8.5174,6912000
2000-04-24,15.5000,16.0000,15.4400,15.9400,8.7592,3114800
2000-04-25,15.9400,16.1900,15.8800,16.0000,8.7921,7407400
2000-04-26,15.9400,16.0600,15.8800,16.0600,8.8251,5941700
2000-04-27,15.9400,16.0000,15.5000,15.9400,8.7592,2484900
2000-04-28,15.9400,16.8800,15.3800,16.5600,9.0999,6218800
2000-05-01,17.1300,18.0000,16.8800,18.0000,9.8911,5887100
2000-05-02,17.6300,17.9400,17.3800,17.8100,9.7867,3132600
2000-05-03,17.7500,17.8100,17.2500,17.5000,9.6164,1981800
2000-05-04,17.3800,17.5000,16.1900,17.5000,9.6164,3429800
2000-05-05,17.2500,17.8100,17.0600,17.5600,9.6494,1821500
2000-05-08,17.8800,18.5600,17.8100,18.0000,9.8911,2897500
2000-05-09,18.1900,18.3800,16.7500,17.1900,9.4460,4234300
2000-05-10,17.0000,17.8100,17.0000,17.5600,9.6494,3283500
2000-05-11,17.6300,18.3100,17.3800,18.0000,9.8911,2997400
2000-05-12,18.1300,18.5600,18.0600,18.4400,10.1329,1927200
2000-05-15,19.0000,19.2500,18.6300,18.9400,10.4077,2696800
2000-05-16,19.0000,19.5600,18.8100,19.0600,10.4736,4982700
2000-05-17,19.0600,19.6900,18.3800,19.0600,10.4736,1577200
2000-05-18,19.0000,19.1300,18.6900,18.9400,10.4077,2858600
2000-05-19,18.5000,19.1300,17.9400,18.1900,9.9956,3832600
2000-05-22,18.2500,19.1300,17.3800,18.2500,10.0285,1712700
2000-05-23,18.2500,19.0000,18.2500,18.8800,10.3747,2093900
2000-05-24,18.8800,19.5000,18.6300,19.3800,10.6495,1573100
2000-05-25,19.3100,19.3800,18.7500,19.1900,10.5451,1732700
2000-05-26,19.1300,19.8100,18.9400,19.7500,10.8528,2644600
2000-05-30,19.9400,20.1300,19.5000,19.8800,10.9242,3229000
2000-05-31,19.8800,20.5000,19.3800,20.5000,11.2649,3549600
2000-06-01,20.4400,20.5000,19.9400,20.0000,10.9902,2878400
