,open,high,low,close,adj_close,volume
1998-01-02,36.5600,37.2500,36.2500,37.0000,27.5510,30900
1998-01-05,37.0000,37.3800,36.4400,37.1300,27.6478,128300
1998-01-06,37.0000,37.2500,36.7500,37.2500,27.7371,94700
1998-01-07,37.1900,37.3100,37.0000,37.0600,27.5957,60400
1998-01-08,37.1300,37.7500,37.1300,37.3100,27.7818,259700
1998-01-09,37.5000,37.5000,36.2500,36.3100,27.0372,119900
1998-01-12,36.1300,36.5000,35.8800,36.3100,27.0372,89400
1998-01-13,36.3100,37.0600,36.3100,36.8800,27.4616,68900
1998-01-14,37.0600,37.0600,36.6300,36.6300,27.2755,54200
1998-01-15,36.6300,36.6300,36.2500,36.2500,26.9925,45900
1998-01-16,36.3800,37.1300,36.3800,36.5000,27.1787,59200
1998-01-20,36.6300,36.6300,36.3100,36.5000,27.1787,291600
1998-01-21,36.6300,36.7500,35.8800,36.0000,26.8064,405000
1998-01-22,35.8800,36.6300,35.8100,36.1900,26.9478,141400
1998-01-23,36.4400,36.7500,36.3100,36.3100,27.0372,88700
1998-01-26,36.3100,36.8100,36.2500,36.3100,27.0372,159300
1998-01-27,36.1900,36.5600,36.1300,36.2500,26.9925,44500
1998-01-28,36.3800,37.1300,36.3800,37.0000,27.5510,555800
1998-01-29,37.0000,38.4400,37.0000,37.8100,28.1541,205700
1998-01-30,37.9400,38.5000,37.9400,38.0000,28.2956,156200
1998-02-02,38.2500,38.8800,38.2500,38.8800,28.9509,255100
1998-02-03,38.9400,38.9400,38.0000,38.0000,28.2956,175400
1998-02-04,38.0000,38.0000,36.3800,37.8100,28.1541,172700
1998-02-05,37.9400,38.0000,37.6900,38.0000,28.2956,112700
1998-02-06,38.0000,38.7500,38.0000,38.3100,28.5264,203500
1998-02-09,38.3800,38.9400,38.3800,38.7500,28.8541,86200
1998-02-10,38.8100,39.4400,38.8100,39.1300,29.1370,41100
1998-02-11,39.2500,39.3100,38.7500,39.0000,29.0402,63100
1998-02-12,39.0000,39.1300,38.3800,38.5000,28.6679,53500
1998-02-13,38.5000,38.8800,38.2500,38.3800,28.5786,36700
1998-02-17,38.3800,38.3800,37.5000,37.5000,27.9233,182900
1998-02-18,37.5000,37.9400,37.4400,37.8100,28.1541,269500
1998-02-19,37.9400,38.0000,37.4400,37.8100,28.1541,221600
1998-02-20,37.8100,37.8100,37.2500,37.5600,27.9680,54000
1998-02-23,37.6300,37.6300,37.1900,37.3100,27.7818,41000
1998-02-24,37.4400,37.5000,37.0600,37.2500,27.7371,56200
1998-02-25,37.1300,37.3800,36.8800,37.3800,27.9233,568100
1998-02-26,37.4400,38.1900,37.3100,38.1300,28.4836,354300
1998-02-27,38.1900,38.3800,38.0000,38.0600,28.4313,128000
1998-03-02,38.1300,38.5000,38.0000,38.1900,28.5284,367900
1998-03-03,38.1300,38.5000,38.0600,38.1300,28.4836,52500
1998-03-04,38.1300,38.1300,37.5000,37.8100,28.2445,461300
1998-03-05,37.8800,39.1300,37.8800,38.6300,28.8571,144900
1998-03-06,39.3800,40.1300,39.1300,39.6300,29.6041,87300
1998-03-09,39.5000,40.0000,39.5000,39.8800,29.7908,69700
1998-03-10,39.8100,41.5000,39.8100,40.9400,30.5827,235300
1998-03-11,41.1900,43.7500,41.1900,43.1300,32.2186,335600
1998-03-12,43.1300,43.1900,42.6900,43.0000,32.1215,123100
1998-03-13,43.2500,44.0000,43.2500,43.6300,32.5921,104000
1998-03-16,43.6900,44.9400,43.6900,44.5600,33.2868,174200
