,open,high,low,close,adj_close,volume
1998-01-02,74.5000,74.6300,74.0600,74.5600,14.6346,178267
1998-01-05,74.6900,75.8800,74.5600,75.0600,14.7328,256267
1998-01-06,74.8800,76.6900,74.5000,76.3800,14.9918,433467
1998-01-07,75.7500,75.7500,73.9400,74.5000,14.7210,172067
1998-01-08,74.6900,74.9400,73.2500,73.3800,14.4997,179800
1998-01-09,73.0000,73.0000,70.5000,70.9400,14.0175,280467
1998-01-12,70.0000,71.9400,69.5600,71.8100,14.1894,316667
1998-01-13,72.5000,72.9400,72.0000,72.3800,14.3021,174600
1998-01-14,72.7500,73.1300,72.6300,72.9400,14.4127,209200
1998-01-15,72.9400,72.9400,71.0000,71.6900,14.1657,156467
1998-01-16,72.5000,73.3100,72.3800,73.2500,14.4740,244400
1998-01-20,73.0600,74.8800,72.7500,74.8100,14.7822,206267
1998-01-21,74.4400,74.9400,72.6900,73.6300,14.5491,222667
1998-01-22,73.2500,73.2500,72.3800,72.5600,14.3376,104867
1998-01-23,72.5000,72.5000,71.0600,72.3800,14.3021,193800
1998-01-26,72.3100,72.7500,71.1900,71.9400,14.2151,279067
1998-01-27,72.3100,72.8800,72.0000,72.3800,14.3021,457667
1998-01-28,72.4400,73.5000,72.4400,72.8100,14.3870,451867
1998-01-29,72.8100,74.9400,72.7500,74.4400,14.7091,302800
1998-01-30,74.5000,74.7500,73.8800,73.8800,14.5985,206600
1998-02-02,73.8800,75.9400,73.6300,75.2500,14.8692,449067
1998-02-03,75.0000,75.3100,74.8100,75.3100,14.8810,165000
1998-02-04,74.7500,75.3800,74.7500,75.3100,14.8810,264467
1998-02-05,75.0600,75.7500,74.4400,75.0600,14.8316,155800
1998-02-06,75.2500,75.5000,74.8800,75.1300,14.8455,126067
1998-02-09,75.0600,75.6900,74.9400,75.4400,14.9067,168000
1998-02-10,75.5600,77.0600,75.5600,75.7500,14.9680,342400
1998-02-11,75.5600,79.0000,75.2500,79.0000,15.6102,799267
1998-02-12,78.7500,81.0000,78.7500,80.8800,15.9816,730667
1998-02-13,80.2500,80.5600,78.8100,79.7500,15.7584,327467
1998-02-17,80.5000,81.7500,80.0000,81.1900,16.0429,435867
1998-02-18,81.0000,83.1300,80.9400,82.3100,16.2642,344067
1998-02-19,82.1300,83.3800,81.8800,83.2500,16.4500,495600
1998-02-20,83.4400,84.6900,82.6900,84.6900,16.7345,464267
1998-02-23,84.6900,86.5000,84.0000,85.8800,16.9696,519267
1998-02-24,85.8800,86.2500,84.8800,84.9400,16.7839,562600
1998-02-25,85.0000,85.4400,84.9700,85.2500,16.8451,318200
1998-02-26,85.0000,86.9400,84.6900,86.3100,17.0546,303200
1998-02-27,85.8800,87.5000,85.8800,86.6900,17.1297,339400
1998-03-02,86.5600,87.2500,85.8800,86.3100,17.0546,215600
1998-03-03,86.0600,87.1300,86.0600,86.6900,17.1297,183667
1998-03-04,86.5600,86.6300,85.7500,85.8100,16.9558,229000
1998-03-05,85.3800,85.4400,83.2500,84.3800,16.6732,402200
1998-03-06,84.0000,87.3800,84.0000,86.4400,17.0803,275000
1998-03-09,86.5000,88.5000,86.5000,87.5600,17.3016,385200
1998-03-10,87.6300,88.8800,87.2500,88.8800,17.5624,398867
1998-03-11,88.8100,90.3100,88.7500,90.3100,17.8450,356867
1998-03-12,89.9400,92.5000,89.2500,91.4400,18.0683,420000
1998-03-13,91.0600,92.2500,90.7500,91.2500,18.0307,288867
1998-03-16,91.0000,92.1300,90.8100,91.9400,18.1671,253600
1998-03-17,91.0000,91.2500,89.9400,90.6900,17.9201,385867
1998-03-18,90.0000,90.9400,89.8100,90.2500,17.8331,182667
1998-03-19,90.7500,91.4400,90.6300,90.9400,17.9695,306600
1998-03-20,91.1900,91.1900,89.8800,90.7500,17.9319,329000
1998-03-23,90.8800,91.2500,89.0000,89.0000,17.5861,268267
1998-03-24,89.0000,89.7500,88.3800,89.3100,17.6474,479867
1998-03-25,90.0000,90.9400,89.2500,89.5600,17.6968,292267
1998-03-26,89.3800,89.3800,87.9400,87.9400,17.3767,327800
1998-03-27,87.9400,88.2500,85.9400,87.5600,17.3016,756067
1998-03-30,87.0000,87.0000,85.8800,86.2500,17.0427,1020067
1998-03-31,86.1300,88.5000,86.1300,87.3100,17.2522,623267
1998-04-01,87.5600,88.0000,87.1300,87.4400,17.2779,291800
1998-04-02,87.6300,88.4400,87.2500,88.3100,17.4498,418200
1998-04-03,88.5000,90.7500,88.5000,90.6300,17.9082,635267
1998-04-06,90.3800,91.6300,90.3800,91.1300,18.0070,422867
1998-04-07,90.5000,91.3800,88.3800,88.8100,17.6474,423000
1998-04-08,89.2500,90.2500,87.9400,88.5000,17.5858,270800
1998-04-09,88.4400,89.9400,88.2500,89.3100,17.7467,321400
1998-04-13,89.5600,90.2500,89.0600,90.0000,17.8839,295000
1998-04-14,90.0600,91.1300,90.0600,91.1300,18.1084,313600
1998-04-15,91.1300,92.1300,90.3100,91.8800,18.2574,353600
1998-04-16,91.7500,92.0600,91.0000,91.5600,18.1938,333867
1998-04-17,91.5600,93.0000,91.5000,92.5600,18.3926,352067
1998-04-20,92.5600,93.6300,92.5600,93.4400,18.5674,321267
1998-04-21,93.4400,94.4400,92.7500,93.9400,18.6668,456200
1998-04-22,94.0000,94.8800,93.3800,93.5000,18.5793,335267
1998-04-23,93.2500,93.4400,91.5600,91.8800,18.2574,312267
1998-04-24,91.2500,91.8800,89.7500,90.1300,17.9097,259600
1998-04-27,89.6300,89.6300,87.0000,87.5000,17.3871,340267
1998-04-28,87.9400,89.1300,87.3800,87.8100,17.4487,253267
1998-04-29,87.7500,89.1300,86.6300,88.5600,17.5977,293000
1998-04-30,88.8800,93.1300,88.8100,91.1300,18.1084,428400
1998-05-01,91.0000,91.8100,90.8800,91.8100,18.2435,187800
1998-05-04,91.7500,91.9400,89.7500,90.0600,17.8958,421867
1998-05-05,89.0000,90.5000,88.7500,90.4400,17.9713,257600
1998-05-06,90.8800,90.8800,87.8800,88.3800,17.5619,345267
1998-05-07,88.5600,88.5600,86.5600,87.0000,17.2877,332467
1998-05-08,86.7500,87.7500,86.7500,87.5600,17.3990,495200
1998-05-11,87.8100,88.6900,87.3800,87.8800,17.4626,164600
1998-05-12,87.5000,88.5000,86.6300,88.5000,17.5858,427400
1998-05-13,88.2500,89.0000,88.1900,88.5000,17.5858,161600
1998-05-14,88.2500,88.3800,86.7500,87.3100,17.3493,128467
1998-05-15,86.8800,88.2400,86.2500,88.0000,17.4864,280000
1998-05-18,88.0000,88.2500,85.8800,86.6900,17.2261,185067
1998-05-19,86.9400,87.7500,85.5600,87.4400,17.3752,309667
1998-05-20,87.6900,91.1300,87.3100,91.1300,18.1084,623267
1998-05-21,90.7500,90.8800,89.0000,90.6900,18.0210,414067
1998-05-22,90.6900,90.7500,88.3100,88.3100,17.5480,179200
1998-05-26,88.5000,89.3800,87.7500,87.8100,17.4487,193467
1998-05-27,86.5000,87.0600,85.2500,85.8100,17.0513,386467
1998-05-28,86.0000,87.5000,84.5000,86.8800,17.2639,239400
1998-05-29,88.5000,89.5000,87.5600,87.5600,17.3990,261867
1998-06-01,87.8100,89.2500,87.3100,88.0000,17.4864,192667
1998-06-02,88.6300,88.7500,85.8800,86.1900,17.1268,410267
1998-06-03,86.0600,86.3100,84.8100,84.9400,16.8784,347800
1998-06-04,84.9400,87.1300,84.3800,86.6300,17.2142,266467
1998-06-05,87.2500,88.2500,86.3800,88.1300,17.5123,186000
1998-06-08,87.8800,89.1900,87.5000,88.6300,17.6116,191000
