,open,high,low,close,adj_close,volume
1998-01-02,82.1900,83.6300,81.7500,83.5000,24.7637,1286500
1998-01-05,83.0000,85.2500,82.6900,83.3800,24.7281,1252800
1998-01-06,83.2500,85.7500,83.0000,83.6300,24.8023,1810100
1998-01-07,83.8100,84.6300,82.7500,84.3100,25.0040,1247400
1998-01-08,84.0000,84.0000,82.2500,83.3100,24.7074,975700
1998-01-09,83.3800,83.6300,82.0000,82.6300,24.5057,3991500
1998-01-12,81.0000,84.0600,81.0000,82.8100,24.5591,1268700
1998-01-13,83.0000,84.1300,82.6900,84.1300,24.9506,820000
1998-01-14,83.7500,84.2500,82.9400,84.0600,24.9298,907400
1998-01-15,83.8100,83.8800,82.3800,82.5000,24.4672,655000
1998-01-16,82.7500,83.9400,82.5000,83.2500,24.8527,1263500
1998-01-20,83.2500,83.5000,82.9400,83.2500,24.8527,1040800
1998-01-21,83.0000,83.1300,81.5600,82.3800,24.5930,1114900
1998-01-22,81.7500,81.9400,80.0600,80.7500,24.1064,956900
1998-01-23,80.7500,82.3800,80.6900,81.5600,24.3482,1004900
1998-01-26,82.0000,82.1900,80.5600,82.0000,24.4795,831900
1998-01-27,82.0000,82.0600,80.5600,80.5600,24.0497,1174700
1998-01-28,80.7500,84.5000,80.7500,84.5000,25.2259,1719300
1998-01-29,84.5000,85.7500,83.8800,85.3100,25.4677,1310800
1998-01-30,84.5000,85.9400,83.3100,83.5000,24.9273,1544900
1998-02-02,84.3800,87.4400,84.3800,86.8800,25.9364,1423500
1998-02-03,86.6300,88.7500,86.5000,88.3800,26.3842,1279200
1998-02-04,88.3800,88.3800,86.8800,87.8100,26.2140,746000
1998-02-05,88.0600,88.2500,86.6300,87.5000,26.1215,770200
1998-02-06,88.0000,88.7500,87.1300,87.5600,26.1394,752100
1998-02-09,87.6900,87.6900,87.0000,87.1300,26.0110,638200
1998-02-10,87.2500,87.8100,85.9400,86.0000,25.6737,1256800
1998-02-11,86.3100,88.2500,86.3100,87.8800,26.2349,686700
1998-02-12,88.2500,89.3800,87.3800,88.6900,26.4767,1037800
1998-02-13,87.5000,88.1300,86.8100,88.0000,26.2707,960300
1998-02-17,88.2500,89.1900,87.6300,88.1300,26.3095,704900
1998-02-18,87.3800,88.4400,87.1900,87.8800,26.3991,802600
1998-02-19,87.2500,87.8800,87.1300,87.5000,26.2849,656400
1998-02-20,88.1300,88.1300,86.6300,87.9400,26.4171,786700
1998-02-23,88.1900,88.3100,85.5600,86.0000,25.8343,803200
