,open,high,low,close,adj_close,volume
2011-06-23,38.0000,39.0000,36.5000,39.0000,16.0011,2548771
2011-06-24,38.7500,39.1500,36.8400,37.2500,15.2831,837700
2011-06-27,36.6900,37.9500,36.5900,37.6500,15.4472,447600
2011-06-28,38.3400,39.9900,37.7000,38.7000,15.8780,2075900
2011-06-29,39.0000,40.9700,38.7000,40.0700,16.4401,1847600
2011-06-30,40.6700,42.0000,40.1750,41.4000,16.9858,1512800
2011-07-01,41.2000,47.4300,41.0000,42.2000,17.3140,4167100
2011-07-05,42.2100,43.0000,41.6500,42.2100,17.3181,5911500
2011-07-06,41.6000,42.2500,41.0100,41.8900,17.1868,5491500
2011-07-07,42.1900,43.2600,41.7050,41.7800,17.1417,8353800
2011-07-08,40.8000,42.6000,40.5200,41.4100,16.9899,8208500
2011-07-11,40.7900,40.7900,39.5100,40.1000,16.4524,4747600
2011-07-12,39.8600,40.9900,39.4400,40.4800,16.6083,4005600
2011-07-13,40.5200,41.2400,39.2400,39.9600,16.3949,5821400
2011-07-14,39.9700,40.0200,38.2100,38.6400,15.8534,5764200
2011-07-15,39.0000,39.4700,38.1000,39.1600,16.0667,4969200
2011-07-18,38.7300,39.5900,37.7500,39.1200,16.0503,4155800
2011-07-19,39.2600,39.9400,39.1300,39.7400,16.3047,3211500
2011-07-20,39.7900,39.9400,39.4000,39.5300,16.2185,2724500
2011-07-21,39.5300,40.2400,39.1100,40.1000,16.4524,3624600
2011-07-22,40.2800,40.8200,39.9100,40.5700,16.6452,3322800
2011-07-25,41.2500,42.1200,40.6500,41.3700,16.9734,4449300
2011-07-26,41.3900,43.7200,41.2700,43.0500,17.6627,5662100
2011-07-27,43.0200,43.3000,41.9700,42.0600,17.2565,3499200
2011-07-28,42.4300,42.9400,42.1900,42.7800,17.5519,3327300
2011-07-29,42.3500,44.6100,41.9740,43.7900,17.9663,5354800
2011-08-01,45.0400,45.3800,43.9900,44.9700,18.4505,5759200
2011-08-02,44.5300,44.9000,42.2500,42.3300,17.3673,5497800
2011-08-03,43.2800,45.4000,39.0200,41.4300,16.9981,6706900
2011-08-04,40.7100,40.7100,37.2300,38.4200,15.7631,7688900
2011-08-05,38.9100,39.2200,33.4400,37.3100,15.3077,6174300
2011-08-08,35.2400,36.0000,29.4800,32.3300,13.2645,8271500
2011-08-09,33.0700,36.4100,32.4200,36.1000,14.8112,6027100
2011-08-10,35.5500,36.8400,34.1200,35.1200,14.4092,4841300
2011-08-11,35.9000,38.6000,35.4300,37.3400,15.3200,4378200
2011-08-12,37.5900,39.1200,36.9050,37.4100,15.3487,2953400
2011-08-15,37.8900,39.6500,37.8900,39.1000,16.1242,2682700
2011-08-16,38.3600,39.4400,38.1200,38.8600,16.0252,3266200
2011-08-17,39.6300,39.9600,38.8100,39.1000,16.1242,2813800
