,open,high,low,close,adj_close,volume
1998-01-02,105.3000,107.8000,104.9000,107.6000,25.2023,2286100
1998-01-05,107.6000,108.9000,106.6000,108.3000,25.3662,3005000
1998-01-06,106.4000,107.9000,106.4000,106.8000,25.0149,2412900
1998-01-07,105.8000,105.8000,103.8000,105.1000,24.6167,2971500
1998-01-08,104.6000,106.9000,104.4000,106.2000,24.8744,2449600
1998-01-09,105.9000,106.1000,102.6000,102.9000,24.1014,3155700
1998-01-12,102.0000,106.4000,101.4000,106.2000,24.8744,3882700
1998-01-13,106.3000,106.9000,106.0000,106.3000,24.8978,3109700
1998-01-14,106.5000,110.0000,106.3000,109.9000,25.7410,5100400
1998-01-15,109.3000,109.5000,108.6000,108.7000,25.4599,3175100
1998-01-16,109.4000,110.6000,108.8000,109.8000,25.7176,3667600
1998-01-20,110.6000,116.0000,110.5000,115.5000,27.0526,5226800
1998-01-21,114.5000,115.3000,112.0000,114.0000,26.7013,3334700
1998-01-22,113.0000,114.6000,112.6000,112.6000,26.3734,2377800
1998-01-23,113.6000,113.8000,111.1000,112.9000,26.4437,2458200
1998-01-26,114.0000,114.9000,113.6000,114.0000,26.7013,2054300
1998-01-27,113.4000,116.5000,113.1000,114.5000,26.8184,3832800
1998-01-28,115.5000,118.6000,115.3000,117.6000,27.5445,4269100
1998-01-29,117.5000,119.0000,116.8000,117.9000,27.6148,3244700
1998-01-30,117.5000,117.6000,116.6000,117.4000,27.4977,2129600
1998-02-02,120.0000,120.2000,117.8000,117.8000,27.5913,3366700
1998-02-03,117.3000,117.3000,114.4000,116.3000,27.2400,3588900
1998-02-04,115.3000,115.6000,114.5000,115.0000,26.9355,1951100
1998-02-05,115.8000,115.9000,112.5000,113.3000,26.5373,2674100
1998-02-06,113.4000,115.6000,113.1000,114.3000,26.7716,2579800
1998-02-09,114.8000,115.8000,113.4000,115.8000,27.1229,1938200
1998-02-10,116.5000,117.8000,115.9000,117.4000,27.4977,2954300
1998-02-11,118.0000,118.0000,116.2000,117.5000,27.5211,2145500
1998-02-12,117.5000,118.4000,115.8000,117.8000,27.5913,2275900
1998-02-13,116.9000,117.9000,116.5000,117.7000,27.5679,1604700
1998-02-17,118.3000,120.8000,118.0000,119.9000,28.0832,3752000
1998-02-18,120.1000,124.3000,119.6000,124.3000,29.1138,3920000
1998-02-19,122.9000,123.6000,122.1000,122.3000,28.6453,2260300
1998-02-20,122.4000,124.9000,121.2000,124.7000,29.2075,3152300
1998-02-23,126.3000,130.9000,126.3000,130.6000,30.5894,4844000
1998-02-24,129.1000,130.0000,127.5000,127.9000,29.9570,3358600
1998-02-25,128.9000,128.9000,126.3000,126.9000,29.7228,2691000
1998-02-26,127.1000,128.1000,125.2000,126.0000,29.5120,2075700
1998-02-27,126.4000,127.9000,126.3000,127.6000,29.8867,2031300
1998-03-02,127.6000,128.1000,126.5000,126.8000,29.6993,1621300
1998-03-03,126.7000,128.3000,126.3000,126.8000,29.6993,1687800
1998-03-04,125.8000,126.2000,124.6000,124.9000,29.3597,1788200
1998-03-05,124.3000,126.4000,123.7000,123.7000,29.0776,2513400
1998-03-06,124.4000,128.1000,124.4000,127.4000,29.9474,1932100
1998-03-09,127.6000,128.9000,127.3000,128.7000,30.2530,1858200
1998-03-10,128.7000,130.9000,128.7000,130.8000,30.7466,2304200
1998-03-11,130.6000,131.0000,129.7000,129.8000,30.5115,1374300
1998-03-12,129.0000,129.6000,127.9000,129.1000,30.3470,1546000
1998-03-13,130.4000,130.6000,127.6000,128.3000,30.1589,1585900
