,open,high,low,close,adj_close,volume
1998-01-02,33.5000,34.0600,33.0600,33.9400,6.0887,1046250
1998-01-05,34.5000,34.5000,32.8100,33.0000,5.9201,1107250
1998-01-06,31.2500,32.5600,31.0600,32.2500,5.7855,2913800
1998-01-07,32.3700,33.1900,32.0000,32.9400,5.9093,2088650
1998-01-08,32.5000,32.5600,32.0600,32.3100,5.7963,1243900
1998-01-09,32.0000,32.0600,31.2500,31.8100,5.7066,1825100
1998-01-12,31.0000,32.0000,31.0000,31.7500,5.6958,1648400
1998-01-13,31.5000,31.6900,31.0000,31.3100,5.6169,3987400
1998-01-14,31.3700,31.9400,31.3700,31.9400,5.7299,1752850
1998-01-15,31.9400,32.3700,31.5600,32.2500,5.7855,1335950
1998-01-16,32.7500,33.5000,31.8100,32.6900,5.8645,1195800
1998-01-20,32.8700,34.1900,32.7500,34.1900,6.1336,1184900
1998-01-21,33.9400,34.1900,33.2500,33.8700,6.0762,1332900
1998-01-22,32.7500,33.0600,31.5000,31.9400,5.7299,1275600
1998-01-23,32.2500,32.2500,31.4400,31.6200,5.6725,1463700
1998-01-26,31.6900,32.3700,31.2500,31.5000,5.6510,2092000
1998-01-27,31.5600,32.3100,31.5600,32.2500,5.7855,1766800
1998-01-28,32.5000,32.6200,32.2500,32.5600,5.8412,2268200
1998-01-29,32.6200,33.6200,32.5600,33.5000,6.0098,1708950
1998-01-30,33.3700,33.6200,32.1200,33.5600,6.0206,1290850
1998-02-02,33.8100,34.2500,33.5000,33.5000,6.0098,1834850
1998-02-03,32.0000,33.0600,32.0000,32.7500,5.8752,2504250
1998-02-04,32.7500,34.1200,32.7500,34.0600,6.1103,2155700
1998-02-05,34.0600,34.1200,32.9400,33.0000,5.9201,1532250
1998-02-06,33.5000,33.5600,33.3100,33.4400,5.9990,1073750
1998-02-09,33.5600,34.0000,33.3700,33.8700,6.0762,1068050
1998-02-10,34.1200,34.1200,33.0000,33.0600,5.9309,1631650
1998-02-11,33.1900,33.5600,33.0000,33.1900,5.9542,1176650
1998-02-12,33.0600,33.1200,32.3100,32.8700,5.8968,1315300
1998-02-13,32.4400,33.0000,32.4400,32.8100,5.9237,1114300
1998-02-17,32.5600,32.9400,32.0000,32.5600,5.8785,1473550
1998-02-18,32.5000,33.5600,32.5000,33.3100,6.0140,1534750
1998-02-19,33.2500,33.3700,32.1200,32.2500,5.8226,1197650
1998-02-20,32.3100,32.6200,32.1200,32.4400,5.8569,1707250
1998-02-23,32.3100,32.7500,31.7500,32.1200,5.7991,1562950
1998-02-24,32.1900,32.3700,31.7500,32.0600,5.7883,2191950
1998-02-25,32.0000,32.3700,32.0000,32.0000,5.7774,716500
1998-02-26,32.3700,33.8100,32.1600,33.7500,6.0934,1358900
1998-02-27,33.7500,34.6900,33.0600,34.5600,6.2396,1410850
1998-03-02,34.5600,35.6900,34.5600,35.6900,6.4437,3014550
1998-03-03,35.6200,36.3700,35.2500,36.3700,6.5664,2216900
1998-03-04,36.2500,36.2500,35.0000,35.6200,6.4310,1696050
1998-03-05,35.5000,35.6200,34.8700,35.0600,6.3299,1392450
1998-03-06,35.1900,35.6900,35.0600,35.4400,6.3985,1111950
1998-03-09,35.2500,35.3100,33.8700,34.1200,6.1602,1584200
1998-03-10,35.0000,36.0000,34.8100,35.8100,6.4653,1461350
1998-03-11,36.0000,36.1900,35.4400,35.8100,6.4653,1712450
1998-03-12,35.8700,36.1200,35.6200,36.1200,6.5213,750350
1998-03-13,36.3100,36.3700,35.4400,35.5000,6.4094,1257300
1998-03-16,35.7500,36.4400,35.6900,36.3700,6.5664,1595950
1998-03-17,36.0000,36.0600,35.5000,35.8700,6.4762,1337450
1998-03-18,35.6200,36.6900,35.5600,36.3700,6.5664,889500
1998-03-19,36.3100,37.0000,36.3100,36.7500,6.6350,770800
1998-03-20,36.6900,37.7500,36.5600,37.6200,6.7921,1992100
1998-03-23,40.5000,40.5000,38.5000,38.5600,6.9618,2893850
1998-03-24,38.1200,38.4400,37.8100,38.2500,6.9058,993100
1998-03-25,38.1900,38.6900,37.0000,37.1200,6.7018,1370800
1998-03-26,37.0000,38.2500,37.0000,38.1900,6.8950,989600
1998-03-27,38.6200,38.6900,37.0000,37.5000,6.7704,1810050
1998-03-30,37.6900,38.0000,37.0000,37.2500,6.7253,957050
1998-03-31,37.5000,38.0000,37.3100,37.6200,6.7921,1145650
1998-04-01,37.6200,38.5000,37.6200,38.0000,6.8607,874250
1998-04-02,38.0000,38.5000,37.7500,38.5000,6.9510,1013550
1998-04-03,38.6200,38.7500,38.1200,38.1200,6.8824,847750
1998-04-06,38.5000,38.8700,38.0600,38.1200,6.8824,1022250
1998-04-07,38.1200,38.6200,37.5600,38.1200,6.8824,1351200
1998-04-08,38.0000,38.1200,36.9400,37.1900,6.7145,1129400
1998-04-09,37.4400,37.6200,37.0000,37.1200,6.7018,642200
1998-04-13,37.0600,37.1900,36.0000,36.7500,6.6350,1575500
1998-04-14,36.9400,37.0000,36.2500,36.7500,6.6350,652100
1998-04-15,36.5000,38.0000,36.3100,37.5000,6.7704,1072400
1998-04-16,38.0000,38.0000,36.9400,37.6200,6.7921,695050
1998-04-17,37.7500,38.6200,37.6900,38.3700,6.9275,948500
1998-04-20,38.3700,38.3700,37.3100,37.8100,6.8264,718650
1998-04-21,37.8100,38.1200,37.1200,38.0600,6.8715,913650
1998-04-22,37.8700,37.8700,36.7500,37.1200,6.7018,925550
1998-04-23,36.8700,36.9400,36.2500,36.5000,6.5899,853300
1998-04-24,36.3700,36.6900,35.6200,35.6200,6.4310,1070550
1998-04-27,35.5600,35.9400,35.0000,35.5000,6.4094,1555550
1998-04-28,35.8700,35.8700,34.8700,35.3700,6.3859,1312300
1998-04-29,35.7500,36.3700,35.6900,36.3100,6.5556,985900
1998-04-30,36.8700,37.0000,35.8100,35.8100,6.4653,808850
1998-05-01,36.0600,37.2500,35.9400,37.1200,6.7018,1585200
1998-05-04,37.1200,37.1200,35.7500,36.1200,6.5213,1419100
1998-05-05,36.0600,36.2500,35.7500,35.7500,6.4545,1323850
1998-05-06,36.0000,36.8700,35.8700,36.8100,6.6459,893700
1998-05-07,36.5600,36.8700,36.0600,36.1200,6.5213,968950
1998-05-08,35.8700,36.4400,35.8700,35.9400,6.4888,1416400
1998-05-11,36.0000,36.1900,35.9400,36.0000,6.4996,739450
1998-05-12,36.0000,36.0600,35.6200,35.7500,6.4545,1520500
1998-05-13,36.0000,36.7500,35.9400,36.0000,6.4996,864000
1998-05-14,36.0600,36.7500,36.0600,36.6900,6.6242,1176000
1998-05-15,36.6200,36.6200,36.0000,36.3700,6.5664,1577000
1998-05-18,36.0600,36.1200,34.9400,35.3700,6.4238,1018750
1998-05-19,35.6200,35.8700,35.3700,35.3700,6.4238,805850
1998-05-20,35.5000,35.9400,35.5000,35.5600,6.4583,666700
1998-05-21,35.6900,35.7500,35.1900,35.2500,6.4020,623950
1998-05-22,35.2500,35.2500,34.4400,34.6900,6.3003,918650
1998-05-26,34.8100,34.8700,33.1200,33.7500,6.1296,1325200
1998-05-27,33.5000,34.1200,32.8100,33.8100,6.1405,755700
1998-05-28,33.8700,35.0600,33.5000,35.0000,6.3566,1136250
1998-05-29,35.2500,35.5000,35.0000,35.0000,6.3566,1734750
1998-06-01,34.5000,34.5000,33.6900,33.8100,6.1405,1483300
1998-06-02,33.9400,34.1200,33.0600,33.3100,6.0497,1988750
1998-06-03,33.2500,33.6900,32.5600,33.3700,6.0606,2116500
1998-06-04,33.5600,34.4400,33.5600,34.2500,6.2204,1226950
1998-06-05,34.4400,35.2500,34.1900,35.1200,6.3784,863850
1998-06-08,35.1200,35.1200,34.3700,34.6200,6.2876,615900
1998-06-09,34.5000,34.5000,33.8700,33.9400,6.1641,941650
1998-06-10,33.8700,34.1200,33.4400,33.4400,6.0733,724200
1998-06-11,33.5000,33.5600,32.8100,33.3700,6.0606,915300
1998-06-12,33.3700,33.3700,32.5600,33.2500,6.0388,1212900
1998-06-15,33.0000,33.5600,32.1900,32.1900,5.8463,894550
1998-06-16,32.7500,33.1200,32.5000,33.0600,6.0043,1458800
1998-06-17,33.1900,34.6900,33.1900,34.3700,6.2422,1066050
1998-06-18,33.8700,34.2500,32.8700,33.3700,6.0606,1478600
1998-06-19,33.4400,33.9400,33.1200,33.5600,6.0951,820950
1998-06-22,33.5600,34.5000,33.4400,34.2500,6.2204,688300
1998-06-23,34.1200,34.6900,34.1200,34.4400,6.2549,1325550
1998-06-24,34.5600,34.6900,34.1200,34.5000,6.2658,985900
1998-06-25,34.4400,35.0000,34.1900,34.4400,6.2549,1553700
1998-06-26,34.5600,34.8700,33.6900,34.2500,6.2204,666200
1998-06-29,34.3700,34.4400,33.5000,34.2500,6.2204,1636200
1998-06-30,34.4400,35.0600,34.3100,34.3100,6.2313,1406500
1998-07-01,34.8700,36.2500,34.8700,36.2500,6.5836,1610550
1998-07-02,36.7500,36.8700,35.7500,35.9400,6.5273,2089150
1998-07-06,35.9400,36.4400,35.6900,36.0000,6.5382,710800
1998-07-07,36.0000,36.2500,35.3100,35.3700,6.4238,671550
1998-07-08,35.5000,35.8700,35.5000,35.6200,6.4692,1590750
1998-07-09,35.3700,35.5600,34.9400,35.5600,6.4583,1287500
1998-07-10,35.3100,35.5600,34.8100,35.3700,6.4238,720200
1998-07-13,35.2500,35.2500,33.5600,33.8700,6.1514,1428300
1998-07-14,34.0000,34.9400,34.0000,34.7500,6.3112,793600
1998-07-15,34.8100,35.1200,34.6200,35.0600,6.3675,1378350
1998-07-16,35.0000,35.1900,34.6200,34.9400,6.3457,1241050
1998-07-17,34.8100,35.0600,34.1200,34.9400,6.3457,1229650
1998-07-20,34.7500,34.8100,34.0600,34.2500,6.2204,433000
1998-07-21,34.2500,35.1200,34.2500,34.6200,6.2876,603500
1998-07-22,34.3700,35.0000,34.1900,35.0000,6.3566,771650
1998-07-23,35.3700,35.5600,34.5600,34.5600,6.2767,1207200
1998-07-24,34.8100,35.3100,34.6900,35.1900,6.3911,946500
1998-07-27,35.0000,35.0600,34.0000,34.8100,6.3221,884300
1998-07-28,34.8100,34.8100,33.2500,34.2500,6.2204,1176500
1998-07-29,34.1900,34.9400,34.1200,34.8700,6.3330,1041900
1998-07-30,35.0000,36.0000,34.9400,35.0600,6.3675,1488150
1998-07-31,35.0600,35.0600,33.8700,34.1200,6.1968,1560400
1998-08-03,34.1200,34.3700,33.0000,33.2500,6.0388,1548000
1998-08-04,33.3700,33.8700,32.2500,32.4400,5.8917,1349200
1998-08-05,32.3100,32.3100,29.9400,30.8700,5.6065,1771650
1998-08-06,30.6900,31.0000,30.3100,30.5000,5.5393,1622600
1998-08-07,30.2500,32.7500,30.1900,31.6200,5.7427,1512800
1998-08-10,31.5600,32.1200,31.0600,31.9400,5.8008,807350
1998-08-11,31.5000,31.5600,30.2500,30.7500,5.5847,2110100
1998-08-12,31.0000,31.5000,29.9400,30.1200,5.4703,2507450
1998-08-13,30.2500,30.5600,29.8700,29.9400,5.4376,2798950
1998-08-14,29.9400,29.9400,29.0600,29.5000,5.3577,3438850
1998-08-17,29.5000,29.5000,29.1200,29.1200,5.3268,1370650
1998-08-18,29.2500,29.6900,29.1200,29.5000,5.3963,1876400
1998-08-19,29.6900,30.5000,29.6900,30.0000,5.4878,1664200
1998-08-20,30.2500,30.7500,30.0000,30.3700,5.5555,1412900
1998-08-21,29.9400,30.0000,28.7500,29.5600,5.4073,890350
1998-08-24,29.5600,29.5600,28.9400,29.1200,5.3268,1125050
1998-08-25,29.0600,29.3100,28.6900,28.8100,5.2701,1052950
1998-08-26,29.0600,29.1900,28.6200,28.9400,5.2939,1871200
1998-08-27,28.8100,28.9400,27.1200,27.1200,4.9610,1767450
1998-08-28,27.2500,27.9400,27.0600,27.5600,5.0415,1428150
1998-08-31,29.0000,29.2500,25.5000,26.0000,4.7561,3473900
1998-09-01,25.8700,27.6900,25.0000,27.1200,4.9610,2811700
1998-09-02,27.1900,28.2500,27.0000,27.5600,5.0415,1645750
1998-09-03,27.5000,27.8100,26.0000,27.6900,5.0652,1793600
1998-09-04,28.5000,29.5600,28.3700,29.2500,5.3506,2170800
1998-09-08,31.0000,31.0000,29.2500,29.8700,5.4640,1280600
1998-09-09,29.8700,30.1200,29.5600,30.1200,5.5098,1002650
1998-09-10,29.8700,32.4400,29.6200,31.5000,5.7622,2008350
1998-09-11,30.8700,34.6200,30.8100,34.6200,6.3329,2823300
1998-09-14,34.6200,34.8700,33.6200,33.8100,6.1848,1781700
1998-09-15,34.0000,34.0000,32.7500,33.1200,6.0585,921850
1998-09-16,32.8700,33.3100,31.6200,33.2500,6.0823,1230800
1998-09-17,32.8700,32.8700,31.9400,32.2500,5.8994,824800
1998-09-18,32.3100,32.5000,31.7500,32.2500,5.8994,1492350
1998-09-21,32.0000,33.1200,31.6900,32.9400,6.0256,747650
1998-09-22,31.7500,32.3700,31.2500,31.7500,5.8079,1803350
1998-09-23,32.5000,34.3700,32.5000,34.3100,6.2762,1838700
1998-09-24,34.2500,34.3100,33.1900,33.5600,6.1390,1037550
1998-09-25,33.8100,35.1200,33.8100,35.0000,6.4024,1862650
1998-09-28,35.5000,35.5000,34.5000,34.8700,6.3787,1371500
1998-09-29,35.0600,36.3700,35.0600,36.2500,6.6311,2164600
1998-09-30,36.2500,37.1200,35.4400,35.4400,6.4829,3641900
1998-10-01,35.2500,36.1900,35.0000,35.0000,6.4024,2216250
1998-10-02,36.0000,36.3700,35.8100,36.2500,6.6311,3856650
1998-10-05,35.5000,37.8100,35.3100,37.8100,6.9165,2353700
