,open,high,low,close,adj_close,volume
2007-11-15,24.8400,39.9500,21.0300,24.9700,23.5803,11770500
2007-11-16,25.3000,25.9800,23.5000,24.9600,23.5709,1242900
2007-11-19,24.5900,25.7500,24.5300,25.7500,24.3169,469500
2007-11-20,26.0000,29.2090,25.2600,27.3200,25.7995,522200
2007-11-21,26.6600,27.1300,25.9400,26.6500,25.1668,167500
2007-11-23,27.6900,28.3300,26.8200,27.4000,25.8751,100700
2007-11-26,27.8400,29.4900,27.5300,27.8000,26.2528,438300
2007-11-27,28.3200,28.7500,26.2800,26.9800,25.4785,305800
2007-11-28,27.1500,27.6200,26.6800,27.3000,25.7806,273600
2007-11-29,26.8700,27.9900,26.6000,27.3000,25.7806,110600
2007-11-30,27.6500,28.7000,27.1000,27.6500,26.1112,524000
2007-12-03,27.6500,28.2000,27.4000,27.9700,26.4134,83600
2007-12-04,27.2400,29.7500,27.2400,29.3500,27.7166,387400
2007-12-05,32.6800,32.6800,28.8900,29.2800,27.6505,207200
2007-12-06,29.0000,29.4200,28.4400,28.9100,27.3010,97700
2007-12-07,28.9100,29.1000,28.5000,28.8800,27.2727,82500
2007-12-10,28.5900,29.9500,28.5900,29.0000,27.3860,177900
2007-12-11,28.7500,29.4000,28.2500,29.0000,27.3860,236200
2007-12-12,28.9800,29.3600,28.3000,28.4800,26.8950,64700
2007-12-13,27.9300,29.0000,27.9300,28.9400,27.3294,78000
2007-12-14,28.7300,28.9400,28.3300,28.7200,27.1216,118200
2007-12-17,27.9400,29.0600,27.6700,27.9800,26.4228,128600
2007-12-18,28.0900,28.8000,28.0000,28.5000,26.9139,132400
2007-12-19,28.9900,29.3500,28.5600,28.9500,27.3388,197600
2007-12-20,28.9800,29.0100,28.8900,28.8900,27.2822,197800
2007-12-21,29.4800,34.3300,29.4000,33.7200,31.8433,498600
2007-12-24,33.1600,34.4000,32.5500,33.9200,32.0322,142000
2007-12-26,35.0200,36.0000,33.8000,34.3500,32.4383,228300
2007-12-27,34.0000,37.1875,33.8000,36.5500,34.5158,194600
2007-12-28,37.1300,38.2700,36.0001,37.3200,35.2430,165900
2007-12-31,37.4000,38.4000,36.0000,38.4000,36.2629,136200
2008-01-02,36.9300,37.9500,33.1150,33.8500,31.9661,442900
2008-01-03,33.8500,33.8500,30.5600,30.7900,29.0764,395900
2008-01-04,28.7400,31.0000,28.1100,30.1500,28.4720,354100
2008-01-07,29.7000,29.7500,27.7500,28.1400,26.5739,383000
2008-01-08,27.8100,28.1500,26.0100,26.6300,25.1479,183900
2008-01-09,27.3000,29.7500,24.7401,27.7600,26.2150,383400
2008-01-10,28.8200,31.4000,26.8000,29.6400,27.9904,531500
2008-01-11,29.5900,32.7700,29.2100,30.4300,28.7364,121900
2008-01-14,30.1400,30.5001,29.7500,30.5000,28.8026,198300
2008-01-15,30.5200,30.9300,29.7200,30.7100,29.0009,74200
2008-01-16,30.6000,30.7600,28.5000,29.3000,27.6693,123700
2008-01-17,29.0000,29.4500,28.6525,28.9900,27.3766,122400
2008-01-18,29.4900,29.7500,29.0000,29.3200,27.6882,238900
2008-01-22,27.8500,29.2000,27.3300,28.9000,27.2916,193000
2008-01-23,28.9900,32.4700,28.3800,31.1600,29.4258,193100
2008-01-24,31.0000,33.0000,30.2400,32.1700,30.3796,305000
2008-01-25,32.4000,32.5800,31.1300,31.7800,30.0113,148700
2008-01-28,31.0100,34.0000,30.0300,33.0600,31.2201,222500
2008-01-29,32.6100,33.4600,32.3500,32.7800,30.9557,142600
2008-01-30,32.6200,33.0000,31.0000,32.7000,30.8801,117300
2008-01-31,32.4100,33.0000,32.1000,32.9700,31.1351,114800
2008-02-01,32.5000,35.9700,32.4000,34.6000,32.6744,134600
2008-02-04,34.7600,34.9000,33.0000,33.4800,31.6167,75300
2008-02-05,32.5800,33.4800,31.9800,32.8700,31.0407,109100
2008-02-06,32.0700,32.7200,31.0900,31.3700,29.6241,146000
2008-02-07,31.5000,32.0000,29.5200,29.7100,28.0565,128000
2008-02-08,30.1500,31.3300,30.1400,31.3300,29.5864,103400
2008-02-11,31.4700,31.9500,31.0000,31.4300,29.6808,94600
2008-02-12,31.3400,31.9400,30.4300,31.3000,29.5580,147800
2008-02-13,31.2900,33.8700,31.2000,33.8300,31.9472,114200
2008-02-14,33.5200,33.8000,32.1500,33.2800,31.4278,103100
2008-02-15,32.3400,33.3200,30.3300,31.7400,29.9735,142700
2008-02-19,32.0600,32.4400,30.3570,32.1000,30.3135,183500
2008-02-20,32.0500,34.3400,30.9400,32.2100,30.4174,181300
2008-02-21,32.2600,33.9900,31.6000,33.6000,31.7300,207100
2008-02-22,34.0500,34.1500,32.4800,33.7300,31.8528,123500
2008-02-25,34.1000,34.1700,32.8500,33.0900,31.2484,158500
2008-02-26,33.2400,35.3600,32.6200,33.9200,32.0322,186100
2008-02-27,33.6500,34.2900,31.3200,32.0000,30.2191,220300
2008-02-28,32.5500,32.5500,29.1800,31.0900,29.3597,344100
2008-02-29,32.3600,32.3600,29.3300,29.7300,28.0754,216900
2008-03-03,29.7500,30.3500,28.2900,29.0700,27.4521,188100
2008-03-04,27.8200,29.8700,27.1900,29.3600,27.7260,177400
2008-03-05,29.9200,32.1000,29.7200,31.6500,29.8886,221400
2008-03-06,31.6400,31.8400,29.5600,29.8600,28.1982,214800
2008-03-07,29.7600,30.2100,26.4700,28.2600,26.6872,268800
2008-03-10,28.3900,28.3900,26.8400,27.0100,25.5068,85800
2008-03-11,27.4900,30.3400,27.2500,30.2900,28.6042,166300
2008-03-12,30.0600,31.0000,29.6000,29.8300,28.1698,194800
2008-03-13,29.6000,30.3600,28.7600,29.9400,28.2737,176700
2008-03-14,29.9400,29.9400,26.2500,26.8600,25.3651,306100
2008-03-17,26.3300,26.5400,23.2900,23.5700,22.2582,367900
2008-03-18,25.7800,27.5400,23.7300,27.0000,25.4973,563900
2008-03-19,26.6200,27.7500,25.9000,26.6900,25.2046,275700
2008-03-20,26.4400,28.2100,25.9000,28.2100,26.6400,171400
2008-03-24,28.3600,30.9100,28.2200,30.0700,28.3965,219600
2008-03-25,29.7400,30.9000,28.6200,30.3900,28.6987,163400
2008-03-26,30.4900,30.7900,29.4000,29.4100,27.7732,242400
2008-03-27,29.7000,30.8500,29.3300,29.7000,28.0471,173700
2008-03-28,29.6000,31.5000,29.3800,31.2500,29.5108,137600
2008-03-31,30.9100,30.9100,28.0700,29.7500,28.0943,230600
2008-04-01,29.8200,31.5100,29.6600,30.8900,29.1708,116300
2008-04-02,31.0000,32.2500,29.6800,31.7700,30.0019,128100
2008-04-03,31.6000,32.9400,30.7000,32.0300,30.2474,108400
2008-04-04,31.8100,33.6400,31.6700,32.7800,30.9557,57700
2008-04-07,32.8200,32.8200,31.1500,31.4100,29.6619,47000
2008-04-08,31.2800,31.9900,30.1700,30.7900,29.0764,163300
2008-04-09,27.9900,29.3800,24.6500,27.9800,26.4228,835100
2008-04-10,30.1400,30.1400,27.5700,28.4900,26.9044,159500
2008-04-11,28.0000,28.9900,27.1300,27.9300,26.3756,173800
2008-04-14,27.8000,28.2900,27.4100,27.7200,26.1773,151000
2008-04-15,27.9100,28.1300,26.7600,27.1700,25.6579,84500
2008-04-16,27.4100,28.4300,26.5000,28.0500,26.4889,161000
2008-04-17,28.0200,28.7700,27.4400,28.5500,26.9611,138900
2008-04-18,28.8300,29.4200,28.1000,28.7300,27.1311,200000
2008-04-21,28.8000,28.9600,28.0100,28.4900,26.9044,288800
2008-04-22,28.2600,28.6200,27.6100,28.6000,27.0083,313800
2008-04-23,28.5200,29.9000,27.9100,29.4600,27.8204,253800
2008-04-24,29.4300,29.4500,28.8500,29.3800,27.7449,161600
2008-04-25,29.0000,29.3700,28.2900,28.3700,26.7911,269800
2008-04-28,28.0000,29.3000,27.7600,29.1300,27.5088,599200
2008-04-29,29.4900,31.0000,29.3500,30.1700,28.4909,5734000
2008-04-30,30.3900,31.2300,30.0000,31.0200,29.2936,775200
2008-05-01,31.0100,33.2000,29.2000,32.6000,30.7857,876200
2008-05-02,32.6800,32.8300,31.3500,31.7400,29.9735,358300
2008-05-05,32.2700,32.2700,31.1100,31.6100,29.8508,393700
2008-05-06,32.0400,32.2000,31.6200,31.9300,30.1530,292900
2008-05-07,31.5200,32.1500,30.7400,32.1300,30.3418,770300
2008-05-08,32.0000,32.2500,30.2500,32.0900,30.3041,163900
2008-05-09,31.7000,32.2500,31.4700,32.1300,30.3418,177700
2008-05-12,32.2300,32.5000,31.9000,32.5000,30.6912,200000
2008-05-13,32.2500,32.5500,31.7500,32.3700,30.5685,211100
2008-05-14,32.2300,32.6000,31.5600,32.5200,30.7101,224800
2008-05-15,32.5200,33.8000,32.1000,33.6500,31.7772,246600
2008-05-16,33.1700,33.3000,32.3800,33.0200,31.1823,231700
2008-05-19,32.6500,33.2900,32.6100,33.2200,31.3712,244100
2008-05-20,33.0100,33.2200,31.6900,33.0000,31.1634,479900
2008-05-21,32.5700,32.7600,31.1400,32.1300,30.3418,329600
2008-05-22,32.1800,33.2200,32.0000,33.0500,31.2106,345600
2008-05-23,32.8600,34.5900,32.7600,34.5300,32.6083,489800
2008-05-27,34.6800,36.4100,34.5600,35.9200,33.9209,645600
