,open,high,low,close,adj_close,volume
1998-01-02,34.9400,35.0000,33.0000,33.6300,10.4773,786700
1998-01-05,34.0000,35.1300,33.6900,34.2500,10.6704,988800
1998-01-06,34.5000,34.6300,32.3800,33.4400,10.4181,615300
1998-01-07,32.7500,33.7500,31.2500,32.1300,10.0100,833800
1998-01-08,31.3800,33.5000,31.0000,32.0000,9.9694,793000
1998-01-09,32.2500,33.0000,29.7500,30.0600,9.3651,2110900
1998-01-12,29.2500,30.0000,28.5000,29.6900,9.2498,1889800
1998-01-13,30.2500,30.5600,29.7500,30.5600,9.5208,1553600
1998-01-14,31.3800,33.7500,30.5000,32.5000,10.1252,1822900
1998-01-15,32.3800,34.0000,31.6300,33.0000,10.2810,1063800
1998-01-16,33.6300,35.5000,33.3800,35.2500,10.9820,2374600
1998-01-20,35.8800,37.1900,35.3800,36.5000,11.3714,2077400
1998-01-21,36.5000,37.7500,35.2500,37.7500,11.7608,1851000
1998-01-22,36.6300,37.5000,36.5000,37.3100,11.6238,1913800
1998-01-23,37.2500,37.7500,36.0000,37.1300,11.5677,2223600
1998-01-26,37.1300,37.1300,34.0000,34.3100,10.6891,3820300
1998-01-27,34.5000,35.5000,32.7500,34.8100,10.8449,2088700
1998-01-28,35.3800,37.6900,34.1300,36.8800,11.4898,2400700
1998-01-29,36.7500,37.7500,36.1900,36.5000,11.3714,2402100
1998-01-30,37.0000,37.0000,34.2500,34.6300,10.7888,1242300
1998-02-02,35.1300,37.6300,34.2500,37.5000,11.6829,2394300
1998-02-03,37.5600,38.0600,36.7500,37.9400,11.8200,2048100
1998-02-04,37.0600,38.7500,37.0600,38.5000,11.9945,2124300
1998-02-05,38.4400,39.5000,37.3100,37.6900,11.7421,1539800
1998-02-06,37.3800,38.1300,36.5000,38.0000,11.8387,1685600
1998-02-09,38.1300,38.5000,36.8800,37.6300,11.7234,1083900
1998-02-10,37.7500,38.3800,37.5000,37.6900,11.7421,949200
1998-02-11,38.0000,39.7500,37.6300,39.6900,12.3652,1880700
1998-02-12,39.0000,40.8800,39.0000,40.0600,12.4805,2354800
1998-02-13,39.5000,40.0600,39.2500,39.4400,12.2873,1093200
1998-02-17,40.0000,40.0000,37.3800,37.5600,11.7016,915300
1998-02-18,38.0000,39.2500,37.4400,39.2500,12.2282,780700
1998-02-19,39.3800,40.0600,38.6300,39.6300,12.3465,1162300
1998-02-20,39.9400,40.0600,38.5000,39.1900,12.2095,555400
1998-02-23,40.0000,40.1300,38.6300,40.0000,12.4618,1033300
1998-02-24,40.0000,40.0000,38.3800,38.5000,11.9945,804800
1998-02-25,38.5000,40.0600,38.0000,40.0600,12.4805,1584200
1998-02-26,40.0000,42.0000,40.0000,41.6300,12.9696,1877400
1998-02-27,41.2500,41.3800,40.0000,40.3800,12.5802,909800
1998-03-02,40.5000,40.7500,37.4400,38.3800,11.9571,1428800
1998-03-03,38.1300,38.2500,36.7500,37.1300,11.5677,1800100
1998-03-04,36.8800,37.7500,36.8800,37.7500,11.7608,1351500
1998-03-05,35.7500,36.7500,35.3800,36.0000,11.2156,2014300
1998-03-06,36.2500,37.2500,35.3800,35.8800,11.1782,1680300
1998-03-09,35.2500,36.0000,34.6300,34.9400,10.8854,2425400
1998-03-10,35.6300,36.6300,34.6900,36.6300,11.4119,3179100
1998-03-11,37.6300,38.8800,37.3800,38.2500,11.9166,2921400
1998-03-12,38.1900,40.0000,37.3800,39.6300,12.3465,1959500
1998-03-13,39.5600,39.7500,37.8800,37.9400,11.8200,1358000
1998-03-16,38.0000,39.5600,38.0000,39.1900,12.2095,527900
1998-03-17,38.6300,39.2500,37.3800,38.5600,12.0132,1114500
1998-03-18,38.4400,38.7500,37.5000,38.0000,11.8387,866500
1998-03-19,37.8800,38.4400,37.7500,38.0000,11.8387,1067300
1998-03-20,38.1900,38.4400,35.1300,36.0000,11.2156,2708100
1998-03-23,36.3800,37.3800,35.7500,37.0000,11.5272,1035100
1998-03-24,36.6300,36.7500,34.7500,35.1300,10.9446,757700
1998-03-25,36.8800,37.0000,35.6300,35.8100,11.1564,2913100
1998-03-26,35.8100,37.0000,35.5000,36.7500,11.4493,849400
1998-03-27,37.2500,37.2500,35.8800,35.9400,11.1969,836200
1998-03-30,35.8800,36.1300,35.1300,35.5000,11.0599,962900
1998-03-31,35.7500,37.0000,35.6300,36.4400,11.3527,1165100
1998-04-01,36.5000,37.2500,34.7500,36.8800,11.4898,1812700
1998-04-02,37.0000,37.6900,36.5000,37.4400,11.6643,1149300
1998-04-03,37.1300,37.8800,36.6900,36.6900,11.4306,638000
1998-04-06,36.8800,37.2500,35.2500,35.3800,11.0225,947200
1998-04-07,34.8800,35.0000,32.6900,33.8800,10.5552,2662300
1998-04-08,34.2500,34.2500,33.3100,34.0600,10.6112,1242300
1998-04-09,34.2500,34.5000,34.0600,34.3100,10.6891,772500
1998-04-13,34.5000,34.7500,33.3100,33.3100,10.3776,1318800
1998-04-14,33.5000,34.4400,32.5000,33.8800,10.5552,2481100
1998-04-15,35.0600,39.5000,35.0000,38.3100,11.9353,4611200
1998-04-16,38.2500,38.9400,37.6300,37.8100,11.7795,1131700
1998-04-17,37.0000,38.3800,36.7500,38.2500,11.9166,635300
1998-04-20,38.5000,40.1300,38.1300,39.5000,12.3060,1104900
1998-04-21,39.6300,40.1300,39.0600,39.6300,12.3465,622800
1998-04-22,39.2500,39.7500,38.5000,39.2500,12.2282,799300
1998-04-23,39.0000,39.0000,36.7500,37.5600,11.7016,1033200
1998-04-24,37.5000,39.4400,37.3800,38.4400,11.9758,1982500
1998-04-27,38.0000,38.1300,36.2500,37.2500,11.6051,1450600
1998-04-28,38.1300,38.3800,36.6900,37.6300,11.7234,2233100
1998-04-29,37.6900,38.7500,36.9700,38.5600,12.0132,1187100
1998-04-30,39.0600,40.6300,38.6900,40.3800,12.5802,2096300
1998-05-01,40.3800,40.3800,39.5000,39.7500,12.3839,1241300
1998-05-04,39.6300,40.4400,39.5000,39.6300,12.3465,767200
1998-05-05,39.5000,39.7500,38.3800,38.7500,12.0724,580500
1998-05-06,39.2500,39.2500,37.8800,38.1900,11.8979,681700
1998-05-07,38.2500,38.5000,36.6300,36.8100,11.4680,1406000
1998-05-08,36.7500,38.0000,36.0000,37.6300,11.7234,1210500
1998-05-11,38.1300,38.7500,36.6300,36.7500,11.4493,983000
1998-05-12,36.7500,37.5000,36.1300,37.5000,11.6829,1081100
1998-05-13,37.5000,37.6300,35.8800,36.1900,11.2748,1325900
1998-05-14,36.0000,37.7500,35.7500,37.0600,11.5459,1678800
1998-05-15,37.0000,37.0000,35.8800,36.1300,11.2561,1085300
1998-05-18,36.1300,36.7500,35.6900,36.5000,11.3714,652900
1998-05-19,36.7500,37.7500,36.0600,36.7500,11.4493,552200
1998-05-20,36.3100,36.6300,33.5000,35.0000,10.9041,4058900
1998-05-21,35.1300,35.1300,33.5600,33.8800,10.5552,1540900
1998-05-22,33.8800,34.2500,31.8800,32.5600,10.1439,2752300
1998-05-26,32.8800,33.3800,32.4400,32.8800,10.2436,1393100
1998-05-27,32.6300,35.5000,32.2500,35.3100,11.0007,2732500
1998-05-28,35.3800,35.6900,33.6300,34.3800,10.7109,1066800
1998-05-29,34.2500,35.2500,32.3800,33.3800,10.3994,1712600
1998-06-01,33.2500,33.6300,31.6300,32.1300,10.0100,1753500
1998-06-02,32.6300,32.7500,30.0000,32.3800,10.0878,3768500
1998-06-03,33.0000,33.2500,31.3100,31.7500,9.8916,1145000
1998-06-04,32.0000,33.0600,30.8800,32.9400,10.2623,2194200
1998-06-05,33.0000,34.3800,32.6300,34.1300,10.6330,1920300
1998-06-08,34.0600,34.5000,33.6300,34.0600,10.6112,726500
1998-06-09,34.1300,34.5000,33.7500,34.4400,10.7296,705200
1998-06-10,33.2500,33.5000,31.3800,31.8800,9.9321,2823600
1998-06-11,32.2500,32.2500,30.6300,31.0000,9.6579,1302900
1998-06-12,31.3800,31.3800,28.8100,30.5600,9.5208,3068400
1998-06-15,29.7500,30.7500,29.2800,29.5000,9.1906,1374300
1998-06-16,30.2500,30.3800,29.2500,30.0600,9.3651,1481500
1998-06-17,29.5000,30.3800,27.8100,28.1300,8.7638,2815000
1998-06-18,28.0000,28.7500,27.6300,28.5600,8.8977,4374500
1998-06-19,28.8800,28.8800,28.2500,28.3800,8.8417,1675000
1998-06-22,28.5000,30.6300,28.2500,30.2500,9.4242,1969100
1998-06-23,30.5000,33.1300,30.3800,33.0000,10.2810,2025600
1998-06-24,33.1300,33.5000,31.7500,32.0600,9.9881,2314300
1998-06-25,32.3800,33.5000,31.1300,31.2500,9.7358,959700
1998-06-26,31.1300,31.3800,30.3800,31.0600,9.6766,599600
1998-06-29,31.1300,32.5000,31.0000,32.3100,10.0660,608700
1998-06-30,31.7500,32.0000,31.3800,31.6900,9.8729,1389600
1998-07-01,32.0000,33.0000,31.7500,32.9400,10.2623,1079800
1998-07-02,32.6300,32.8800,30.7500,31.0000,9.6579,1187300
1998-07-06,31.3800,31.6300,29.3800,31.2500,9.7358,832000
1998-07-07,31.2500,32.1300,29.7500,31.8100,9.9103,1799000
1998-07-08,31.8800,34.8800,31.5000,34.0600,10.6112,1997600
1998-07-09,34.0000,34.2500,31.0000,31.6300,9.8542,2137800
1998-07-10,31.5600,33.1900,31.0600,33.0000,10.2810,1039200
1998-07-13,32.7500,34.0000,32.0000,34.0000,10.5925,1151300
1998-07-14,34.0000,34.3800,32.3800,33.5600,10.4555,993500
