,open,high,low,close,adj_close,volume
1998-01-02,43.5000,43.8100,42.3100,42.3100,14.4335,627300
1998-01-05,42.3800,42.4400,41.7500,41.8800,14.2869,1113300
1998-01-06,41.8800,42.3100,41.5000,41.5000,14.1572,852300
1998-01-07,41.5000,41.5000,41.0600,41.4400,14.1368,1038700
1998-01-08,41.5000,43.3100,41.3800,43.3100,14.7747,1244300
1998-01-09,43.5000,43.5000,41.4400,41.8100,14.2630,1029300
1998-01-12,41.3100,42.4400,41.3100,41.6300,14.2016,672500
1998-01-13,41.6300,43.0000,41.5600,42.9400,14.6485,482500
1998-01-14,43.0000,43.1300,42.0600,42.5000,14.4984,655800
1998-01-15,42.5600,43.2500,42.3100,42.9400,14.6485,808800
1998-01-16,42.9400,43.1900,42.4400,43.0600,14.6894,1408000
1998-01-20,43.5000,44.2500,43.2500,44.1300,15.0544,1016600
1998-01-21,44.0000,44.4400,43.1900,43.8800,14.9691,1118800
1998-01-22,43.6900,44.0000,42.8800,43.7500,14.9248,912900
1998-01-23,44.1300,44.1300,43.0600,43.6300,14.8838,719500
1998-01-26,43.6300,43.8100,42.1300,42.2500,14.4131,789000
1998-01-27,41.0000,41.5000,40.7500,41.5000,14.1572,2434500
1998-01-28,41.5000,41.5000,40.1900,41.3100,14.0924,2559700
1998-01-29,41.5000,42.8100,41.5000,42.0600,14.3483,1039700
1998-01-30,42.5000,43.0000,42.2500,42.3100,14.4335,993000
1998-02-02,43.0000,43.6900,42.7500,43.6900,14.9043,972200
1998-02-03,44.0000,44.2500,44.0000,44.1900,15.0749,700400
1998-02-04,44.1900,44.3100,43.7500,44.0600,15.0305,594000
1998-02-05,44.0600,44.8100,44.0600,44.4400,15.1602,492100
1998-02-06,44.6900,45.6900,44.6900,45.6900,15.5866,1302300
1998-02-09,45.6900,45.7500,44.7500,45.1300,15.3956,756600
1998-02-10,45.1300,45.6300,45.0600,45.3100,15.4570,825600
1998-02-11,45.8100,45.8100,45.0000,45.4400,15.5013,442900
1998-02-12,45.3800,46.4400,45.3800,46.1300,15.7367,976500
1998-02-13,46.1300,46.5000,45.8100,46.0600,15.7128,881400
1998-02-17,46.3100,47.3800,46.3100,46.7500,15.9482,984900
1998-02-18,46.3800,46.5600,46.1300,46.3100,15.7981,1728300
1998-02-19,46.5000,46.5600,46.1900,46.5000,15.8629,852100
1998-02-20,46.3100,47.0000,46.3100,46.9400,16.0130,571300
1998-02-23,47.3800,48.0600,47.2500,48.0600,16.3951,623400
1998-02-24,47.8800,47.8800,46.8100,47.6900,16.2689,1219600
1998-02-25,47.9400,49.0000,47.8800,48.5600,16.5657,698000
1998-02-26,48.1900,48.4400,47.0000,47.4400,16.1836,762600
1998-02-27,47.4400,47.4400,46.3800,46.8800,15.9925,549400
1998-03-02,46.7500,47.6300,46.0600,46.3800,15.8220,647800
1998-03-03,47.0000,47.9400,46.8800,47.8800,16.3337,766000
1998-03-04,49.0000,50.5600,48.7500,50.2500,17.1422,3232700
1998-03-05,49.7500,50.3800,49.5000,49.6300,16.9307,916300
1998-03-06,49.5000,51.0000,49.2500,49.6900,16.9511,1959800
1998-03-09,49.2500,49.5600,49.0000,49.1300,16.7601,1547800
1998-03-10,49.5600,49.9400,49.3100,49.8800,17.0160,1010200
1998-03-11,50.0000,50.5000,49.3100,49.6900,16.9511,1051000
1998-03-12,49.9400,50.6300,49.8100,50.3800,17.1865,1525600
1998-03-13,50.6900,51.0000,50.1900,50.5000,17.2275,745900
1998-03-16,50.5000,51.3800,50.4400,51.2500,17.4833,964000
1998-03-17,52.5000,52.6300,51.7500,52.0600,17.7596,744500
1998-03-18,51.6900,51.8100,51.0000,51.0600,17.4185,600600
1998-03-19,51.0600,51.7500,51.0000,51.0000,17.3980,724800
1998-03-20,51.2500,51.5600,51.0000,51.3100,17.5038,566500
1998-03-23,51.2500,51.3800,51.0000,51.3100,17.5038,545800
1998-03-24,51.3100,52.7500,51.3100,52.4400,17.8893,1271600
1998-03-25,52.4400,53.0000,50.3800,51.0000,17.3980,990500
1998-03-26,51.1900,51.9400,51.0600,51.2500,17.4833,463700
1998-03-27,51.5600,51.5600,50.8100,50.8100,17.3332,1544200
1998-03-30,50.8100,51.1900,50.2500,50.3800,17.1865,832400
1998-03-31,50.6300,52.8800,50.6300,51.8100,17.6744,1262400
