,open,high,low,close,adj_close,volume
1998-01-02,35.5000,35.6300,35.2500,35.3800,7.3719,348200
1998-01-05,35.1900,35.6300,35.1900,35.3800,7.3719,1260800
1998-01-06,35.1900,35.1900,33.5000,34.2500,7.1365,512700
1998-01-07,34.4400,34.4400,34.0000,34.3800,7.1636,230900
1998-01-08,34.3800,34.6300,33.8800,34.3100,7.1490,288300
1998-01-09,34.3800,34.5600,32.9400,32.9400,6.8635,486200
1998-01-12,32.7500,33.4400,32.7500,32.8800,6.8510,912500
1998-01-13,32.9400,33.8800,32.9400,33.8100,7.0448,601100
1998-01-14,34.0600,34.8100,34.0000,34.8100,7.2532,99600
1998-01-15,35.0000,35.2500,35.0000,35.0600,7.3053,199500
1998-01-16,35.1900,37.0000,35.1900,36.8100,7.6699,243600
1998-01-20,37.0600,37.8100,36.7500,37.0600,7.7220,158100
1998-01-21,36.8100,36.8800,35.1900,35.7500,7.4490,342800
1998-01-22,35.5000,35.5000,34.0000,34.0000,7.0844,339700
1998-01-23,34.0600,34.1300,33.5600,34.1300,7.1115,168000
1998-01-26,34.2500,35.0600,34.2500,34.7500,7.2407,115600
1998-01-27,34.7500,35.5600,34.6300,35.1300,7.3198,231300
1998-01-28,35.2500,35.6900,35.2500,35.5600,7.4094,73600
1998-01-29,36.1300,38.0000,36.1300,37.8800,7.8928,431700
1998-01-30,38.0000,38.3800,36.2500,36.3800,7.5803,379300
1998-02-02,36.1300,36.6900,35.8800,35.9400,7.4886,136200
1998-02-03,35.8800,36.1300,35.5000,36.0600,7.5136,278000
1998-02-04,35.8800,37.0000,35.7500,36.6300,7.6324,125300
1998-02-05,37.0000,37.7500,37.0000,37.3100,7.7741,190900
1998-02-06,37.3100,37.9400,37.3100,37.6900,7.8533,149000
1998-02-09,37.5600,37.7500,36.0000,36.6900,7.6449,352800
1998-02-10,36.6300,38.2500,36.6300,37.7500,7.8658,286300
1998-02-11,37.9400,38.5000,37.8800,38.0000,7.9179,170600
1998-02-12,37.9400,38.0000,37.5600,37.7500,7.8741,548500
1998-02-13,37.7500,37.7500,36.5000,36.9400,7.7051,417300
1998-02-17,37.0600,37.3800,36.7500,37.1900,7.7573,635300
1998-02-18,37.3100,37.6900,37.2500,37.6900,7.8616,302500
1998-02-19,37.6300,37.6300,37.0000,37.1900,7.7573,268800
1998-02-20,37.1900,37.5000,36.6900,37.5000,7.8219,399400
1998-02-23,37.3800,37.3800,36.1300,36.1300,7.5362,363900
1998-02-24,36.1900,36.6300,36.1300,36.3100,7.5737,164300
1998-02-25,36.3100,36.9400,36.1900,36.7500,7.6655,209800
1998-02-26,37.0600,38.2500,37.0600,38.2500,7.9784,201900
1998-02-27,38.3800,39.0600,38.3800,39.0000,8.1348,132300
1998-03-02,38.8800,39.1300,38.5000,38.8100,8.0952,115100
1998-03-03,38.5600,39.1300,38.3800,39.1300,8.1619,146200
1998-03-04,39.2500,39.4400,38.3800,38.5000,8.0305,115900
1998-03-05,38.2500,38.9400,38.2500,38.5000,8.0305,241500
1998-03-06,38.8800,39.1900,37.3800,37.4400,7.8094,137300
1998-03-09,37.1900,38.5600,37.1900,38.2500,7.9784,593800
1998-03-10,38.1900,39.3100,38.1300,39.1300,8.1619,484600
1998-03-11,38.9400,39.8800,38.8100,39.3100,8.1995,174700
1998-03-12,39.3100,39.3100,38.7500,39.0600,8.1473,209300
1998-03-13,39.1900,40.7500,39.1900,40.3100,8.4081,307000
1998-03-16,40.3100,40.3100,40.0000,40.1300,8.3705,216000
1998-03-17,40.0600,40.0600,39.5000,39.7500,8.2913,669600
1998-03-18,39.9400,42.3100,39.9400,41.8100,8.7210,361400
1998-03-19,41.8800,43.0600,41.8800,43.0000,8.9692,325800
1998-03-20,43.0600,45.0000,43.0600,44.4400,9.2695,328500
1998-03-23,44.4400,46.1900,44.3800,44.5000,9.2820,380200
1998-03-24,44.1900,44.1900,42.8100,43.1300,8.9963,443800
