,open,high,low,close,adj_close,volume
1998-01-02,29.1900,30.1900,29.1900,30.0000,24.0323,462500
1998-01-05,29.8800,29.9400,28.1900,28.5600,22.8788,1043300
1998-01-06,28.7500,29.1900,28.4400,28.8100,23.0790,907300
1998-01-07,28.6300,28.6300,27.6900,28.3800,22.7346,1639300
1998-01-08,28.0000,28.0600,26.4400,26.6900,21.3808,1273300
1998-01-09,26.4400,26.4400,24.8100,25.3100,20.2753,1736400
1998-01-12,24.5000,25.0000,23.7500,23.8800,19.1297,1058400
1998-01-13,24.1900,25.3800,24.1900,25.2500,20.2272,2531500
1998-01-14,26.5000,26.5000,24.6900,24.9400,19.9789,1446300
1998-01-15,25.0000,26.1300,24.7500,26.0000,20.8280,1283200
1998-01-16,26.9400,27.5000,26.5000,27.0600,21.6772,1669400
1998-01-20,26.0000,26.6900,25.8100,26.5000,21.2286,1175700
1998-01-21,26.6300,27.4400,26.5600,27.1900,21.7813,635400
1998-01-22,27.3100,27.9400,26.5000,26.6900,21.3808,868100
1998-01-23,26.9400,30.3100,26.7500,30.0600,24.0804,2639800
1998-01-26,30.2500,30.3100,28.0600,28.5600,22.8788,2529400
1998-01-27,28.9400,29.0600,28.6300,29.0600,23.2793,1394900
1998-01-28,28.5000,29.5000,28.5000,29.3800,23.5357,1178300
1998-01-29,29.1900,29.1900,27.9400,28.0600,22.4782,1056700
1998-01-30,28.3100,28.6300,28.1300,28.5000,22.8307,820000
1998-02-02,28.5000,28.5600,27.1300,28.0000,22.4302,1007400
1998-02-03,27.6300,27.6300,26.3100,26.3800,21.1324,1065000
1998-02-04,27.1300,28.1900,27.0600,27.7500,22.2299,1645100
1998-02-05,28.6300,28.6900,27.5000,27.7500,22.2299,1397700
1998-02-06,28.0000,28.5600,27.9400,28.2500,22.6304,909800
1998-02-09,28.9400,29.1900,28.6900,28.9400,23.2072,1509900
1998-02-10,29.0000,29.0600,28.1300,28.1900,22.6058,696800
1998-02-11,28.0600,28.0600,27.6300,27.7500,22.2530,624700
1998-02-12,28.0000,28.5000,27.7500,28.5000,22.8544,747700
1998-02-13,28.4400,29.0600,28.2500,28.8800,23.1591,717200
1998-02-17,29.0600,29.0600,27.5600,27.5600,22.1006,650600
1998-02-18,27.6900,27.9400,27.1900,27.5000,22.0525,514900
1998-02-19,27.4400,27.6300,27.0600,27.2500,21.8520,708600
1998-02-20,27.0000,27.1300,26.7500,26.9400,21.6034,923200
1998-02-23,26.5000,27.1300,26.4400,27.0000,21.6515,913100
1998-02-24,26.7500,26.9400,26.4400,26.6300,21.3548,755700
1998-02-25,26.8800,27.1900,26.7500,27.0600,21.6996,393100
1998-02-26,27.0000,28.7500,27.0000,28.6900,23.0067,1049900
1998-02-27,28.9400,29.2500,28.7500,29.0000,23.2553,1210200
