,open,high,low,close,adj_close,volume
1998-01-02,49.3100,49.6300,49.3100,49.5000,3.8178,136000
1998-01-05,50.0600,50.3800,49.3800,49.6900,3.8324,250700
1998-01-06,49.8800,49.8800,49.5000,49.5600,3.8224,285500
1998-01-07,49.5600,49.6300,49.4400,49.5000,3.8178,301000
1998-01-08,49.5600,50.0600,49.5000,49.9400,3.8517,322100
1998-01-09,50.1300,50.3800,49.6900,49.8800,3.8471,158000
1998-01-12,49.8800,50.5000,49.8800,50.5000,3.8949,347400
1998-01-13,50.5600,50.6900,50.1300,50.3100,3.8802,104600
1998-01-14,50.4400,50.5600,50.3100,50.5600,3.8995,100500
1998-01-15,50.4400,50.6900,50.4400,50.5600,3.8995,169700
1998-01-16,50.6900,51.1900,50.6300,51.0600,3.9381,147700
1998-01-20,51.0600,51.4400,51.0600,51.3800,3.9628,263100
1998-01-21,51.3800,52.0000,51.3800,51.8800,4.0013,267100
1998-01-22,51.6300,52.3100,51.6300,51.8100,3.9959,158200
1998-01-23,52.0000,52.1300,51.7500,51.8800,4.0013,152000
1998-01-26,51.8800,52.0000,51.8100,51.9400,4.0060,179700
1998-01-27,51.8800,52.1900,51.8100,52.0000,4.0106,132900
1998-01-28,51.2500,51.6900,51.0000,51.0000,3.9705,266500
1998-01-29,51.0600,51.4400,51.0600,51.1300,3.9806,93800
1998-01-30,51.1900,51.5000,51.0600,51.0600,3.9752,117800
1998-02-02,51.2500,51.5600,51.2500,51.3100,3.9946,66800
1998-02-03,51.2500,51.4400,51.0000,51.0600,3.9752,120300
1998-02-04,51.0000,51.1300,50.8800,50.8800,3.9611,163700
1998-02-05,51.0000,51.2500,50.8100,50.9400,3.9658,94000
1998-02-06,51.0000,51.3100,51.0000,51.1300,3.9806,79000
1998-02-09,51.1300,51.3800,51.0600,51.1300,3.9806,111800
1998-02-10,51.1900,51.3800,51.0000,51.2500,3.9900,430800
1998-02-11,51.2500,51.5000,51.2500,51.3800,4.0001,118800
1998-02-12,51.2500,51.5600,51.1900,51.4400,4.0047,119800
1998-02-13,51.3800,51.3800,50.8100,50.8100,3.9557,53400
1998-02-17,50.9400,51.9400,50.9400,51.6900,4.0242,213200
1998-02-18,51.7500,52.0600,51.6900,51.7500,4.0289,62700
1998-02-19,51.7500,51.8100,51.4400,51.6300,4.0195,70100
1998-02-20,51.5000,51.8800,51.1900,51.5600,4.0141,345500
1998-02-23,25.9400,26.0000,25.5000,25.6300,3.9907,113250
1998-02-24,25.6900,25.7500,25.5000,25.7500,4.0094,268100
1998-02-25,25.8800,25.9400,25.6900,25.9400,4.0390,135200
1998-02-26,25.8100,25.9400,25.7500,25.7500,4.0094,128200
1998-02-27,25.7500,25.9400,25.6900,25.6900,4.0001,186800
1998-03-02,26.0000,26.1300,25.9400,26.0600,4.0577,251000
1998-03-03,26.0000,26.1900,25.7500,26.1900,4.0779,197300
1998-03-04,26.0600,26.1900,25.8100,26.1900,4.0779,118300
1998-03-05,26.0000,26.1900,25.8800,25.9400,4.0390,97500
1998-03-06,26.1300,26.4400,26.0600,26.4400,4.1169,149600
1998-03-09,26.5000,26.7500,26.2500,26.5600,4.1355,167100
