,open,high,low,close,adj_close,volume
2011-01-27,24.9000,25.8500,24.9000,25.4000,21.0955,5809300
2011-01-28,25.4000,25.4000,25.0000,25.0000,20.7632,2611900
2011-01-31,24.9800,26.5000,24.7500,26.0700,21.6519,2505300
2011-02-01,26.4500,26.6300,25.5000,25.7500,21.3861,2155300
2011-02-02,25.9800,26.3300,25.7400,25.9500,21.5522,1173100
2011-02-03,25.7600,26.0800,25.7500,25.9500,21.5522,668300
2011-02-04,26.0500,27.1000,25.7500,26.0800,21.6602,720200
2011-02-07,26.0500,26.2000,25.6400,25.7900,21.4194,1204800
2011-02-08,25.7000,26.0600,25.6500,26.0300,21.6187,3632000
2011-02-09,25.9700,26.2000,25.5300,25.5800,21.2449,873200
2011-02-10,25.5000,25.6400,25.0000,25.4000,21.0955,1149600
2011-02-11,26.0200,26.0200,25.1100,25.2200,20.9460,2107900
2011-02-14,25.4700,25.4700,25.1100,25.3700,21.0705,1122500
2011-02-15,25.3200,25.4200,25.0600,25.3800,21.0788,887500
2011-02-16,25.3100,26.0000,25.3100,26.0000,21.5938,853400
2011-02-17,25.8800,27.2100,25.8800,27.0100,22.4326,1733100
2011-02-18,27.0800,27.8400,26.8800,27.6900,22.9974,1360800
2011-02-22,27.1500,27.4900,26.2100,26.4200,21.9426,1109400
2011-02-23,26.1500,26.7200,25.9700,26.6600,22.1419,1125400
2011-02-24,26.4600,26.5200,25.9400,25.9500,21.5522,496900
2011-02-25,26.0400,26.1600,25.7800,25.9900,21.5855,556100
2011-02-28,26.1100,26.7400,25.9600,26.5900,22.0838,872400
2011-03-01,26.0000,27.5000,25.9201,27.1300,22.5323,1033500
2011-03-02,27.0500,27.2500,26.7400,26.9200,22.3579,419700
2011-03-03,26.8400,26.9400,26.0700,26.7400,22.2084,2173600
2011-03-04,26.5200,27.0400,26.3200,26.5500,22.0506,719100
2011-03-07,27.2700,27.8400,26.8500,27.0000,22.4243,1476600
2011-03-08,27.0000,27.4900,26.9000,27.1000,22.5074,921300
2011-03-09,27.0000,27.1800,26.6800,26.9700,22.3994,470800
2011-03-10,26.4700,26.9400,25.8700,26.0200,21.6104,1128300
2011-03-11,25.8100,26.4800,25.8100,26.0000,21.5938,706900
2011-03-14,25.7900,26.7600,25.7700,26.4600,21.9758,786600
2011-03-15,25.9000,26.5800,25.8100,26.3400,21.8761,859600
2011-03-16,26.3200,26.3800,25.7100,26.0300,21.6187,1261100
2011-03-17,26.4300,26.4900,26.0400,26.0900,21.6685,363600
2011-03-18,26.2000,26.6600,26.2000,26.6400,22.1253,663900
2011-03-21,26.6500,27.0600,26.4400,27.0000,22.4243,377600
2011-03-22,26.9100,27.4700,26.8200,27.1500,22.5489,720600
2011-03-23,27.0100,27.3800,26.6300,26.7800,22.2416,812000
2011-03-24,26.8500,27.1400,26.4300,27.0600,22.4741,225200
2011-03-25,27.2100,28.1500,27.2100,27.6200,22.9392,475200
2011-03-28,27.5800,28.0200,27.3400,27.4900,22.8313,605300
2011-03-29,27.5200,27.9400,27.3100,27.9400,23.2050,410800
2011-03-30,28.0100,28.1500,27.6200,27.8200,23.1053,912000
2011-03-31,27.8400,27.9500,27.1500,27.3100,22.6818,5847400
2011-04-01,27.4000,27.6600,27.0100,27.2900,22.6652,609800
2011-04-04,27.2800,28.0000,27.2800,27.7500,23.0472,945500
2011-04-05,27.6400,27.6400,27.1700,27.4100,22.7648,273400
2011-04-06,27.4900,27.5300,27.0600,27.5000,22.8396,653900
2011-04-07,27.3900,27.6100,26.9400,27.4800,22.8230,242400
2011-04-08,27.7700,27.7700,26.9100,27.0300,22.4492,446100
2011-04-11,27.0000,27.9700,26.8800,27.6500,22.9641,483700
2011-04-12,27.4800,28.2600,27.3200,28.0800,23.3213,1260300
2011-04-13,28.1800,28.4200,27.9300,28.0700,23.3130,1031600
2011-04-14,27.9700,28.0500,27.4805,27.6600,22.9724,161600
2011-04-15,27.6300,28.0300,27.5400,28.0200,23.2714,246800
2011-04-18,27.7000,27.8800,27.2200,27.3000,22.6735,311500
2011-04-19,27.3000,28.1900,27.2700,27.6000,22.9226,371200
2011-04-20,27.9200,28.0000,27.1400,27.2800,22.6568,1493500
2011-04-21,27.4800,29.2300,27.4800,28.7500,23.8777,1009500
2011-04-25,28.8700,29.0600,27.8100,28.6000,23.7531,1074200
2011-04-26,28.6000,28.7400,28.0900,28.4700,23.6452,491200
2011-04-27,28.5700,29.1100,28.5200,28.7200,23.8528,848500
2011-04-28,28.7700,31.5000,28.6500,29.3200,24.3511,2091200
2011-04-29,29.3800,30.1000,29.2709,29.8900,24.8245,1065600
2011-05-02,29.8900,30.1500,29.7400,29.8300,24.7747,437800
2011-05-03,29.8500,29.9500,29.2600,29.3500,24.3760,470700
2011-05-04,29.5000,29.5800,28.5800,28.8500,23.9608,599000
2011-05-05,28.7700,29.8300,28.7500,29.7700,24.7249,415600
2011-05-06,29.9400,30.1300,29.6000,29.8300,24.7747,198500
2011-05-09,29.9000,30.7800,29.7800,30.2900,25.1567,742200
2011-05-10,30.4300,30.8500,30.0900,30.2200,25.0986,328500
2011-05-11,30.4100,30.5000,30.0400,30.1900,25.0737,701900
2011-05-12,30.0800,30.5200,29.3500,30.2700,25.1401,657000
2011-05-13,30.3700,30.7200,29.9050,30.6000,25.4142,383700
2011-05-16,30.4900,31.4700,30.2000,30.9000,25.6634,694400
2011-05-17,30.8900,32.6200,30.8900,32.0600,26.6268,1846300
2011-05-18,31.1300,32.3300,30.7300,32.0300,26.6019,1327400
2011-05-19,31.9000,32.1500,31.3500,31.7000,26.3278,643200
2011-05-20,31.7300,32.0700,31.5000,31.9400,26.5271,599400
2011-05-23,31.6900,32.0250,31.2100,31.4500,26.1202,732900
2011-05-24,31.7400,31.7500,30.1300,30.6100,25.4225,1721400
2011-05-25,30.6100,31.8600,30.3300,30.7400,25.5305,1114400
2011-05-26,30.7700,31.2000,30.5400,31.0200,25.7630,669100
2011-05-27,31.3100,31.8300,31.0900,31.3600,26.0454,1110200
2011-05-31,31.7800,33.0000,31.2500,31.4900,26.1534,4236000
2011-06-01,31.5900,31.6850,30.7000,30.8300,25.6052,618100
2011-06-02,30.9000,32.1100,30.8500,32.0000,26.5769,597600
2011-06-03,31.6500,31.9600,31.1400,31.6200,26.2613,360400
2011-06-06,31.6400,31.7900,31.0700,31.1500,25.8710,281200
2011-06-07,31.1800,32.0599,31.1500,31.7700,26.3859,782900
2011-06-08,31.6400,31.8500,31.3800,31.4400,26.1118,397200
2011-06-09,31.5500,31.5500,31.1300,31.4900,26.1534,153200
2011-06-10,31.4300,31.4300,30.2900,30.5600,25.3810,280900
2011-06-13,30.5400,31.2700,30.4800,30.6400,25.4474,508900
2011-06-14,30.8200,31.2000,30.5700,30.6100,25.4225,242200
2011-06-15,30.3600,31.1600,29.7200,29.7400,24.6999,848200
2011-06-16,29.7100,29.9000,28.5900,29.1300,24.1933,1063300
2011-06-17,29.2700,31.1700,29.2700,30.2800,25.1484,1302500
2011-06-20,30.1600,30.2500,29.3850,29.5400,24.5338,515400
2011-06-21,29.5000,30.7400,29.3200,30.5500,25.3727,291000
2011-06-22,30.3800,30.5000,29.9400,30.0100,24.9242,345900
2011-06-23,29.7800,30.9300,29.5300,30.7500,25.5388,927900
2011-06-24,30.6700,30.7800,29.6600,29.9700,24.8910,1285600
2011-06-27,29.9200,30.1500,29.3400,29.4000,24.4176,285800
2011-06-28,29.7000,30.0800,29.1300,29.9300,24.8578,435400
2011-06-29,29.9700,30.7200,29.7300,30.5000,25.3312,629500
2011-06-30,30.6300,31.6800,30.4300,31.1600,25.8793,779500
2011-07-01,31.1100,31.2900,30.1700,30.8400,25.6135,628000
2011-07-05,30.7400,30.9500,30.2000,30.9000,25.6634,190400
2011-07-06,30.9100,31.2000,30.4100,30.6900,25.4890,307200
2011-07-07,30.8400,31.8000,30.7206,31.3600,26.0454,210400
2011-07-08,30.9300,31.0100,30.3100,30.6200,25.4308,150200
2011-07-11,30.3200,30.5100,30.0000,30.0800,24.9823,106500
2011-07-12,29.8400,30.3600,29.7500,30.0500,24.9574,289700
2011-07-13,30.3100,31.1200,29.9700,30.1000,24.9989,197800
2011-07-14,30.1000,30.4400,29.6100,30.3000,25.1650,504500
2011-07-15,30.6800,31.4800,30.6800,31.0400,25.7796,517000
2011-07-18,30.9900,31.1200,30.1400,30.5300,25.3561,347400
2011-07-19,30.6300,31.3400,30.6300,30.8400,25.6135,287000
2011-07-20,30.8100,31.0000,30.1000,30.2200,25.0986,441800
2011-07-21,30.5000,30.7400,30.3300,30.5100,25.3395,1398100
2011-07-22,30.6200,31.3500,30.4600,30.9400,25.6966,754100
2011-07-25,30.5800,31.0900,30.2400,30.3800,25.2315,719400
2011-07-26,30.4000,30.5700,30.1600,30.2900,25.1567,432600
2011-07-27,30.0600,30.6500,29.8900,30.3900,25.2398,1087900
2011-07-28,30.7600,31.8300,30.3200,30.3900,25.2398,824400
2011-07-29,30.0300,30.1400,29.6800,29.9600,24.8827,1750000
2011-08-01,30.2200,30.4800,29.7008,29.8900,24.8245,502600
2011-08-02,29.6700,30.0000,28.9400,29.0000,24.0854,436400
2011-08-03,28.9200,29.1500,28.4100,29.1100,24.1767,608000
2011-08-04,28.6600,28.9900,28.1100,28.1200,23.3545,909100
2011-08-05,28.3300,28.5300,26.7400,27.6500,22.9641,1560600
2011-08-08,26.7500,27.4400,26.0600,26.1200,21.6934,1136300
2011-08-09,26.3600,27.0600,25.7900,27.0500,22.4658,1107200
2011-08-10,26.5900,27.4100,26.3700,26.4700,21.9841,1437800
2011-08-11,26.7000,27.6400,26.4200,27.4300,22.7814,944900
2011-08-12,27.4900,27.7900,26.9600,27.0500,22.4658,289600
2011-08-15,27.1800,28.0100,27.1100,27.8800,23.1552,808000
2011-08-16,27.7100,28.2000,27.5500,27.8700,23.1469,517500
2011-08-17,27.9200,28.7850,27.9200,28.5100,23.6784,547400
2011-08-18,28.0800,28.0800,26.7300,27.4100,22.7648,1153000
2011-08-19,26.9600,27.5700,26.5100,26.5600,22.0589,1435200
2011-08-22,26.9200,27.8500,26.8000,27.6800,22.9891,1520900
2011-08-23,27.8400,27.8700,26.7100,27.4400,22.7897,847500
2011-08-24,27.1800,28.2300,27.1700,27.7500,23.0472,857000
2011-08-25,27.7600,27.8500,27.2300,27.5200,22.8562,670100
2011-08-26,27.4000,28.8500,27.0500,28.2900,23.4957,772400
2011-08-29,28.5700,29.6800,28.2300,29.5500,24.5421,462700
2011-08-30,29.3700,29.6800,28.9200,29.4300,24.4425,465300
2011-08-31,29.5200,29.8700,29.3400,29.6600,24.6335,583800
2011-09-01,29.6300,29.8900,29.3400,29.3900,24.4093,294700
2011-09-02,29.0400,29.5500,28.8900,29.5100,24.5089,532000
2011-09-06,28.7600,29.1300,28.3700,28.8300,23.9442,575500
2011-09-07,29.1600,29.5000,28.8300,29.0700,24.1435,849800
2011-09-08,28.8400,29.2800,28.8400,29.1300,24.1933,401100
2011-09-09,28.9700,29.1500,27.8700,28.3300,23.5289,450800
