,open,high,low,close,adj_close,volume
1998-01-02,115.5000,116.0000,114.0000,114.9000,32.8480,135000
1998-01-05,114.7000,116.4000,114.7000,116.0000,33.1625,91400
1998-01-06,116.0000,116.5000,115.5000,116.2000,33.2196,277350
1998-01-07,116.0000,122.5000,115.6000,122.5000,35.0207,335000
1998-01-08,122.3000,122.3000,119.3000,120.0000,34.3060,487850
1998-01-09,119.9000,120.0000,116.8000,117.4000,33.5627,224100
1998-01-12,116.0000,118.1000,116.0000,117.4000,33.5627,412600
1998-01-13,117.4000,117.8000,116.8000,117.6000,33.6199,646700
1998-01-14,117.9000,117.9000,117.1000,117.6000,33.6199,134650
1998-01-15,117.6000,117.9000,117.0000,117.0000,33.4483,282100
1998-01-16,117.5000,117.7000,116.9000,117.3000,33.5341,319750
1998-01-20,117.5000,117.9000,117.0000,117.9000,33.7056,199550
1998-01-21,117.9000,119.9000,117.8000,119.9000,34.2774,389350
1998-01-22,119.7000,123.5000,119.3000,122.0000,34.8778,476800
1998-01-23,122.0000,122.8000,121.5000,122.0000,34.8778,466250
1998-01-26,122.0000,123.8000,122.0000,123.3000,35.2494,464700
1998-01-27,123.3000,125.2000,122.8000,123.8000,35.3923,392650
1998-01-28,124.0000,124.9000,123.8000,124.6000,35.6211,338750
1998-01-29,123.6000,125.4000,123.6000,123.8000,35.3923,181800
1998-01-30,123.8000,123.8000,122.3000,122.6000,35.0493,142750
1998-02-02,124.5000,126.1000,124.3000,126.1000,36.0499,316750
1998-02-03,125.9000,126.9000,125.6000,126.7000,36.2214,153600
1998-02-04,126.8000,130.3000,126.5000,129.8000,37.1076,216900
1998-02-05,129.8000,129.9000,127.7000,128.7000,36.7932,451900
1998-02-06,128.7000,130.7000,128.7000,129.9000,37.1362,171100
1998-02-09,129.9000,130.3000,128.8000,129.2000,36.9361,556250
1998-02-10,129.0000,131.8000,129.0000,131.4000,37.5651,204400
1998-02-11,131.3000,131.4000,129.5000,130.1000,37.1934,670500
1998-02-12,130.0000,131.4000,128.8000,130.9000,37.4221,137100
1998-02-13,130.6000,131.1000,129.6000,131.1000,37.4793,479350
1998-02-17,129.9000,131.3000,129.8000,130.3000,37.2506,207300
1998-02-18,130.0000,130.9000,129.3000,130.2000,37.2220,189900
1998-02-19,130.3000,130.6000,129.6000,130.5000,37.3078,88750
1998-02-20,131.4000,132.4000,131.0000,132.4000,37.8509,191350
1998-02-23,132.3000,133.0000,131.4000,132.0000,37.7366,108900
1998-02-24,132.0000,132.0000,129.6000,130.4000,37.2792,102000
1998-02-25,130.7000,135.3000,130.7000,134.1000,38.3369,280350
1998-02-26,134.4000,138.5000,134.4000,138.3000,39.5377,546400
1998-02-27,138.3000,139.0000,136.7000,139.0000,39.7378,210150
1998-03-02,138.6000,138.7000,136.9000,137.1000,39.1946,261200
1998-03-03,136.1000,136.1000,134.1000,135.6000,38.7658,189700
1998-03-04,135.4000,135.4000,133.1000,134.9000,38.5657,103900
1998-03-05,134.9000,135.9000,133.4000,134.6000,38.4799,183950
1998-03-06,135.3000,137.6000,135.0000,137.6000,39.3375,105800
1998-03-09,119.5000,124.0000,111.5000,117.5000,33.5913,3025650
1998-03-10,117.0000,117.4000,112.0000,114.0000,32.7050,2411800
1998-03-11,113.4000,115.3000,110.5000,115.3000,33.0780,2221550
1998-03-12,116.0000,116.0000,112.8000,113.7000,32.6190,854650
1998-03-13,111.5000,114.5000,111.5000,113.9000,32.6764,1272250
1998-03-16,114.3000,114.3000,112.3000,112.9000,32.3895,799000
1998-03-17,113.0000,114.9000,109.6000,110.0000,31.5575,1361800
1998-03-18,108.5000,109.1000,104.9000,107.5000,30.8403,1760450
1998-03-19,106.9000,110.0000,106.0000,108.9000,31.2419,1369750
1998-03-20,109.0000,109.0000,106.3000,107.0000,30.6968,1478350
1998-03-23,106.0000,107.9000,104.1000,107.5000,30.8403,1676450
1998-03-24,107.3000,107.3000,105.5000,106.9000,30.6682,567900
1998-03-25,105.9000,106.7000,105.3000,105.5000,30.2665,719050
1998-03-26,105.4000,105.9000,104.8000,105.0000,30.1231,370400
1998-03-27,105.5000,105.5000,103.3000,103.5000,29.6927,435500
1998-03-30,103.5000,103.9000,102.8000,103.6000,29.7214,217350
1998-03-31,103.8000,108.0000,103.8000,107.4000,30.8116,712450
1998-04-01,107.2000,109.4000,106.3000,109.4000,31.3854,612700
1998-04-02,109.1000,109.1000,105.8000,106.9000,30.6682,805500
1998-04-03,107.0000,109.0000,106.9000,108.0000,30.9837,1028750
1998-04-06,108.0000,108.0000,105.5000,106.0000,30.4100,142100
1998-04-07,106.0000,109.9000,105.6000,108.8000,31.2132,1172550
1998-04-08,108.5000,108.5000,106.0000,106.4000,30.5247,600300
1998-04-09,106.8000,107.3000,106.1000,106.3000,30.4960,454300
1998-04-13,106.6000,108.3000,106.6000,107.8000,30.9264,228300
1998-04-14,107.8000,108.3000,107.3000,108.1000,31.0124,103900
1998-04-15,108.1000,108.5000,106.3000,106.8000,30.6395,521500
1998-04-16,106.7000,106.7000,105.5000,105.9000,30.3813,255550
1998-04-17,106.0000,106.0000,105.1000,105.5000,30.2665,222350
1998-04-20,105.3000,105.6000,104.8000,104.8000,30.0657,210400
1998-04-21,104.6000,105.4000,104.2000,105.2000,30.1804,369550
1998-04-22,105.3000,108.4000,105.1000,107.6000,30.8690,353250
1998-04-23,107.3000,107.9000,107.0000,107.6000,30.8690,221650
1998-04-24,107.7000,107.7000,106.2000,106.4000,30.5247,286850
1998-04-27,106.2000,107.0000,104.3000,105.3000,30.2091,188450
1998-04-28,105.8000,106.7000,105.2000,106.6000,30.5821,179850
1998-04-29,106.7000,106.9000,105.6000,106.1000,30.4386,131000
1998-04-30,105.7000,106.9000,105.3000,105.7000,30.3239,117750
1998-05-01,105.7000,108.6000,105.7000,107.6000,30.8690,328250
1998-05-04,107.6000,107.9000,105.8000,107.6000,30.8690,204600
1998-05-05,107.4000,108.1000,106.3000,106.6000,30.5821,165350
1998-05-06,106.6000,110.8000,105.6000,109.7000,31.4714,919950
1998-05-07,109.8000,109.8000,106.3000,107.4000,30.8116,307900
1998-05-08,107.3000,108.8000,107.3000,107.8000,30.9264,214050
1998-05-11,107.6000,108.6000,107.5000,107.6000,30.8690,136450
1998-05-12,106.9000,107.7000,106.8000,106.9000,30.6682,111200
1998-05-13,105.9000,107.2000,105.9000,106.9000,30.6682,93950
1998-05-14,106.9000,110.3000,106.8000,108.0000,30.9837,237050
1998-05-15,108.1000,108.3000,106.4000,107.5000,30.8403,301050
1998-05-18,107.3000,107.8000,106.5000,106.8000,30.6395,90050
1998-05-19,107.0000,108.8000,107.0000,107.5000,30.8403,378700
1998-05-20,107.6000,107.8000,106.6000,107.3000,30.7829,398450
1998-05-21,107.3000,108.4000,107.1000,107.4000,30.8116,219000
1998-05-22,107.2000,107.8000,106.9000,107.7000,30.8977,154500
1998-05-26,107.9000,108.3000,106.5000,106.5000,30.5534,113000
