,open,high,low,close,adj_close,volume
1998-01-02,30.8100,30.9400,30.0300,30.2500,18.7309,585200
1998-01-05,30.7500,31.0000,30.6300,31.0000,19.1953,656800
1998-01-06,31.0000,31.3800,30.7500,31.0000,19.1953,539900
1998-01-07,31.0000,31.5000,30.7500,31.5000,19.5049,1005500
1998-01-08,31.0600,31.1300,30.3100,30.7500,19.0405,754700
1998-01-09,30.6300,30.6300,29.8800,30.0000,18.5761,630200
1998-01-12,29.5000,30.5000,29.5000,30.5000,18.8857,1347500
1998-01-13,30.8800,30.8800,30.5000,30.7500,19.0405,862100
1998-01-14,30.9400,30.9400,30.2500,30.4400,18.8486,883700
1998-01-15,30.3100,30.4400,30.0000,30.1900,18.6938,491100
1998-01-16,30.4400,30.5000,30.0600,30.1300,18.6566,660800
1998-01-20,30.1300,31.5000,30.1300,31.5000,19.5049,615300
1998-01-21,31.5000,31.5600,30.6900,31.3800,19.4306,983900
1998-01-22,31.3800,31.3800,30.3800,31.3100,19.3873,628500
1998-01-23,31.5600,32.0000,30.6300,30.9400,19.1582,673200
1998-01-26,30.9400,30.9400,30.0000,30.3100,18.7681,581600
1998-01-27,30.1900,30.6900,30.1900,30.5000,18.8857,521800
1998-01-28,30.3100,32.3100,30.3100,31.6900,19.6226,828400
1998-01-29,31.6300,32.5000,31.4400,32.0000,19.8145,812800
1998-01-30,31.7500,32.3100,31.4400,31.5600,19.5421,631400
1998-02-02,32.0000,32.5000,31.8100,32.3800,20.0498,493600
1998-02-03,31.9400,33.1300,31.9400,33.0600,20.4709,551700
1998-02-04,31.9400,33.4400,31.9400,33.1900,20.6752,559800
1998-02-05,33.3800,33.5000,32.5600,33.0000,20.5569,377200
1998-02-06,33.1900,33.8100,33.0000,33.5600,20.9057,495000
1998-02-09,33.5000,33.9400,33.0000,33.9400,21.1424,546300
1998-02-10,33.6900,33.9400,33.4400,33.6900,20.9867,550600
1998-02-11,33.6900,34.3800,33.5600,34.3800,21.4165,805900
1998-02-12,34.3800,35.1300,33.9400,35.0000,21.8027,530800
1998-02-13,34.5000,35.0000,34.3100,34.7500,21.6470,379400
1998-02-17,34.7500,35.3100,34.4400,35.3100,21.9958,538000
1998-02-18,35.6900,35.7500,35.3100,35.6300,22.1952,701300
1998-02-19,35.5000,35.5000,35.1300,35.3800,22.0395,634700
1998-02-20,35.5600,36.1900,35.3100,36.1300,22.5067,462600
1998-02-23,36.3800,36.5000,35.2500,35.9400,22.3883,422300
1998-02-24,35.5600,35.5600,34.6900,35.3100,21.9958,433300
1998-02-25,35.5600,35.5600,35.0000,35.3100,21.9958,296200
1998-02-26,35.0600,35.3800,34.3800,34.8100,21.6844,1360400
1998-02-27,34.7500,34.9400,34.1300,34.4400,21.4539,327200
1998-03-02,34.5000,34.5000,34.1300,34.3800,21.4165,782900
1998-03-03,34.3800,34.4400,34.1900,34.3100,21.3729,797400
1998-03-04,34.1300,34.3800,34.0000,34.2500,21.3355,1034700
1998-03-05,34.0600,34.2500,33.9400,33.9400,21.1424,454900
1998-03-06,33.8800,35.4400,33.8800,35.4400,22.0768,1153700
1998-03-09,35.1900,36.0600,34.8800,35.9400,22.3883,456800
1998-03-10,35.7500,36.8100,35.5600,36.6900,22.8555,658500
1998-03-11,36.4400,36.7500,35.9400,36.3800,22.6624,438000
1998-03-12,36.3800,36.7500,35.7500,36.5600,22.7745,465300
1998-03-13,36.5600,36.7500,36.1900,36.3800,22.6624,368000
1998-03-16,36.7500,37.0000,36.4400,37.0000,23.0486,319000
1998-03-17,37.0000,38.4400,37.0000,38.2500,23.8273,831100
1998-03-18,38.1900,39.3100,38.0600,38.9400,24.2571,647700
1998-03-19,38.9400,40.0600,38.9400,40.0000,24.9174,763600
1998-03-20,41.7500,41.7500,40.0600,40.3800,25.1541,1433200
1998-03-23,39.3800,40.0000,38.6300,39.0000,24.2945,611100
1998-03-24,38.7500,39.3100,38.5600,39.1900,24.4128,338900
1998-03-25,39.0600,39.1900,38.5000,38.7500,24.1387,1159500
1998-03-26,38.2500,38.4400,37.5000,37.6300,23.4411,1073300
1998-03-27,37.6300,38.2500,37.6300,37.9400,23.6342,698100
1998-03-30,37.6300,37.8800,37.2500,37.6300,23.4411,499000
1998-03-31,37.3800,38.0000,37.2500,37.3800,23.2853,1124500
1998-04-01,37.4400,37.9400,37.0000,37.7500,23.5158,605800
1998-04-02,37.5000,38.3800,37.2500,37.7500,23.5158,782000
1998-04-03,38.0000,38.8800,37.8800,38.5000,23.9830,923800
1998-04-06,38.7500,39.0600,38.0000,38.0000,23.6715,1134100
1998-04-07,38.0000,38.0600,37.0600,37.2500,23.2043,567000
1998-04-08,37.2500,37.2500,35.7500,36.0600,22.4630,1140700
1998-04-09,36.2500,36.3800,35.2500,35.6300,22.1952,815000
1998-04-13,35.3800,35.4400,34.6900,35.1300,21.8837,898100
1998-04-14,35.1300,35.5000,34.6300,35.0000,21.8027,704900
1998-04-15,35.2500,35.5000,34.6300,35.3100,21.9958,652500
1998-04-16,35.3100,35.4400,34.8800,35.4400,22.0768,328000
1998-04-17,35.5000,36.1900,35.1900,36.1900,22.5440,639700
1998-04-20,35.9400,35.9400,35.0600,35.9400,22.3883,503200
1998-04-21,35.2500,35.6900,35.0600,35.1900,21.9211,440300
1998-04-22,35.1900,36.3100,35.1300,36.0600,22.4630,709000
1998-04-23,35.8100,35.8100,34.8100,35.0000,21.8027,390800
1998-04-24,34.7500,35.0000,33.6300,33.6300,20.9493,530200
1998-04-27,33.3800,33.6900,33.0000,33.1900,20.6752,753900
1998-04-28,33.4400,33.5600,32.5000,32.7500,20.4011,658300
1998-04-29,32.8800,33.0600,32.7500,32.9400,20.6441,485500
1998-04-30,33.0000,33.8800,33.0000,33.4400,20.9574,633800
1998-05-01,33.8800,34.0000,33.0900,33.9400,21.2708,317000
1998-05-04,34.5000,35.1300,34.1900,34.8100,21.8160,509500
1998-05-05,34.5600,34.6300,34.1300,34.5000,21.6218,333500
1998-05-06,35.0000,35.0000,33.3800,33.4400,20.9574,427200
1998-05-07,33.3100,33.3100,32.6900,32.9400,20.6441,575700
1998-05-08,32.9400,33.8800,32.9400,33.4400,20.9574,348800
1998-05-11,33.4400,33.8800,33.0600,33.2500,20.8384,324600
1998-05-12,33.2500,33.6300,33.0000,33.3800,20.9198,336800
1998-05-13,33.0000,33.6300,33.0000,33.6300,21.0765,470100
1998-05-14,33.5600,34.7500,33.1900,33.8800,21.2332,497200
1998-05-15,34.2500,34.3800,33.3100,33.4400,20.9574,592500
1998-05-18,33.2500,33.6300,32.7500,33.3100,20.8760,500700
1998-05-19,33.1900,33.6300,33.0000,33.4400,20.9574,580200
1998-05-20,33.4400,33.8100,33.1900,33.7500,21.1517,425100
1998-05-21,33.5600,33.8800,33.3100,33.5000,20.9950,1194500
1998-05-22,33.6900,33.7500,32.6900,32.7500,20.5250,557400
1998-05-26,33.0000,33.0000,32.2500,32.4400,20.3307,674800
1998-05-27,32.4400,32.4400,31.5000,31.8100,19.9359,986300
1998-05-28,31.9400,32.0000,31.5000,31.7500,19.8983,2476100
1998-05-29,31.6300,31.6900,31.0600,31.4400,19.7040,763600
1998-06-01,31.3100,31.4400,31.1300,31.3100,19.6225,762800
1998-06-02,31.7500,31.7500,30.6900,31.0000,19.4282,1409600
1998-06-03,31.0000,31.2500,30.7500,30.9400,19.3906,531400
1998-06-04,31.0000,31.7500,30.8800,31.5000,19.7416,652900
1998-06-05,31.7500,31.7500,31.2500,31.5000,19.7416,973500
1998-06-08,31.6900,31.7500,31.2500,31.3800,19.6664,612900
1998-06-09,31.6900,32.2500,31.6300,32.2500,20.2116,1708800
1998-06-10,31.8800,32.0000,31.3100,31.3100,19.6225,1100900
1998-06-11,31.1900,31.4400,30.6300,30.6900,19.2340,607200
1998-06-12,30.7500,31.0000,30.1300,30.3800,19.0397,765700
1998-06-15,30.0000,30.4400,30.0000,30.1900,18.9206,699300
1998-06-16,30.0000,30.1300,29.1900,30.0000,18.8015,852100
1998-06-17,30.0000,30.1900,29.7500,29.8800,18.7263,688400
1998-06-18,29.8800,29.9400,29.1300,29.5000,18.4882,1208100
1998-06-19,29.5000,29.9400,29.5000,29.8100,18.6824,987200
1998-06-22,29.8100,29.8100,28.6300,29.0000,18.1748,1083300
1998-06-23,29.1900,29.3800,28.9400,29.1900,18.2939,1195900
1998-06-24,29.1900,29.3100,29.0600,29.3100,18.3691,635700
1998-06-25,29.5000,29.6300,29.1900,29.1900,18.2939,637100
1998-06-26,29.4400,29.9400,29.2500,29.5000,18.4882,786600
