,open,high,low,close,adj_close,volume
1998-01-02,35.0000,35.0000,30.8800,32.0000,3.5691,219500
1998-01-05,31.8800,34.0000,31.8100,33.7500,3.7643,179400
1998-01-06,33.3800,34.5000,32.3800,33.6300,3.7509,84800
1998-01-07,32.2500,32.3800,29.6300,30.5000,3.4018,163100
1998-01-08,31.5000,31.5000,29.3800,30.7500,3.4297,109600
1998-01-09,30.0000,30.5000,28.0000,28.0000,3.1230,327300
1998-01-12,26.0000,28.1300,26.0000,27.7500,3.0951,235200
1998-01-13,28.2500,29.7500,28.0000,29.1300,3.2490,285400
1998-01-14,29.7500,29.7500,27.6900,28.1300,3.1375,143700
1998-01-15,28.8800,29.0000,27.0000,27.6300,3.0817,165700
1998-01-16,28.1300,28.5000,27.0600,28.0000,3.1230,247500
1998-01-20,27.6300,29.0000,27.6300,28.8800,3.2211,407200
1998-01-21,28.0000,29.4400,28.0000,29.3800,3.2769,452200
1998-01-22,29.3800,29.6300,28.3800,29.2500,3.2624,115600
1998-01-23,28.7500,29.5000,28.5000,29.1300,3.2490,151700
1998-01-26,29.5000,29.8800,28.8800,28.8800,3.2211,164700
1998-01-27,28.8800,28.9400,27.8800,28.6900,3.1999,53600
1998-01-28,29.1300,29.6300,28.0000,29.0300,3.2379,65500
1998-01-29,29.0000,31.8800,29.0000,30.8800,3.4442,498500
1998-01-30,30.8800,30.8800,29.3800,30.1300,3.3605,89100
1998-02-02,31.2500,32.0000,30.5000,31.6300,3.5278,188800
1998-02-03,30.7500,32.2500,30.5000,32.0000,3.5691,119300
1998-02-04,31.0000,33.6300,31.0000,32.7500,3.6528,262800
1998-02-05,33.5000,34.0000,32.0000,32.2500,3.5970,283800
1998-02-06,32.7500,33.7500,31.7500,33.1300,3.6952,114100
1998-02-09,34.2500,34.2500,31.6300,33.1300,3.6952,124400
1998-02-10,32.0000,35.0000,32.0000,34.2500,3.8201,243900
1998-02-11,33.8800,33.8800,28.5000,30.7500,3.4297,1600100
1998-02-12,31.0000,31.0000,29.0000,29.5000,3.2903,427400
1998-02-13,30.1300,30.2500,29.4400,29.6300,3.3048,168700
1998-02-17,30.0000,30.0000,28.5000,28.5600,3.1854,121100
1998-02-18,29.5000,29.5000,28.3800,29.1900,3.2557,175300
1998-02-19,29.0000,29.5000,27.7500,27.7500,3.0951,116000
1998-02-20,27.8800,28.6300,27.7500,27.8800,3.1096,110300
1998-02-23,28.6300,28.6300,27.6300,28.1600,3.1408,208400
1998-02-24,28.2500,28.2500,27.2500,27.3800,3.0538,172200
1998-02-25,27.3800,28.0000,27.0000,27.3100,3.0460,260200
1998-02-26,27.3800,27.5000,26.6900,27.3800,3.0538,400900
1998-02-27,27.5000,29.8800,27.3800,29.5000,3.2903,497500
1998-03-02,30.0000,32.5000,30.0000,31.8100,3.5479,671600
1998-03-03,31.3800,32.2500,30.7500,31.1300,3.4721,903600
1998-03-04,30.7500,32.0000,30.7500,31.8100,3.5479,117800
1998-03-05,30.0000,32.0000,28.5000,28.6300,3.1932,287200
1998-03-06,29.5000,31.0000,28.0000,29.7500,3.3182,135600
1998-03-09,29.7500,30.2800,28.0000,28.1300,3.1375,73000
1998-03-10,29.0000,30.0000,28.5000,29.9400,3.3394,58700
1998-03-11,29.5000,31.0000,29.5000,30.4400,3.3951,148100
1998-03-12,30.8800,30.8800,29.8100,30.8800,3.4442,146800
1998-03-13,31.0000,32.2500,31.0000,32.1300,3.5836,346400
1998-03-16,32.2500,33.5000,31.7500,32.7500,3.6528,224200
1998-03-17,33.3800,33.3800,31.8800,32.2500,3.5970,352500
1998-03-18,32.1300,32.7500,30.3800,31.7800,3.5446,85700
1998-03-19,31.0000,31.6300,31.0000,31.6300,3.5278,53500
1998-03-20,31.0600,31.6300,30.0000,30.8100,3.4364,166200
1998-03-23,30.0600,33.0000,30.0600,32.7200,3.6494,140500
1998-03-24,32.8100,34.2500,32.8100,34.1300,3.8067,178300
1998-03-25,34.2500,34.5000,33.2500,34.0000,3.7922,104100
1998-03-26,33.0000,34.1300,32.5000,34.0000,3.7922,48500
1998-03-27,34.2500,35.3800,33.2500,35.2500,3.9316,380000
1998-03-30,34.7500,36.6300,34.7500,36.2500,4.0431,356800
1998-03-31,35.7500,36.2500,34.2500,35.5000,3.9595,979800
1998-04-01,36.3800,36.3800,35.3800,35.3800,3.9461,246400
1998-04-02,35.3800,35.8800,34.0000,35.1300,3.9182,111100
1998-04-03,35.6300,35.6300,34.3800,34.3800,3.8346,42100
1998-04-06,35.2500,35.2500,33.0000,33.0300,3.6840,144500
1998-04-07,33.0000,33.1900,31.0000,31.5000,3.5133,275700
1998-04-08,32.0000,34.7500,32.0000,33.1300,3.6952,109400
1998-04-09,32.8800,33.7500,31.5000,32.7500,3.6528,57100
1998-04-13,33.5000,34.0000,32.0000,33.5000,3.7364,104300
1998-04-14,33.0000,34.5000,33.0000,34.3100,3.8268,37400
1998-04-15,34.5000,34.8800,34.0000,34.5000,3.8480,63700
1998-04-16,33.1300,34.5000,33.1300,34.0600,3.7989,16300
1998-04-17,33.0600,34.5000,32.6300,34.5000,3.8480,60600
1998-04-20,34.5000,34.8800,33.5000,34.3800,3.8346,128700
1998-04-21,35.7500,36.0000,34.3800,35.7500,3.9874,124200
1998-04-22,35.3800,36.0000,34.8100,35.3800,3.9461,102200
1998-04-23,35.0000,35.8800,34.8800,35.3800,3.9461,100300
1998-04-24,35.5000,36.5000,34.5000,35.2500,3.9316,93200
1998-04-27,35.2500,35.2500,33.0000,33.1300,3.6952,79500
1998-04-28,34.0000,35.4400,34.0000,35.2200,3.9283,69700
1998-04-29,35.3800,37.0000,35.2500,36.5000,4.0710,114100
1998-04-30,35.6300,37.3800,35.5000,36.0600,4.0219,171100
1998-05-01,36.5000,37.0000,36.0000,36.8800,4.1134,147100
1998-05-04,37.0000,40.0000,37.0000,38.3800,4.2807,150900
1998-05-05,39.0000,39.0000,37.5000,37.6300,4.1971,133100
1998-05-06,38.2500,38.3800,37.2500,37.2500,4.1547,154400
1998-05-07,37.7500,38.0000,37.0000,37.1300,4.1413,67200
1998-05-08,37.0000,38.3800,37.0000,37.8800,4.2249,100100
1998-05-11,38.2500,38.2500,36.5000,36.5600,4.0777,76100
1998-05-12,37.2500,37.2500,36.0000,36.3100,4.0498,88500
1998-05-13,37.5000,37.7500,33.7500,36.1300,4.0298,591900
1998-05-14,36.2500,37.0000,35.3800,35.6300,3.9740,205700
1998-05-15,35.6300,36.1300,35.5000,35.7500,3.9874,208800
1998-05-18,35.2500,37.2500,35.0000,37.2500,4.1547,188300
