,open,high,low,close,adj_close,volume
1998-01-02,69.7500,70.2500,68.3800,69.6900,23.8873,378400
1998-01-05,69.7500,70.0600,69.3800,70.0600,24.0141,403400
1998-01-06,69.6300,69.7500,68.5000,68.6300,23.5240,369100
1998-01-07,68.8800,68.8800,65.8800,66.5000,22.7939,495200
1998-01-08,66.2500,66.6300,64.8800,65.5000,22.4511,382400
1998-01-09,65.5000,65.6300,62.5000,63.1900,21.6593,774300
1998-01-12,62.5000,63.8800,62.0000,63.2500,21.6799,329600
1998-01-13,64.0000,66.1300,63.7500,65.1300,22.3243,316300
1998-01-14,65.6300,66.2500,62.5000,63.5000,21.7656,758900
1998-01-15,63.8800,64.0000,63.0000,63.3800,21.7245,441100
1998-01-16,63.5000,64.5000,62.8800,63.7500,21.8513,443600
1998-01-20,64.2500,65.2500,63.7500,65.0000,22.2797,363200
1998-01-21,65.0600,65.3800,63.6300,63.9400,21.9164,351000
1998-01-22,63.5000,64.0000,61.5000,62.3800,21.3817,435700
1998-01-23,63.1300,63.7500,60.3800,61.5000,21.0801,574700
1998-01-26,64.1900,66.2500,64.0600,64.3800,22.0672,2483600
1998-01-27,64.5000,65.0000,63.8800,64.8800,22.2386,1617800
1998-01-28,65.1300,70.0000,65.0000,70.0000,23.9936,1739500
1998-01-29,69.8800,71.1300,68.5000,69.6900,23.8873,8447800
1998-01-30,68.0000,68.3800,67.0000,67.3800,23.0955,2118000
1998-02-02,67.7500,69.6300,67.6300,69.6300,23.8667,1164300
1998-02-03,69.0000,71.6300,68.8800,71.5000,24.5077,932300
1998-02-04,70.7500,71.1300,69.7500,70.4400,24.1444,764900
1998-02-05,70.4400,70.6300,69.5000,69.7500,23.9079,382400
1998-02-06,69.8800,71.6300,69.7500,70.1300,24.0381,542800
1998-02-09,70.5000,70.6300,69.7500,70.4400,24.1444,279400
1998-02-10,70.2500,72.5000,70.0000,71.9400,24.6585,906600
1998-02-11,71.8800,72.0000,70.6300,71.3800,24.4666,491200
1998-02-12,70.7500,72.7500,70.6300,72.3800,24.8093,597200
1998-02-13,72.0000,72.1300,71.0600,71.5900,24.5386,359500
1998-02-17,71.6300,72.7500,71.2500,71.5600,24.5283,324400
1998-02-18,71.3100,72.1300,71.2500,71.9400,24.6585,293500
1998-02-19,71.6900,72.2500,71.6300,72.0000,24.6791,223900
1998-02-20,72.5000,73.6300,71.8800,73.4400,25.1727,639100
1998-02-23,73.7500,74.3800,73.3800,74.0000,25.3646,445200
1998-02-24,73.7500,74.0000,72.3800,73.3800,25.1521,460500
1998-02-25,73.6300,74.3800,73.5000,73.8100,25.2995,595900
1998-02-26,73.9400,76.2500,73.3800,76.1900,26.1153,408700
1998-02-27,75.7500,76.3800,75.3800,76.0600,26.0707,319200
1998-03-02,75.7500,76.3800,75.3100,75.8400,25.9953,286600
1998-03-03,75.3800,76.9400,75.2500,76.0000,26.0501,579600
1998-03-04,75.5000,76.1300,74.5600,74.6300,25.5806,356900
1998-03-05,74.2500,74.5000,71.8800,72.7500,24.9362,570000
1998-03-06,73.1300,73.8800,72.1300,73.2500,25.1795,467700
1998-03-09,73.2500,74.1300,72.8800,73.5000,25.2655,334300
1998-03-10,74.0000,74.0000,73.2500,73.6300,25.3101,567300
1998-03-11,73.8800,74.1900,73.1300,73.2200,25.1692,276900
1998-03-12,73.5000,74.4400,72.6300,74.1300,25.4820,283300
1998-03-13,74.3800,75.5000,73.8800,75.5000,25.9530,311600
1998-03-16,75.0000,76.2500,74.8800,75.8100,26.0595,349200
1998-03-17,75.7500,76.1300,75.3800,75.6300,25.9976,225500
1998-03-18,75.7500,76.0000,75.3800,75.9100,26.0939,484600
1998-03-19,75.7500,77.2500,75.7500,76.8800,26.4273,354700
1998-03-20,76.6300,78.1300,76.6300,77.8800,26.7711,414800
1998-03-23,77.6300,77.6300,75.6300,75.8100,26.0595,267700
1998-03-24,76.0600,77.2800,75.6300,76.3800,26.2555,364600
1998-03-25,76.6300,77.5000,75.3100,76.3100,26.2314,256800
1998-03-26,76.6300,76.6300,74.1300,74.7500,25.6951,632100
1998-03-27,75.0000,75.0000,73.2500,73.2500,25.1795,509500
1998-03-30,73.6300,73.6300,72.0000,72.1900,24.8152,477000
1998-03-31,72.7500,75.5000,72.2500,74.7500,25.6951,627000
1998-04-01,75.2500,75.6300,74.6900,74.7500,25.6951,434500
1998-04-02,75.1300,77.2500,74.7500,76.7500,26.3826,256900
