,open,high,low,close,adj_close,volume
1998-01-02,48.0600,49.2500,48.0600,49.0600,6.9669,936400
1998-01-05,49.7500,49.7500,48.1300,48.5000,6.8874,550200
1998-01-06,47.8800,47.8800,46.7500,46.7500,6.6389,806600
1998-01-07,46.5000,47.4400,46.2500,46.6300,6.6219,1246600
1998-01-08,46.2500,46.9400,46.2500,46.6300,6.6219,788400
1998-01-09,46.6900,46.7500,44.0600,44.5000,6.3194,866600
1998-01-12,44.4400,46.0000,44.0600,46.0000,6.5324,1407600
1998-01-13,45.7500,45.8800,45.0600,45.2500,6.4259,567200
1998-01-14,45.7500,45.8800,45.0000,45.2500,6.4259,556200
1998-01-15,45.5000,46.1900,45.0600,45.0600,6.3989,555000
1998-01-16,45.3100,47.0600,45.3100,46.4400,6.5949,640200
1998-01-20,46.1900,48.0000,46.1300,47.8800,6.7994,885600
1998-01-21,47.6300,47.7500,47.1300,47.6300,6.7639,556200
1998-01-22,47.3800,47.5000,46.4400,46.6900,6.6304,492800
1998-01-23,46.5000,47.0600,45.5000,45.7500,6.4969,331200
1998-01-26,46.0000,46.0600,45.2500,45.8100,6.5054,253600
1998-01-27,45.6900,46.6900,45.6300,46.3800,6.5864,974000
1998-01-28,46.6900,48.5000,46.6900,47.9400,6.8079,1278000
1998-01-29,47.8100,49.0000,47.5000,47.7500,6.7809,1407200
1998-01-30,48.0000,48.6900,47.6300,47.6300,6.7639,823400
1998-02-02,48.0000,49.4400,48.0000,49.4400,7.0209,1209000
1998-02-03,49.5000,50.3800,49.2500,50.3800,7.1544,1559200
1998-02-04,49.7500,50.0000,49.0600,49.8800,7.0834,670200
1998-02-05,50.7500,51.0000,49.2500,49.3800,7.0124,542200
1998-02-06,49.4400,49.9400,49.0000,49.0600,6.9669,616000
1998-02-09,49.2500,49.2500,48.5000,48.6900,6.9144,335800
1998-02-10,48.9400,49.1900,48.3800,48.8800,6.9414,365800
1998-02-11,48.7500,49.6300,48.7500,49.0600,6.9669,608800
1998-02-12,49.0600,49.4400,48.8800,49.2500,6.9939,327200
1998-02-13,49.2500,49.2500,48.6300,48.8800,6.9414,230800
1998-02-17,49.2500,49.3800,48.2500,48.3800,6.8704,401000
1998-02-18,48.2500,48.5000,47.8800,48.1300,6.8349,764600
1998-02-19,48.1300,48.1300,47.6300,48.0000,6.8164,605200
1998-02-20,48.0000,48.3100,47.8100,48.3100,6.8604,463600
1998-02-23,48.8100,49.3800,48.5600,49.1900,6.9854,926200
1998-02-24,49.5600,49.8800,48.8100,49.8100,7.0734,716600
1998-02-25,50.0000,50.1900,49.6900,50.0000,7.1004,483400
1998-02-26,50.7500,50.9400,50.2500,50.6900,7.1984,594200
1998-02-27,50.9400,51.9400,50.9400,51.5000,7.3134,662600
1998-03-02,51.5600,52.5000,51.4400,52.2500,7.4199,609000
1998-03-03,52.0000,52.8800,51.8800,52.8100,7.4995,727200
1998-03-04,52.8800,53.1900,52.6300,53.0600,7.5350,766400
1998-03-05,52.3100,52.5000,52.1900,52.5000,7.4554,531400
1998-03-06,52.6300,52.6900,52.2500,52.4400,7.4469,265400
1998-03-09,52.0000,52.1300,51.6900,51.9400,7.3759,567600
1998-03-10,51.9400,52.2500,51.6300,52.1900,7.4114,409000
1998-03-11,52.1900,53.3800,51.8100,53.1900,7.5534,446400
1998-03-12,53.2500,53.2500,52.5000,52.8100,7.4995,393600
1998-03-13,52.9400,53.5000,52.7500,53.5000,7.5975,582600
1998-03-16,53.5000,53.6300,52.8800,52.8800,7.5094,294600
1998-03-17,53.3800,55.8100,53.2500,55.5000,7.8815,1491200
1998-03-18,55.3800,56.1300,54.8800,56.0000,7.9525,696600
1998-03-19,56.0000,56.8800,56.0000,56.7500,8.0590,455000
1998-03-20,57.0000,57.3800,56.3100,56.9400,8.0860,603000
1998-03-23,56.3800,56.7500,56.1300,56.6300,8.0419,488200
1998-03-24,56.6300,57.1300,56.3800,56.3800,8.0064,840200
1998-03-25,56.5000,56.5000,55.9400,55.9400,7.9440,611600
1998-03-26,55.6300,55.8800,54.9400,55.8100,7.9255,233800
1998-03-27,55.7500,56.4400,54.6300,55.2500,7.8630,239400
1998-03-30,55.1300,55.6300,54.6900,54.7500,7.7919,221400
1998-03-31,54.5600,54.5600,53.7500,54.4400,7.7477,370400
1998-04-01,55.0000,55.7500,54.6300,55.7500,7.9342,418600
1998-04-02,55.8800,57.0000,55.1900,56.5600,8.0494,1008800
1998-04-03,56.7500,56.8100,55.6900,56.0000,7.9697,521000
1998-04-06,56.1900,56.6300,56.1300,56.1300,7.9882,487800
1998-04-07,56.3800,56.5600,55.7500,56.0600,7.9783,333200
1998-04-08,55.7500,55.8100,54.0000,55.1300,7.8459,573200
1998-04-09,55.0600,56.3800,55.0600,56.1900,7.9968,602600
1998-04-13,57.0000,57.4400,55.9400,57.3800,8.1661,449200
1998-04-14,56.7500,58.2500,56.7500,58.0600,8.2629,400000
1998-04-15,57.9400,59.4400,57.6300,59.0600,8.4052,393000
1998-04-16,58.9400,58.9400,56.8800,57.6300,8.2017,434400
1998-04-17,57.6300,58.6300,56.8800,58.5600,8.3341,374000
1998-04-20,58.5000,59.1300,58.3800,59.0600,8.4052,449400
1998-04-21,59.0000,59.0000,57.6900,58.5000,8.3255,508400
1998-04-22,58.1300,58.2500,56.3800,58.1300,8.2729,399600
1998-04-23,57.8800,59.4400,57.8100,59.4400,8.4593,514600
1998-04-24,59.0600,59.0600,57.2500,58.1300,8.2729,318000
1998-04-27,57.5000,57.9300,57.2500,57.6900,8.2103,371800
1998-04-28,57.7500,57.8800,56.5600,57.0000,8.1121,555800
1998-04-29,57.0000,58.1900,56.3800,58.1900,8.2814,364600
1998-04-30,59.0000,60.6300,58.6300,59.9400,8.5305,1510800
1998-05-01,59.7500,60.0600,59.5000,60.0600,8.5476,540200
1998-05-04,60.0600,60.3100,59.7500,59.8100,8.5120,417200
1998-05-05,59.6300,60.0000,58.9400,59.9400,8.5305,389600
1998-05-06,59.9400,60.0000,59.3100,59.3800,8.4508,272400
1998-05-07,57.5000,58.7500,57.5000,57.8800,8.2373,421400
1998-05-08,57.3800,58.5000,57.3800,58.1900,8.2814,623000
1998-05-11,58.7500,58.9400,57.6300,57.7500,8.2188,777200
1998-05-12,57.6300,58.0000,57.3800,57.4400,8.1747,574800
1998-05-13,57.5000,57.7500,57.1900,57.3100,8.1562,392800
1998-05-14,57.1300,57.4400,56.8800,57.1900,8.1391,439200
1998-05-15,57.1900,57.5000,56.8800,56.8800,8.0950,480800
1998-05-18,55.2500,56.1900,54.8800,55.0000,7.8274,467000
1998-05-19,54.7500,55.8800,54.3800,55.1300,7.8459,339400
1998-05-20,55.3800,55.9400,55.0000,55.8800,7.9527,248400
1998-05-21,55.6300,56.0000,55.1900,55.5600,7.9071,166600
1998-05-22,55.7500,55.7500,54.0000,54.1300,7.7036,320800
1998-05-26,54.4400,54.4400,53.0000,53.1300,7.5613,276600
1998-05-27,52.6300,52.7500,52.1300,52.5000,7.4716,486800
1998-05-28,52.3100,52.8800,52.0600,52.5000,7.4716,505400
1998-05-29,52.5000,52.7500,51.5000,51.5000,7.3293,545000
1998-06-01,51.5000,52.4400,49.6300,50.1900,7.1429,887600
1998-06-02,50.1300,50.1300,48.6900,49.0000,6.9735,857600
1998-06-03,49.8800,49.9400,49.2500,49.5600,7.0532,964400
1998-06-04,49.5600,49.8800,49.0000,49.8800,7.0988,595400
1998-06-05,49.8800,50.7500,49.5600,50.1900,7.1429,621400
1998-06-08,50.1300,51.1300,50.1300,51.0000,7.2582,562000
1998-06-09,50.5000,51.3800,50.3800,51.0600,7.2667,667600
1998-06-10,51.1900,51.1900,49.6200,49.6200,7.0618,202000
1998-06-11,49.6900,49.9400,48.2500,48.2500,6.8668,396800
1998-06-12,47.5000,47.5600,46.0600,46.7500,6.6533,1699200
1998-06-15,46.7500,47.0000,46.3800,46.5600,6.6263,795600
1998-06-16,46.6900,47.4400,46.6900,47.1300,6.7074,460600
1998-06-17,47.1300,47.6300,46.2500,47.0000,6.6889,714600
1998-06-18,47.0000,47.3800,46.5000,46.6300,6.6362,567600
1998-06-19,47.1300,47.5600,46.6900,46.7500,6.6533,931200
1998-06-22,46.8100,46.9400,46.3100,46.3100,6.5907,409000
1998-06-23,46.6300,46.7500,45.3800,45.9400,6.5380,526000
1998-06-24,45.9400,46.1900,45.2500,45.6900,6.5025,890800
1998-06-25,45.9400,46.3800,44.7500,44.7500,6.3687,1006000
1998-06-26,45.0000,45.9400,44.8100,45.9400,6.5551,428000
1998-06-29,45.9400,46.2500,45.6300,45.8100,6.5366,847600
1998-06-30,45.8800,46.0000,45.4400,46.0000,6.5637,806800
1998-07-01,46.0000,46.7500,45.5000,46.5600,6.6436,572400
1998-07-02,46.2500,46.2500,45.8100,46.1300,6.5822,254600
1998-07-06,45.8800,46.0600,45.3100,45.5600,6.5009,561400
1998-07-07,45.5600,45.6300,44.9400,45.1300,6.4395,1266600
1998-07-08,45.1900,45.3100,44.8100,45.1900,6.4481,792400
1998-07-09,45.0600,46.2500,45.0600,46.0000,6.5637,627400
1998-07-10,46.0600,46.3800,45.1300,45.1300,6.4395,413800
1998-07-13,44.8800,45.2500,44.6300,44.7500,6.3853,503600
1998-07-14,45.2500,46.2500,45.0000,45.6900,6.5194,944200
1998-07-15,45.1300,45.6900,45.0000,45.0600,6.4296,481800
1998-07-16,45.1900,45.8100,45.1300,45.5000,6.4923,571000
1998-07-17,45.7500,45.8800,45.0600,45.1300,6.4395,666800
1998-07-20,45.2500,45.5600,44.7500,44.7500,6.3853,813200
1998-07-21,44.8100,45.1300,43.0600,43.1900,6.1627,1649800
1998-07-22,43.2500,43.6300,41.8800,42.8800,6.1185,1409400
1998-07-23,42.5000,42.6300,39.6300,39.7500,5.6719,2668000
1998-07-24,40.5000,40.7500,39.6300,40.0000,5.7075,1947200
1998-07-27,40.1300,41.7500,39.8100,41.5000,5.9216,899400
1998-07-28,42.0000,42.7500,41.1300,42.3800,6.0471,1274600
1998-07-29,42.8800,46.2500,42.8800,45.9400,6.5551,2344200
1998-07-30,46.1300,46.5000,44.1300,44.8100,6.3939,985200
1998-07-31,44.5000,44.5000,43.2500,43.5000,6.2070,616600
1998-08-03,43.7500,44.0000,42.7500,42.9400,6.1271,563200
1998-08-04,43.7500,44.2500,42.1900,42.1900,6.0200,1054200
1998-08-05,42.2500,43.3800,41.7500,42.2500,6.0286,985600
1998-08-06,42.2500,43.3800,42.0000,43.0000,6.1356,988600
1998-08-07,43.0000,44.2500,42.8800,43.5600,6.2155,574600
1998-08-10,43.7500,43.8100,43.2500,43.6900,6.2341,461600
1998-08-11,43.5000,43.5000,41.5000,42.3100,6.0372,597000
1998-08-12,43.5000,43.5000,41.5000,42.0000,5.9929,540400
1998-08-13,41.9400,42.0000,41.0000,41.0000,5.8502,678800
1998-08-14,40.8800,41.2500,40.1300,40.1900,5.7347,474000
1998-08-17,40.0000,40.5600,40.0000,40.5600,5.7875,641400
1998-08-18,40.4400,42.2500,40.4400,42.1900,6.0200,566000
1998-08-19,42.1900,42.9400,42.1300,42.1900,6.0200,430600
1998-08-20,42.2500,42.6900,41.7500,41.9400,5.9844,714000
1998-08-21,41.6900,41.6900,41.3800,41.5000,5.9216,465600
1998-08-24,41.5000,42.1900,41.1900,41.2500,5.8859,240200
1998-08-25,41.1900,41.3100,40.8800,41.0000,5.8502,488400
1998-08-26,40.7500,40.9400,39.3100,39.3100,5.6091,961200
1998-08-27,39.3800,39.7500,38.0000,38.1900,5.4493,919600
1998-08-28,38.2500,38.5600,37.2500,37.2500,5.3152,1475000
1998-08-31,37.2500,37.5000,35.8800,35.9400,5.1282,614200
1998-09-01,36.0000,39.4400,35.5600,39.2500,5.6005,1082400
1998-09-02,39.2500,39.6300,37.5600,38.0600,5.4307,882600
1998-09-03,37.6900,38.6300,36.5000,38.2500,5.4578,910800
1998-09-04,38.0000,39.4400,38.0000,38.8100,5.5377,643000
1998-09-08,40.0000,40.1300,38.2500,39.8800,5.6904,699600
1998-09-09,39.8800,39.8800,38.4400,38.8800,5.5477,675800
1998-09-10,38.5000,38.5000,35.2500,36.3100,5.1810,1529400
1998-09-11,36.3100,38.3100,36.1900,38.2500,5.4578,899200
1998-09-14,38.0000,39.1900,37.7500,38.5000,5.4935,1154600
1998-09-15,38.2500,38.8800,38.0000,38.2500,5.4578,764600
1998-09-16,38.3800,39.2500,38.0600,38.0600,5.4307,554600
1998-09-17,38.0000,38.0000,37.0000,37.2500,5.3152,811400
1998-09-18,36.5000,37.5000,36.5000,36.9400,5.2709,626600
1998-09-21,36.1300,37.0000,36.0000,36.8100,5.2524,383600
1998-09-22,36.7500,38.2500,36.5600,38.2500,5.4578,472400
1998-09-23,38.3100,39.9400,37.5000,39.9400,5.6990,308200
1998-09-24,41.0000,41.0000,39.3800,39.3800,5.6191,282100
