,open,high,low,close,adj_close,volume
1999-01-22,21.0000,23.4400,18.6300,19.6900,1.5156,5655600
1999-01-25,21.2500,22.0000,19.6900,21.7500,1.6742,1063500
1999-01-26,22.0000,22.4400,19.7500,20.0600,1.5441,715000
1999-01-27,20.1300,20.6300,19.0000,20.0000,1.5395,509100
1999-01-28,20.0000,20.1300,19.8100,19.9400,1.5349,474000
1999-01-29,19.9400,20.0000,19.0000,19.0000,1.4625,508400
1999-02-01,19.0000,19.5000,19.0000,19.3800,1.4918,322300
1999-02-02,19.0000,19.5000,17.3100,17.8800,1.3763,550200
1999-02-03,17.6300,18.5000,17.5000,18.2500,1.4048,156500
1999-02-04,18.5000,19.7500,18.2500,19.2500,1.4818,379000
1999-02-05,19.5600,20.0000,19.0600,19.8100,1.5249,285100
1999-02-08,19.9400,20.0000,19.1300,19.1300,1.4725,321000
1999-02-09,19.5000,19.6300,18.1300,18.3800,1.4148,181200
1999-02-10,18.3800,18.8800,17.8800,18.1900,1.4002,308800
1999-02-11,18.2500,20.5000,18.2500,19.7500,1.5203,275500
1999-02-12,20.0000,21.0000,20.0000,20.8800,1.6072,228600
1999-02-16,21.2500,22.1300,18.8800,21.0000,1.6165,439600
1999-02-17,20.5000,20.7500,19.5000,19.8800,1.5303,141100
1999-02-18,20.5000,20.7500,19.6300,20.1900,1.5541,147300
1999-02-19,20.0000,21.2500,19.7500,20.8800,1.6072,157000
1999-02-22,21.2500,21.5000,19.8800,21.0000,1.6165,427600
1999-02-23,21.5000,22.4400,20.2500,22.0000,1.6935,287700
1999-02-24,25.2500,26.2500,23.1900,23.7500,1.8282,1276600
1999-02-25,24.7500,25.5000,22.6300,23.0000,1.7704,310700
1999-02-26,23.2500,24.0000,21.7500,21.9400,1.6888,359600
1999-03-01,22.5000,23.0000,21.0000,22.0600,1.6981,192000
1999-03-02,22.0000,22.1300,21.5000,21.8800,1.6842,115100
1999-03-03,22.0000,22.0000,20.2500,20.3800,1.5688,127900
1999-03-04,21.3800,21.5000,19.7500,19.9400,1.5349,119500
1999-03-05,20.1300,21.1300,20.1300,21.0600,1.6211,164100
1999-03-08,20.5000,22.0000,20.1300,21.3800,1.6457,158100
1999-03-09,21.3100,22.3800,21.3100,22.0600,1.6981,298300
