,open,high,low,close,adj_close,volume
2013-06-19,15.2800,16.2500,15.2000,15.8000,14.8628,31981500
2013-06-20,16.3700,16.3700,15.2500,15.3000,14.3924,9274200
2013-06-21,15.7000,15.8000,15.4000,15.6200,14.6935,8323500
2013-06-24,15.6400,15.8400,15.2000,15.5300,14.6088,4279700
2013-06-25,15.5500,15.7400,15.3500,15.7200,14.7875,3577300
2013-06-26,15.6900,15.6900,15.1800,15.4000,14.4865,14755100
2013-06-27,15.3400,15.8700,14.8500,15.5000,14.5806,12121700
2013-06-28,15.5000,15.7700,15.2500,15.2500,14.3454,16988100
2013-07-01,15.5900,15.5900,14.7500,14.7900,13.9127,25839400
2013-07-02,14.6900,15.1200,14.6900,15.0000,14.1102,30520100
2013-07-03,14.9500,15.0900,14.7300,14.8700,13.9879,8542600
2013-07-05,14.9500,15.9500,14.8900,15.6600,14.7311,12427000
2013-07-08,15.6300,16.0400,15.4950,15.9550,15.0086,15345100
2013-07-09,15.7900,15.9700,15.5000,15.7100,14.7781,9936400
2013-07-10,15.5000,15.5700,15.1450,15.3900,14.4771,16327000
2013-07-11,15.6000,15.6000,14.9600,15.1300,14.2325,17029600
2013-07-12,15.0700,15.1200,14.9000,14.9300,14.0444,10426300
2013-07-15,14.9300,15.0300,14.3900,14.6700,13.7998,20636400
2013-07-16,14.5700,15.3400,14.5700,15.2800,14.3736,9328500
2013-07-17,15.3600,15.9600,15.2900,15.8900,14.9474,13411100
2013-07-18,15.9400,16.1000,15.3300,15.4700,14.5523,10825700
2013-07-19,15.3500,16.0800,15.2600,15.9700,15.0227,11658700
2013-07-22,16.0900,16.1250,15.6100,15.7300,14.7969,6141600
2013-07-23,15.6900,15.8650,15.5400,15.6500,14.7217,9298400
2013-07-24,15.6500,15.8850,15.4200,15.7100,14.7781,6205200
2013-07-25,15.6600,15.8700,15.4500,15.5700,14.6464,7069700
2013-07-26,15.5400,15.9700,15.3100,15.8900,14.9474,5884800
2013-07-29,15.8700,15.8700,15.4000,15.5100,14.5900,9020200
2013-07-30,15.6000,15.9550,15.4600,15.9500,15.0039,12798200
2013-07-31,16.0000,16.2100,15.8300,15.9300,14.9851,7681500
2013-08-01,15.9400,16.2800,15.9400,16.2150,15.2532,10303300
2013-08-02,16.1500,16.4700,16.1200,16.3400,15.3707,8258600
2013-08-05,16.3300,16.3300,15.8900,16.0000,15.0509,8754100
2013-08-06,15.9900,16.2500,15.8200,16.1800,15.2202,6232000
2013-08-07,16.1500,16.1500,15.8500,15.9500,15.0039,4755000
2013-08-08,16.0700,16.3100,15.9100,16.1300,15.1732,7110400
2013-08-09,16.0900,16.1600,15.9600,15.9800,15.0321,4293800
2013-08-12,15.8800,16.0600,15.7400,15.9200,14.9757,4882400
2013-08-13,15.9100,15.9500,15.8000,15.8300,14.8910,3615400
2013-08-14,15.8300,16.0100,15.6600,15.9000,14.9568,3940500
2013-08-15,15.7900,16.1900,15.7000,16.1000,15.1450,5160000
2013-08-16,16.0400,16.2500,15.9600,15.9800,15.0321,6373200
2013-08-19,16.0500,16.0600,15.6900,15.7000,14.7687,6123600
2013-08-20,15.8300,15.8300,15.5200,15.7000,14.7687,4265600
2013-08-21,15.6100,15.7800,15.4900,15.7600,14.8251,5040000
2013-08-22,15.7600,15.8250,15.6300,15.7100,14.7781,3731700
2013-08-23,15.7100,15.7900,15.5700,15.7500,14.8157,3981300
2013-08-26,15.7900,15.9000,15.7100,15.8600,14.9192,4125000
2013-08-27,15.7500,16.0000,15.6900,15.7290,14.7960,9059500
2013-08-28,15.7600,15.8100,15.6800,15.7600,14.8251,11099300
2013-08-29,15.7300,15.8900,15.6400,15.7700,14.8346,2795500
2013-08-30,15.7500,15.7800,15.5900,15.7000,14.7687,5386300
2013-09-03,15.8900,16.0300,15.6900,15.7800,14.8440,3783600
2013-09-04,15.7900,16.0800,15.7600,16.0300,15.0791,4992000
2013-09-05,15.9700,16.2750,15.8800,16.2400,15.2767,3521200
2013-09-06,16.3100,16.3400,16.0800,16.1900,15.2296,3358700
2013-09-09,16.1600,16.3400,16.1600,16.3350,15.3660,3668900
2013-09-10,16.3800,16.5700,16.2500,16.5550,15.5730,4292100
2013-09-11,16.6500,17.0600,16.5000,17.0500,16.0386,7562700
2013-09-12,17.1200,17.2600,16.9400,17.1050,16.0904,4836500
2013-09-13,17.0600,17.0800,16.7700,16.8900,15.8881,2717700
2013-09-16,17.1200,17.1999,16.7800,16.9600,15.9540,5758300
2013-09-17,17.0300,17.1700,16.8900,16.9950,15.9869,2538500
2013-09-18,16.9900,17.1800,16.8400,17.0450,16.0339,3862600
2013-09-19,17.1000,17.1000,16.6600,16.8710,15.8702,3286100
2013-09-20,16.9200,17.0000,16.4700,16.6350,15.6482,4594000
2013-09-23,16.6200,16.6400,16.3700,16.5300,15.5495,2360000
2013-09-24,16.5300,17.2000,16.5050,17.0400,16.0292,5611800
2013-09-25,17.0300,17.0400,16.6800,16.8000,15.8035,4389700
2013-09-26,16.7700,16.8700,16.1000,16.2900,15.3237,12737900
2013-09-27,16.1000,16.2500,15.9900,16.1700,15.2108,7098300
2013-09-30,16.2000,16.2600,15.9100,16.0600,15.1074,6237900
2013-10-01,16.0500,16.1400,15.8000,15.9100,14.9662,8815300
2013-10-02,15.8500,16.2700,15.7000,16.1400,15.1826,17758200
2013-10-03,16.1400,16.2499,15.7900,15.8700,14.9286,17833500
2013-10-04,15.8400,16.0100,15.7900,15.8400,14.9004,13660000
2013-10-07,15.7000,15.9800,15.6900,15.9100,14.9662,8663200
2013-10-08,15.5107,15.9750,15.5107,15.8000,14.8628,4825300
2013-10-09,15.8000,15.9500,15.7500,15.8800,14.9380,4210300
2013-10-10,15.9800,16.2500,15.9400,16.2200,15.2579,5506700
2013-10-11,16.1600,16.6000,16.1400,16.4100,15.4366,5085700
2013-10-14,16.3100,16.6200,16.2300,16.5600,15.5777,3606300
2013-10-15,16.4600,16.6700,16.4200,16.5800,15.5965,4406800
2013-10-16,16.7200,16.7900,16.5650,16.7800,15.7846,4511900
2013-10-17,16.6400,16.8100,16.6250,16.7950,15.7988,3972000
2013-10-18,16.8500,16.9000,16.7500,16.8500,15.8505,5809100
2013-10-21,16.8600,16.9750,16.7900,16.8500,15.8505,3107000
2013-10-22,16.8900,17.0600,16.7900,17.0010,15.9925,7274300
2013-10-23,16.8000,17.2400,16.8000,17.1100,16.0951,5145800
2013-10-24,17.0700,17.4000,17.0201,17.2900,16.2644,4734900
2013-10-25,17.5500,17.5500,17.0900,17.1500,16.1327,6197900
2013-10-28,17.1200,17.3150,17.0300,17.2900,16.2644,4131800
2013-10-29,17.3000,17.5100,17.2400,17.4600,16.4243,6582700
2013-10-30,17.4600,17.5100,17.3100,17.3500,16.3208,8031100
2013-10-31,17.3700,17.7700,17.3400,17.5950,16.5513,4697900
2013-11-01,17.6200,17.8100,17.4500,17.7650,16.7112,3714000
2013-11-04,17.7300,17.8600,17.6700,17.7600,16.7065,2870800
2013-11-05,17.5700,17.8500,17.4800,17.6850,16.6360,3820200
2013-11-06,17.7300,17.8200,17.3500,17.4100,16.3773,3922700
2013-11-07,17.5100,17.6200,17.2500,17.2600,16.2362,3888200
2013-11-08,17.3100,17.6200,17.1700,17.6000,16.5560,1787500
2013-11-11,17.6000,17.6499,17.3500,17.4200,16.3867,5387300
2013-11-12,16.8500,17.3100,16.7200,17.1500,16.1327,12944400
2013-11-13,17.0200,17.2850,16.9500,17.2150,16.1938,3673400
2013-11-14,17.2400,17.3800,17.1800,17.2500,16.2268,2920600
2013-11-15,17.3200,17.8100,17.3200,17.7600,16.7065,4606300
2013-11-18,17.7700,17.8200,17.3700,17.4200,16.3867,4431400
2013-11-19,17.4300,17.6600,17.3800,17.4800,16.4431,2961800
2013-11-20,17.5400,17.7900,17.4500,17.6700,16.6218,6256400
2013-11-21,17.7100,17.7500,17.5400,17.5600,16.5184,4075000
2013-11-22,17.6100,17.6900,17.4950,17.5500,16.5090,3624500
2013-11-25,17.6300,17.6750,17.3600,17.4800,16.4431,3397600
2013-11-26,17.4300,17.7100,17.3700,17.6900,16.6407,5585700
2013-11-27,17.6600,17.9400,17.5100,17.8600,16.8006,5083300
2013-11-29,17.8500,17.9700,17.8400,17.9600,16.8946,1506100
2013-12-02,17.9200,17.9700,17.6000,17.6500,16.6030,4610200
2013-12-03,17.6300,17.6300,17.4000,17.5000,16.4619,3120100
2013-12-04,17.4400,17.6200,17.3800,17.5800,16.5372,2676000
2013-12-05,16.5400,17.5500,16.5400,17.4600,16.4243,2562600
2013-12-06,17.6600,17.8600,17.5200,17.7800,16.7253,4483700
2013-12-09,17.8900,17.9000,17.4600,17.5200,16.4807,4088800
2013-12-10,17.4900,17.7200,17.4400,17.6400,16.5936,2618000
2013-12-11,17.6500,17.7400,17.4800,17.6000,16.5560,3255300
2013-12-12,17.6400,17.6550,17.4883,17.4900,16.4525,4073000
2013-12-13,17.4900,17.7050,17.3200,17.6600,16.6124,4320800
2013-12-16,17.7700,17.8000,17.5800,17.7700,16.7159,1885100
2013-12-17,17.5700,17.5700,17.1700,17.3500,16.3208,4023000
2013-12-18,17.3000,17.5300,17.0700,17.5000,16.4619,2539200
2013-12-19,17.4100,17.4700,17.2900,17.3600,16.3302,2475900
2013-12-20,17.4300,17.9700,17.3140,17.7500,16.6971,7055200
2013-12-23,17.9300,17.9700,17.7300,17.9000,16.8382,1974600
2013-12-24,17.9600,18.0100,17.7800,17.9000,16.8382,683100
2013-12-26,17.9900,18.0700,17.6450,17.7700,16.7159,2259900
2013-12-27,17.7400,17.8200,17.5600,17.7300,16.6783,2691300
2013-12-30,17.7800,17.9300,17.7000,17.9100,16.8476,1918400
2013-12-31,17.9800,18.0900,17.8400,18.0200,16.9511,2612000
2014-01-02,18.0500,18.1700,17.8150,17.9500,16.8852,3673400
2014-01-03,17.9300,18.0100,17.7800,17.8200,16.7630,2016600
2014-01-06,17.8800,17.9600,17.4800,17.5800,16.5372,3388300
2014-01-07,17.6500,17.6500,17.3300,17.4000,16.3679,3266000
2014-01-08,17.3500,17.4000,17.1500,17.2900,16.2644,4109600
2014-01-09,17.3800,17.4800,17.2700,17.3400,16.3114,2852700
2014-01-10,17.4100,17.5200,17.2800,17.4000,16.3679,2063700
2014-01-13,17.4100,17.4400,17.0700,17.1500,16.1327,2655600
2014-01-14,17.2000,17.3500,17.1300,17.3000,16.2738,1935000
2014-01-15,17.2400,17.3300,17.1000,17.2100,16.1891,2209400
2014-01-16,17.2000,17.2600,17.0500,17.0800,16.0668,2833400
2014-01-17,17.0900,17.1800,16.9400,17.0800,16.0668,2102700
2014-01-21,17.1500,17.1500,16.6900,16.7600,15.7658,4664700
2014-01-22,16.7500,16.9900,16.5600,16.6500,15.6624,3109900
2014-01-23,16.5000,16.5800,16.3649,16.5300,15.5495,3085400
2014-01-24,16.2700,16.3300,16.0100,16.1700,15.2108,6995600
2014-01-27,16.2500,16.5600,16.1900,16.3900,15.4178,6241000
2014-01-28,16.3800,16.4600,16.2300,16.2400,15.2767,4468400
2014-01-29,16.0900,16.2800,16.0050,16.2200,15.2579,5574400
2014-01-30,16.2800,16.2950,16.1600,16.2000,15.2390,9436500
2014-01-31,16.1400,16.2405,15.9500,15.9600,15.0133,3040200
2014-02-03,16.0000,16.0600,15.4750,15.5200,14.5994,4729900
2014-02-04,15.5500,15.7200,15.4400,15.5200,14.5994,8117500
2014-02-05,15.5600,15.9000,15.5450,15.6100,14.6840,5805700
2014-02-06,15.6400,16.1100,15.6100,16.0200,15.0697,4984700
2014-02-07,17.4800,18.0000,17.0700,17.4100,16.3773,13191600
2014-02-10,17.0300,17.5900,16.9700,17.5100,16.4713,6085100
2014-02-11,17.5300,18.0000,17.4100,17.9300,16.8664,6908500
2014-02-12,17.9300,18.0500,17.6000,17.6500,16.6030,3310200
2014-02-13,17.5500,17.8200,17.4100,17.6600,16.6124,2168600
2014-02-14,17.6200,17.8400,17.5400,17.6800,16.6313,1827600
2014-02-18,17.7200,17.8150,17.5550,17.7500,16.6971,2359300
2014-02-19,17.7000,17.8600,17.5600,17.5900,16.5466,2217500
2014-02-20,17.6000,17.6400,17.3100,17.5000,16.4619,2549700
2014-02-21,17.4500,17.7600,17.4400,17.6800,16.6313,3193600
2014-02-24,17.7500,18.0500,17.7350,17.9400,16.8758,2473300
2014-02-25,17.9300,18.1150,17.9000,17.9600,16.8946,2396900
2014-02-26,17.9500,18.1400,17.8300,18.0300,16.9605,2275700
2014-02-27,17.9500,18.0600,17.8650,18.0200,16.9511,2363300
2014-02-28,18.0600,18.4000,17.9200,18.3300,17.2427,2515100
2014-03-03,18.1900,18.3350,17.9500,18.1200,17.0452,3592200
