,open,high,low,close,adj_close,volume
2013-06-19,15.2100,16.0300,14.9600,15.5300,14.6326,7717000
2013-06-20,16.2500,16.3000,15.3600,15.4400,14.5478,1874600
2013-06-21,15.9800,15.9800,15.4600,15.8000,14.8870,635300
2013-06-24,15.7900,15.7900,15.1900,15.5200,14.6231,758300
2013-06-25,15.5000,15.6700,15.3500,15.6600,14.7551,564400
2013-06-26,15.5400,15.5500,15.3100,15.4700,14.5760,901000
2013-06-27,14.7800,15.7400,14.6590,15.3700,14.4818,3258000
2013-06-28,15.2900,15.6800,15.2500,15.3800,14.4912,1793700
2013-07-01,15.4800,15.5000,14.8400,14.8700,14.0107,4343500
2013-07-02,14.6800,15.1900,14.6700,14.9900,14.1238,8682500
2013-07-03,14.8400,15.1200,14.8400,14.9700,14.1049,2265100
2013-07-05,14.9600,15.9400,14.9600,15.6100,14.7079,3470900
2013-07-08,15.8300,16.0800,15.5500,16.0200,15.0943,4010700
2013-07-09,15.8100,16.0200,15.6650,15.7300,14.8210,3656200
2013-07-10,15.5000,15.6000,15.2200,15.4500,14.5572,3010500
2013-07-11,15.8000,15.8000,15.0600,15.2100,14.3311,3630300
2013-07-12,15.0000,15.1800,14.9700,14.9900,14.1238,3042300
2013-07-15,15.0000,15.0800,14.5200,14.8000,13.9448,5331400
2013-07-16,14.7100,15.4700,14.7000,15.3900,14.5007,2711100
2013-07-17,15.2800,16.1200,15.2800,16.0200,15.0943,3737700
2013-07-18,16.0400,16.2500,15.4600,15.6000,14.6985,2827900
2013-07-19,15.3700,16.2600,15.3700,16.1200,15.1885,3735400
2013-07-22,16.1500,16.2600,15.7510,15.9000,14.9812,2159200
2013-07-23,15.8500,16.0500,15.7100,15.8500,14.9341,2104900
2013-07-24,15.7900,16.0500,15.6200,15.9200,15.0000,2205100
2013-07-25,15.9100,16.0450,15.6400,15.7600,14.8493,2097300
2013-07-26,15.7600,16.1600,15.5000,16.0900,15.1602,937600
2013-07-29,15.9800,16.0690,15.6100,15.7100,14.8022,3495600
2013-07-30,15.7300,16.1800,15.6700,16.1400,15.2073,3438100
2013-07-31,16.0900,16.3700,16.0400,16.0900,15.1602,2392800
2013-08-01,16.1100,16.4200,16.0900,16.3900,15.4429,1951600
2013-08-02,16.2900,16.6400,16.2500,16.5000,15.5465,2042800
2013-08-05,16.4100,16.4800,16.0800,16.2100,15.2733,1127500
2013-08-06,16.1300,16.4500,16.0300,16.3900,15.4429,1335300
2013-08-07,16.2400,16.3000,16.0400,16.1600,15.2262,1239800
2013-08-08,16.3200,16.5100,16.1500,16.3800,15.4335,2109500
2013-08-09,16.4100,16.4100,16.2200,16.2400,15.3015,1370900
2013-08-12,16.1000,16.3000,15.9750,16.1100,15.1791,1917600
2013-08-13,16.2300,16.2300,16.0000,16.0500,15.1225,1643600
2013-08-14,16.0000,16.2100,15.8700,16.1800,15.2450,2029000
2013-08-15,16.0600,16.3901,15.9350,16.3200,15.3769,1351600
2013-08-16,16.2600,16.4500,16.1600,16.1900,15.2544,2144700
2013-08-19,16.2100,16.2200,15.8750,15.8900,14.9718,610700
2013-08-20,15.9100,15.9800,15.7160,15.8800,14.9623,993300
2013-08-21,15.8300,16.0000,15.7000,15.9400,15.0189,1948100
2013-08-22,15.9900,16.0300,15.8200,15.8800,14.9623,1611600
2013-08-23,15.8400,16.0200,15.7700,15.9200,15.0000,1676500
2013-08-26,15.9400,16.1300,15.9400,16.0600,15.1319,1095300
2013-08-27,15.9800,16.2000,15.9300,15.9400,15.0189,3848700
2013-08-28,15.9700,16.0200,15.8900,15.9700,15.0471,7235800
2013-08-29,15.9800,16.0850,15.8300,15.9600,15.0377,797500
2013-08-30,15.9100,15.9700,15.7601,15.8400,14.9247,1583300
2013-09-03,16.0200,16.2000,15.8800,16.0000,15.0754,584400
2013-09-04,15.9000,16.2800,15.9000,16.2100,15.2733,2037400
2013-09-05,16.2000,16.4400,16.0700,16.3900,15.4429,1912100
2013-09-06,16.4300,16.4900,16.2300,16.3400,15.3958,1655900
2013-09-09,16.3300,16.5000,16.3000,16.4900,15.5371,772900
2013-09-10,16.5300,16.7200,16.4100,16.7200,15.7538,846300
2013-09-11,16.7100,17.2000,16.6800,17.2000,16.2061,1531600
2013-09-12,17.1900,17.4600,17.1100,17.3000,16.3003,601600
2013-09-13,17.2900,17.2900,16.9799,17.1100,16.1213,411600
2013-09-16,17.3700,17.3800,17.0000,17.1700,16.1778,772100
2013-09-17,17.1600,17.2900,17.1200,17.2200,16.2249,548600
2013-09-18,17.2000,17.3400,17.0700,17.2450,16.2485,951800
2013-09-19,17.3900,17.3900,16.9100,17.1300,16.1401,884200
2013-09-20,17.1000,17.2300,16.7200,16.9100,15.9328,1416500
2013-09-23,16.8200,16.8499,16.6100,16.7900,15.8198,703900
2013-09-24,16.7700,17.4300,16.7700,17.3300,16.3286,1402900
2013-09-25,17.2300,17.3000,16.9900,17.0900,16.1024,1126100
2013-09-26,17.1200,17.1200,16.4700,16.6700,15.7067,2539000
2013-09-27,16.4700,16.5900,16.3700,16.5600,15.6031,823300
2013-09-30,16.5200,16.5200,16.2900,16.4300,15.4806,611800
2013-10-01,16.4500,16.4500,16.1600,16.2900,15.3487,521200
2013-10-02,16.1700,16.5700,16.0200,16.4900,15.5371,1292300
2013-10-03,16.5000,16.5900,16.2100,16.2700,15.3298,2186100
2013-10-04,16.2400,16.3950,16.2000,16.2700,15.3298,1114000
2013-10-07,16.1500,16.3600,16.1100,16.2700,15.3298,1107800
2013-10-08,16.2100,16.3500,16.1700,16.2300,15.2921,667400
2013-10-09,16.2100,16.3950,16.1700,16.3400,15.3958,4387600
2013-10-10,16.3900,16.6700,16.3900,16.6450,15.6831,1069200
2013-10-11,16.6000,17.0600,16.6000,16.9200,15.9422,2259400
2013-10-14,16.7600,17.1400,16.7500,17.0600,16.0742,754900
2013-10-15,17.0400,17.1800,16.9400,17.1600,16.1684,1436900
2013-10-16,17.2000,17.2900,17.0800,17.2600,16.2626,1241700
2013-10-17,17.1900,17.2750,17.1000,17.2600,16.2626,861300
2013-10-18,17.3600,17.3900,17.2400,17.3200,16.3191,2034100
2013-10-21,17.3600,17.4500,17.2400,17.3000,16.3003,563900
2013-10-22,17.3600,17.5300,17.2800,17.4500,16.4416,1578100
2013-10-23,17.4500,17.6400,17.2900,17.4900,16.4793,1532000
2013-10-24,17.5800,17.8000,17.5000,17.7200,16.6960,931700
2013-10-25,17.7300,17.7400,17.5000,17.5600,16.5453,1527000
2013-10-28,17.5500,17.7300,17.4200,17.6800,16.6583,1045000
2013-10-29,17.6900,17.9300,17.6700,17.8700,16.8374,889500
2013-10-30,17.9500,17.9999,17.7200,17.7500,16.7243,677500
2013-10-31,17.8100,18.1350,17.7300,17.9350,16.8986,1810300
2013-11-01,17.8700,18.1600,17.8000,18.1100,17.0635,1295300
2013-11-04,18.1600,18.2400,18.0800,18.1300,17.0823,404700
2013-11-05,18.1300,18.2600,17.8800,18.1000,17.0541,696300
2013-11-06,18.0900,18.2400,17.7100,17.7700,16.7431,619800
2013-11-07,17.7500,18.1200,17.5800,17.6100,16.5924,660600
2013-11-08,17.5800,17.9700,17.5400,17.9400,16.9033,518800
2013-11-11,17.8600,17.9800,17.6800,17.7800,16.7526,537400
2013-11-12,17.3900,17.6500,17.0000,17.4900,16.4793,1135600
2013-11-13,17.4100,17.6000,17.2750,17.5300,16.5170,833800
2013-11-14,17.5000,17.6700,17.4700,17.5100,16.4982,573900
2013-11-15,17.6000,18.0800,17.6000,18.0200,16.9787,842100
2013-11-18,18.0300,18.0700,17.6100,17.6900,16.6678,795200
2013-11-19,17.6700,17.9100,17.6100,17.7300,16.7054,471700
2013-11-20,17.7500,18.0000,17.7000,17.8500,16.8185,805500
2013-11-21,17.8400,17.9700,17.7600,17.8000,16.7714,299200
2013-11-22,17.8800,17.9200,17.6900,17.7100,16.6866,1203700
2013-11-25,17.6900,17.8300,17.5100,17.6100,16.5924,717400
