,open,high,low,close,adj_close,volume
1998-01-02,40.1300,40.1900,39.3800,39.6900,3.6752,43950
1998-01-05,39.8100,40.0000,38.9400,39.1300,3.6234,98550
1998-01-06,38.8800,38.8800,37.3800,37.6300,3.4845,117625
1998-01-07,37.6900,37.6900,36.8100,37.0600,3.4317,147100
1998-01-08,37.0000,37.1900,36.2500,36.5000,3.3799,186975
1998-01-09,36.4400,36.4400,33.3800,33.8800,3.1372,175325
1998-01-12,33.6300,36.9400,33.5000,36.8100,3.4086,254350
1998-01-13,36.5600,36.6900,36.1900,36.3800,3.3687,73100
1998-01-14,36.2500,37.0000,36.1900,37.0000,3.4262,107000
1998-01-15,36.7500,36.7500,36.5000,36.5000,3.3799,85775
1998-01-16,36.5000,36.6900,36.1300,36.2500,3.3567,71500
1998-01-20,36.0600,36.3800,35.8800,36.3800,3.3687,75150
1998-01-21,36.3100,36.3100,35.1900,35.6300,3.2993,106450
1998-01-22,35.5600,35.6900,35.5000,35.6300,3.2993,107000
1998-01-23,35.5000,35.5600,35.3800,35.3800,3.2761,51625
1998-01-26,35.3800,35.9400,35.3800,35.6300,3.2993,84625
1998-01-27,35.5600,35.9400,35.5600,35.6900,3.3049,39050
1998-01-28,35.3100,35.3100,34.7500,34.8100,3.2511,283950
1998-01-29,34.7500,35.3800,34.6300,34.8800,3.2577,87125
1998-01-30,35.0000,35.0600,34.1900,34.1900,3.1932,71500
1998-02-02,34.2500,35.1900,34.2500,35.1900,3.2866,95700
1998-02-03,35.0600,36.3800,35.0600,36.3800,3.3978,110675
1998-02-04,36.1300,36.1900,35.8100,35.9400,3.3567,256400
1998-02-05,35.8100,36.6300,35.8100,36.6300,3.4211,67825
1998-02-06,36.6300,36.8800,36.1900,36.7500,3.4323,43500
1998-02-09,36.5600,36.6300,35.5000,35.5600,3.3212,99125
1998-02-10,35.5600,36.0600,35.2500,36.0600,3.3679,97425
1998-02-11,36.1300,36.5000,36.0000,36.1300,3.3744,39850
1998-02-12,36.0000,36.0000,35.6300,35.8800,3.3511,85875
1998-02-13,35.9400,36.0000,35.5000,35.5000,3.3156,86350
1998-02-17,35.7500,36.5000,35.6900,35.7500,3.3389,91700
1998-02-18,35.7500,36.0000,35.7500,36.0000,3.3623,51375
1998-02-19,35.8100,35.9400,35.0000,35.0000,3.2689,157950
1998-02-20,35.0000,35.0000,34.8800,35.0000,3.2689,78575
1998-02-23,34.9400,35.5600,34.7500,35.5000,3.3156,102550
1998-02-24,35.5000,35.5000,35.0000,35.3100,3.2978,39500
1998-02-25,35.2500,35.3100,34.5000,34.5600,3.2278,44075
1998-02-26,34.5000,36.0000,34.3800,35.6300,3.3277,54575
1998-02-27,35.3800,35.3800,34.7500,35.0000,3.2689,54250
