,open,high,low,close,adj_close,volume
1998-01-02,42.1300,42.1900,41.4400,41.7500,14.2894,435000
1998-01-05,41.6300,41.6300,41.0000,41.1300,14.0772,716300
1998-01-06,40.8800,40.9400,40.0600,40.3800,13.8205,344300
1998-01-07,40.5000,40.6300,40.2500,40.3100,13.7965,665100
1998-01-08,40.2500,40.7500,40.0000,40.4400,13.8410,463100
1998-01-09,40.3100,40.3800,37.8800,38.1900,13.0709,1136800
1998-01-12,37.5600,38.6900,37.1300,37.8800,12.9648,1137400
1998-01-13,38.9400,39.3800,37.8800,38.9400,13.3276,706800
1998-01-14,38.7500,38.9400,38.0000,38.3100,13.1120,462900
1998-01-15,38.5000,38.9400,38.0000,38.3800,13.1360,426500
1998-01-16,38.6300,39.6300,38.6300,39.3800,13.4782,643600
1998-01-20,39.6300,41.4400,39.6300,40.8100,13.9677,611700
1998-01-21,40.3800,40.6300,39.2500,39.9400,13.6699,280100
1998-01-22,39.7500,40.1900,38.8800,39.1900,13.4132,286700
1998-01-23,39.1900,39.1900,38.3800,38.5600,13.1976,356400
1998-01-26,39.0000,39.1900,38.2500,38.3800,13.1360,194300
1998-01-27,38.5000,39.1300,38.3100,38.7500,13.2626,378800
1998-01-28,38.8100,39.8800,38.7500,39.6300,13.5638,758300
1998-01-29,40.1300,40.1900,39.8100,40.0600,13.7110,571600
1998-01-30,40.2500,40.8800,39.9400,40.5600,13.8821,320500
1998-02-02,40.8800,41.5000,40.8100,41.1900,14.0977,556700
1998-02-03,41.4400,42.1300,41.1900,42.0600,14.3955,357800
1998-02-04,42.0600,43.2500,41.5600,43.2500,14.8028,391600
1998-02-05,43.1900,43.5000,42.8100,43.3100,14.8233,338200
1998-02-06,43.4400,44.0000,43.1300,43.1900,14.7822,375400
1998-02-09,43.1900,43.1900,42.5000,42.7500,14.6317,201000
1998-02-10,42.7500,43.1300,42.6300,43.0600,14.7378,327300
1998-02-11,43.3100,43.4400,42.7500,43.0600,14.7378,269100
1998-02-12,43.0600,43.2500,42.0600,43.2500,14.8028,348100
1998-02-13,43.2500,43.5000,43.1300,43.3800,14.8473,196200
1998-02-17,44.0000,44.4400,43.2500,43.9400,15.0389,333500
1998-02-18,43.6900,44.9400,43.6300,44.5000,15.2306,626400
1998-02-19,44.8800,44.8800,43.7500,43.9400,15.0389,192900
1998-02-20,43.9400,43.9400,41.8800,43.6300,14.9328,859600
1998-02-23,43.8800,45.3100,43.8100,45.1900,15.4668,241400
1998-02-24,45.3800,45.5000,44.1300,44.3800,15.1895,322300
1998-02-25,44.6300,45.0600,44.5000,44.8800,15.3607,200200
1998-02-26,45.0000,46.0000,44.8800,45.9400,15.7235,172200
1998-02-27,45.7500,45.9400,45.0000,45.7500,15.6584,360600
1998-03-02,45.8800,46.7500,45.5000,45.8800,15.7029,607100
1998-03-03,45.8800,45.8800,44.2500,44.9400,15.3812,662300
1998-03-04,43.5000,43.7500,43.3800,43.5000,14.8883,1757400
1998-03-05,43.0000,43.3800,42.0000,42.5600,14.5666,611300
1998-03-06,42.7500,43.8800,41.7500,43.3100,14.8233,654100
1998-03-09,43.1300,44.1300,42.8800,44.0000,15.0595,830400
1998-03-10,44.3800,45.1300,44.1900,44.8800,15.3607,1109000
1998-03-11,44.6900,45.2500,44.6300,44.8100,15.3795,340400
1998-03-12,44.8800,45.5000,44.6900,45.4400,15.5957,217900
1998-03-13,45.5000,45.8800,44.8800,45.1300,15.4893,252700
1998-03-16,45.3800,45.7500,45.0000,45.1900,15.5099,604000
1998-03-17,45.5000,45.7500,43.8800,44.3800,15.2319,383800
1998-03-18,44.1300,44.1300,42.7500,43.5000,14.9299,440100
1998-03-19,43.4400,43.5000,42.7500,43.2500,14.8441,307600
1998-03-20,43.1900,43.5600,42.6900,43.2500,14.8441,768600
1998-03-23,43.5000,44.6300,43.3800,44.6300,15.3177,448500
1998-03-24,44.5600,45.0000,44.1300,45.0000,15.4447,339800
1998-03-25,45.0000,45.6900,44.3400,45.2500,15.5305,794500
1998-03-26,45.2500,46.8800,45.2500,46.5000,15.9595,1084000
1998-03-27,46.7500,46.8800,46.0000,46.0000,15.7879,314600
1998-03-30,45.8800,46.5600,45.6900,46.2500,15.8737,272300
1998-03-31,46.0000,47.1300,45.8800,47.0600,16.1517,520500
1998-04-01,46.8800,46.9400,45.3800,45.7500,15.7021,938600
1998-04-02,45.8800,47.2500,45.7500,47.1300,16.1758,372200
1998-04-03,47.8800,47.8800,47.2500,47.5600,16.3233,436700
1998-04-06,47.8800,47.8800,46.2500,46.5600,15.9801,304300
1998-04-07,46.5600,46.8800,46.2500,46.6300,16.0041,375700
1998-04-08,46.7500,46.7500,45.8800,46.0000,15.7879,287800
1998-04-09,46.0600,46.1300,45.7500,45.8800,15.7467,204000
1998-04-13,45.8800,46.5000,45.0000,46.4400,15.9389,319300
1998-04-14,46.7500,47.7500,46.6300,47.0000,16.1311,501200
1998-04-15,47.1900,47.8800,47.0000,47.4400,16.2821,368200
1998-04-16,47.5000,47.7500,46.8800,47.2500,16.2169,351100
1998-04-17,47.3800,47.3800,46.7500,47.0600,16.1517,276600
1998-04-20,47.3800,47.5600,47.0000,47.3100,16.2375,179000
1998-04-21,47.3100,47.3100,45.7500,45.9400,15.7673,538300
1998-04-22,45.6900,47.0000,45.4400,47.0000,16.1311,540600
1998-04-23,47.6300,47.6300,46.8800,47.5000,16.3027,899800
1998-04-24,47.0000,47.0000,45.5000,46.2500,15.8737,1202200
1998-04-27,46.0000,46.0000,45.6300,45.8100,15.7227,389200
