,open,high,low,close,adj_close,volume
1998-01-02,29.4400,29.4400,29.0000,29.1300,7.2215,342400
1998-01-05,29.0000,29.1300,28.5000,28.8100,7.1422,1449000
1998-01-06,28.0000,28.2500,27.4400,27.7500,6.8794,2971800
1998-01-07,27.6300,27.7500,27.2500,27.6300,6.8497,1545500
1998-01-08,27.5000,27.5600,26.8800,26.9400,6.6786,1455000
1998-01-09,26.7500,26.7500,25.8800,26.0000,6.4456,2837800
1998-01-12,24.8800,26.0000,24.8800,25.8100,6.3985,2168100
1998-01-13,25.8800,26.6900,25.8100,26.5600,6.5844,1781800
1998-01-14,26.6300,26.8800,26.5600,26.8100,6.6464,613800
1998-01-15,26.8800,27.1300,26.7500,27.0000,6.6935,754000
1998-01-16,27.4400,27.4400,27.1900,27.3100,6.7703,985700
1998-01-20,27.3100,27.4400,27.1300,27.1300,6.7257,731600
1998-01-21,26.8800,27.2500,26.8800,27.0600,6.7084,910300
1998-01-22,27.0000,27.1300,26.1900,26.3100,6.5224,1663800
1998-01-23,26.2500,26.4400,25.2500,25.5000,6.3216,2833600
1998-01-26,25.5000,25.8800,25.3100,25.5600,6.3365,916700
1998-01-27,25.6300,26.0000,25.6300,25.6900,6.3687,1121100
1998-01-28,25.7500,25.7500,25.3800,25.3800,6.2919,1162200
1998-01-29,25.3800,26.0600,25.3800,25.5600,6.3365,2679800
1998-01-30,25.7500,25.8100,25.5000,25.5000,6.3216,950900
1998-02-02,25.6300,25.8100,25.5000,25.5600,6.3365,960500
1998-02-03,25.5000,25.9400,25.5000,25.8100,6.3985,814400
1998-02-04,25.6900,26.1300,25.5600,25.8800,6.4158,1754500
1998-02-05,25.8800,26.1300,25.8100,25.8800,6.4158,1252600
1998-02-06,25.9400,26.1900,25.9400,26.1300,6.4778,1182800
1998-02-09,26.1900,26.1900,25.8100,25.8100,6.3985,964300
1998-02-10,25.8800,26.1300,25.8100,25.9400,6.4307,604300
1998-02-11,25.7500,25.9400,25.6300,25.8100,6.3985,2639800
1998-02-12,25.8800,25.8800,25.6900,25.7500,6.3836,704600
1998-02-13,25.8100,25.9400,25.7500,25.8100,6.3985,1360500
1998-02-17,26.0600,26.1300,25.9400,26.0000,6.4456,1170000
1998-02-18,25.9400,26.1300,25.8800,26.1300,6.4778,1132800
1998-02-19,26.1300,26.1300,25.1300,25.1300,6.2299,3567100
1998-02-20,25.5000,25.5000,25.3100,25.3100,6.2745,1380000
1998-02-23,25.2500,25.2500,25.0000,25.0600,6.2125,984200
1998-02-24,25.0600,25.3800,25.0600,25.1300,6.2299,1119100
1998-02-25,25.1900,25.1900,24.6300,24.8800,6.1679,2175100
1998-02-26,24.9400,25.1900,24.8100,25.1300,6.2299,2092700
1998-02-27,25.3100,25.6900,25.1300,25.5600,6.3365,2843100
1998-03-02,25.5600,25.6300,25.3800,25.5000,6.3216,770000
1998-03-03,25.3800,25.8800,25.3100,25.8800,6.4158,1342400
1998-03-04,26.1300,26.3800,25.9400,26.1300,6.4778,3200400
1998-03-05,26.0000,26.3100,26.0000,26.2500,6.5075,1615100
1998-03-06,26.0600,26.2500,25.7500,25.8100,6.4604,872300
1998-03-09,25.6300,25.6900,25.2500,25.3100,6.3353,1559000
1998-03-10,26.0000,26.3800,25.6900,26.0000,6.5080,1209000
1998-03-11,27.0000,27.0000,26.2500,26.3800,6.6031,2100400
1998-03-12,26.5000,27.0000,26.3100,27.0000,6.7583,1411400
1998-03-13,26.8800,27.1900,26.7500,27.1900,6.8059,921400
1998-03-16,27.1300,27.8100,27.1300,27.8100,6.9611,1587700
1998-03-17,27.7500,27.8800,27.4400,27.6900,6.9310,2187400
1998-03-18,27.8800,28.2500,27.6300,28.2500,7.0712,1362000
1998-03-19,28.2500,28.3800,27.8800,28.2500,7.0712,1220000
1998-03-20,28.7500,29.3800,28.4400,29.2500,7.3215,1554100
1998-03-23,29.6300,30.4400,29.6300,29.7500,7.4467,3169800
1998-03-24,29.7500,30.2500,29.7500,29.8100,7.4617,1482000
1998-03-25,29.7500,30.0000,29.4400,29.5000,7.3841,2840000
1998-03-26,29.5000,29.7500,29.3800,29.3800,7.3540,478800
1998-03-27,29.5600,29.6300,29.4400,29.6300,7.4166,838100
1998-03-30,29.4400,29.5600,29.1900,29.3100,7.3365,1098500
1998-03-31,29.3100,29.3800,29.0600,29.1900,7.3065,698200
1998-04-01,29.2500,29.3800,28.9400,28.9400,7.2439,1727500
1998-04-02,28.7500,29.0000,28.7500,29.0000,7.2589,1328600
1998-04-03,28.9400,29.1300,28.8100,28.8100,7.2114,987600
1998-04-06,28.8100,29.0000,28.8100,28.8800,7.2289,884200
1998-04-07,28.7500,29.0600,28.7500,29.0000,7.2589,1008500
1998-04-08,28.8800,29.2500,28.8100,28.8800,7.2289,1080600
1998-04-09,28.8800,29.1300,28.8800,29.0000,7.2589,523400
1998-04-13,29.0000,29.1300,28.8800,28.8800,7.2289,911800
1998-04-14,29.0000,29.1900,29.0000,29.0000,7.2589,627100
1998-04-15,29.0000,29.5000,29.0000,29.3800,7.3540,706600
1998-04-16,29.2500,29.8100,29.1300,29.6300,7.4166,720200
1998-04-17,29.8100,29.8100,29.3800,29.5600,7.3991,572200
1998-04-20,30.0000,30.0000,29.1900,29.3800,7.3540,935000
1998-04-21,29.5000,29.5000,28.6300,28.8800,7.2289,1715800
1998-04-22,29.1300,29.3800,28.6900,28.6900,7.1813,943200
1998-04-23,28.6300,29.0600,28.6300,28.9400,7.2439,916400
1998-04-24,28.8800,29.2500,28.7500,28.9400,7.2439,1385000
1998-04-27,28.7500,29.0000,28.5600,28.6300,7.1663,1209600
1998-04-28,28.7500,29.1300,28.7500,28.9400,7.2439,683500
1998-04-29,28.9400,29.1300,28.9400,29.0600,7.2739,881200
1998-04-30,29.0600,29.6900,29.0600,29.4400,7.3691,880500
1998-05-01,29.5000,30.0000,29.5000,30.0000,7.5092,1382600
1998-05-04,29.7500,29.9400,29.6900,29.6900,7.4316,766300
1998-05-05,29.5000,29.6900,29.2500,29.3100,7.3365,823600
1998-05-06,29.2500,29.4400,29.2500,29.2500,7.3215,520700
1998-05-07,29.2500,29.3100,29.1300,29.1900,7.3065,473800
1998-05-08,29.2500,29.5000,29.2500,29.3100,7.3365,706900
1998-05-11,29.2500,29.3100,29.1300,29.1300,7.2915,834000
1998-05-12,29.1300,29.1300,28.9400,29.0600,7.2739,426500
1998-05-13,29.0000,29.2500,28.9400,29.0000,7.2589,304100
1998-05-14,28.9400,29.2500,28.9400,29.1300,7.2915,413700
1998-05-15,29.2500,29.2500,28.9400,29.1300,7.2915,982000
1998-05-18,29.0000,29.0600,28.6900,28.8100,7.2114,557100
1998-05-19,28.7500,28.8800,28.5000,28.5000,7.1338,545100
1998-05-20,28.5600,28.6900,28.3800,28.6900,7.1813,601200
1998-05-21,28.6900,28.9400,28.5600,28.6300,7.1663,558500
1998-05-22,28.5600,28.6900,28.3800,28.3800,7.1037,422700
1998-05-26,28.4400,28.5000,27.8100,27.8100,6.9611,812500
1998-05-27,27.8800,28.1300,27.7500,28.0000,7.0086,541500
1998-05-28,28.0000,28.0000,27.7500,27.8100,6.9611,388300
1998-05-29,27.8100,27.9400,27.6300,27.6300,6.9160,389900
1998-06-01,27.6300,27.8800,27.5600,27.6300,6.9160,314100
1998-06-02,27.6300,27.8800,27.2500,27.3800,6.8534,621400
1998-06-03,27.3100,27.3800,27.1300,27.1300,6.7909,385600
1998-06-04,27.0600,27.1300,26.7500,26.8800,6.7283,1503700
1998-06-05,26.8800,27.0600,26.6300,27.0000,6.7583,1914900
1998-06-08,26.6300,26.7500,26.3800,26.3800,6.6657,1163300
1998-06-09,26.5600,26.6300,26.3800,26.5000,6.6960,410400
1998-06-10,26.5000,26.6200,26.0000,26.1200,6.6000,1873900
1998-06-11,26.0600,26.1300,25.5600,25.8100,6.5217,1686300
1998-06-12,25.8100,26.0600,25.8100,26.0000,6.5697,666300
1998-06-15,25.9400,25.9400,24.8100,24.8100,6.2690,1090100
1998-06-16,25.1300,25.5600,25.0600,25.3800,6.4130,715200
1998-06-17,25.6300,26.3100,25.6300,25.9400,6.5545,626000
1998-06-18,25.8800,26.2500,25.8800,26.1900,6.6177,840700
1998-06-19,26.3800,26.4400,26.1300,26.3100,6.6480,1392900
1998-06-22,26.3100,26.5600,26.2500,26.4400,6.6809,693000
1998-06-23,26.6300,26.8100,26.4400,26.8100,6.7744,715700
1998-06-24,26.8100,26.9400,26.5600,26.8800,6.7920,530800
1998-06-25,27.0000,27.3100,27.0000,27.1300,6.8552,955000
1998-06-26,27.2500,27.3100,27.0000,27.1900,6.8704,479600
1998-06-29,27.1900,27.3100,26.7500,26.8800,6.7920,281900
1998-06-30,27.0000,27.1300,26.5600,27.0000,6.8224,1050500
1998-07-01,26.8800,27.1900,26.8100,27.1900,6.8704,401300
1998-07-02,27.1900,27.3800,27.0000,27.1300,6.8552,446100
1998-07-06,27.0000,27.1300,26.8800,26.9400,6.8072,313700
1998-07-07,26.8800,26.9400,26.1900,26.2500,6.6328,640900
1998-07-08,26.1300,26.2500,25.9400,26.0000,6.5697,806400
1998-07-09,25.9400,25.9400,25.4400,25.8100,6.5217,494600
1998-07-10,25.7500,25.8800,25.5000,25.6300,6.4762,395000
1998-07-13,25.5600,25.6900,25.3800,25.4400,6.4282,500200
1998-07-14,25.3100,25.5000,25.1900,25.4400,6.4282,410000
1998-07-15,25.6300,25.7500,25.3800,25.5600,6.4585,437100
1998-07-16,25.5600,25.6900,25.3100,25.6900,6.4913,426100
1998-07-17,25.7500,25.7500,25.1300,25.5000,6.4433,478200
1998-07-20,25.4400,25.5000,25.0600,25.1900,6.3650,257000
1998-07-21,25.0000,25.0600,24.6900,24.6900,6.2387,710200
1998-07-22,24.5600,24.7500,24.2500,24.5600,6.2058,794200
1998-07-23,24.7500,24.8800,23.5000,23.7500,6.0011,1125700
1998-07-24,23.6300,23.8800,23.1300,23.3800,5.9077,880000
