,open,high,low,close,adj_close,volume
1998-01-02,25.4400,25.6300,25.3100,25.6300,3.5339,46800
1998-01-05,25.5600,26.2500,25.5000,26.0000,3.5849,40900
1998-01-06,25.8800,26.7500,25.8800,26.2500,3.6194,81900
1998-01-07,26.1900,26.4400,26.0600,26.3100,3.6277,30600
1998-01-08,26.1300,26.3800,26.0600,26.1900,3.6111,45700
1998-01-09,26.1300,26.1300,25.8800,26.1300,3.6028,31200
1998-01-12,25.8800,26.1300,25.5600,26.0000,3.5849,32200
1998-01-13,26.1300,26.2500,25.8800,26.1900,3.6111,42400
1998-01-14,26.3100,26.8100,26.3100,26.7500,3.6883,81300
1998-01-15,26.8800,26.8800,26.5000,26.5000,3.6538,32700
1998-01-16,26.6900,26.8800,26.3800,26.5000,3.6538,43400
1998-01-20,26.5000,27.0000,26.5000,26.8100,3.6966,59400
1998-01-21,26.8100,26.8800,26.6300,26.6900,3.6800,49700
1998-01-22,26.6900,26.7500,26.5000,26.5000,3.6538,36900
1998-01-23,26.5600,26.7500,26.1300,26.4400,3.6456,48400
1998-01-26,26.5600,26.7500,26.2500,26.6300,3.6718,31700
1998-01-27,26.3800,26.7500,26.3800,26.7500,3.6883,34400
1998-01-28,26.5000,26.8800,26.5000,26.6900,3.6800,22300
1998-01-29,26.4400,26.8800,26.4400,26.7500,3.7104,38700
1998-01-30,26.6300,26.8800,26.3800,26.6300,3.6937,39300
1998-02-02,26.6300,26.8800,26.5000,26.6900,3.7021,30300
1998-02-03,26.5600,26.8100,26.5600,26.6300,3.6937,33800
1998-02-04,26.6300,26.8800,26.5600,26.5600,3.6840,29200
1998-02-05,26.5000,26.7500,26.3100,26.4400,3.6674,32700
1998-02-06,26.4400,26.6900,26.4400,26.5600,3.6840,30100
1998-02-09,26.7500,26.8100,26.4400,26.5600,3.6840,41900
1998-02-10,26.6900,26.8100,26.4400,26.4400,3.6674,30800
1998-02-11,26.4400,26.7500,26.2500,26.4400,3.6674,45900
1998-02-12,26.4400,26.7500,26.1300,26.6300,3.6937,29200
1998-02-13,26.7500,26.8100,26.5000,26.7500,3.7104,28500
1998-02-17,26.7500,26.8800,26.5600,26.8100,3.7187,35000
1998-02-18,26.8100,26.8100,26.5600,26.6300,3.6937,31000
1998-02-19,26.5600,26.8100,26.5000,26.6300,3.6937,23100
1998-02-20,26.3800,26.5000,26.2500,26.2500,3.6410,31600
1998-02-23,26.3800,26.6300,26.1300,26.5600,3.6840,19600
1998-02-24,26.6300,26.6300,26.3800,26.5600,3.6840,50600
1998-02-25,26.4400,26.7500,26.4400,26.6900,3.7021,29300
1998-02-26,26.4400,26.5000,26.1900,26.2500,3.6632,51300
1998-02-27,26.0000,26.1300,25.6900,25.8100,3.6018,74100
1998-03-02,25.8800,26.0000,25.5000,25.9400,3.6200,60600
1998-03-03,25.9400,26.3100,25.8100,26.3100,3.6716,41300
1998-03-04,26.3100,26.3800,25.8800,26.1300,3.6465,31100
1998-03-05,26.0000,26.1300,25.5000,25.6300,3.5767,27800
1998-03-06,25.5000,26.0000,25.4400,25.7500,3.5934,28500
1998-03-09,25.5600,25.7500,25.5000,25.7500,3.5934,23700
1998-03-10,25.7500,25.8800,25.2500,25.4400,3.5502,39000
1998-03-11,25.4400,25.9400,25.3800,25.7500,3.5934,59200
1998-03-12,26.0000,26.0000,25.7500,26.0000,3.6283,72700
1998-03-13,26.1300,26.3100,26.0000,26.0000,3.6283,34800
1998-03-16,26.0000,26.1900,25.7500,26.0000,3.6283,41400
1998-03-17,26.1300,26.1900,25.7500,26.1900,3.6548,32400
1998-03-18,26.0600,26.1300,25.8800,25.8800,3.6116,31600
1998-03-19,25.8100,26.1900,25.8100,26.0600,3.6367,39500
1998-03-20,25.8800,26.7500,25.8800,26.6300,3.7162,72000
1998-03-23,26.7500,27.1200,26.7500,27.0600,3.7763,109300
1998-03-24,27.1300,27.1900,27.0000,27.1300,3.7860,39300
1998-03-25,26.8800,27.1300,26.6300,26.8800,3.7511,43700
1998-03-26,26.6900,27.0600,26.6300,26.8100,3.7414,44300
1998-03-27,26.8100,27.0000,26.6300,26.8100,3.7414,38600
1998-03-30,26.8100,27.0000,26.5000,26.8800,3.7739,45200
1998-03-31,26.6900,27.1900,26.6900,27.1900,3.8174,34200
1998-04-01,27.0000,27.1300,26.5000,26.8100,3.7641,54000
1998-04-02,26.6900,26.9400,26.3800,26.9400,3.7823,33800
1998-04-03,26.7500,27.1900,26.6300,27.0000,3.7907,34200
1998-04-06,27.0000,27.0000,26.6300,26.7500,3.7556,22200
1998-04-07,26.8100,27.1300,26.6300,27.0000,3.7907,49200
1998-04-08,26.8800,27.0000,26.6300,26.6300,3.7388,42000
1998-04-09,26.7500,27.0000,26.6300,26.6300,3.7388,26600
1998-04-13,26.6300,26.6900,26.3100,26.5000,3.7205,39500
