,open,high,low,close,adj_close,volume
1998-01-02,52.0000,52.7500,50.8100,51.9400,4.9211,397057
1998-01-05,52.5000,53.8800,51.1300,53.8800,5.1049,384435
1998-01-06,53.2500,53.7500,52.8800,53.0000,5.0215,497442
1998-01-07,52.2500,52.7500,49.6300,50.8100,4.8140,495467
1998-01-08,50.0000,50.8800,48.8800,49.2500,4.6662,392020
1998-01-09,49.3800,50.2500,48.3800,48.5600,4.6009,350242
1998-01-12,48.5000,48.8800,47.5000,48.1600,4.5630,535763
1998-01-13,48.0000,48.2500,47.8800,48.1300,4.5601,956444
1998-01-14,48.3800,49.7500,48.0000,49.6300,4.7022,569600
1998-01-15,50.0000,50.0000,49.1900,49.3800,4.6786,339753
1998-01-16,50.0000,51.2500,49.5000,51.0000,4.8320,204168
1998-01-20,51.5000,52.2500,51.0000,51.5000,4.8794,371635
1998-01-21,50.8800,51.7500,50.0000,50.0600,4.7430,220642
1998-01-22,50.1900,51.3800,49.5600,50.0000,4.7373,370153
1998-01-23,50.0000,50.3800,48.8800,49.3800,4.6786,319230
1998-01-26,49.2500,49.6300,48.8800,49.0600,4.6482,349985
1998-01-27,49.0600,49.3800,48.7500,49.2500,4.6662,297442
1998-01-28,49.5000,51.1300,49.5000,50.7500,4.8084,307220
1998-01-29,50.5000,51.5000,50.5000,50.8800,4.8207,286953
1998-01-30,50.7500,51.1300,50.2500,50.5000,4.7847,270242
1998-02-02,51.3800,54.1300,51.2500,53.9400,5.1106,467220
1998-02-03,54.2500,58.0000,54.0000,57.1600,5.4157,1371378
1998-02-04,57.5000,57.7500,55.5000,56.1300,5.3181,1243753
1998-02-05,56.0600,57.0000,55.7500,56.0000,5.3058,769244
1998-02-06,55.7500,57.0000,55.5000,56.4400,5.3475,461057
1998-02-09,56.5000,58.1300,56.1900,57.9100,5.4867,383190
1998-02-10,57.8800,58.2500,57.3100,58.1900,5.5133,525590
1998-02-11,58.3800,60.6300,58.1300,60.0000,5.6848,753975
1998-02-12,59.8800,60.3800,59.0000,59.4400,5.6317,535368
1998-02-13,59.3800,59.8800,58.2500,59.0000,5.5900,413452
1998-02-17,59.5000,60.1300,59.0000,59.8800,5.6876,310578
1998-02-18,59.8800,64.5000,59.6300,64.3800,6.1150,931378
1998-02-19,64.0000,66.5000,63.2500,66.0000,6.2689,662657
1998-02-20,66.3800,66.7500,65.1300,66.5600,6.3221,571990
1998-02-23,66.7500,66.7500,65.2500,65.7500,6.2452,630163
1998-02-24,65.5000,65.8800,65.0000,65.2500,6.1977,592375
1998-02-25,65.2500,65.3800,65.0000,65.2800,6.2005,465244
1998-02-26,65.5000,65.6300,63.7500,65.1300,6.1863,251852
1998-02-27,65.0000,65.1300,63.1300,63.3100,6.0134,265185
1998-03-02,62.8800,65.0000,62.8800,64.0300,6.0818,166657
1998-03-03,63.7500,65.3800,63.3100,65.1300,6.1863,220800
1998-03-04,65.2500,66.2500,64.3800,64.8800,6.1625,348267
1998-03-05,64.3800,64.8800,63.7500,63.7800,6.0580,182242
1998-03-06,64.7500,65.1300,63.7500,64.6300,6.1388,107200
1998-03-09,65.0000,65.2500,64.0000,65.0000,6.1739,259378
1998-03-10,65.0000,65.1900,64.5600,65.0000,6.1739,257857
1998-03-11,64.7500,65.1300,63.7500,64.1300,6.0913,254835
1998-03-12,63.5000,63.7500,63.0000,63.0600,5.9897,116030
1998-03-13,63.0000,64.9400,62.5000,62.6600,5.9517,197175
1998-03-16,63.3800,65.1300,62.5600,64.8800,6.1625,239368
1998-03-17,65.1300,65.1300,63.3100,64.3400,6.1112,236800
1998-03-18,64.2500,65.1300,64.2500,64.5000,6.1264,212168
