,open,high,low,close,adj_close,volume
1998-01-02,31.8100,31.9400,31.6900,31.8100,6.2210,505000
1998-01-05,32.0000,32.0000,30.7500,31.3100,6.1232,660700
1998-01-06,30.9400,31.1900,30.7500,30.8800,6.0391,368300
1998-01-07,30.6300,30.7500,30.3800,30.7500,6.0137,383400
1998-01-08,30.6900,31.1900,30.3100,31.1900,6.0998,360700
1998-01-09,31.2500,31.3100,30.8800,31.0000,6.0626,353400
1998-01-12,30.5000,31.3800,30.5000,31.3800,6.1369,430600
1998-01-13,31.3800,31.3800,30.5600,31.1900,6.0998,332300
1998-01-14,31.2500,31.2500,30.8800,31.1900,6.0998,282400
1998-01-15,31.1900,31.1900,30.6900,31.0600,6.0743,569200
1998-01-16,31.3800,31.5000,31.1300,31.2500,6.1115,592900
1998-01-20,31.3100,31.5600,31.2500,31.5600,6.1721,365900
1998-01-21,31.4400,32.3100,31.4400,32.2500,6.3071,1544000
1998-01-22,32.2500,32.3800,32.1300,32.2500,6.3071,372000
1998-01-23,32.2500,32.3100,31.6300,31.8100,6.2210,286600
1998-01-26,31.8100,32.1300,31.7500,31.9400,6.2464,318700
1998-01-27,31.6900,32.0600,31.3800,31.3800,6.1369,451500
1998-01-28,31.0000,31.2500,30.6900,30.9400,6.0509,808400
1998-01-29,31.0000,31.6300,30.7500,31.0600,6.0743,666200
1998-01-30,31.1300,31.1300,30.7500,31.0000,6.0626,488000
1998-02-02,31.3800,31.5000,30.9400,31.3100,6.1232,382600
1998-02-03,31.3800,31.5000,31.1300,31.2500,6.1115,260100
1998-02-04,30.8800,31.1900,30.8100,31.0000,6.0626,261100
1998-02-05,31.0000,31.3100,30.6900,31.3100,6.1232,296600
1998-02-06,31.2500,31.8800,31.1900,31.7500,6.2093,348200
1998-02-09,31.8100,31.8800,31.1300,31.6300,6.1858,360100
1998-02-10,31.6300,31.9400,31.4400,31.8800,6.2347,358700
1998-02-11,31.8100,31.9400,31.6300,31.7500,6.2093,267000
1998-02-12,31.5600,31.8800,31.2500,31.7500,6.2093,350900
1998-02-13,31.5000,31.8800,31.3100,31.7500,6.2093,214000
1998-02-17,31.9400,32.0600,31.5600,32.0000,6.2582,468900
1998-02-18,31.8800,32.0600,31.7500,31.8800,6.2347,299700
1998-02-19,31.8800,31.8800,31.2500,31.5000,6.1604,453600
1998-02-20,31.3800,31.7500,31.1300,31.6900,6.1976,483100
1998-02-23,31.7500,32.2500,31.5600,32.2500,6.3071,387700
1998-02-24,32.0000,32.0600,31.6300,32.0000,6.2582,234100
1998-02-25,32.1300,32.3100,31.7500,32.1900,6.2953,403200
1998-02-26,32.2500,32.4400,31.9400,32.0600,6.2699,554500
1998-02-27,31.8800,32.2500,31.6900,32.2500,6.3071,222400
1998-03-02,32.0600,32.3100,32.0600,32.1300,6.2836,183100
1998-03-03,32.1900,32.5000,32.1900,32.3800,6.3325,408600
1998-03-04,32.2500,32.4400,32.1900,32.3100,6.3188,218300
1998-03-05,32.1900,32.5600,32.1900,32.4400,6.3442,372400
1998-03-06,31.7500,32.5000,31.7500,32.5000,6.4616,8594000
1998-03-09,32.2500,32.5000,32.1300,32.5000,6.4616,598100
1998-03-10,32.5000,32.8100,32.4400,32.6300,6.4874,1224400
