,open,high,low,close,adj_close,volume
1998-01-02,36.3100,36.3100,35.5600,36.0000,22.0998,2588900
1998-01-05,35.8800,36.8100,35.6300,36.5000,22.4067,3769900
1998-01-06,36.5000,36.6300,35.0000,35.1900,21.6025,4391300
1998-01-07,34.9400,35.8800,34.8100,35.8800,22.0261,2971000
1998-01-08,35.8800,36.3100,35.8100,35.8800,22.0261,2920700
1998-01-09,35.8100,36.1900,34.5000,34.7500,21.3324,5114600
1998-01-12,34.2500,35.6900,34.1900,35.3800,21.7192,4438700
1998-01-13,36.0000,36.5000,35.3800,36.5000,22.4067,3309000
1998-01-14,36.2500,36.7500,35.8800,36.6900,22.5234,3460400
1998-01-15,36.7500,36.8800,35.8800,35.9400,22.0630,2027100
1998-01-16,36.3800,37.0000,36.2500,36.6900,22.5234,3478200
1998-01-20,36.8800,37.7500,36.5000,37.6300,23.1004,4202400
1998-01-21,37.0600,37.3800,36.6900,37.0000,22.7137,2688200
1998-01-22,36.8800,37.1300,36.5000,36.8800,22.6400,2702700
1998-01-23,36.7500,37.1900,36.1300,36.3100,22.2901,2637600
1998-01-26,36.1900,36.6300,36.1300,36.4400,22.3699,2119100
1998-01-27,35.8800,36.4400,35.5600,36.0600,22.1366,2979300
1998-01-28,35.8800,36.8800,35.7500,36.4400,22.3699,2836800
1998-01-29,36.5000,37.6900,36.4400,36.8800,22.6400,2384000
1998-01-30,36.6300,36.7500,35.9400,36.1300,22.1796,2563300
1998-02-02,36.3100,36.6900,35.7500,36.5000,22.4067,3962000
1998-02-03,34.5000,36.0000,34.3100,35.1900,21.6025,15324300
1998-02-04,35.0600,36.1300,35.0000,35.4400,21.7560,6322700
1998-02-05,35.4400,35.9400,34.9400,35.2500,21.6394,4812400
1998-02-06,35.3800,35.8800,35.2500,35.3800,21.7192,4182800
1998-02-09,35.3800,35.8100,35.3800,35.7500,21.9463,3082100
1998-02-10,35.8800,36.4400,35.5600,35.5600,21.8297,5350700
1998-02-11,35.5000,35.8100,35.4400,35.6300,21.8727,3806500
1998-02-12,35.6300,36.3800,35.5600,36.0000,22.0998,3617300
1998-02-13,36.2500,36.6300,36.0000,36.5000,22.4067,3557800
1998-02-17,36.1900,36.6300,35.6900,35.6900,21.9095,3171100
1998-02-18,35.6900,35.9400,35.2500,35.2500,21.6394,3401300
1998-02-19,35.6300,35.8100,35.4400,35.4400,21.7560,3192000
1998-02-20,35.3800,35.5600,35.0000,35.4400,21.7560,5047100
1998-02-23,35.1900,35.4400,35.0000,35.2500,21.6394,3474700
1998-02-24,35.2500,35.4400,35.0000,35.1900,21.6025,3103100
1998-02-25,35.1900,36.6300,35.1900,36.3800,22.3331,5038400
1998-02-26,36.1900,37.0600,36.1900,36.8100,22.5970,3758500
1998-02-27,36.4400,36.8100,36.4400,36.5000,22.4067,2236000
1998-03-02,36.7500,37.1900,36.5600,37.0000,22.7137,3689500
1998-03-03,36.9400,37.3800,36.6300,37.3800,22.9470,3329700
1998-03-04,37.0000,37.1300,36.8800,37.0600,22.7505,2446900
1998-03-05,37.0600,37.1300,36.2500,36.5600,22.4436,3126600
1998-03-06,36.5600,38.0000,36.5600,38.0000,23.3276,4081500
1998-03-09,38.6300,39.4400,38.3800,39.2500,24.0949,5917000
1998-03-10,39.5000,40.1300,39.4400,40.1300,24.6351,5213400
1998-03-11,40.0000,40.6300,39.5600,40.2500,24.7855,4002500
1998-03-12,42.0000,43.5000,42.0000,43.0000,26.4790,12955800
1998-03-13,43.0000,43.3800,42.6300,42.9400,26.4420,5084500
1998-03-16,43.0000,43.4400,42.1900,43.3100,26.6698,5315800
1998-03-17,42.3100,43.8800,42.3100,43.5600,26.8238,4018800
1998-03-18,43.0600,43.1300,42.3800,42.5600,26.2080,5384600
1998-03-19,42.3100,42.3800,41.6900,41.8800,25.7893,3313800
1998-03-20,42.2500,43.0000,42.0600,43.0000,26.4790,4505400
1998-03-23,42.7500,42.8800,42.1300,42.1900,25.9802,2390400
1998-03-24,42.4400,42.6900,42.1300,42.3100,26.0541,2149700
1998-03-25,42.6900,42.8800,41.9400,42.7500,26.3250,2731800
1998-03-26,42.8100,43.5600,42.7500,43.2500,26.6329,4226300
1998-03-27,43.0600,43.2500,41.9400,42.3100,26.0541,2860000
1998-03-30,42.1900,43.0600,42.1300,42.7500,26.3250,3062900
1998-03-31,42.6300,43.4400,42.3100,42.6900,26.2881,2982500
1998-04-01,42.4400,43.8800,42.3800,43.6300,26.8669,4536300
1998-04-02,43.4400,44.5000,42.9400,44.1900,27.2117,3259900
1998-04-03,44.0600,44.8100,43.7500,44.6900,27.5196,3190800
