,open,high,low,close,adj_close,volume
1998-01-02,75.4400,75.7500,74.0000,75.6900,13.0440,1521000
1998-01-05,76.8800,79.9400,76.3100,79.8100,13.7540,4544500
1998-01-06,79.0000,79.4400,77.1300,77.2500,13.3129,2941600
1998-01-07,78.1300,78.1300,76.1900,78.1300,13.4645,2218900
1998-01-08,78.1300,79.3800,77.1900,77.6300,13.3784,3328700
1998-01-09,77.2500,77.3800,72.0000,73.9400,12.7424,4007700
1998-01-12,71.0600,77.0000,71.0600,76.4400,13.1733,4051000
1998-01-13,78.0000,78.0000,77.0000,77.3100,13.3232,2918800
1998-01-14,77.8100,78.0000,76.5600,77.8100,13.4094,2585100
1998-01-15,77.3800,77.4400,75.6300,75.8100,13.0647,2786800
1998-01-16,76.2500,77.0000,75.6300,77.0000,13.2698,3746100
1998-01-20,78.3800,80.8800,78.0000,80.8100,13.9264,5114400
1998-01-21,80.0600,80.2500,78.5000,79.0000,13.6145,3766700
1998-01-22,78.3800,79.6300,78.1900,78.6300,13.5507,2506100
1998-01-23,78.1900,78.6900,76.6300,78.0600,13.4525,2787100
1998-01-26,78.0600,79.0000,77.5000,77.7500,13.3990,2317100
1998-01-27,78.0600,79.6900,77.8800,78.6900,13.5610,2840000
1998-01-28,79.5000,81.0000,79.4400,79.8100,13.7540,3846400
1998-01-29,80.5000,82.4400,80.2500,81.4400,14.0350,3350400
1998-01-30,81.9400,82.1300,80.7500,81.7500,14.0884,2292700
1998-02-02,84.6900,85.0600,82.3800,82.6300,14.2400,4339200
1998-02-03,82.5000,82.8800,81.5600,82.5600,14.2280,3036600
1998-02-04,82.0000,82.2500,81.0000,81.3800,14.0574,2273300
1998-02-05,82.0000,82.3100,79.6300,79.7500,13.7758,2902100
1998-02-06,80.0000,81.3800,79.9400,80.8800,13.9710,2310300
1998-02-09,81.2500,81.8100,80.1900,80.7500,13.9485,2361900
1998-02-10,81.6300,84.0000,81.4400,84.0000,14.5099,3624600
1998-02-11,83.7500,84.3800,81.4400,83.6900,14.4564,3074300
1998-02-12,83.2500,84.9400,82.2500,84.3100,14.5635,2480900
1998-02-13,84.0000,84.1900,83.3800,83.6300,14.4460,1970500
1998-02-17,84.4400,84.8100,83.4400,84.5000,14.5963,2406500
