,open,high,low,close,adj_close,volume
2001-10-23,20.5000,21.3900,20.4000,21.0000,14.2321,32584000
2001-10-24,22.2000,22.2000,21.0000,22.1500,15.0115,5847500
2001-10-25,22.0000,22.1500,21.6500,21.9500,14.8760,2038800
2001-10-26,21.9500,22.0000,21.4000,21.5000,14.5710,3339100
2001-10-29,22.0000,22.0000,21.0000,21.2000,14.3677,1758700
2001-10-30,22.2500,22.2500,21.0000,22.0400,14.9370,2225300
2001-10-31,22.4000,23.9900,21.9500,22.5000,15.2487,5101800
2001-11-01,22.6300,22.6300,21.7000,21.9500,14.8760,2747400
2001-11-02,22.1000,22.2500,21.9500,22.1800,15.0318,1183800
2001-11-05,22.1000,22.2000,21.7500,22.0000,14.9098,1144000
2001-11-06,21.9200,22.7000,21.8500,22.6000,15.3165,695100
2001-11-07,22.6500,22.6500,21.6500,21.8500,14.8082,1002900
2001-11-08,21.9500,22.0000,21.5900,21.8200,14.7879,1642800
2001-11-09,21.5000,21.7700,21.5000,21.6000,14.6388,1601000
2001-11-12,21.6100,22.0000,21.3100,21.9800,14.8963,1101400
2001-11-13,22.0000,22.0000,21.7500,21.8500,14.8082,687300
2001-11-14,22.1000,22.1000,21.4000,21.7500,14.7404,1964000
2001-11-15,21.6500,21.9900,21.6000,21.9300,14.8624,867300
2001-11-16,22.0000,22.8800,21.9800,22.2500,15.0793,1851600
2001-11-19,22.0000,22.7400,22.0000,22.3300,15.1335,1231800
2001-11-20,22.2500,22.7500,22.2500,22.7200,15.3978,1182300
2001-11-21,22.9000,22.9000,22.6500,22.8700,15.4995,1016400
2001-11-23,22.8800,22.8800,22.2000,22.3800,15.1674,328800
2001-11-26,22.1000,22.4800,21.9800,22.3300,15.1335,2417500
2001-11-27,22.2500,22.6000,22.2500,22.4000,15.1809,1536000
2001-11-28,22.9300,22.9300,22.4800,22.8000,15.4520,871900
2001-11-29,22.8000,22.9500,22.5000,22.8800,15.5062,523100
2001-11-30,22.9000,23.0000,22.7000,22.9500,15.5537,2255100
2001-12-03,23.2000,23.2000,22.2500,22.9500,15.5537,1037600
2001-12-04,22.9500,22.9900,22.6500,22.9500,15.5537,578700
2001-12-05,23.0300,23.3000,22.9500,23.2000,15.7231,1370400
2001-12-06,23.8100,23.8100,23.1200,23.4500,15.8925,509400
2001-12-07,23.7800,23.7800,23.2000,23.4500,15.8925,1175600
2001-12-10,23.4400,23.4400,23.2000,23.3500,15.8248,1396900
2001-12-11,23.3500,23.8500,23.3500,23.4900,15.9197,1376300
2001-12-12,23.6500,23.9500,23.5000,23.6500,16.0281,1933800
2001-12-13,23.7500,23.8500,23.3500,23.4800,15.9129,1813400
2001-12-14,23.4000,24.3500,23.4000,24.0800,16.3195,2133900
2001-12-17,24.2800,24.7500,23.5200,23.6900,16.0552,1285500
2001-12-18,23.9000,24.0900,23.5000,23.6900,16.0552,1949800
2001-12-19,23.8800,24.1200,23.0000,23.5100,15.9332,3143500
2001-12-20,23.5100,23.7000,23.0000,23.5800,15.9806,3660000
2001-12-21,23.1000,23.5600,23.0800,23.3700,15.8383,2871400
2001-12-24,23.4000,23.4900,23.3000,23.4000,15.8587,1578200
2001-12-26,23.5000,23.7000,23.2500,23.3000,15.7909,2152100
2001-12-27,23.4500,23.9000,23.2000,23.5500,15.9603,1772400
