,open,high,low,close,adj_close,volume
1998-01-02,119.1000,119.8000,118.0000,119.1000,25.3278,347400
1998-01-05,119.6000,120.1000,117.5000,117.8000,25.0514,278700
1998-01-06,117.5000,118.8000,117.1000,118.1000,25.1152,310200
1998-01-07,118.1000,120.0000,116.9000,117.7000,25.0301,343800
1998-01-08,117.8000,117.9000,116.3000,116.8000,24.8387,220200
1998-01-09,116.4000,116.4000,111.5000,112.9000,24.0093,370800
1998-01-12,111.9000,114.3000,111.9000,113.7000,24.1795,272400
1998-01-13,114.0000,117.0000,114.0000,117.0000,24.8812,236100
1998-01-14,117.0000,117.9000,115.5000,117.8000,25.0514,258600
1998-01-15,118.0000,118.4000,116.5000,118.1000,25.1152,212700
1998-01-16,119.0000,119.5000,117.9000,118.0000,25.0939,253200
1998-01-20,118.5000,120.8000,118.2000,120.5000,25.6255,324000
1998-01-21,120.5000,121.4000,116.4000,117.0000,24.8812,467100
1998-01-22,116.9000,117.6000,115.4000,116.1000,24.6898,279300
1998-01-23,116.4000,116.9000,114.0000,114.8000,24.4134,281100
1998-01-26,114.8000,115.9000,114.1000,114.7000,24.3921,249900
1998-01-27,114.4000,117.0000,114.4000,116.7000,24.8174,298200
1998-01-28,113.9000,113.9000,106.7000,107.1000,22.7759,1912800
1998-01-29,107.1000,111.9000,107.1000,110.2000,23.4351,1577100
1998-01-30,109.6000,110.1000,109.0000,109.4000,23.2650,1369200
1998-02-02,110.0000,111.6000,109.8000,111.4000,23.6903,4033500
1998-02-03,111.3000,112.4000,110.6000,112.4000,23.9030,273600
1998-02-04,112.2000,112.4000,111.0000,112.0000,23.8179,481200
1998-02-05,111.9000,112.6000,110.1000,111.3000,23.6691,345300
1998-02-06,111.5000,112.0000,110.4000,110.7000,23.5415,774900
1998-02-09,110.6000,113.1000,110.6000,111.8000,23.7754,251100
1998-02-10,112.4000,113.1000,112.1000,113.0000,24.0434,428700
1998-02-11,112.9000,114.0000,112.3000,113.2000,24.0859,537600
1998-02-12,113.2000,114.3000,112.6000,113.9000,24.2348,443700
1998-02-13,113.3000,114.2000,112.5000,112.8000,24.0008,574200
1998-02-17,113.0000,113.4000,112.8000,113.3000,24.1072,579000
1998-02-18,113.3000,114.1000,113.3000,113.4000,24.1285,544200
1998-02-19,113.2000,114.3000,112.2000,113.4000,24.1285,391500
1998-02-20,113.5000,114.5000,112.9000,114.2000,24.2987,240900
1998-02-23,114.2000,114.9000,112.3000,113.8000,24.2136,248100
1998-02-24,113.5000,114.5000,112.9000,113.8000,24.2136,414600
1998-02-25,113.5000,117.8000,113.3000,115.9000,24.6604,427500
1998-02-26,116.3000,116.3000,114.6000,115.0000,24.4689,529800
1998-02-27,115.0000,116.7000,114.8000,115.9000,24.6604,306900
1998-03-02,117.0000,117.3000,116.4000,116.7000,24.8306,182100
1998-03-03,117.3000,118.1000,117.0000,117.3000,24.9583,300900
1998-03-04,117.3000,121.3000,117.3000,120.2000,25.5753,772800
1998-03-05,119.9000,120.2000,119.4000,120.2000,25.5753,445500
1998-03-06,120.0000,120.9000,119.3000,119.3000,25.3838,339300
1998-03-09,119.4000,119.5000,117.9000,118.4000,25.1923,378900
1998-03-10,118.6000,118.9000,118.6000,118.7000,25.2562,232200
1998-03-11,118.4000,118.6000,117.8000,117.8000,25.0774,420900
1998-03-12,117.9000,118.7000,117.9000,118.4000,25.2052,216000
1998-03-13,118.6000,118.8000,118.1000,118.7000,25.2690,136500
1998-03-16,119.1000,121.8000,119.0000,121.1000,25.7799,287100
1998-03-17,122.0000,123.5000,122.0000,122.7000,26.1205,523500
1998-03-18,122.7000,124.2000,122.7000,124.0000,26.3973,319800
1998-03-19,124.8000,124.8000,123.3000,124.8000,26.5676,336000
1998-03-20,125.0000,126.5000,124.6000,126.3000,26.8869,533400
1998-03-23,126.0000,126.0000,123.0000,123.8000,26.3547,233400
1998-03-24,123.8000,129.0000,123.8000,128.4000,27.3340,625200
