,open,high,low,close,adj_close,volume
1998-01-02,79.3100,80.9400,78.8800,80.9400,23.7139,1544200
1998-01-05,81.1900,82.8100,80.4400,82.5600,24.1885,2498200
1998-01-06,81.5000,82.7500,81.4400,82.3100,24.1153,1922700
1998-01-07,81.6300,81.7500,80.5600,81.4400,23.8604,2142300
1998-01-08,81.0000,81.4400,80.5000,80.5000,23.5850,1454600
1998-01-09,79.8800,80.4400,78.0000,78.8800,23.1103,2285900
1998-01-12,77.6300,82.3800,77.5600,82.3100,24.1153,2482800
1998-01-13,81.5600,82.6300,80.5600,81.1300,23.7696,2167800
1998-01-14,81.1900,81.3800,79.1900,80.5600,23.6026,1968100
1998-01-15,80.3100,80.5600,79.6900,79.9400,23.4209,1255500
1998-01-16,80.4400,80.4400,78.9400,79.3100,23.2363,2591300
1998-01-20,80.3100,80.9400,79.8800,80.7500,23.6582,1706400
1998-01-21,81.2500,81.8100,79.8800,81.0000,23.8056,1794400
1998-01-22,81.1900,81.2500,79.1300,79.8800,23.4764,1693900
1998-01-23,80.5000,80.5000,78.2500,78.3800,23.0356,1969100
1998-01-26,78.5000,79.0000,78.1900,78.5000,23.0708,1776300
1998-01-27,78.0600,81.3100,78.0600,80.8800,23.7703,3756200
1998-01-28,81.0000,81.0000,78.5000,79.2500,23.2913,1951500
1998-01-29,79.2500,80.1900,77.3100,78.0000,22.9239,2709300
1998-01-30,77.8800,79.0000,77.5000,78.3800,23.0356,2080700
1998-02-02,79.1900,79.8100,78.6900,79.5000,23.3647,1731500
1998-02-03,79.5000,81.8100,78.6900,81.3100,23.8967,2536200
1998-02-04,80.0000,81.0600,80.0000,80.3800,23.6234,1546600
1998-02-05,80.8800,80.8800,79.5000,79.6300,23.4030,1609900
1998-02-06,80.2500,82.4400,80.1900,82.0000,24.0995,2065800
1998-02-09,81.9400,82.3800,81.0600,81.5000,23.9525,1416200
1998-02-10,82.0000,83.6300,81.6900,82.8100,24.3375,2477600
1998-02-11,83.3100,84.0000,83.0000,83.7500,24.6138,1868500
1998-02-12,83.7500,84.3800,82.3800,83.9400,24.6696,1683800
1998-02-13,83.0600,84.7500,83.0600,84.6900,24.8901,1816900
