,open,high,low,close,adj_close,volume
1998-01-02,41.8100,42.5000,41.8100,42.5000,4.5665,98800
1998-01-05,42.3100,44.1300,42.1300,43.7500,4.7008,87900
1998-01-06,43.7500,43.7500,43.1300,43.4400,4.6675,114300
1998-01-07,43.4400,43.4400,42.6900,42.8800,4.6073,60500
1998-01-08,42.8800,43.0600,42.8100,42.8100,4.5998,35400
1998-01-09,42.7500,42.7500,41.0000,41.0000,4.4053,80700
1998-01-12,40.8800,41.8800,40.5600,41.8800,4.4998,70000
1998-01-13,41.8800,42.8800,41.5600,42.8100,4.5998,32500
1998-01-14,42.9400,43.5000,42.6300,43.5000,4.6739,28100
1998-01-15,43.5000,43.6300,42.5000,42.6900,4.5869,31700
1998-01-16,42.9400,43.9400,42.8100,43.8100,4.7072,71300
1998-01-20,43.8100,43.8100,43.3800,43.5000,4.6739,86000
1998-01-21,43.2500,43.5600,43.1900,43.2500,4.6470,79800
1998-01-22,43.2500,43.4400,43.1300,43.3800,4.6610,63200
1998-01-23,43.5000,43.5000,42.5000,42.5600,4.5729,33700
1998-01-26,42.8100,42.8100,41.7500,41.8800,4.4998,47600
1998-01-27,41.9400,42.0600,41.5000,41.6900,4.4794,116200
1998-01-28,41.7500,41.9400,41.7500,41.8100,4.4923,69100
1998-01-29,41.9400,42.6300,41.8800,42.1900,4.5332,102700
1998-01-30,42.1300,43.0000,41.9400,42.6900,4.5869,67000
1998-02-02,42.7500,43.9400,42.6300,42.7500,4.5933,96300
1998-02-03,42.5000,43.3800,42.4400,43.1300,4.6342,105300
1998-02-04,43.0000,44.0000,43.0000,43.8800,4.7147,65600
1998-02-05,44.1300,45.0000,44.1300,44.4400,4.7749,76100
1998-02-06,44.6300,45.3800,44.6300,44.9400,4.8286,54200
1998-02-09,45.1300,45.2500,44.1900,45.1900,4.8555,75100
1998-02-10,45.2500,45.9400,45.2500,45.6900,4.9092,41700
1998-02-11,45.6900,45.6900,45.1900,45.4400,4.8824,37600
1998-02-12,45.2500,45.3800,44.8800,45.2500,4.8619,40400
1998-02-13,45.0000,45.3800,44.3800,44.5000,4.7814,24400
1998-02-17,44.7500,44.9400,44.1300,44.4400,4.7749,31500
1998-02-18,44.3800,44.8100,44.3100,44.6900,4.8018,42400
1998-02-19,44.6300,44.8100,44.2500,44.7500,4.8082,38000
1998-02-20,45.0000,45.1900,44.6900,45.0000,4.8351,63700
1998-02-23,44.8100,44.9400,44.6900,44.6900,4.8018,54900
1998-02-24,44.5000,45.1300,44.0000,44.9400,4.8286,49200
1998-02-25,45.0000,45.5000,45.0000,45.2500,4.8619,37500
1998-02-26,45.2500,45.8800,45.1900,45.8800,4.9296,25400
1998-02-27,46.0600,46.0600,45.1900,45.5000,4.8888,47100
1998-03-02,45.2500,45.4400,44.1300,45.0000,4.8351,26000
1998-03-03,44.9400,45.0000,44.3800,44.6900,4.8018,47500
1998-03-04,44.6900,44.6900,43.9400,44.0000,4.7276,26300
1998-03-05,43.7500,43.8100,42.3800,42.7500,4.5933,73100
1998-03-06,42.8800,43.8800,42.8800,43.4400,4.6675,35700
1998-03-09,43.4400,44.0600,43.0600,43.1900,4.6406,39400
1998-03-10,43.2500,43.5000,42.8100,42.8100,4.6062,56300
1998-03-11,42.8100,43.0000,42.6300,42.6300,4.5869,90600
1998-03-12,42.7500,43.9400,42.6300,43.5600,4.6869,104700
1998-03-13,44.0000,44.1900,43.5000,43.5600,4.6869,48400
1998-03-16,43.5600,44.3100,43.5600,44.0000,4.7343,21300
1998-03-17,45.5000,45.7500,44.9400,45.5600,4.9021,92400
1998-03-18,45.6900,46.5600,45.6300,46.2500,4.9764,126600
1998-03-19,46.1900,46.1900,44.5000,44.8100,4.8214,33100
1998-03-20,44.8100,44.9400,44.5000,44.6300,4.8020,54000
1998-03-23,44.6300,45.0000,44.2500,44.2500,4.7612,29500
1998-03-24,44.5000,45.5600,44.5000,45.4400,4.8892,35500
1998-03-25,45.8800,46.0600,44.8800,45.0600,4.8483,119400
1998-03-26,44.8100,45.6900,44.8100,45.6300,4.9096,57700
1998-03-27,45.6300,45.6300,44.8800,45.0600,4.8483,103000
1998-03-30,45.0000,46.2500,45.0000,46.0000,4.9495,219800
1998-03-31,45.9400,46.7500,45.9400,46.5000,5.0032,157700
1998-04-01,46.4400,47.0000,46.4400,47.0000,5.0570,87600
1998-04-02,46.8800,48.1300,46.6900,47.8100,5.1442,77400
1998-04-03,47.9400,48.2500,47.0000,47.1300,5.0710,122000
1998-04-06,47.2500,48.4400,47.2500,48.2500,5.1915,161400
1998-04-07,48.1300,48.5600,48.0000,48.5600,5.2249,90800
1998-04-08,48.4400,48.5600,48.0000,48.2500,5.1915,90300
1998-04-09,48.3800,49.1300,48.1300,49.1300,5.2862,41200
1998-04-13,49.0000,49.2500,48.8100,49.2500,5.2991,82400
1998-04-14,49.1900,49.2500,48.7500,49.2500,5.2991,72300
1998-04-15,49.1300,50.1900,49.1300,49.7500,5.3529,97800
1998-04-16,49.5000,49.5600,49.2500,49.2500,5.2991,28000
1998-04-17,48.8800,50.4400,48.6300,50.4400,5.4272,67600
1998-04-20,50.2500,51.0600,50.0600,50.3800,5.4207,60500
1998-04-21,50.3800,50.3800,50.0000,50.2500,5.4067,37500
1998-04-22,50.3100,50.8100,50.0000,50.8100,5.4670,28200
1998-04-23,51.4400,54.2500,51.3800,54.0000,5.8102,258900
1998-04-24,54.0000,54.9400,53.1900,53.3100,5.7360,103100
1998-04-27,53.0000,53.0000,48.3800,50.3800,5.4207,462900
1998-04-28,50.3800,50.4400,48.8100,49.2500,5.2991,196900
1998-04-29,49.3800,49.7500,48.9400,49.6300,5.3400,286900
1998-04-30,50.5000,51.5600,50.5000,51.1900,5.5079,136600
1998-05-01,51.1900,51.5000,50.8100,51.5000,5.5412,90400
1998-05-04,51.3800,52.7500,51.3800,52.5000,5.6488,106900
1998-05-05,52.5000,53.1900,52.5000,53.0000,5.7026,94100
1998-05-06,52.7500,53.9400,52.7500,53.6900,5.7769,99600
1998-05-07,53.5600,54.7500,53.1300,53.8800,5.7973,197000
1998-05-08,53.8800,54.2500,53.6900,53.6900,5.7769,130500
1998-05-11,53.8100,54.4400,53.6300,54.0000,5.8102,85600
1998-05-12,54.0600,54.6300,54.0600,54.5000,5.8640,43900
1998-05-13,54.6300,56.3800,54.6300,56.0600,6.0319,98000
1998-05-14,56.0600,56.3800,55.9400,56.0000,6.0254,147200
1998-05-15,55.9400,56.0000,54.8800,54.9400,5.9114,36500
1998-05-18,55.1300,55.6900,55.0600,55.3800,5.9587,31000
1998-05-19,55.6300,56.0600,55.6300,55.8800,6.0125,134000
1998-05-20,56.0000,56.0600,55.8100,56.0600,6.0319,76300
1998-05-21,55.8800,56.0600,55.6300,55.6900,5.9921,118900
1998-05-22,55.2500,55.4400,54.7500,54.7500,5.8909,75500
1998-05-26,54.9400,55.0600,54.0000,54.0000,5.8102,74000
1998-05-27,53.6300,54.0000,52.9400,53.0000,5.7026,231700
1998-05-28,53.1900,53.1900,51.8800,52.6900,5.6693,254800
1998-05-29,52.7500,53.9400,52.7500,53.3100,5.7360,82000
1998-06-01,53.1300,54.4400,53.0000,53.3800,5.7435,56900
1998-06-02,26.6900,26.6900,25.8100,26.0000,5.5950,63550
1998-06-03,26.0000,27.6300,25.8800,26.5000,5.7026,135500
1998-06-04,26.2500,26.2500,25.3800,26.1900,5.6359,194700
1998-06-05,26.1900,27.0000,26.1300,26.8800,5.7844,61800
1998-06-08,26.8800,27.7500,26.8100,26.8100,5.7693,70800
1998-06-09,26.0000,27.1300,26.0000,27.0000,5.8102,176000
1998-06-10,27.1200,27.5600,26.8800,27.0600,5.8317,92700
1998-06-11,27.0600,27.0600,26.0600,26.1900,5.6442,71600
1998-06-12,26.0600,26.1300,25.7500,26.0600,5.6162,106500
1998-06-15,25.9400,26.2500,25.4400,25.6300,5.5236,213500
1998-06-16,25.6300,26.5000,25.5000,26.2500,5.6572,192400
1998-06-17,26.1900,26.2500,25.5000,25.6300,5.5236,202900
1998-06-18,25.6900,25.6900,25.3100,25.3100,5.4546,200000
1998-06-19,25.1900,26.8800,25.1900,26.6300,5.7391,201200
1998-06-22,26.6300,28.5000,26.6300,28.5000,6.1421,326900
1998-06-23,29.7500,30.0600,29.0000,29.9400,6.4524,554700
1998-06-24,29.9400,30.5000,29.7500,30.3800,6.5472,229200
1998-06-25,29.6900,30.8800,29.6900,30.8800,6.6550,126200
1998-06-26,30.8800,31.0000,30.5000,30.5000,6.5731,118600
1998-06-29,30.7500,31.0600,29.9400,30.3800,6.5472,127500
