,open,high,low,close,adj_close,volume
1998-01-02,20.8100,21.0600,20.8100,20.8800,7.9955,41800
1998-01-05,20.8800,22.0000,20.8800,21.8100,8.3516,150400
1998-01-06,21.6900,21.8800,21.1900,21.2500,8.1371,88600
1998-01-07,21.4400,21.6200,20.8800,20.8800,7.9955,60600
1998-01-08,21.0000,21.5000,20.9400,21.1900,8.1142,61200
1998-01-09,21.1900,21.2500,19.4400,19.6900,7.5398,106500
1998-01-12,19.6200,20.6200,19.5600,20.4400,7.8270,80900
1998-01-13,20.5600,20.5600,19.9400,20.4400,7.8270,200000
1998-01-14,20.3800,21.0000,20.1900,21.0000,8.0950,141000
1998-01-15,20.9400,21.0000,20.6900,20.9400,8.0719,292200
1998-01-16,21.2500,21.2500,20.9400,21.1900,8.1683,101400
1998-01-20,21.1900,22.9400,21.1900,22.4400,8.6501,338700
1998-01-21,22.6900,23.4400,22.6900,22.9400,8.8428,608300
1998-01-22,22.7500,22.7500,22.5000,22.7500,8.7696,329500
1998-01-23,22.6900,23.1900,22.5600,23.0600,8.8891,252600
1998-01-26,23.0000,23.8100,23.0000,23.6200,9.1050,300400
1998-01-27,23.5000,23.8800,23.3800,23.6900,9.1319,229200
1998-01-28,23.8100,24.6200,23.8100,24.4400,9.4211,292200
1998-01-29,24.5600,25.3800,24.1200,24.3100,9.3709,308600
1998-01-30,24.1900,24.4400,24.0000,24.1200,9.2977,131200
1998-02-02,24.3800,24.6200,24.2500,24.5600,9.4673,273600
1998-02-03,24.5600,24.6900,24.1900,24.5600,9.4673,242700
1998-02-04,24.3800,25.1900,24.3800,24.8800,9.5907,154900
1998-02-05,24.8100,26.4400,24.8100,25.7500,9.9260,737700
1998-02-06,25.7500,26.6200,25.5000,25.6900,9.9029,222200
1998-02-09,25.8100,26.1900,25.3800,25.8800,9.9761,150500
1998-02-10,26.0000,26.4400,25.9400,26.1200,10.0687,215300
1998-02-11,26.1200,26.3100,25.8100,26.0000,10.0224,99700
1998-02-12,26.0000,26.0600,25.7500,25.9400,9.9993,99600
1998-02-13,25.6900,26.0600,25.6900,25.9400,9.9993,132400
1998-02-17,25.9400,26.1200,25.8800,26.0000,10.0224,321900
1998-02-18,25.8800,26.1900,25.8800,26.0000,10.0224,233700
1998-02-19,26.1200,26.1200,25.6200,26.0000,10.0224,109900
1998-02-20,25.8800,26.5000,25.8800,26.3800,10.1689,289100
1998-02-23,26.3100,26.5000,26.3100,26.4400,10.1920,124900
1998-02-24,26.3800,26.9400,26.3100,26.4400,10.1920,454600
1998-02-25,26.6900,26.9400,26.5000,26.6200,10.2614,200000
1998-02-26,26.6200,26.9400,26.4400,26.9400,10.3847,305200
1998-02-27,26.8100,27.3800,26.6900,26.9400,10.3847,295000
1998-03-02,27.1200,27.5000,26.8800,27.3100,10.5274,316300
1998-03-03,27.0600,27.2500,27.0000,27.1200,10.4541,106000
1998-03-04,27.3100,27.3100,26.9400,27.0000,10.4079,267700
1998-03-05,26.7500,27.1200,26.5600,26.8100,10.3346,271600
1998-03-06,26.7500,28.1200,26.7500,27.4400,10.5775,314800
1998-03-09,27.3100,27.5600,27.1200,27.5000,10.6006,251600
1998-03-10,27.5000,27.6200,27.3100,27.3800,10.5544,242800
1998-03-11,27.1200,27.6900,27.0000,27.6200,10.6469,100800
1998-03-12,27.3800,28.2500,27.2500,27.5600,10.6237,112200
1998-03-13,27.6900,27.8100,27.5000,27.6900,10.6739,49300
1998-03-16,27.7500,28.5000,27.7500,28.0000,10.7934,225200
1998-03-17,28.1200,28.1200,27.5600,28.0000,10.7934,65100
1998-03-18,28.0000,28.0600,27.7500,27.9400,10.7702,142800
1998-03-19,27.7500,28.2500,27.6200,28.0000,10.7934,159400
1998-03-20,27.6200,27.7500,26.9400,27.5000,10.6006,450900
1998-03-23,27.3100,27.5000,27.0000,27.5000,10.6006,109900
1998-03-24,27.2500,27.8100,27.2500,27.4400,10.5775,244700
1998-03-25,27.4400,27.8800,27.4400,27.6900,10.6739,132500
1998-03-26,27.6900,27.6900,27.4400,27.5600,10.6237,79500
1998-03-27,27.5600,28.1200,27.5600,27.7500,10.6970,138500
1998-03-30,28.1200,28.4400,28.0600,28.4400,10.9630,126500
1998-03-31,28.4400,29.7500,28.4400,29.0600,11.2020,243100
1998-04-01,29.0600,29.3800,28.6200,29.3800,11.3253,140700
1998-04-02,29.3800,29.3800,28.8100,29.1900,11.2521,98700
1998-04-03,29.1900,29.5000,28.9400,29.1900,11.2521,140900
1998-04-06,29.0600,29.4400,28.3100,28.3800,10.9398,78500
1998-04-07,27.8800,28.0600,27.6200,27.9400,10.7702,90800
1998-04-08,27.9400,28.0000,27.1200,27.8100,10.7201,213900
1998-04-09,27.8800,29.7500,27.8800,29.1200,11.2251,157600
1998-04-13,29.0000,29.0000,28.2500,28.5600,11.0092,96000
1998-04-14,28.5600,29.2500,28.5600,29.1200,11.2251,127900
1998-04-15,29.5000,29.9400,29.0600,29.6900,11.4988,189600
1998-04-16,29.6200,29.6200,29.2500,29.2500,11.3284,112400
1998-04-17,29.2500,29.5600,29.1900,29.4400,11.4020,133900
1998-04-20,29.3100,29.6900,29.2500,29.6200,11.4717,116900
1998-04-21,29.7500,31.2500,29.6900,31.0000,12.0061,243200
1998-04-22,31.0000,31.2500,30.6900,31.0000,12.0061,291500
1998-04-23,30.9400,31.3100,30.3100,30.7500,11.9093,645900
1998-04-24,30.7500,30.8800,30.2500,30.3800,11.7660,177800
1998-04-27,29.7500,30.2500,29.5600,30.0000,11.6188,161100
1998-04-28,30.0000,30.5000,30.0000,30.2500,11.7157,156800
1998-04-29,30.1900,30.3100,29.8100,29.8100,11.5452,281100
1998-04-30,29.8800,30.1900,29.8800,30.1200,11.6653,467700
1998-05-01,30.1200,30.3800,29.9400,30.1900,11.6924,288400
1998-05-04,30.2500,30.3100,29.9400,30.0600,11.6421,100000
1998-05-05,30.5000,30.5000,30.0000,30.1200,11.6653,94200
1998-05-06,30.2500,30.2500,29.6200,30.1200,11.6653,183600
1998-05-07,29.8800,29.8800,29.0000,29.5000,11.4252,189400
1998-05-08,29.2500,30.4400,29.2500,29.9400,11.5956,218300
1998-05-11,30.0000,30.3800,29.8100,30.3800,11.7660,125000
1998-05-12,30.3100,30.9400,30.3100,30.9400,11.9829,199900
1998-05-13,31.0000,32.6900,31.0000,31.7500,12.2966,408600
1998-05-14,32.0000,32.5000,31.3100,32.4400,12.5638,410800
1998-05-15,32.1900,32.1900,31.5000,31.7500,12.2966,221500
1998-05-18,31.6900,32.1900,31.6200,32.0000,12.3934,136700
1998-05-19,31.8100,33.0600,31.8100,32.8800,12.7342,374200
1998-05-20,32.8800,33.7500,32.3800,33.6900,13.0480,238600
1998-05-21,33.4400,33.4400,32.0600,32.2500,12.4902,147600
1998-05-22,32.2500,32.2500,31.5600,32.0000,12.3934,76200
1998-05-26,32.0000,32.0000,31.0000,31.0000,12.0061,144400
1998-05-27,30.5000,30.5000,29.1200,29.8100,11.5452,226700
1998-05-28,29.9400,32.0000,29.7500,31.0600,12.0294,308100
1998-05-29,31.7500,31.9400,31.3800,31.5000,12.1998,327600
1998-06-01,32.0000,32.6900,31.5000,31.7500,12.2966,276700
1998-06-02,32.0000,32.6200,31.6200,31.6900,12.2734,204100
1998-06-03,31.5600,31.8800,30.8100,31.0600,12.0294,124400
1998-06-04,31.0600,31.4400,30.8800,31.4400,12.1765,79300
1998-06-05,31.4400,31.4400,30.4400,30.5600,11.8357,109500
1998-06-08,30.5000,31.1200,30.3800,30.3800,11.7660,143200
1998-06-09,30.6200,30.9400,30.5000,30.5600,11.8357,189400
1998-06-10,30.6200,30.7500,30.0600,30.1200,11.6653,126200
1998-06-11,30.1200,30.1200,29.0000,29.6200,11.4717,192700
1998-06-12,29.5000,29.6200,28.3800,28.6900,11.1115,109600
1998-06-15,28.0000,28.7500,28.0000,28.1900,10.9178,187100
1998-06-16,28.0600,28.8800,28.0600,28.4400,11.0147,108100
1998-06-17,28.6200,29.8800,28.6200,29.2500,11.3284,110800
1998-06-18,29.3100,29.3100,28.7500,28.9400,11.2083,102200
1998-06-19,28.6900,28.9400,28.3100,28.5600,11.0611,98400
1998-06-22,28.5000,29.2500,28.4400,29.1200,11.2780,46900
1998-06-23,29.0000,29.5600,29.0000,29.3800,11.3787,58600
1998-06-24,29.6200,30.1200,29.3800,29.8800,11.5724,144800
1998-06-25,29.7500,30.1200,29.3100,29.5600,11.4484,116100
1998-06-26,29.3800,29.9400,29.3800,29.6900,11.4988,64400
1998-06-29,29.9400,30.0000,29.7500,29.8100,11.5452,98100
1998-06-30,29.9400,30.1200,29.7500,30.0000,11.6188,314400
1998-07-01,30.0000,30.1200,29.6200,29.8100,11.5452,99000
1998-07-02,29.6900,30.0600,29.6600,29.8100,11.5452,53700
1998-07-06,29.5600,29.9400,29.3800,29.8800,11.5724,81700
1998-07-07,29.7500,29.9400,29.6200,29.6200,11.4717,86900
1998-07-08,29.6900,29.7500,29.5600,29.6200,11.4717,30800
1998-07-09,28.6200,29.2500,28.6200,29.1200,11.2780,121200
1998-07-10,29.0000,29.1900,28.0600,28.3100,10.9643,94500
1998-07-13,28.2500,28.3100,27.1900,27.6200,10.6971,258800
1998-07-14,27.6200,28.0600,27.5000,27.6200,10.6971,238900
1998-07-15,27.8100,28.6900,27.5600,28.5000,11.0379,113100
1998-07-16,28.5600,29.7500,28.1900,29.3800,11.3787,351400
1998-07-17,29.5000,29.5600,28.5000,29.3800,11.3787,196300
1998-07-20,29.0000,29.1900,28.7500,29.1200,11.2780,51200
1998-07-21,29.3800,29.6900,28.7500,29.0600,11.2548,207100
1998-07-22,29.3100,29.3800,28.3800,28.3800,11.0456,111000
1998-07-23,28.1200,28.2500,27.7500,28.1900,10.9717,202100
1998-07-24,28.1900,28.1900,27.6200,27.8800,10.8510,129800
1998-07-27,27.6200,28.2500,27.1900,27.2500,10.6058,84100
1998-07-28,27.1200,27.1200,26.2500,26.5600,10.3373,108200
1998-07-29,26.8100,26.8100,26.1900,26.3100,10.2400,33300
1998-07-30,26.0600,26.6200,26.0600,26.5000,10.3139,100300
1998-07-31,26.2500,26.4400,25.6200,25.8100,10.0454,84900
1998-08-03,25.9400,27.5000,25.9400,27.4400,10.6798,162800
1998-08-04,27.4400,28.5000,27.4400,28.5000,11.0923,315400
1998-08-05,28.3800,29.0600,27.6200,29.0600,11.3103,118400
1998-08-06,29.0000,29.0000,28.5600,28.8100,11.2130,199500
1998-08-07,28.6200,29.1200,28.0000,28.1200,10.9444,250200
1998-08-10,27.8100,28.0000,27.3100,27.8100,10.8238,104800
1998-08-11,27.7500,28.1200,27.1200,28.1200,10.9444,91200
1998-08-12,28.3800,28.9400,28.3100,28.8800,11.2402,119400
1998-08-13,28.8800,28.9400,28.1900,28.3100,11.0184,84300
1998-08-14,28.3100,28.6200,28.1900,28.3800,11.0456,41200
1998-08-17,28.2500,28.4400,28.1200,28.3100,11.0184,76200
1998-08-18,28.2500,29.1200,28.2500,29.0000,11.2869,74500
1998-08-19,28.8800,29.0000,28.5600,28.8800,11.2402,93000
1998-08-20,28.8800,29.0000,28.5000,28.8800,11.2402,133900
1998-08-21,28.6200,28.6900,28.0000,28.4400,11.0690,55300
1998-08-24,28.0000,28.2500,27.4400,27.6900,10.7771,88500
1998-08-25,27.2500,27.8800,26.5000,26.9400,10.4852,183300
1998-08-26,26.3100,26.5000,25.4400,25.4400,9.9014,270400
1998-08-27,25.4400,25.5000,23.5000,24.1200,9.3876,321300
1998-08-28,24.5000,24.8100,23.8800,23.9400,9.3176,265000
1998-08-31,24.1900,24.8100,23.4400,23.4400,9.1230,138200
