,open,high,low,close,adj_close,volume
2008-03-17,50.0000,52.6500,49.2400,49.3900,30.2159,1988000
2008-03-18,49.8500,52.0000,47.7500,49.6000,30.3443,8067600
2008-03-19,49.6000,51.0000,46.9000,50.1000,30.6502,3007700
2008-03-20,50.2000,50.2000,48.8700,49.1500,30.0690,3007700
2008-03-24,49.8100,51.0000,49.8100,51.0000,31.2008,1437000
2008-03-25,51.4000,51.7500,50.6000,51.7500,31.6597,1100800
2008-03-26,51.7000,52.4700,50.3000,50.3000,30.7726,2023200
2008-03-27,50.3000,50.3000,50.3000,50.3000,30.7726,8653300
2008-03-28,51.8200,52.5000,50.5600,51.0600,31.2375,9961200
2008-03-31,52.5500,54.7000,50.0000,50.5800,30.9439,19408900
2008-04-01,51.1100,52.1900,49.0100,50.5800,30.9439,23322500
2008-04-02,51.2400,52.0700,50.1500,51.2100,31.3293,12944700
2008-04-03,51.0000,51.5000,50.4001,51.0500,31.2314,12439100
2008-04-04,51.3400,51.4800,50.8000,51.3700,31.4272,6651000
2008-04-07,51.3000,51.6000,50.5000,50.6700,30.9989,7099300
2008-04-08,50.2100,51.0100,50.2100,50.6000,30.9561,8283300
2008-04-09,50.5000,50.5900,49.1500,49.3800,30.2097,8916200
2008-04-10,49.4900,49.9100,48.5000,48.6600,29.7693,14321900
2008-04-11,48.4900,48.8900,48.0800,48.3300,29.5674,11400700
2008-04-14,48.3500,48.3500,47.4300,48.0000,29.3655,11532500
2008-04-15,47.7800,48.3500,47.7800,48.2000,29.4878,9603400
2008-04-16,48.5300,49.6100,48.3500,49.4600,30.2587,14837600
2008-04-17,49.7200,50.0000,49.4200,49.8500,30.4973,6660700
2008-04-18,50.4900,50.9400,49.3800,49.9600,30.5646,9630700
2008-04-21,50.2000,50.8900,49.1300,50.6300,30.9745,6528300
2008-04-22,50.6000,50.9000,49.9200,50.0700,30.6319,5504900
2008-04-23,51.0000,52.3400,50.9000,52.0000,31.8126,13532300
2008-04-24,52.0000,52.4300,51.5000,52.0000,31.8126,5847500
2008-04-25,52.1400,52.1800,50.7500,51.3000,31.3844,11399700
2008-04-28,50.9400,51.3000,50.7500,51.0700,31.2437,8382500
2008-04-29,51.4400,52.2000,50.2600,52.0100,31.8187,12325300
2008-04-30,51.7000,52.0100,50.9058,51.0300,31.2192,8733100
2008-05-01,50.8300,51.1700,50.6200,50.7500,31.0479,7120800
2008-05-02,50.9000,51.1000,50.4000,51.0200,31.2131,9291100
2008-05-05,50.8700,51.6300,50.6300,50.8100,31.0846,8398500
2008-05-06,50.9000,51.9500,50.8500,51.8800,31.7392,7588300
2008-05-07,51.8800,52.2000,51.3100,51.6900,31.6230,6391400
2008-05-08,51.6500,52.2100,51.5000,52.2000,31.9350,6669700
2008-05-09,51.8100,52.4600,51.5300,51.8300,31.7086,5491700
2008-05-12,51.9800,52.5400,51.3000,52.4700,32.1001,5851300
2008-05-13,52.4200,52.8400,52.0400,52.4600,32.0940,5986600
2008-05-14,52.5100,52.8500,52.4000,52.6700,32.2225,5381500
2008-05-15,52.5100,53.3100,52.1000,53.2500,32.5773,8376500
2008-05-16,53.2300,53.5000,52.3500,53.3800,32.6569,7172600
2008-05-19,53.4900,53.9500,52.9300,53.6300,32.8098,6580200
2008-05-20,53.3000,53.9400,52.8200,52.9100,32.3693,6887400
2008-05-21,53.0400,53.1800,51.8300,51.9800,31.8004,6784200
2008-05-22,51.8200,52.7700,51.7800,52.2800,31.9839,5135200
2008-05-23,52.1000,52.9800,51.7500,51.8000,31.6903,5197400
2008-05-27,51.9200,51.9400,51.1200,51.6300,31.5863,6505400
2008-05-28,51.7000,51.9000,50.8300,51.1600,31.2987,13524100
2008-05-29,50.9600,52.1600,50.9300,52.0200,31.8248,7386900
2008-05-30,52.0700,52.9900,51.8100,52.6600,32.2164,7047800
2008-06-02,52.1500,52.7000,51.9200,52.1100,31.8799,8668100
2008-06-03,52.1000,52.6200,51.6700,51.6700,31.6107,6552400
2008-06-04,51.6900,52.2700,51.5000,51.9500,31.7820,6407400
2008-06-05,52.0300,52.2400,51.5400,51.8100,31.6964,6407400
2008-06-06,51.5000,51.5100,50.4000,50.5000,30.8949,10198500
2008-06-09,50.8000,50.9500,49.1800,49.4900,30.2770,9937000
2008-06-10,49.0100,49.6500,48.5300,49.4900,30.2770,8847000
2008-06-11,49.4900,50.6000,49.1200,49.8600,30.5034,12367200
2008-06-12,49.8700,51.3800,49.8700,51.2900,31.3782,11782900
2008-06-13,51.2800,51.8800,50.7000,51.6100,31.5740,7365600
2008-06-16,51.1700,51.1700,50.2400,50.7300,31.0357,8251100
2008-06-17,50.5500,50.9700,50.1200,50.6300,30.9745,5633800
2008-06-18,50.2200,50.5600,49.8200,49.9000,30.5279,9967500
2008-06-19,49.8000,50.5800,49.7000,50.4000,30.8338,9591400
2008-06-20,50.3050,50.5900,49.7700,50.2200,30.7236,11448200
2008-06-23,50.3300,50.7000,49.9000,50.6400,30.9806,6625800
2008-06-24,50.2500,51.5400,50.0500,51.1700,31.3048,8976600
2008-06-25,51.4500,52.7500,51.2500,51.7700,31.6719,10334100
2008-06-26,51.1000,51.5400,50.1500,50.1500,30.9622,12055000
2008-06-27,50.1100,50.2500,49.2200,49.8300,30.7647,15397700
2008-06-30,49.8000,50.1650,48.8400,49.3900,30.4930,9972600
2008-07-01,49.0300,50.5900,48.7300,50.3900,31.1104,11092000
2008-07-02,50.4700,51.0700,49.8700,50.6000,31.2401,7956400
2008-07-03,50.5700,51.5100,50.2900,51.4700,31.7772,5151300
2008-07-07,51.4700,52.3300,51.1000,51.8500,32.0118,8395000
2008-07-08,51.7300,54.0000,51.5600,53.7700,33.1972,13977700
2008-07-09,53.7200,54.4300,53.2500,54.0000,33.3392,10411300
2008-07-10,53.8900,53.9900,52.7100,53.4400,32.9935,11581100
2008-07-11,52.9300,53.8400,52.2500,53.3700,32.9502,6588500
2008-07-14,52.9300,53.8900,52.7500,53.5600,33.0675,8298900
2008-07-15,52.8900,53.8700,52.3200,53.3000,32.9070,8306600
2008-07-16,52.7700,53.3700,51.7300,52.9200,32.6724,6910000
2008-07-17,53.2000,53.2000,50.9000,50.9600,31.4623,10317300
2008-07-18,51.1000,51.4700,50.1200,50.7200,31.3142,9559600
2008-07-21,50.8200,50.9920,50.2500,50.4800,31.1660,4370800
2008-07-22,50.2500,52.1000,50.0600,52.0500,32.1353,8926900
2008-07-23,52.5900,52.5900,50.8900,51.4700,31.7772,7943800
2008-07-24,51.4000,53.0900,51.4000,52.4600,32.3884,8717600
2008-07-25,52.2700,53.5500,52.2700,53.0500,32.7527,8066100
2008-07-28,52.7800,53.2500,52.3400,52.6200,32.4872,5131000
2008-07-29,52.7400,53.4100,52.6300,53.3400,32.9317,7257600
2008-07-30,53.5600,54.0200,52.6700,53.3700,32.9502,7355800
2008-07-31,53.3700,53.7900,51.3400,51.6500,31.8883,10498800
2008-08-01,51.7500,52.6000,51.7500,52.0800,32.1538,6718500
2008-08-04,52.1000,54.0800,51.2800,53.7200,33.1663,8962600
2008-08-05,53.7000,55.5400,53.6000,55.2000,34.0801,12884400
2008-08-06,54.8600,56.1500,54.7100,55.5300,34.2838,12660800
2008-08-07,55.1300,55.3100,54.3000,54.6400,33.7343,9282200
2008-08-08,54.5000,55.5000,54.5000,55.2100,34.0862,9266200
2008-08-11,54.7000,55.7500,54.6400,55.7500,34.4196,9724400
2008-08-12,55.6100,56.2600,55.5200,55.9500,34.5431,6690400
2008-08-13,55.8600,55.9900,55.3700,55.5400,34.2900,7810200
2008-08-14,55.2400,55.7700,54.9400,55.4700,34.2468,5723200
2008-08-15,55.5100,55.7000,55.2500,55.5700,34.3085,6561300
2008-08-18,55.6600,55.7000,54.9100,55.0100,33.9628,5742800
2008-08-19,54.7600,55.1900,54.4500,54.5100,33.6541,5712500
2008-08-20,54.5500,54.7000,54.0700,54.6100,33.7158,4411500
2008-08-21,54.2000,55.0500,53.5500,54.8200,33.8455,4693100
2008-08-22,55.0000,55.5300,54.4100,55.5300,34.2838,4342600
2008-08-25,55.3000,55.6600,54.5600,54.8700,33.8763,4400200
2008-08-26,54.7900,55.1000,54.2100,54.6400,33.7343,6995000
2008-08-27,54.7500,54.8900,53.7110,54.1000,33.4009,5459100
2008-08-28,54.0100,54.2600,53.5500,53.9200,33.2898,5426100
2008-08-29,53.7600,54.4600,53.6600,53.7000,33.1540,6060100
2008-09-02,53.7500,55.3200,53.7000,54.8100,33.8393,8835700
2008-09-03,54.7500,55.4800,54.0000,54.0700,33.3824,8236900
2008-09-04,54.0000,54.2000,53.2100,53.3700,32.9502,7565900
2008-09-05,53.3500,54.2100,53.2400,54.0000,33.3392,7810500
2008-09-08,54.0000,55.4000,53.6900,54.9800,33.9442,16614500
2008-09-09,55.0300,55.7300,54.7800,54.7800,33.8208,11236800
2008-09-10,54.9000,55.1800,54.3200,54.6200,33.7220,9203000
2008-09-11,54.2800,54.8100,53.7500,54.8100,34.1727,8566700
2008-09-12,54.3900,54.6500,53.2500,53.6800,33.4682,8564300
2008-09-15,53.1400,54.1200,52.8200,52.8200,32.9320,10481900
2008-09-16,51.9700,54.2500,49.4600,53.7700,33.5243,15648800
2008-09-17,53.4900,53.4900,48.0600,48.9800,30.5378,22145900
2008-09-18,49.7200,52.7500,49.7200,50.0000,31.1738,22618300
2008-09-19,52.1700,52.4400,50.0000,51.4200,32.0591,16822000
2008-09-22,50.8100,51.9800,49.5900,50.0300,31.1925,10379600
2008-09-23,49.8900,50.8000,49.2500,49.2500,30.7062,8218900
2008-09-24,49.5400,50.1900,48.9500,49.7900,31.0428,9164800
2008-09-25,49.9900,52.0000,49.6600,51.6100,32.1776,12454800
2008-09-26,50.7600,51.3800,50.0100,50.9000,31.7349,9314100
2008-09-29,50.6900,50.8900,46.8000,46.8000,29.1786,14648300
2008-09-30,48.1000,49.7500,47.6900,48.1000,29.9892,14356400
2008-10-01,47.9600,50.8200,47.3509,50.7800,31.6601,11718100
2008-10-02,50.3900,51.9500,48.7500,49.0800,30.6002,11218400
2008-10-03,49.9000,51.7800,49.4500,49.6700,30.9680,12181100
2008-10-06,48.4400,49.5000,44.0000,46.1200,28.7547,25421600
2008-10-07,47.6500,47.8000,43.7200,44.3600,27.6574,14791700
2008-10-08,41.9500,45.2700,41.3700,43.0500,26.8406,18701800
2008-10-09,43.8000,45.0000,38.4500,39.0000,24.3155,17782900
2008-10-10,37.0100,45.0000,33.3000,39.7400,24.7769,29162700
2008-10-13,42.0000,46.0000,41.4600,44.9900,28.0502,19808100
2008-10-14,46.8700,46.9600,42.1900,44.0400,27.4578,18448000
2008-10-15,43.8700,44.5000,39.7000,40.8200,25.4503,14561500
2008-10-16,41.1500,43.8800,39.4000,43.0100,26.8157,17459500
2008-10-17,42.7900,45.4800,42.4100,43.3000,26.9965,14269900
2008-10-20,43.7700,45.0900,43.0000,43.3900,27.0526,11162500
2008-10-21,43.0900,43.8900,41.6700,42.1600,26.2857,9769500
2008-10-22,42.5000,43.3700,40.3000,40.8300,25.4565,14755100
2008-10-23,41.1700,43.7200,40.0000,42.9600,26.7845,11903100
2008-10-24,39.8800,41.5000,39.0000,40.5000,25.2507,13534300
2008-10-27,40.0200,40.2500,38.8700,39.0600,24.3529,11106600
2008-10-28,40.2600,42.9800,38.2700,42.5800,26.5476,15876000
2008-10-29,42.4600,43.8300,38.2100,41.5500,25.9054,12468400
2008-10-30,42.7800,43.4300,40.7500,42.8000,26.6847,8336900
2008-10-31,42.4400,44.3200,41.8700,43.4700,27.1025,11919800
2008-11-03,43.2300,43.3500,42.4600,42.6100,26.5663,6143200
2008-11-04,43.7500,44.9400,43.4000,44.7500,27.9005,9852900
2008-11-05,43.9300,46.4700,43.5100,44.0200,27.4454,10004000
2008-11-06,43.5100,44.0000,40.3600,40.8800,25.4877,11733200
2008-11-07,41.1500,42.8800,41.0100,42.2000,26.3107,6935200
2008-11-10,42.8800,43.2700,41.3000,42.1100,26.2545,6064100
2008-11-11,41.8000,42.2700,40.3200,41.3200,25.7620,6880000
2008-11-12,41.0000,41.0000,38.7500,39.1000,24.3779,13244600
2008-11-13,38.5800,39.8900,37.0100,39.8400,24.8393,16381800
2008-11-14,39.4000,39.6600,38.0000,38.4100,23.9477,15140300
2008-11-17,37.1700,39.9800,37.1600,38.3500,23.9103,10496100
2008-11-18,38.3300,39.0000,36.5900,38.5500,24.0350,16243100
2008-11-19,38.3100,38.7600,36.2300,36.6400,22.8441,13955700
2008-11-20,36.2200,39.4300,36.0500,36.6300,22.8379,19557600
2008-11-21,37.4800,38.3700,36.0000,38.2600,23.8542,19190300
2008-11-24,38.9900,43.2400,38.2400,41.8300,26.0800,19287100
2008-11-25,42.2800,43.3100,40.4200,41.2000,25.6872,18246400
2008-11-26,40.4300,42.5600,39.8200,42.5000,26.4977,8658000
2008-11-28,42.3300,42.9500,41.6500,42.1600,26.2857,4651400
2008-12-01,40.9100,41.6400,39.3800,39.6800,24.7395,11708900
2008-12-02,40.3500,40.5900,39.1000,40.0300,24.9577,12697300
2008-12-03,39.0000,41.9500,39.0000,41.6100,25.9428,9148700
2008-12-04,41.2000,41.9500,40.4100,40.8600,25.4752,10659500
2008-12-05,40.2800,42.4000,39.9700,42.3600,26.4104,11548000
2008-12-08,43.2500,43.5000,41.7500,42.6600,26.5975,10048200
2008-12-09,41.8000,42.4000,41.7800,41.9700,26.1673,12248300
2008-12-10,41.9500,42.6900,41.4200,42.3000,26.3730,10514500
2008-12-11,41.9100,42.7400,41.5100,41.9500,26.1548,10582000
2008-12-12,40.7500,41.7100,40.2000,41.3600,25.7869,8789500
2008-12-15,41.0500,41.9000,40.1200,41.5400,25.8992,10763100
2008-12-16,41.1400,41.6000,40.0000,41.0200,25.5750,16539600
2008-12-17,40.5000,42.8100,40.5000,42.0300,26.2047,12391700
2008-12-18,42.2300,42.9800,41.5900,41.9600,26.1610,13240600
2008-12-19,42.7900,42.9900,41.7300,41.8500,26.0924,23861000
2008-12-22,41.9100,42.2750,41.4400,42.1700,26.2920,9734300
2008-12-23,41.3600,42.8100,41.3500,41.7300,26.3543,7614700
2008-12-24,41.9800,42.5800,41.4000,42.4200,26.7901,2736400
2008-12-26,42.5800,42.9300,42.2500,42.4600,26.8153,2911500
2008-12-29,42.5000,43.1700,42.0200,43.1600,27.2574,10159000
2008-12-30,43.3900,44.1500,43.0100,43.9100,27.7311,8737700
2008-12-31,43.9300,44.5000,43.3100,43.5100,27.4784,7886100
2009-01-02,43.4700,45.0000,43.2800,44.1200,27.8637,7250900
2009-01-05,43.7900,44.7300,43.5100,44.4700,28.0847,6636900
2009-01-06,44.4700,45.0200,42.9300,43.2400,27.3079,14051200
2009-01-07,43.0700,43.6500,42.3700,42.7000,26.9669,9346100
2009-01-08,42.5700,42.8900,42.0000,42.7000,26.9669,8728300
2009-01-09,42.8600,43.3300,42.1100,42.3200,26.7269,8594600
2009-01-12,42.3100,43.0300,41.6500,41.8300,26.4175,8829000
2009-01-13,41.8900,42.8000,41.6300,42.1900,26.6448,9938300
2009-01-14,41.4400,41.7400,40.6600,41.5600,26.2469,10078000
2009-01-15,41.3300,41.9425,40.7000,41.4800,26.1964,9398100
2009-01-16,41.9300,42.4500,40.9400,42.1200,26.6006,9670400
2009-01-20,41.9800,42.8600,41.3300,41.4800,26.1964,9878900
2009-01-21,42.0300,42.0300,40.4000,41.4100,26.1522,10609200
2009-01-22,41.1000,41.2200,40.4000,40.9600,25.8680,9756100
2009-01-23,40.5100,41.4400,39.7500,41.2200,26.0322,9972300
2009-01-26,41.3200,42.3800,40.8800,41.1300,25.9754,9750300
2009-01-27,41.2800,41.8200,40.0200,40.1500,25.3565,11807500
2009-01-28,40.8100,40.8400,39.6000,39.9900,25.2554,9369300
2009-01-29,39.7100,40.2000,38.6600,38.7500,24.4723,9528900
2009-01-30,38.9700,39.0100,36.9900,37.1500,23.4618,19184600
2009-02-02,36.6800,37.7300,36.6500,37.4100,23.6260,11974800
2009-02-03,37.9800,38.6500,37.4700,38.3200,24.2007,11844600
2009-02-04,38.5100,38.7100,35.1500,36.7800,23.2282,20294800
2009-02-05,36.1000,37.3000,35.8200,37.2600,23.5313,14638200
2009-02-06,37.2100,37.4600,36.5200,36.8300,23.2597,12779500
2009-02-09,36.7500,37.0300,36.5300,36.7200,23.1903,8706900
2009-02-10,36.6500,36.9000,35.9000,36.0400,22.7608,12692000
2009-02-11,36.3100,36.5600,35.9500,36.3700,22.9692,10399900
2009-02-12,36.0100,36.4700,35.8000,36.1500,22.8303,11930000
2009-02-13,36.0900,36.2600,35.6800,35.9900,22.7292,11326400
2009-02-17,35.3200,35.4000,34.5000,34.7300,21.9335,12750800
2009-02-18,34.9600,35.6300,34.7900,35.4000,22.3566,13314100
2009-02-19,35.8200,36.0400,35.4100,35.9100,22.6787,9859700
2009-02-20,35.2900,35.9200,35.2500,35.6300,22.5019,13236100
2009-02-23,36.0700,36.0700,35.0300,35.1100,22.1735,10778400
2009-02-24,35.3400,35.3400,34.6000,34.9000,22.0409,12551600
2009-02-25,34.7800,35.2000,34.5100,34.8000,21.9777,26323300
2009-02-26,35.0800,35.4500,34.2000,34.2100,21.6051,10910900
2009-02-27,33.6600,34.1100,33.4200,33.4700,21.1378,13862200
2009-03-02,32.7900,33.5000,32.5300,32.7500,20.6830,16290300
2009-03-03,32.6100,33.0500,32.2500,32.3400,20.4241,14967700
2009-03-04,32.8600,33.7200,32.6000,33.4900,21.1504,14920300
2009-03-05,32.7900,33.1000,32.0400,32.9500,20.8093,16889400
2009-03-06,33.1900,33.4500,32.5100,33.3400,21.0557,15374600
2009-03-09,33.0000,34.2800,32.9600,34.0700,21.5167,12549200
2009-03-10,34.5900,34.5900,33.3560,34.0500,21.5040,11017200
2009-03-11,34.3300,34.4400,33.4600,33.6500,21.2514,9251500
2009-03-12,33.7500,34.7100,33.2800,34.6400,21.8767,7669500
2009-03-13,34.8500,36.1500,34.7500,36.0100,22.7419,11342200
2009-03-16,36.2200,37.4519,36.1700,37.1600,23.4681,9206700
2009-03-17,36.8600,38.7800,36.4700,38.6000,24.3776,13755200
2009-03-18,38.2200,39.2600,37.9500,38.2800,24.1755,12208500
2009-03-19,38.2600,38.4000,37.1500,37.2100,23.4997,12822800
2009-03-20,37.4000,38.6900,37.4000,38.3600,24.2260,18304800
2009-03-23,38.6500,38.6500,37.5700,38.1200,24.4155,13056400
2009-03-24,37.7200,39.0900,37.7200,38.8000,24.8510,13010100
2009-03-25,39.1000,39.2800,38.1900,38.5800,24.7101,7969300
2009-03-26,38.8100,38.8400,37.9700,38.3000,24.5307,12736300
2009-03-27,38.3600,38.3900,37.2700,37.5800,24.0696,8728900
2009-03-30,37.4900,37.8800,36.4500,36.7300,23.5252,8717500
2009-03-31,36.6000,36.9400,35.4900,35.5800,22.7886,14856400
2009-04-01,35.2200,36.3700,35.1500,36.2200,23.1985,10944400
2009-04-02,36.4400,36.6300,35.6900,36.0900,23.1153,13244100
2009-04-03,36.0400,36.3900,35.8000,36.2000,23.1857,10122200
2009-04-06,36.2900,37.4500,35.9700,37.3300,23.9095,8652200
2009-04-07,36.8500,37.5000,36.6000,36.9800,23.6853,11754800
2009-04-08,37.1800,38.3500,36.6500,38.2500,24.4987,8867500
2009-04-09,38.9600,38.9600,37.4400,37.7100,24.1529,7901000
2009-04-13,37.5100,37.8200,36.9700,37.0800,23.7494,6492600
2009-04-14,36.7400,36.8000,35.9100,36.4400,23.3394,8350900
2009-04-15,36.2200,37.8700,36.2200,37.8000,24.2105,8083600
2009-04-16,38.0800,38.0800,37.0200,38.0000,24.3386,7073300
2009-04-17,38.0900,38.1700,37.1800,37.3200,23.9031,8923900
2009-04-20,36.8800,37.6300,36.6900,36.9100,23.6405,8869300
2009-04-21,36.8100,37.1400,36.4600,36.8900,23.6277,7414300
2009-04-22,36.6600,37.2200,36.2500,36.2500,23.2177,9480500
2009-04-23,36.4200,37.3500,36.0300,37.0000,23.6981,8630200
2009-04-24,37.2600,37.9600,37.0500,37.4300,23.9735,9252600
2009-04-27,36.9700,37.6500,36.9700,37.1900,23.8198,7162400
2009-04-28,36.8000,37.3700,36.6500,36.8300,23.5892,7996400
2009-04-29,36.8500,37.6300,36.5800,36.8400,23.5956,9783500
2009-04-30,37.0600,37.3400,36.1900,36.2000,23.1857,18185200
2009-05-01,36.2800,37.2000,36.1801,37.1800,23.8134,8875400
2009-05-04,37.2800,38.2000,37.2000,38.1300,24.4219,8676300
2009-05-05,37.9400,38.2800,37.1800,37.2900,23.8839,6827400
2009-05-06,37.7000,39.6000,37.2500,39.2900,25.1648,11361000
2009-05-07,39.4800,40.9100,39.0200,40.8700,26.1768,14231000
2009-05-08,41.1800,41.6600,40.5100,41.1000,26.3241,8746800
2009-05-11,40.5100,40.9100,40.0500,40.5500,25.9719,7628300
