,open,high,low,close,adj_close,volume
1998-01-02,56.5000,56.9400,55.8100,56.3800,30.5259,217000
1998-01-05,56.3100,57.7500,56.3100,56.6300,30.6613,356800
1998-01-06,56.0000,56.0000,54.6900,55.1300,29.8491,428600
1998-01-07,54.7500,54.7500,53.3800,53.8800,29.1723,555800
1998-01-08,53.6300,54.0000,52.2500,52.3800,28.3602,438700
1998-01-09,51.6300,52.3800,50.2500,50.9400,27.5805,765800
1998-01-12,49.7500,50.8100,49.5600,50.5600,27.3748,525900
1998-01-13,50.8100,52.1900,50.8100,52.1900,28.2573,587000
1998-01-14,52.3800,53.0000,52.1900,52.8100,28.8042,511100
1998-01-15,52.6300,52.7500,51.2500,51.8100,28.2587,471900
1998-01-16,52.6300,53.0000,51.8100,52.1900,28.4660,567500
1998-01-20,52.1900,52.5600,51.7500,52.3800,28.5696,286500
1998-01-21,52.3800,52.4400,50.5000,51.3100,27.9860,446700
1998-01-22,50.8800,51.3100,50.5000,51.0000,27.8169,287000
1998-01-23,51.0600,51.5000,50.1300,50.1300,27.3424,481200
1998-01-26,50.3800,51.0000,49.8800,49.9400,27.2388,354500
1998-01-27,49.9400,52.4400,49.5000,51.1900,27.9206,730300
1998-01-28,51.0600,52.8800,51.0600,51.5600,28.1224,413800
1998-01-29,51.5600,53.5000,51.5600,52.5600,28.6678,457400
1998-01-30,52.3100,52.6300,51.3800,51.5600,28.1224,406100
1998-02-02,52.5000,53.2500,52.3100,53.0600,28.9405,504700
1998-02-03,52.5600,54.8100,52.5600,54.8100,29.8950,485400
1998-02-04,55.0600,55.0600,53.8800,54.5600,29.7587,574400
1998-02-05,54.6300,54.8800,53.6300,54.5600,29.7587,338700
1998-02-06,54.8800,56.3800,54.8800,55.4400,30.2387,446900
1998-02-09,55.6900,55.8800,54.5600,55.1900,30.1023,212400
1998-02-10,55.0000,55.3800,54.7500,55.0000,29.9987,641100
1998-02-11,55.0000,55.0600,54.7500,54.9400,29.9659,327500
