,open,high,low,close,adj_close,volume
1998-01-02,35.7500,35.7500,34.6200,34.7500,8.2004,69400
1998-01-05,34.7500,37.0000,34.7500,36.8800,8.7031,105000
1998-01-06,36.7500,36.7500,36.0600,36.6200,8.6417,273600
1998-01-07,36.5600,36.8800,36.1200,36.8800,8.7031,136000
1998-01-08,36.8800,36.8800,36.2500,36.7500,8.6724,71200
1998-01-09,36.7500,36.7500,36.0000,36.0000,8.4954,110200
1998-01-12,35.6200,36.0600,35.6200,35.8100,8.4506,53200
1998-01-13,36.0000,36.2500,35.7500,35.7500,8.4364,76200
1998-01-14,36.3800,36.5000,36.0600,36.0600,8.5096,240800
1998-01-15,36.1900,36.1900,35.5600,35.6900,8.4222,73800
1998-01-16,35.7500,35.8800,35.2500,35.6200,8.4057,90400
1998-01-20,35.6200,35.8100,35.5000,35.5000,8.3774,43000
1998-01-21,35.6200,35.6200,34.9400,35.2500,8.3184,85600
1998-01-22,35.1200,35.3800,35.0000,35.0000,8.2594,64200
1998-01-23,35.0000,35.0000,34.0000,34.1900,8.0683,82800
1998-01-26,34.3100,34.7500,34.2500,34.7500,8.2004,76600
1998-01-27,34.6200,34.8100,34.5600,34.6200,8.1697,84400
1998-01-28,34.4400,34.7500,34.4400,34.6900,8.2040,19000
1998-01-29,34.8100,35.0000,34.6200,34.6900,8.2040,232400
1998-01-30,34.6200,34.8100,34.2500,34.2500,8.0999,82400
1998-02-02,34.4400,36.0000,34.2500,35.6900,8.4405,133000
1998-02-03,36.7500,36.8800,35.9400,36.1200,8.5421,213800
1998-02-04,36.0000,37.0000,35.8800,37.0000,8.7503,108200
1998-02-05,37.2500,39.2500,37.2500,38.6200,9.1334,219200
1998-02-06,38.6200,39.0600,38.0000,38.0000,8.9868,337600
1998-02-09,38.1200,38.8100,38.1200,38.5600,9.1192,53000
1998-02-10,38.4400,39.7500,38.3800,39.1200,9.2516,181000
1998-02-11,39.2500,39.6900,38.8800,39.1900,9.2682,104800
1998-02-12,39.0600,41.2500,39.0600,41.0600,9.7104,270200
1998-02-13,40.8800,40.9400,40.1900,40.5600,9.5922,401200
1998-02-17,40.5000,40.8800,40.0600,40.7500,9.6371,215200
1998-02-18,40.7500,40.7500,40.4400,40.6200,9.6064,298000
1998-02-19,40.6900,41.1900,40.6900,40.7500,9.6371,60200
1998-02-20,40.8800,40.9400,40.5000,40.5000,9.5780,150000
1998-02-23,40.5000,40.5000,39.8800,39.8800,9.4314,87200
1998-02-24,39.7500,40.6900,39.7500,40.6900,9.6229,64600
1998-02-25,40.7500,41.5000,40.4400,40.4400,9.5638,139400
1998-02-26,40.3800,40.4400,40.1200,40.1900,9.5047,232600
1998-02-27,40.2500,41.5000,40.1200,41.1900,9.7412,118600
1998-03-02,41.3100,42.0000,41.0000,41.2500,9.7554,283000
1998-03-03,41.2500,41.4400,40.8800,41.0000,9.6962,110800
1998-03-04,40.8800,41.0000,40.2500,40.5600,9.5922,197600
1998-03-05,40.5000,41.5000,40.5000,41.5000,9.8145,183400
1998-03-06,41.5000,43.0000,41.5000,42.7500,10.1101,112200
1998-03-09,42.6200,42.6200,41.5000,42.1200,9.9611,126600
1998-03-10,42.0000,42.8100,42.0000,42.5600,10.0652,106200
1998-03-11,42.9400,42.9400,42.0600,42.3100,10.0060,80600
1998-03-12,42.3800,42.5600,42.0000,42.2500,9.9918,88800
1998-03-13,42.3800,42.7500,41.9400,42.6200,10.0793,70600
1998-03-16,42.4400,42.4400,41.7500,42.1200,9.9611,123000
1998-03-17,42.2500,42.4400,42.0000,42.4400,10.0368,93800
1998-03-18,42.1900,42.2500,42.0000,42.1900,9.9777,241800
1998-03-19,42.1900,43.3100,41.6200,43.3100,10.2425,94000
1998-03-20,44.0000,44.0000,43.1200,43.3800,10.2591,156600
1998-03-23,43.5000,43.5000,43.0000,43.1200,10.1976,220600
1998-03-24,43.1200,43.3800,42.8800,43.3800,10.2591,287200
1998-03-25,43.7500,45.0000,43.7500,44.6200,10.5523,166200
1998-03-26,44.5000,46.2500,44.5000,45.2500,10.7013,451600
1998-03-27,45.1900,45.6200,45.1900,45.3100,10.7155,122000
1998-03-30,45.3100,45.6200,45.3100,45.5600,10.7746,37200
1998-03-31,45.5600,45.8800,44.5600,44.7500,10.5831,301800
1998-04-01,44.8800,45.8100,44.7500,45.1200,10.6706,152000
1998-04-02,45.0000,45.1200,43.7500,45.1200,10.6706,99600
1998-04-03,45.0600,45.0600,44.5000,44.9400,10.6280,135600
1998-04-06,45.0000,45.0000,43.7500,43.9400,10.3915,106000
1998-04-07,43.6900,43.7500,42.2500,42.7500,10.1101,140600
1998-04-08,42.8800,43.5000,42.5000,42.8800,10.1408,181000
1998-04-09,42.9400,43.1200,42.8800,43.0600,10.1834,232200
1998-04-13,43.1200,43.3100,42.2500,43.3100,10.2425,168400
1998-04-14,43.6200,44.2500,43.3100,44.1200,10.4341,159000
1998-04-15,44.3800,44.8800,44.3100,44.3100,10.4790,155800
1998-04-16,44.4400,44.7500,43.3100,43.5000,10.2875,94000
1998-04-17,44.0000,44.4400,43.7500,44.4400,10.5098,71000
1998-04-20,45.0000,45.0600,43.7500,44.2500,10.4648,87600
1998-04-21,44.3100,44.7500,44.3100,44.6900,10.5689,46000
1998-04-22,45.0600,45.6200,45.0600,45.3100,10.7155,34400
1998-04-23,45.1900,45.2500,43.7500,43.8800,10.3773,184000
1998-04-24,43.8800,43.8800,41.4400,41.4400,9.8003,158600
1998-04-27,42.3800,42.6200,41.4400,41.7500,9.8736,75400
1998-04-28,42.5000,42.5000,40.7500,41.0600,9.7104,366000
1998-04-29,41.5000,43.2500,41.5000,43.0600,10.2011,215000
1998-04-30,43.0600,43.5900,42.7500,43.2500,10.2462,215400
1998-05-01,43.2500,43.5000,43.0600,43.3100,10.2604,135600
1998-05-04,43.4400,43.5600,42.5000,42.6200,10.0969,51000
1998-05-05,42.6200,42.6900,41.3800,41.6900,9.8766,62800
1998-05-06,41.7500,41.7500,41.5000,41.7500,9.8908,76000
1998-05-07,41.7500,44.5600,41.7500,43.4400,10.2912,252200
1998-05-08,44.0000,45.7500,44.0000,44.8100,10.6157,170000
1998-05-11,44.6900,45.7500,44.3800,44.4400,10.5281,346800
1998-05-12,44.5000,45.4400,44.5000,45.3800,10.7508,113200
1998-05-13,45.9400,45.9400,45.7500,45.7500,10.8384,99200
1998-05-14,45.7500,45.7500,44.8100,44.9400,10.6465,135000
1998-05-15,45.0000,45.0000,44.8800,44.8800,10.6323,189800
1998-05-18,44.9400,45.0000,44.6200,44.8800,10.6323,113200
1998-05-19,44.8800,45.1200,44.8800,44.9400,10.6465,195200
1998-05-20,44.9400,44.9400,43.1200,44.4400,10.5281,75000
1998-05-21,44.5000,44.5000,43.0600,43.5000,10.3054,120000
1998-05-22,43.6200,43.6200,42.0600,42.1900,9.9950,184000
1998-05-26,42.1900,42.8100,42.1900,42.5000,10.0685,109400
1998-05-27,42.5600,43.0000,42.3800,42.9400,10.1727,93000
1998-05-28,42.9400,43.2500,42.8400,42.9400,10.1727,201200
1998-05-29,42.8100,43.8800,42.6900,43.8800,10.3954,53600
1998-06-01,43.7500,43.7500,42.8100,43.2500,10.2462,97600
1998-06-02,42.8800,42.8800,41.1200,41.8800,9.9216,85000
1998-06-03,42.0000,42.8800,40.8800,41.1900,9.7581,91200
1998-06-04,41.1900,42.0000,41.1900,42.0000,9.9500,31400
1998-06-05,42.1200,42.4400,41.5600,42.3100,10.0235,70800
1998-06-08,42.4400,42.4400,41.7500,42.1200,9.9785,105800
1998-06-09,42.0000,42.1200,41.2500,41.4400,9.8174,150600
1998-06-10,41.3800,41.8800,41.1200,41.5000,9.8316,115600
1998-06-11,41.5000,41.5600,41.1200,41.1900,9.7581,97400
1998-06-12,41.1200,41.1900,39.7500,41.0000,9.7131,141400
1998-06-15,40.7500,40.7500,39.6200,39.6200,9.3862,79000
1998-06-16,39.8800,40.3100,39.3800,39.3800,9.3293,168200
1998-06-17,39.3800,39.9400,39.3800,39.3800,9.3293,178200
1998-06-18,39.3800,39.3800,36.0000,37.2500,8.8247,819000
1998-06-19,36.3800,40.0000,36.2500,39.3800,9.3293,612200
1998-06-22,39.2500,40.1900,39.0900,39.6200,9.3862,146200
1998-06-23,39.6200,41.5000,39.6200,40.0000,9.4762,230600
1998-06-24,40.0000,41.0600,40.0000,40.3800,9.5662,96200
1998-06-25,40.5000,40.5000,39.7500,40.1200,9.5046,70000
1998-06-26,40.0600,41.2500,40.0600,40.3100,9.5497,175000
1998-06-29,40.1900,40.9400,40.1900,40.5000,9.5947,225400
1998-06-30,41.5000,42.5000,41.2500,42.5000,10.0685,369000
1998-07-01,42.1200,42.1200,41.0000,41.5000,9.8316,117600
1998-07-02,41.5000,41.5000,40.7500,41.1900,9.7581,44400
1998-07-06,41.2500,41.5000,41.2500,41.3100,9.7866,52800
1998-07-07,41.3100,43.0000,41.2500,43.0000,10.1869,133400
1998-07-08,43.2500,43.2500,42.1200,42.5000,10.0685,203200
1998-07-09,42.5000,42.5000,41.5000,41.6200,9.8600,294200
1998-07-10,41.5600,41.6900,41.0000,41.6200,9.8600,103200
1998-07-13,41.6200,42.3800,41.6200,42.2500,10.0093,111800
1998-07-14,42.3800,42.4400,41.7500,41.8800,9.9216,114800
1998-07-15,41.6200,41.6900,41.0000,41.1900,9.7581,55600
1998-07-16,41.3100,41.3100,40.5000,41.1200,9.7415,100400
1998-07-17,41.2500,42.5000,41.1200,41.9400,9.9358,300600
1998-07-20,42.0000,42.0000,41.5600,41.7500,9.8908,205200
1998-07-21,41.7500,41.8800,40.1200,40.1900,9.5212,179200
1998-07-22,40.1900,40.2500,39.8800,40.2500,9.5354,170800
1998-07-23,40.1200,40.1900,39.8800,40.0000,9.4762,45200
1998-07-24,39.9400,40.3100,39.5000,40.0600,9.4904,112400
1998-07-27,39.9400,39.9400,39.5000,39.5000,9.3578,70200
1998-07-28,39.5000,39.6900,38.6200,39.3100,9.3127,189000
1998-07-29,39.2500,39.5000,39.1900,39.1900,9.3021,139400
1998-07-30,39.5000,39.8800,39.5000,39.7500,9.4350,119800
1998-07-31,39.6200,40.3800,39.1900,39.7500,9.4350,122400
1998-08-03,39.6900,39.8100,39.2500,39.2500,9.3163,206600
