,open,high,low,close,adj_close,volume
1998-01-02,57.0000,57.6300,57.0000,57.5000,16.5703,135600
1998-01-05,57.8800,58.2500,57.7500,57.9400,16.6971,286800
1998-01-06,57.8800,58.0000,57.3800,57.6900,16.6250,160300
1998-01-07,57.7500,58.1900,57.4400,57.6300,16.6077,227300
1998-01-08,57.6300,57.6300,56.8100,56.8800,16.3916,219100
1998-01-09,56.6300,56.6300,54.0000,54.2500,15.6337,247300
1998-01-12,53.0000,54.2500,53.0000,54.2500,15.6337,367700
1998-01-13,54.5000,54.5000,52.7500,53.3100,15.3628,317400
1998-01-14,53.6900,54.5000,53.6300,54.4400,15.6884,288500
1998-01-15,55.0000,56.1300,54.6300,55.1900,15.9046,386500
1998-01-16,55.6300,56.2500,55.3100,56.1300,16.1755,174500
1998-01-20,56.6300,57.4400,56.3100,57.3800,16.5357,197400
1998-01-21,57.1300,57.7500,56.8100,57.0000,16.4262,228200
1998-01-22,56.6300,56.8100,56.2500,56.5600,16.2994,225300
1998-01-23,56.3800,56.6300,54.3800,54.3800,15.6712,647700
1998-01-26,54.5000,56.1900,54.4400,56.0000,16.1380,971400
1998-01-27,56.3800,57.7500,56.2500,57.0600,16.4435,208600
1998-01-28,56.8800,57.4400,56.2500,56.6300,16.3196,298500
1998-01-29,56.6300,57.0000,56.3800,56.7500,16.3541,942100
1998-01-30,56.8100,57.6300,56.7500,57.3800,16.5357,397300
1998-02-02,57.5000,59.1300,57.5000,59.1300,17.0400,271600
1998-02-03,58.8800,59.1300,58.5000,59.0600,17.0198,179500
1998-02-04,58.9400,59.8800,58.8100,59.6300,17.1841,639800
1998-02-05,59.5600,60.8800,59.5600,59.8800,17.2561,442100
1998-02-06,60.0000,61.5000,60.0000,61.5000,17.7230,236400
1998-02-09,61.6300,61.7500,59.7500,60.5600,17.4521,472000
1998-02-10,60.5600,60.9400,60.0000,60.1900,17.3455,376600
1998-02-11,60.6300,61.0000,60.3800,60.8100,17.5241,257100
1998-02-12,60.6900,61.4400,59.6300,61.3800,17.7864,236800
1998-02-13,60.8800,61.0000,60.3100,60.4400,17.5140,304400
1998-02-17,60.6900,61.1900,60.6300,61.0000,17.6763,154600
1998-02-18,61.0000,61.9400,60.8800,61.8800,17.9313,189000
1998-02-19,61.6300,61.7500,61.1300,61.1900,17.7313,166300
1998-02-20,61.7500,62.0000,61.0600,62.0000,17.9661,355100
1998-02-23,63.2500,63.2500,62.6300,62.7500,18.1834,511000
1998-02-24,63.0000,63.7500,62.7500,63.5600,18.4181,487900
1998-02-25,63.7500,64.3800,62.8800,63.1300,18.2935,384900
1998-02-26,63.6300,65.6300,63.6300,65.6300,19.0179,276700
1998-02-27,65.3800,65.3800,64.5000,64.8100,18.7803,246700
1998-03-02,64.6300,65.0000,63.9400,64.4400,18.6731,198900
1998-03-03,64.2500,65.0000,64.1900,64.9400,18.8180,167700
1998-03-04,64.9400,65.2500,64.7500,65.1900,18.8904,180600
1998-03-05,65.0600,66.0000,65.0000,65.2500,18.9078,205800
1998-03-06,65.0600,65.7500,65.0600,65.5000,18.9803,281000
1998-03-09,64.7500,65.6300,64.7500,65.2500,18.9078,308400
1998-03-10,64.1300,65.5000,64.1300,65.4400,18.9629,402300
1998-03-11,64.2500,65.9400,64.2500,65.5000,18.9803,289000
1998-03-12,65.5000,65.5000,64.6300,65.4400,18.9629,322800
1998-03-13,65.4400,65.5000,64.5000,64.5000,18.6905,372900
1998-03-16,64.5600,66.8800,64.5600,66.8800,19.3802,549700
1998-03-17,66.6300,66.6300,65.0600,65.4400,18.9629,346900
1998-03-18,65.4400,66.0600,65.2500,66.0600,19.1425,283000
1998-03-19,66.1900,66.6900,65.6300,66.6900,19.3251,181100
1998-03-20,67.1300,67.1900,65.9400,66.6300,19.3077,284700
1998-03-23,66.4400,67.5000,66.1300,67.5000,19.5598,215200
1998-03-24,67.2500,67.6900,67.0000,67.6900,19.6149,246600
1998-03-25,68.2500,68.5000,67.6300,67.6300,19.5975,286800
1998-03-26,68.1900,68.5600,67.8800,67.8800,19.6699,310400
1998-03-27,68.0000,68.0000,66.3800,67.0000,19.4149,185000
1998-03-30,67.0000,67.5000,65.6300,66.4400,19.2527,294200
1998-03-31,66.6900,68.5000,66.6900,67.9400,19.6873,189100
1998-04-01,67.9400,68.7500,67.5000,68.7500,19.9220,186600
1998-04-02,68.7500,69.5000,68.7500,69.1300,20.0321,230000
1998-04-03,69.3800,69.6300,68.5000,68.8100,19.9394,176400
1998-04-06,68.8100,68.8100,67.8800,67.8800,19.6699,154000
1998-04-07,67.6300,68.6900,67.3800,68.5000,19.8496,191100
1998-04-08,68.2500,68.4400,67.8100,68.3100,19.7945,211900
1998-04-09,68.3100,69.2500,68.2500,69.2500,20.0669,158000
1998-04-13,69.0600,69.3100,68.0000,68.5000,19.8496,297900
1998-04-14,68.5000,70.5000,68.3100,70.2500,20.3567,378100
1998-04-15,70.1300,70.7500,69.6300,70.5000,20.4291,465500
1998-04-16,70.3800,71.7500,70.1300,70.6300,20.4668,566600
1998-04-17,71.0000,73.2500,70.5000,73.0000,21.1536,367700
1998-04-20,72.7500,73.5000,72.2500,73.1900,21.2086,374600
1998-04-21,73.0000,73.2500,72.6900,73.2500,21.2260,585800
1998-04-22,73.0000,73.5000,72.7500,73.4400,21.2811,233800
1998-04-23,73.1900,73.5000,71.5000,71.6900,20.7740,554500
1998-04-24,71.6900,71.7500,70.0000,70.4400,20.4118,421100
1998-04-27,70.0000,70.1900,69.6300,70.1900,20.3393,359900
1998-04-28,70.2500,70.6900,70.0000,70.6300,20.4668,296100
1998-04-29,70.6300,70.6900,70.1300,70.4400,20.4118,252800
1998-04-30,70.5000,71.1300,70.5000,70.6900,20.4842,408300
1998-05-01,70.6900,71.3100,70.2500,71.3100,20.6639,108800
1998-05-04,71.3100,72.1300,71.2500,71.6900,20.7740,293600
1998-05-05,72.2500,72.6300,71.4400,71.8800,20.8290,231300
1998-05-06,71.7500,71.8800,70.2500,70.3800,20.3944,143600
1998-05-07,70.0000,71.0000,69.9400,70.1300,20.4262,187000
1998-05-08,70.3800,72.1300,70.0600,71.5600,20.8427,300900
1998-05-11,72.0000,72.3800,71.6300,72.2500,21.0437,247000
1998-05-12,74.8800,76.2500,74.7500,75.2500,21.9175,1305400
1998-05-13,74.0000,76.3100,73.8800,76.3100,22.2262,803100
1998-05-14,76.1300,76.6300,75.3800,76.0000,22.1360,615800
1998-05-15,76.0000,76.5600,75.5600,75.8100,22.0806,677000
1998-05-18,74.8800,75.6300,74.8800,75.5600,22.0078,294500
1998-05-19,75.3100,76.3800,75.2500,76.1300,22.1738,534900
1998-05-20,75.4400,75.4400,75.4400,75.4400,21.9728,290600
1998-05-21,75.8100,75.8100,74.6300,75.4400,21.9728,171300
1998-05-22,75.3100,75.6300,75.1300,75.2500,21.9175,153400
1998-05-26,75.2500,75.2500,73.5600,73.5600,21.4253,207800
1998-05-27,73.3100,73.6300,72.0000,72.4400,21.0991,372800
1998-05-28,72.6300,73.5600,72.4400,73.5000,21.4078,274100
1998-05-29,74.1300,74.3100,72.8800,72.8800,21.2272,354700
1998-06-01,72.6300,74.1300,72.5000,73.2500,21.3350,282800
1998-06-02,74.2500,74.6300,73.6300,74.1300,21.5913,237800
