,open,high,low,close,adj_close,volume
1998-01-02,24.0600,24.1900,23.6300,23.8800,4.5155,381300
1998-01-05,24.1300,24.2500,23.3800,23.3800,4.4209,362400
1998-01-06,23.3800,23.6300,23.3100,23.5600,4.4550,329100
1998-01-07,23.3800,23.6900,23.3800,23.4400,4.4323,428400
1998-01-08,23.3100,23.7500,23.1300,23.5600,4.4550,296300
1998-01-09,23.5600,24.0000,23.1300,23.3100,4.4077,250500
1998-01-12,22.9400,23.5600,22.8800,23.5600,4.4550,209100
1998-01-13,23.6300,23.6900,23.0000,23.3100,4.4077,232600
1998-01-14,23.3800,23.3800,23.0000,23.1900,4.3850,215700
1998-01-15,23.2500,23.3100,22.9400,23.0000,4.3491,275400
1998-01-16,23.1900,23.1900,22.8800,22.8800,4.3264,368500
1998-01-20,22.8800,23.3100,22.8800,23.1900,4.3850,138300
1998-01-21,23.2500,23.2500,22.7500,23.1300,4.3737,213100
1998-01-22,23.0000,23.4400,22.9400,23.3100,4.4077,243000
1998-01-23,23.3100,23.5000,23.2500,23.3800,4.4209,363900
1998-01-26,23.3800,23.3800,22.6900,22.8100,4.3131,235300
1998-01-27,22.6300,22.6300,22.0600,22.0600,4.1713,463300
1998-01-28,22.1900,22.5000,22.1900,22.3100,4.2186,280400
1998-01-29,22.3100,22.3100,22.1300,22.1300,4.1846,403700
1998-01-30,22.1300,22.1300,21.8800,21.9400,4.1486,259800
1998-02-02,22.0000,22.2500,21.8100,22.0000,4.1600,270600
1998-02-03,21.9400,22.9400,21.7500,21.8800,4.1373,510000
1998-02-04,21.8800,21.9400,21.6900,21.6900,4.1014,474200
1998-02-05,21.7500,22.2500,21.7500,22.1900,4.1959,703300
1998-02-06,22.1900,22.3800,22.0600,22.3100,4.2186,223100
1998-02-09,22.3800,22.6300,22.0000,22.1300,4.1846,336600
1998-02-10,22.1300,22.3800,22.0000,22.1300,4.1846,299400
1998-02-11,22.1300,22.2500,22.0000,22.1300,4.1846,522300
1998-02-12,22.1300,22.2500,21.9400,22.2500,4.2073,241800
1998-02-13,22.0600,22.2500,22.0600,22.2500,4.2073,267100
1998-02-17,22.3800,22.5000,22.2500,22.4400,4.2432,408700
1998-02-18,22.3100,22.5000,22.3100,22.5000,4.2545,184200
1998-02-19,22.3100,22.3800,22.0000,22.0600,4.1713,267800
1998-02-20,22.1900,22.2500,21.9400,22.2500,4.2073,197600
1998-02-23,22.1900,22.3100,21.9400,22.0000,4.1600,118900
1998-02-24,22.2500,22.2500,21.8100,22.0000,4.1600,291300
1998-02-25,22.1900,22.5600,22.0000,22.5600,4.2659,501700
1998-02-26,22.4400,22.5600,22.2500,22.3800,4.2318,559400
1998-02-27,22.2500,22.5000,22.1300,22.3800,4.2318,542600
1998-03-02,22.3100,22.7500,22.2500,22.4400,4.2432,133200
1998-03-03,22.2500,22.5600,22.2500,22.5600,4.2659,330000
1998-03-04,22.5000,22.5600,22.4400,22.5000,4.2545,1079600
1998-03-05,22.3800,22.5000,22.1300,22.2500,4.2073,2400600
1998-03-06,21.8800,22.5600,21.8100,22.4400,4.3222,488200
1998-03-09,22.3100,22.6300,22.2500,22.5000,4.3338,203900
1998-03-10,22.5000,22.6900,22.4400,22.6300,4.3588,241600
1998-03-11,22.6300,22.6900,22.5000,22.5000,4.3338,398600
1998-03-12,22.4400,22.4400,22.2500,22.2500,4.2856,185100
1998-03-13,22.3800,22.4400,22.2500,22.3800,4.3107,234000
