,open,high,low,close,adj_close,volume
1998-01-02,13.3800,14.1300,13.3800,14.1300,12.6863,301900
1998-01-05,14.1300,14.2500,14.0000,14.2500,12.7940,265700
1998-01-06,14.0000,14.0000,13.6300,13.8800,12.4618,171600
1998-01-07,13.8100,13.8800,13.6300,13.6900,12.2912,92400
1998-01-08,13.6900,13.8100,13.5000,13.8100,12.3990,112700
1998-01-09,13.6300,13.7500,13.2500,13.3800,12.0129,233600
1998-01-12,13.0000,13.2500,12.6300,12.6300,11.3395,171200
1998-01-13,12.6300,13.0600,12.6300,12.9400,11.6179,493800
1998-01-14,12.8800,13.0000,12.6900,12.7500,11.4473,300800
1998-01-15,12.8800,13.0000,12.7500,12.8800,11.5640,127300
1998-01-16,12.8800,12.8800,12.6900,12.8800,11.5640,311700
1998-01-20,12.8800,12.8800,12.6900,12.8100,11.5011,357500
1998-01-21,12.7500,12.8800,12.3100,12.4400,11.1689,198500
1998-01-22,12.3100,12.6300,12.2500,12.3800,11.1151,196600
1998-01-23,12.3800,12.4400,12.1300,12.2500,10.9984,153500
1998-01-26,12.2500,12.3800,12.1300,12.1300,10.8906,55400
1998-01-27,12.1300,12.5000,12.1300,12.4400,11.1689,117300
1998-01-28,12.4400,12.5000,12.0000,12.1600,10.9176,283500
1998-01-29,12.0600,12.2500,11.8800,12.1300,10.8906,286600
1998-01-30,12.1300,12.1900,11.5600,11.6300,10.4417,260400
1998-02-02,11.6300,12.8800,11.6300,12.6300,11.3395,585300
1998-02-03,12.9400,13.3800,12.6300,13.0000,11.6717,156200
1998-02-04,11.6300,11.8100,10.5000,10.9400,9.8222,1089000
1998-02-05,11.0600,11.1900,10.5000,10.5000,9.4272,850700
1998-02-06,10.7500,10.7500,9.3130,10.0000,8.9783,5503400
1998-02-09,10.1300,10.4400,9.9380,10.4400,9.3733,992700
1998-02-10,10.5000,10.9400,10.4400,10.6300,9.5439,536100
1998-02-11,10.5600,10.9400,10.5000,10.9400,9.8222,508900
1998-02-12,10.8800,11.0000,10.6300,10.9400,9.8222,897000
1998-02-13,11.0000,11.0600,10.7500,10.8800,9.7683,866600
1998-02-17,10.8100,11.0600,10.6300,10.6900,9.5978,546000
1998-02-18,10.6300,10.7500,10.3800,10.6900,9.5978,372800
1998-02-19,10.5600,10.9400,10.5000,10.9400,9.8222,670900
1998-02-20,10.6300,10.9400,10.5600,10.6300,9.5439,303900
1998-02-23,10.6300,10.8100,10.5600,10.7500,9.6516,415000
1998-02-24,10.6300,10.8800,10.5600,10.8800,9.7683,176500
1998-02-25,10.6300,10.8800,10.6300,10.8100,9.7055,128200
1998-02-26,10.7500,10.8800,10.6300,10.8100,9.7055,172800
