,open,high,low,close,adj_close,volume
2001-12-13,29.1000,30.0000,29.0000,29.3000,19.5922,49466000
2001-12-14,29.9000,30.1000,29.5200,29.6800,19.8463,9676300
2001-12-17,29.9500,29.9500,29.4000,29.4500,19.6925,5110900
2001-12-18,29.5000,29.9500,29.3900,29.9500,20.0268,5167700
2001-12-19,29.8500,30.1900,29.6200,30.1500,20.1606,3693200
2001-12-20,30.2500,30.9800,30.1200,30.1700,20.1739,3914200
2001-12-21,30.4000,30.9900,30.2500,30.9900,20.7223,3429100
2001-12-24,30.7500,31.4900,30.7500,31.4500,21.0298,976900
2001-12-26,31.5000,32.7400,31.5000,32.2000,21.5313,2456300
2001-12-27,32.2000,32.9700,31.5200,32.8500,21.9660,4447500
2001-12-28,32.8600,33.1000,32.5800,32.9400,22.0262,4174800
2001-12-31,33.1100,33.7400,32.7200,33.1900,22.1933,5532800
2002-01-02,32.6100,32.8000,31.1200,31.3000,20.9295,5168900
2002-01-03,32.7500,32.7500,30.8200,31.2500,20.8961,2906500
2002-01-04,32.0000,32.0000,31.1000,31.9500,21.3642,3086000
2002-01-07,31.7500,32.0500,31.3700,31.9500,21.3642,2449300
2002-01-08,31.2500,31.8500,31.2500,31.7800,21.2505,1766500
2002-01-09,31.9500,31.9500,31.2500,31.3000,20.9295,1639100
2002-01-10,31.1200,31.6800,31.0100,31.0100,20.7356,1689400
2002-01-11,31.0100,31.1500,30.7500,30.9000,20.6621,1966200
2002-01-14,30.7500,30.7500,29.5300,30.0500,20.0937,3160000
2002-01-15,30.4000,31.1200,29.9200,30.7800,20.5818,1962400
2002-01-16,30.5800,31.1500,30.4500,30.6800,20.5150,1881100
2002-01-17,30.8800,31.0000,30.3000,30.5200,20.4080,1739800
2002-01-18,30.4000,30.4500,29.7500,30.2500,20.2274,1531400
2002-01-22,30.4900,31.2500,30.4000,31.2500,20.8961,2322700
2002-01-23,31.7000,31.7000,30.5200,30.5200,20.4080,2460800
2002-01-24,30.6000,30.6700,30.0000,30.2500,20.2274,3064100
2002-01-25,30.0000,30.5000,29.9000,30.4300,20.3478,2373600
2002-01-28,31.0400,31.0400,30.5500,30.9300,20.6821,2450800
2002-01-29,30.0000,30.8900,30.0000,30.3900,20.3210,2512800
2002-01-30,30.5000,30.5700,29.8000,30.1500,20.1606,3533700
2002-01-31,30.4800,31.1800,30.3300,31.0500,20.7624,3986900
2002-02-01,30.9500,30.9500,30.4000,30.6000,20.4615,3200100
2002-02-04,30.6000,30.9800,30.5000,30.8800,20.6487,3193400
2002-02-05,30.8500,31.6000,30.7600,31.0500,20.7624,2397200
2002-02-06,31.2000,31.2000,30.8900,31.1500,20.8292,2107700
2002-02-07,30.9500,31.0500,30.5200,30.6200,20.4748,1801500
2002-02-08,30.5700,31.0300,30.5500,31.0300,20.7490,1399300
2002-02-11,30.7000,31.8900,30.6700,31.7600,21.2371,1904300
2002-02-12,31.4100,31.8500,31.2500,31.5000,21.0633,2038700
2002-02-13,31.2000,32.2200,30.8600,32.0900,21.4578,3779900
2002-02-14,32.0500,32.2800,31.9000,32.0300,21.4177,2200800
2002-02-15,31.9300,31.9300,31.0300,31.5000,21.0633,1649600
2002-02-19,31.0000,31.1000,30.0000,30.2600,20.2341,2983900
2002-02-20,30.7300,30.7300,30.1000,30.6500,20.4949,2283100
2002-02-21,30.4500,30.8700,30.4500,30.8400,20.6219,1929100
2002-02-22,30.5500,30.6500,30.0000,30.2400,20.2207,1655900
2002-02-25,30.2500,30.3200,30.0700,30.2800,20.2475,2355800
2002-02-26,30.3800,30.6900,30.3300,30.5000,20.3946,2309100
2002-02-27,30.6000,30.6100,30.3000,30.3500,20.2943,2937000
2002-02-28,30.3500,30.7500,30.3500,30.5700,20.4414,2012600
2002-03-01,30.6900,30.8900,30.4000,30.8500,20.6286,2189500
2002-03-04,30.8800,31.4800,30.7000,30.7000,20.5283,2321500
