,open,high,low,close,adj_close,volume
1998-01-02,29.2500,29.4400,28.6900,28.8800,13.2789,27500
1998-01-05,29.2500,29.2500,28.6900,29.0600,13.3617,250000
1998-01-06,29.5000,29.5000,27.9400,29.1900,13.4215,142300
1998-01-07,29.4400,29.8100,29.3800,29.6300,13.6238,145800
1998-01-08,29.5600,29.7500,29.5600,29.6900,13.6514,87600
1998-01-09,29.7500,30.2500,29.7500,30.1900,13.8813,647600
1998-01-12,30.0000,30.4400,30.0000,30.1300,13.8537,186600
1998-01-13,30.3800,31.6300,30.3800,31.6300,14.5434,478500
1998-01-14,31.5000,32.0000,31.5000,31.9400,14.6859,392200
1998-01-15,31.9400,32.7500,31.6300,32.5600,14.9710,287300
1998-01-16,32.5600,33.0600,32.5600,33.0000,15.1733,404800
1998-01-20,32.7500,33.4400,32.3800,33.4400,15.3756,129400
1998-01-21,33.1900,33.3800,32.5600,32.6900,15.0307,106400
1998-01-22,32.7500,33.0000,32.6300,32.7500,15.0583,167600
1998-01-23,32.7500,32.8800,32.6300,32.8800,15.1181,276000
1998-01-26,32.8800,32.8800,32.5000,32.7500,15.0583,83700
1998-01-27,32.7500,32.7500,32.5600,32.6900,15.0307,175800
1998-01-28,32.6300,32.7500,32.6300,32.6900,15.0307,76500
1998-01-29,32.6300,32.7500,32.3800,32.5000,14.9434,142500
1998-01-30,32.5600,33.1300,32.4400,32.8800,15.1181,152800
1998-02-02,33.1300,33.5000,33.0000,33.0600,15.2009,229000
1998-02-03,32.8800,33.0000,32.6300,32.9400,15.1457,41800
1998-02-04,32.7500,33.1300,32.7500,33.0600,15.2009,167400
1998-02-05,33.0600,33.2500,32.8100,32.9400,15.1457,287500
1998-02-06,32.9400,33.2500,32.8100,33.1900,15.2606,180200
1998-02-09,33.0000,33.3800,33.0000,33.3100,15.3158,142200
1998-02-10,33.6300,33.6300,33.3800,33.5600,15.4308,106800
1998-02-11,33.1300,33.3800,32.8100,32.8800,15.1181,255200
1998-02-12,32.9400,33.0000,32.3100,32.4400,14.9158,73800
1998-02-13,32.5000,32.6300,32.2500,32.4400,14.9158,76800
1998-02-17,32.1900,32.3800,32.0000,32.1300,14.7733,110200
1998-02-18,31.7500,32.0000,31.5600,31.7500,14.5985,89000
1998-02-19,31.2500,31.8800,31.2500,31.7500,14.5985,101900
1998-02-20,31.6300,32.0000,31.2500,31.7500,14.5985,149700
1998-02-23,31.7500,31.9400,31.3800,31.8100,14.6261,82500
1998-02-24,31.9400,32.1300,31.7500,31.8800,14.6583,126100
1998-02-25,31.8100,31.9400,31.7500,31.8800,14.6583,22500
1998-02-26,31.7500,32.0000,31.6300,31.7500,14.5985,30700
