,open,high,low,close,adj_close,volume
2012-04-12,33.2500,34.2100,32.0000,34.0000,28.2811,654700
2012-04-13,34.0000,37.4500,33.9100,37.0000,30.7765,1685000
2012-04-16,37.0000,37.0000,35.9900,36.5500,30.4022,550200
2012-04-17,36.4000,36.7500,36.0000,36.0000,29.9447,179600
2012-04-18,36.0000,36.4400,34.5000,36.0000,29.9447,207100
2012-04-19,36.0000,37.2200,35.8000,36.0000,29.9447,598100
2012-04-20,36.1000,37.0000,36.1000,36.3200,30.2109,149700
2012-04-23,36.2400,36.2400,35.4200,35.6800,29.6785,95700
2012-04-24,36.0000,36.0000,34.6800,34.7500,28.9049,124500
2012-04-25,34.8000,35.5000,34.5000,34.7500,28.9049,266200
2012-04-26,34.6100,34.9900,34.4400,34.9500,29.0713,183900
2012-04-27,35.2500,35.2500,33.9700,34.1100,28.3726,536000
2012-04-30,34.3400,34.9000,34.0000,34.0500,28.3227,4105700
2012-05-01,33.7400,34.1000,32.5800,32.7600,27.2497,6878600
2012-05-02,32.6000,32.6650,31.6300,32.0000,26.6175,11287600
2012-05-03,31.9300,31.9800,31.0500,31.3900,26.1101,11800000
2012-05-04,30.8500,31.0900,30.1200,30.1600,25.0870,10881000
2012-05-07,30.1000,30.5500,29.2500,29.3500,24.4132,12257200
2012-05-08,29.0900,30.4100,28.7500,30.1000,25.0371,14601300
2012-05-09,29.8100,32.8900,29.7300,32.4900,27.0251,13990000
2012-05-10,33.0500,33.3500,31.5199,32.4800,27.0168,8862000
2012-05-11,31.7300,32.1500,31.4000,31.8300,26.4761,4460100
2012-05-14,31.1900,31.5800,30.7650,31.3200,26.0519,6398200
2012-05-15,31.3500,32.3200,31.0600,31.6700,26.3430,6362800
2012-05-16,31.4600,32.3900,31.2500,32.1000,26.7007,6118600
2012-05-17,31.8900,32.0000,31.2000,31.2600,26.0020,5850500
2012-05-18,31.4300,31.6850,30.9900,31.3800,26.1018,7940800
2012-05-21,31.2300,32.3400,30.9500,32.1900,26.7755,5480100
2012-05-22,31.8800,32.2700,31.3300,31.6300,26.3097,5415000
2012-05-23,31.3500,31.4900,30.8800,31.4100,26.1267,5268900
2012-05-24,31.4200,31.4400,30.7500,31.1300,25.8938,4210400
2012-05-25,31.0100,31.4100,30.8300,31.3000,26.0352,3217900
2012-05-29,31.2800,31.7200,30.8600,31.0100,25.7940,3979600
2012-05-30,30.7900,30.8300,30.1750,30.4400,25.3199,6000600
2012-05-31,30.2600,30.3500,29.7200,30.0300,24.9789,8098000
2012-06-01,29.5000,30.1700,29.3800,29.9200,24.8874,5701700
2012-06-04,29.3000,30.1900,29.2500,29.5300,24.5630,4844900
2012-06-05,29.3700,30.1000,29.3145,29.9000,24.8707,4046500
2012-06-06,30.0300,32.0000,29.8200,31.5300,26.2265,8609400
2012-06-07,32.0700,32.7500,31.7350,31.8300,26.4761,7694300
2012-06-08,31.6600,32.3500,31.5100,32.1200,26.7173,4302100
