,open,high,low,close,adj_close,volume
1998-02-12,11.0000,11.7500,11.0000,11.2500,7.4900,2602467
1998-02-13,11.3800,11.5000,11.1300,11.2500,7.4900,336000
1998-02-17,11.6300,11.8800,11.6300,11.7500,7.8229,88400
1998-02-18,11.8800,12.5000,11.8100,12.5000,8.3223,93800
1998-02-19,12.6300,13.0000,12.2500,12.2500,8.1558,156667
1998-02-20,12.1300,12.2500,11.3800,11.6900,7.7830,136467
1998-02-23,11.7500,11.8800,11.4400,11.8800,7.9095,40400
1998-02-24,11.8100,11.8800,11.3100,11.5000,7.6565,174200
1998-02-25,11.6300,11.6300,11.2500,11.5000,7.6565,86000
1998-02-26,11.3800,12.1300,11.3800,11.9400,7.9494,58000
1998-02-27,11.9400,12.0000,11.7500,11.9400,7.9494,19400
1998-03-02,11.8800,12.0000,11.8800,11.9400,7.9494,100667
1998-03-03,12.0000,12.5000,11.8800,12.5000,8.3223,47867
1998-03-04,12.3800,12.5000,11.8800,12.2500,8.1558,20667
1998-03-05,12.1300,12.1300,11.7500,12.0600,8.0293,34400
1998-03-06,12.0600,12.1300,11.8800,12.1300,8.0759,10000
1998-03-09,12.1300,12.3800,11.8800,11.8800,7.9095,20400
1998-03-10,11.8800,12.1300,11.5000,11.8800,7.9095,138667
1998-03-11,11.8800,12.3800,11.8800,11.9400,7.9494,51600
1998-03-12,12.0000,12.5000,11.8800,12.4400,8.2823,67267
1998-03-13,12.6300,13.2500,12.6300,13.0000,8.6552,109267
1998-03-16,13.0000,13.0000,12.6300,12.7500,8.4887,127800
1998-03-17,12.6300,12.6300,12.2500,12.2500,8.1558,21267
1998-03-18,12.2500,12.6300,12.2500,12.3800,8.2424,17467
1998-03-19,12.6300,12.6300,12.3800,12.6300,8.4088,74800
1998-03-20,12.5000,13.0000,12.5000,12.9400,8.6152,19400
1998-03-23,13.7500,15.2500,13.5000,15.0000,9.9867,331900
1998-03-24,15.2500,15.5000,14.3800,14.5000,9.6538,66667
1998-03-25,14.6300,15.8800,14.5000,15.8800,10.5726,132467
1998-03-26,16.0000,16.0000,15.2500,16.0000,10.6525,69867
1998-03-27,16.0600,16.1900,15.5000,16.0000,10.6525,48400
1998-03-30,15.7500,15.9400,15.6300,15.8100,10.5260,41800
1998-03-31,15.9400,16.7500,15.9400,16.7500,11.1518,82800
1998-04-01,16.6300,17.0000,16.6300,17.0000,11.3183,150867
1998-04-02,17.2500,17.6300,17.0000,17.3800,11.5713,36600
1998-04-03,17.5000,17.6300,17.0000,17.3100,11.5247,39267
1998-04-06,17.5000,17.7500,16.8800,16.9400,11.2783,20200
1998-04-07,16.6900,16.7500,16.1300,16.1300,10.7391,23467
1998-04-08,16.0000,16.7500,15.6300,16.7500,11.1518,18467
1998-04-09,16.6300,16.6900,16.4400,16.5000,10.9854,13467
1998-04-13,16.3800,16.3800,16.2500,16.3800,10.9055,4667
1998-04-14,16.3800,16.6300,16.2500,16.6300,11.0720,9200
1998-04-15,16.7500,16.8800,16.6900,16.6900,11.1119,18467
1998-04-16,16.7500,16.7500,16.5000,16.5000,10.9854,14600
1998-04-17,16.3800,16.6300,16.3800,16.4400,10.9455,18000
1998-04-20,16.3100,16.8800,16.3100,16.8800,11.2384,30467
1998-04-21,17.0000,17.0000,16.7500,16.8800,11.2384,83000
1998-04-22,16.8800,16.9400,16.5000,16.5000,10.9854,10067
1998-04-23,16.3800,16.3800,15.8800,15.8800,10.5726,22067
1998-04-24,15.7500,16.0000,15.3800,15.3800,10.2397,12000
1998-04-27,15.1300,15.1300,14.5000,14.6300,9.7404,35867
1998-04-28,14.5000,14.7500,14.5000,14.6300,9.7404,9600
1998-04-29,14.6300,14.6300,13.8800,14.0600,9.3609,18800
1998-04-30,14.1300,14.6900,14.0000,14.6900,9.7803,27000
1998-05-01,14.8800,14.8800,14.7500,14.7500,9.8203,2800
1998-05-04,14.6300,14.6900,14.1300,14.2500,9.4874,10067
1998-05-05,14.1300,14.1900,13.7500,13.8800,9.2411,11600
1998-05-06,13.8100,13.8800,13.3800,13.5000,8.9881,52267
1998-05-07,13.5000,14.5000,13.5000,13.8800,9.2411,73400
1998-05-08,13.8800,13.8800,13.3800,13.8100,9.1944,15200
1998-05-11,13.6900,14.1300,13.5000,13.6300,9.0746,49867
1998-05-12,13.8800,13.8800,13.6900,13.6900,9.1146,57667
1998-05-13,13.7500,13.9400,13.7500,13.8800,9.2411,58800
1998-05-14,13.8800,13.8800,13.8100,13.8800,9.2411,20667
1998-05-15,13.7500,13.8100,13.6300,13.7500,9.1545,8800
1998-05-18,13.6300,13.6300,13.2500,13.3100,8.8616,4000
1998-05-19,13.0000,13.0000,12.5600,13.0000,8.6552,128067
1998-05-20,13.0000,13.0000,13.0000,13.0000,8.6552,99067
1998-05-21,12.8800,12.8800,12.2500,12.6300,8.4088,107267
1998-05-22,12.5600,13.2500,12.5600,13.0600,8.6951,6600
1998-05-26,13.0000,13.6300,13.0000,13.5600,9.0280,22667
1998-05-27,13.6300,13.8800,13.1300,13.3800,8.9082,152600
1998-05-28,13.4400,13.5000,13.0000,13.0600,8.6951,415667
1998-05-29,13.1300,13.1900,12.6900,12.7500,8.4887,74067
1998-06-01,12.8800,13.0000,12.6300,12.7500,8.4887,44867
