,open,high,low,close,adj_close,volume
1998-01-02,51.2500,52.9400,51.1300,51.8100,2.3418,1499500
1998-01-05,52.6300,53.7500,51.8800,52.3800,2.3675,1521200
1998-01-06,52.3800,53.7500,51.8800,51.9400,2.3477,1142700
1998-01-07,50.7500,50.8800,47.3800,47.8800,2.1641,4835500
1998-01-08,47.8100,49.9400,47.0000,48.3800,2.1867,2533700
1998-01-09,48.3800,48.6300,45.8800,46.4400,2.0991,2065700
1998-01-12,45.8800,47.8800,45.2500,47.0600,2.1271,2197500
1998-01-13,48.1300,49.3800,48.0000,48.6900,2.2008,1742000
1998-01-14,49.5000,50.0000,48.5000,48.6900,2.2008,1554400
1998-01-15,47.6300,47.6300,46.0000,46.0000,2.0792,2342200
1998-01-16,46.2500,47.2500,45.0000,46.0000,2.0792,3051600
1998-01-20,48.3800,48.8800,47.1900,47.5000,2.1470,2736700
1998-01-21,51.6300,54.6300,50.8800,54.1300,2.4466,7359900
1998-01-22,53.8800,55.2500,52.1300,53.0000,2.3956,4575100
1998-01-23,53.7500,54.7500,53.3800,54.4400,2.4607,1917900
1998-01-26,54.2500,54.3800,51.5600,51.8800,2.3449,1871400
1998-01-27,52.1300,53.7500,51.8800,52.5000,2.3730,2203000
1998-01-28,53.3800,55.0000,52.7500,53.9400,2.4381,1563800
1998-01-29,54.2500,55.8800,53.2500,53.8100,2.4322,1984500
1998-01-30,54.1300,54.5000,51.7500,51.8800,2.3449,2313200
1998-02-02,53.3800,56.4400,53.1300,56.2500,2.5425,3699200
1998-02-03,56.6300,57.0000,56.0000,56.0000,2.5312,2555900
1998-02-04,55.3800,58.0000,55.1300,57.0600,2.5791,2284700
1998-02-05,57.7500,58.4400,55.8800,56.2500,2.5425,1773300
1998-02-06,46.2500,49.6300,46.1300,47.7500,2.1583,15181000
1998-02-09,46.8800,48.2500,46.8800,47.6900,2.1556,3446700
1998-02-10,47.5600,47.7500,46.2500,46.3800,2.0963,3097300
1998-02-11,46.4400,48.3800,46.2500,47.2500,2.1357,3535900
1998-02-12,46.9400,48.0000,46.5600,47.6300,2.1528,1662100
1998-02-13,47.2500,47.4400,46.5000,46.5600,2.1045,1319100
1998-02-17,47.7500,47.7500,46.6300,46.7500,2.1131,1045100
1998-02-18,47.1300,47.7500,46.7500,47.4400,2.1443,1156800
1998-02-19,47.8800,48.0000,47.0000,47.2500,2.1357,841800
1998-02-20,47.6300,47.6300,46.3800,46.6300,2.1076,1393800
1998-02-23,47.5000,51.3800,47.1300,51.3800,2.3223,4981100
1998-02-24,50.6900,51.7500,50.0600,50.1900,2.2686,2563100
1998-02-25,51.0600,51.1300,50.3800,50.8800,2.2997,1449100
1998-02-26,50.8800,52.0000,50.7500,51.5600,2.3305,1234700
1998-02-27,51.5000,53.0000,50.3800,51.0000,2.3052,1465300
1998-03-02,51.2500,51.5000,48.7500,49.5600,2.2401,1308100
1998-03-03,49.5600,49.8800,48.7500,49.2800,2.2274,950600
1998-03-04,49.1300,49.7500,49.0000,49.3100,2.2288,733400
1998-03-05,48.0600,49.0000,47.6300,47.6300,2.1528,1256800
1998-03-06,47.6900,49.2500,47.0000,48.4700,2.1908,1203100
1998-03-09,48.6300,49.5000,47.6300,47.6300,2.1528,916800
1998-03-10,48.7500,48.7500,47.3800,47.8800,2.1641,1006200
1998-03-11,48.2500,49.8800,48.1300,49.3800,2.2319,1396700
1998-03-12,49.6300,49.7500,48.6300,49.0000,2.2148,820800
1998-03-13,49.3800,49.3800,48.0000,48.0600,2.1723,1010600
1998-03-16,48.8800,49.3100,48.0000,48.8800,2.2093,770800
1998-03-17,48.8800,49.0000,47.5000,48.0000,2.1696,846400
1998-03-18,47.6300,48.6900,47.5000,48.5600,2.1949,713000
1998-03-19,48.6300,48.7500,48.0000,48.5600,2.1949,565800
1998-03-20,48.7500,49.0000,47.6300,47.7500,2.1583,816500
1998-03-23,48.5000,48.5600,47.5600,48.0000,2.1696,783600
1998-03-24,47.5000,47.7500,47.0600,47.6300,2.1528,1371600
1998-03-25,48.0000,49.0000,47.8800,48.3800,2.1867,1370700
1998-03-26,48.1900,49.8800,48.1300,49.1900,2.2234,1840200
1998-03-27,49.3800,50.6300,49.2500,49.9400,2.2573,1570800
1998-03-30,50.0000,50.2500,48.6300,49.5600,2.2401,1137100
1998-03-31,51.3800,53.5600,51.1300,53.5000,2.4182,4393900
1998-04-01,52.8800,54.1300,52.2500,53.5600,2.4209,2442200
1998-04-02,53.0000,53.7500,52.6300,53.5000,2.4182,1344800
1998-04-03,55.0000,56.5000,54.7500,55.7500,2.5199,2961500
1998-04-06,56.1300,56.3800,54.3100,54.5600,2.4661,1496200
1998-04-07,53.7500,54.5000,52.1300,53.3800,2.4127,1352800
1998-04-08,53.6300,53.7500,52.5600,52.6900,2.3816,677200
1998-04-09,52.5000,54.0000,52.2500,53.9400,2.4381,833600
1998-04-13,53.8800,54.0000,52.6300,53.5000,2.4182,918600
1998-04-14,53.5000,54.9400,53.2500,54.7500,2.4747,1780800
1998-04-15,54.8100,55.5000,54.6300,54.6300,2.4692,1200900
1998-04-16,54.5000,57.0000,54.2500,55.8800,2.5257,1601600
1998-04-17,55.8800,56.0000,55.1900,55.6900,2.5172,1072300
1998-04-20,55.3100,59.6900,55.2500,58.8800,2.6613,3338900
1998-04-21,59.7500,60.5600,59.1300,59.7500,2.7007,2309900
1998-04-22,57.7500,59.3800,56.2500,57.7500,2.6103,4545200
1998-04-23,57.2500,57.3800,56.3800,56.4400,2.5511,1706500
1998-04-24,56.3100,57.1300,56.1300,56.6900,2.5624,764700
1998-04-27,55.5000,55.8800,53.6300,54.6900,2.4720,1650000
1998-04-28,55.1300,55.6300,53.0000,53.8800,2.4353,1469100
