,open,high,low,close,adj_close,volume
1998-01-02,53.2500,53.5000,50.1200,52.5000,18.7787,335200
1998-01-05,52.5000,52.5000,51.6900,52.0600,18.6213,230600
1998-01-06,52.0000,52.0600,51.0600,51.3100,18.3530,88900
1998-01-07,51.1200,51.1200,50.0000,51.0000,18.2422,306100
1998-01-08,50.9400,51.2500,50.9400,51.0000,18.2422,154800
1998-01-09,51.1200,51.1200,49.8800,50.0000,17.8845,345800
1998-01-12,49.9400,50.5000,49.6200,50.5000,18.0633,133300
1998-01-13,50.5000,51.1900,50.0600,51.1200,18.2851,90200
1998-01-14,51.3100,52.8800,50.7500,52.5000,18.7787,165000
1998-01-15,52.3800,53.0000,52.0000,52.7500,18.8681,100700
1998-01-16,52.8100,52.8100,52.3800,52.3800,18.7358,48600
1998-01-20,52.1900,53.3800,51.4400,53.3100,19.0684,138900
1998-01-21,53.5600,53.5600,52.3100,52.6200,18.8216,136600
1998-01-22,52.6200,52.6200,52.0000,52.3800,18.7358,59700
1998-01-23,52.3800,52.3800,51.0600,51.1200,18.2851,82600
1998-01-26,51.1200,51.1200,49.7500,50.0000,17.8845,72100
1998-01-27,50.5000,51.1900,50.2500,51.1900,18.3101,194000
1998-01-28,50.8800,52.5000,50.8800,52.4400,18.7572,492200
1998-01-29,52.5000,53.4400,52.4400,52.7500,18.8681,139000
1998-01-30,52.8800,52.8800,52.1200,52.3800,18.7358,192700
1998-02-02,52.6200,52.7500,52.5000,52.6900,18.8467,142400
1998-02-03,52.6900,52.9400,51.3100,51.9400,18.5784,165300
1998-02-04,52.1900,53.8800,52.0600,53.4400,19.1149,178100
1998-02-05,53.6900,54.4400,52.8800,53.1200,19.0005,296800
1998-02-06,53.1900,54.7500,53.0000,54.3800,19.4511,135100
1998-02-09,53.8800,53.9400,53.5000,53.6200,19.1793,45800
1998-02-10,53.8100,54.7500,53.8100,54.6900,19.5620,59200
1998-02-11,54.3800,54.6200,52.7500,53.0600,18.9790,779500
1998-02-12,52.8100,52.8800,49.7500,51.3800,18.3781,317500
1998-02-13,50.8800,50.9400,49.5000,49.9400,17.8630,278500
1998-02-17,49.9400,50.7500,49.5000,50.0600,17.9059,373200
1998-02-18,50.2500,52.3800,50.0600,51.2500,18.3316,717300
1998-02-19,51.3800,52.3800,51.1200,52.0000,18.5998,210900
1998-02-20,52.2500,52.8100,52.2500,52.6200,18.8216,91900
1998-02-23,52.7500,52.8800,52.5000,52.5600,18.8002,137700
1998-02-24,52.6200,53.0000,52.5000,52.5600,18.8002,134000
1998-02-25,52.8100,54.5000,52.8100,54.2500,19.4046,323900
1998-02-26,53.9400,54.3100,53.7500,54.2500,19.4583,31700
1998-02-27,54.4400,55.2500,54.3800,54.7500,19.6376,152500
1998-03-02,55.0000,55.6900,54.8800,55.0000,19.7273,385300
1998-03-03,55.1200,57.0000,54.8800,56.7500,20.3550,135100
1998-03-04,57.3800,57.5000,56.2500,56.5000,20.2653,3257500
1998-03-05,55.0000,56.6200,55.0000,55.8800,20.0429,662700
1998-03-06,56.1200,57.6900,56.0000,57.5600,20.6455,575600
1998-03-09,57.4400,59.0000,57.3100,57.8100,20.7352,369800
1998-03-10,57.5600,58.0000,56.7500,57.9400,20.7818,273900
1998-03-11,58.0000,58.2500,57.7500,58.0000,20.8033,247700
1998-03-12,58.1900,59.8800,58.0000,59.8100,21.4526,180800
1998-03-13,60.5000,60.8800,59.5600,59.8100,21.4526,318200
1998-03-16,59.8100,60.5000,59.8100,60.0000,21.5207,149800
1998-03-17,60.0000,62.4400,59.9400,62.0600,22.2596,189100
1998-03-18,62.0600,63.0000,61.0000,61.0000,21.8794,159800
1998-03-19,61.2500,63.5000,61.2500,61.6200,22.1018,241400
1998-03-20,62.1200,65.0000,62.1200,64.9400,23.2926,688400
1998-03-23,64.9400,67.0000,64.8800,67.0000,24.0314,567900
1998-03-24,67.0000,67.1200,66.0600,66.9400,24.0099,342500
1998-03-25,67.3100,68.5000,66.8100,68.2500,24.4798,770000
1998-03-26,68.2500,69.3800,68.0600,68.8800,24.7058,815200
1998-03-27,69.1200,70.1200,69.0000,69.1900,24.8170,237800
1998-03-30,70.0000,70.0000,68.6900,68.8800,24.7058,197900
1998-03-31,69.0000,70.8800,68.4400,70.3800,25.2438,572700
1998-04-01,72.5000,72.9400,71.3800,71.8800,25.7818,331400
1998-04-02,71.8800,72.5000,70.3100,70.7500,25.3765,282000
1998-04-03,71.5000,72.5000,71.0000,71.7500,25.7352,360500
1998-04-06,72.0000,72.0000,70.6900,71.6200,25.6885,129500
1998-04-07,71.6200,71.6200,67.6200,69.7500,25.0178,486100
1998-04-08,69.7500,69.7500,68.6900,68.6900,24.6376,282700
1998-04-09,68.7500,69.2500,68.5600,68.7500,24.6591,153300
1998-04-13,69.6200,69.9400,69.0000,69.0000,24.7488,108500
1998-04-14,69.1200,69.8800,67.9400,68.1900,24.4583,175600
1998-04-15,68.6200,71.0000,68.6200,70.8800,25.4231,400500
1998-04-16,70.9400,72.3800,70.9400,71.0600,25.4877,112700
1998-04-17,71.1200,71.7500,71.1200,71.6900,25.7136,49500
1998-04-20,71.9400,72.5000,70.5600,71.1200,25.5092,103400
1998-04-21,71.2500,71.5000,70.0600,70.0600,25.1290,73700
1998-04-22,70.3100,70.3100,69.0000,69.5600,24.9497,172800
1998-04-23,69.4400,69.5600,67.2500,67.6900,24.2789,268700
1998-04-24,67.8100,68.2500,65.2500,68.0600,24.4116,430200
1998-04-27,67.1200,67.3800,65.3800,65.6900,23.5616,323300
1998-04-28,66.6200,68.2500,66.6200,67.3100,24.1426,536600
1998-04-29,70.1900,70.1900,67.1200,67.5000,24.2108,411300
1998-04-30,68.5000,69.1900,67.6200,68.3800,24.5264,392000
1998-05-01,68.4400,68.5000,67.2500,68.5000,24.5695,130000
1998-05-04,68.6200,69.2500,67.8800,68.1900,24.4583,149200
1998-05-05,68.4400,68.5600,67.5000,68.3100,24.5013,116700
1998-05-06,69.2500,69.2500,68.3800,68.5000,24.5695,91200
1998-05-07,68.0000,68.0000,67.0600,67.0600,24.0530,151300
1998-05-08,67.3100,67.5000,66.9400,67.3100,24.1426,216600
1998-05-11,68.1200,69.1200,67.4400,67.5000,24.2108,140700
1998-05-12,68.0000,68.1200,67.5000,67.8100,24.3220,106600
1998-05-13,67.9400,69.5000,67.9400,68.5600,24.5910,102300
1998-05-14,68.3100,69.2500,67.8100,67.8800,24.3471,107600
1998-05-15,67.8800,69.1900,67.8800,68.7500,24.6591,159700
1998-05-18,69.7500,69.9400,67.5000,67.9400,24.3686,119600
1998-05-19,67.7500,69.0000,65.7500,66.5000,23.8521,186200
1998-05-20,66.8800,68.5000,66.8800,68.2500,24.4798,154500
1998-05-21,69.0000,70.5000,69.0000,69.6900,24.9963,323600
1998-05-22,70.2500,70.8800,69.6900,70.5000,25.2868,312200
1998-05-26,72.3800,72.3800,70.2500,70.3100,25.2187,304300
1998-05-27,70.3100,70.3100,69.5000,69.8800,25.0644,72000
1998-05-28,70.0000,70.3800,69.5000,70.1200,25.1505,107500
1998-05-29,69.9400,69.9400,69.0000,69.6900,25.0501,234200
1998-06-01,69.7500,70.4400,69.1200,69.7500,25.0717,93700
1998-06-02,69.8100,70.2500,68.9400,70.2500,25.2514,242900
1998-06-03,70.3800,70.5000,69.6200,69.6900,25.0501,131400
1998-06-04,69.5000,70.8800,69.1200,70.8800,25.4778,105700
1998-06-05,71.3800,71.8100,70.6200,71.5000,25.7007,149600
1998-06-08,71.3800,73.7500,71.3800,73.1900,26.3082,161200
1998-06-09,73.5000,75.4400,73.5000,74.5000,26.7791,148000
1998-06-10,74.5600,74.5600,74.0000,74.1200,26.6425,81400
1998-06-11,74.0000,74.8100,73.5000,74.5600,26.8006,76200
1998-06-12,74.8100,75.5000,73.0000,73.0600,26.2614,75100
1998-06-15,72.0000,72.3800,70.8100,71.9400,25.8589,119400
1998-06-16,71.8100,72.6200,71.5000,72.1200,25.9236,58400
1998-06-17,72.3800,73.3800,72.3800,73.0600,26.2614,48200
1998-06-18,72.8100,73.0000,72.2500,72.2500,25.9703,116100
1998-06-19,72.2500,72.8800,72.2500,72.6200,26.1033,75700
1998-06-22,72.8100,75.1900,72.8100,75.0600,26.9803,108700
1998-06-23,75.3800,79.7500,75.3800,78.5000,28.2169,352700
1998-06-24,79.0000,79.6900,77.6900,78.2500,28.1270,356100
1998-06-25,78.5000,78.8800,77.8100,78.0000,28.0371,190300
1998-06-26,78.0000,78.0000,76.2500,76.8800,27.6345,255400
1998-06-29,77.1200,78.4400,77.1200,78.1200,28.0803,119600
1998-06-30,78.2500,80.7500,78.2500,79.5000,28.5763,173400
1998-07-01,79.7500,81.8800,79.7500,80.3100,28.8675,325800
1998-07-02,80.3800,80.3800,79.7500,80.1200,28.7992,92500
1998-07-06,80.1200,80.2500,79.7500,80.0000,28.7560,69800
1998-07-07,79.8800,81.2500,79.8800,80.5600,28.9573,86900
1998-07-08,80.8100,82.9400,80.8100,82.0600,29.4965,122400
1998-07-09,83.6200,83.7500,82.1900,82.3800,29.6115,99300
1998-07-10,82.6200,83.7500,82.3800,82.9400,29.8128,95600
1998-07-13,83.0000,83.1200,82.5600,83.1200,29.8775,164200
1998-07-14,83.0000,85.6200,83.0000,84.3800,30.3304,427700
1998-07-15,85.0000,85.2500,84.6200,85.0600,30.5748,214500
1998-07-16,84.8100,85.5000,83.0600,84.9400,30.5317,243300
1998-07-17,84.9400,86.3800,84.9400,86.2500,31.0026,99500
1998-07-20,86.5000,87.8100,86.5000,87.3100,31.3836,152000
1998-07-21,87.4400,87.7500,86.0000,86.1900,30.9810,130100
1998-07-22,86.2500,86.2500,84.4400,85.0000,30.5533,75200
1998-07-23,85.0000,85.2500,82.5600,82.8800,29.7912,74700
1998-07-24,82.8800,82.9400,78.8800,80.5600,28.9573,223200
1998-07-27,79.7500,80.5000,73.7500,75.5600,27.1601,879300
1998-07-28,75.5600,77.7500,73.7500,75.3100,27.0702,834500
1998-07-29,75.5600,76.7500,75.1900,75.1900,27.0271,113900
1998-07-30,75.1900,76.0000,75.1200,75.2500,27.0486,159300
1998-07-31,75.2500,75.9400,74.2500,74.7500,26.8689,307300
1998-08-03,38.0000,38.0000,35.0000,35.6900,25.6576,156400
1998-08-04,36.0000,36.8800,33.5600,34.1900,24.5792,488100
1998-08-05,34.2500,34.5000,32.2500,33.2500,23.9034,366800
1998-08-06,33.1200,33.8800,32.8100,33.8800,24.3564,371900
1998-08-07,34.5600,36.7500,34.5000,36.5000,26.2399,633100
1998-08-10,36.5000,36.5000,34.9400,35.2500,25.3412,170900
1998-08-11,33.5000,33.5600,30.5000,32.6200,23.4505,697700
1998-08-12,33.7500,34.7500,32.2500,33.1200,23.8100,211400
1998-08-13,33.1200,33.1200,31.5600,32.0000,23.0048,450300
1998-08-14,33.0000,33.0000,30.1200,30.8100,22.1493,324800
1998-08-17,30.6900,30.6900,28.0000,28.8100,20.7115,1041100
1998-08-18,29.7500,29.7500,28.1200,29.0000,20.8481,1392300
1998-08-19,30.5000,33.1200,30.3800,32.0000,23.0048,1025800
1998-08-20,31.5000,33.5000,31.3800,32.6900,23.5009,438800
1998-08-21,31.5000,33.3800,31.3100,33.3100,23.9466,782400
1998-08-24,33.3100,33.5600,31.6900,31.8100,22.8682,436000
1998-08-25,33.5000,33.6200,31.8100,31.8800,22.9186,413000
1998-08-26,31.8800,32.7500,30.6200,32.5600,23.4074,420200
1998-08-27,32.4400,32.4400,30.0000,30.3800,21.8402,363600
1998-08-28,30.5000,30.6200,27.0000,28.5600,20.5965,472600
1998-08-31,28.5600,28.8100,23.1200,24.5000,17.6686,773100
1998-09-01,24.2500,25.9400,23.5600,25.8800,18.6638,1053100
1998-09-02,26.2500,27.3100,26.2500,27.1200,19.5580,568300
1998-09-03,27.0000,27.3100,26.0000,27.0600,19.5148,701800
1998-09-04,27.2500,28.4400,26.9400,27.3100,19.6950,721900
1998-09-08,29.0000,30.1200,28.3800,28.8100,20.7768,746600
