,open,high,low,close,adj_close,volume
1998-01-02,27.6300,27.7500,27.6300,27.7500,9.4206,12500
1998-01-05,27.6900,27.8100,27.6300,27.6300,9.3799,87300
1998-01-06,27.8100,27.8100,27.5000,27.5000,9.3357,31000
1998-01-07,27.5000,27.5000,27.3800,27.5000,9.3357,4000
1998-01-08,27.3800,27.5000,27.2500,27.2500,9.2509,158400
1998-01-09,27.2500,27.2500,26.6300,26.7500,9.0811,53500
1998-01-12,26.3800,26.6900,26.3800,26.5600,9.0166,13300
1998-01-13,26.6900,27.0000,26.6300,26.8800,9.1253,40200
1998-01-14,27.0000,27.1300,26.8800,27.0000,9.1660,6800
1998-01-15,27.0000,27.0600,26.8800,26.8800,9.1253,23900
1998-01-16,27.0000,27.1300,27.0000,27.0000,9.1660,32800
1998-01-20,27.1900,27.1900,27.0000,27.1300,9.2101,16400
1998-01-21,27.1300,27.1300,26.8800,27.0600,9.1864,89700
1998-01-22,27.0000,27.0000,26.5600,26.9400,9.1456,17700
1998-01-23,26.9400,27.0000,26.9400,26.9400,9.1456,10100
1998-01-26,27.0000,27.0000,26.7500,27.0000,9.1660,10700
1998-01-27,26.9400,27.1300,26.8100,27.1300,9.2101,51400
1998-01-28,27.1900,27.1900,27.1300,27.1300,9.2101,84400
1998-01-29,27.1300,27.1300,27.0000,27.0600,9.1864,17400
1998-01-30,27.1300,27.2500,27.0000,27.1900,9.2305,94800
1998-02-02,27.2500,27.2500,27.1300,27.1300,9.2101,39500
1998-02-03,27.0000,27.2500,26.8800,27.2500,9.2509,32200
1998-02-04,27.2500,27.5000,27.1300,27.5000,9.3357,35500
1998-02-05,27.5000,27.6300,27.1300,27.3800,9.2950,42100
1998-02-06,27.3800,27.6300,27.3100,27.6300,9.3799,166100
1998-02-09,27.6300,27.6300,27.5000,27.6300,9.3799,6800
1998-02-10,27.0000,27.2500,27.0000,27.0000,9.3154,11100
1998-02-11,27.0000,27.1900,27.0000,27.0600,9.3361,17800
1998-02-12,27.0000,27.0000,26.7500,26.8100,9.2498,65100
1998-02-13,26.6300,26.6900,26.5000,26.5000,9.1429,50900
1998-02-17,26.5000,26.5000,26.1300,26.3800,9.1015,5700
1998-02-18,26.2500,26.3800,26.2500,26.3800,9.1015,7800
1998-02-19,26.4400,26.4400,26.2500,26.2500,9.0566,5400
1998-02-20,26.2500,26.4400,26.1900,26.1900,9.0359,42700
1998-02-23,26.4400,26.4400,26.1900,26.2500,9.0566,70600
1998-02-24,26.3800,26.3800,26.2500,26.3100,9.0773,41000
1998-02-25,26.3100,26.3800,26.1900,26.3100,9.0773,44500
1998-02-26,26.2500,26.5000,26.2500,26.3100,9.0773,42300
1998-02-27,26.2500,26.2500,26.1300,26.1900,9.0359,26800
1998-03-02,26.2500,26.2500,26.0000,26.1300,9.0152,30400
1998-03-03,26.1300,26.4400,26.1300,26.3800,9.1015,15000
1998-03-04,26.2500,26.5000,26.2500,26.3800,9.1015,44800
1998-03-05,26.3100,26.3100,26.0000,26.1900,9.0359,14000
1998-03-06,26.1900,26.1900,26.1900,26.1900,9.0359,300
1998-03-09,26.1300,26.1300,26.0000,26.0600,8.9911,4500
1998-03-10,26.0000,26.0000,25.6900,25.8100,8.9048,17600
1998-03-11,25.8800,25.8800,25.5000,25.6300,8.8427,14800
1998-03-12,25.8800,25.8800,25.5600,25.5600,8.8186,40700
1998-03-13,25.6900,25.6900,25.3100,25.4400,8.7771,45100
1998-03-16,25.4400,25.6300,25.4400,25.5600,8.8186,16100
1998-03-17,25.2500,25.3100,25.0000,25.2500,8.7116,54900
1998-03-18,25.1900,25.2500,24.8800,24.8800,8.5839,58300
1998-03-19,24.8800,25.0000,24.6300,24.8800,8.5839,51200
1998-03-20,24.8800,25.2500,24.8800,25.0600,8.6460,32600
1998-03-23,25.1900,25.3100,25.0600,25.2500,8.7116,113700
1998-03-24,25.3100,25.3800,25.2500,25.2500,8.7116,6500
1998-03-25,25.3100,25.3100,24.8800,25.0000,8.6253,35900
1998-03-26,25.1300,25.2500,25.0600,25.2500,8.7116,28500
1998-03-27,25.3800,25.5000,25.0000,25.0000,8.6253,655900
1998-03-30,25.1900,25.3800,25.1900,25.3800,8.7564,22900
1998-03-31,25.4400,26.4400,25.4400,26.4400,9.1222,27200
1998-04-01,26.3100,26.3100,25.5600,25.5600,8.8186,36300
1998-04-02,25.6900,25.8100,25.5000,25.6300,8.8427,38600
1998-04-03,25.6300,25.9400,25.6300,25.8800,8.9290,6800
1998-04-06,25.8800,25.8800,25.5600,25.7500,8.8841,10600
1998-04-07,25.6300,25.7500,25.6300,25.7500,8.8841,11900
1998-04-08,25.7500,25.7500,25.5600,25.6300,8.8427,18800
1998-04-09,25.6300,25.8100,25.4400,25.6900,8.8634,15200
1998-04-13,25.6300,25.6900,25.5600,25.6300,8.8427,9000
1998-04-14,25.6300,25.7500,25.6300,25.6300,8.8427,6500
1998-04-15,25.6300,25.7500,25.6300,25.6300,8.8427,13700
1998-04-16,25.6300,25.7500,25.1300,25.1300,8.6702,64900
1998-04-17,25.1300,25.5000,25.1300,25.3100,8.7323,22100
1998-04-20,25.3100,25.3800,25.1900,25.2500,8.7116,66300
1998-04-21,25.2500,25.3100,25.2500,25.2500,8.7116,8800
1998-04-22,25.1300,25.2500,24.7500,24.9400,8.6046,31900
1998-04-23,24.8800,24.8800,24.7500,24.8800,8.5839,41100
1998-04-24,24.8100,25.3800,24.8100,25.1900,8.6909,15400
1998-04-27,25.0600,25.1300,24.3800,24.5000,8.4528,48400
1998-04-28,24.7500,25.3800,24.7500,25.3100,8.7323,28100
1998-04-29,25.2500,25.3100,25.1900,25.1900,8.6909,6900
1998-04-30,25.1900,25.7500,25.1900,25.7500,8.8841,38200
1998-05-01,25.7500,26.0000,25.7500,26.0000,8.9704,10200
1998-05-04,26.0000,26.2500,26.0000,26.0600,8.9911,15000
1998-05-05,26.1300,26.3800,26.1300,26.1300,9.0152,9200
1998-05-06,26.1900,26.4400,26.1900,26.3800,9.1015,70400
1998-05-07,26.3100,26.5000,26.2500,26.2500,9.0566,5100
1998-05-08,26.1300,26.2500,26.1300,26.2500,9.0566,3000
1998-05-11,26.3800,26.6900,26.3800,26.5600,9.1636,60900
