,open,high,low,close,adj_close,volume
1998-01-02,41.2500,41.2500,40.3800,40.5000,29.5848,58800
1998-01-05,40.4400,41.0000,40.3100,40.6300,29.6797,134000
1998-01-06,40.6300,40.6300,40.0000,40.1300,29.3145,139300
1998-01-07,40.0600,40.0600,38.8800,38.8800,28.4014,36200
1998-01-08,38.9400,38.9400,36.7500,37.1300,27.1230,104300
1998-01-09,37.2500,37.2500,35.7500,36.5600,26.7066,197800
1998-01-12,36.4400,37.5000,36.4400,37.3800,27.3056,74600
1998-01-13,37.1900,38.0000,37.1900,38.0000,27.7585,166000
1998-01-14,37.8100,38.0000,36.7500,38.0000,27.7585,164400
1998-01-15,38.1900,39.0000,38.1900,38.1900,27.8973,87100
1998-01-16,38.1900,38.1900,37.3800,37.3800,27.3056,176600
1998-01-20,37.2500,37.2500,36.3800,37.1900,27.1668,117800
1998-01-21,37.3800,37.3800,36.6300,37.3100,27.2545,80000
1998-01-22,37.3100,37.8800,37.0600,37.4400,27.3495,78600
1998-01-23,37.3800,37.3800,36.5000,36.8800,26.9404,203900
1998-01-26,36.8800,36.8800,35.2500,35.5000,25.9323,280300
1998-01-27,35.6300,37.0000,35.6300,36.8800,26.9404,263800
1998-01-28,37.0000,38.6300,37.0000,38.2500,27.9412,147500
1998-01-29,38.1300,38.1300,37.1900,37.3800,27.3056,118600
1998-01-30,37.3800,38.1300,37.3800,37.8800,27.6709,96600
1998-02-02,38.0000,39.5600,37.9400,39.3800,28.7666,134400
1998-02-03,39.4400,39.5000,38.4400,38.4400,28.0799,193100
1998-02-04,38.6300,38.6300,37.9400,37.9400,27.7147,135900
1998-02-05,38.0000,38.0600,37.4400,37.5600,27.4371,174500
1998-02-06,37.7500,37.7500,37.0000,37.3800,27.3056,412200
1998-02-09,37.5000,37.6300,37.1300,37.3800,27.3056,113200
1998-02-10,37.5600,38.3800,37.3800,37.8800,27.6709,136300
1998-02-11,38.1300,38.5000,38.0000,38.0000,27.7585,193400
1998-02-12,38.0000,38.2500,37.6300,38.0000,27.7585,74300
1998-02-13,37.8800,38.2500,37.6900,38.1300,27.8535,118400
1998-02-17,38.1300,38.2500,37.9400,38.0600,27.8024,59000
1998-02-18,38.0000,38.3800,37.9400,38.2500,27.9412,152700
1998-02-19,38.1300,38.3800,38.0000,38.3800,28.0361,109200
1998-02-20,38.3800,38.5000,38.0000,38.1900,27.8973,66900
1998-02-23,37.6300,37.8100,36.6900,37.7500,27.5759,113500
1998-02-24,37.5600,38.9400,37.3800,38.3800,28.0361,101500
1998-02-25,38.3800,38.3800,37.5000,37.8100,27.6197,125000
1998-02-26,37.9400,37.9400,37.5000,37.7500,27.5759,109400
1998-02-27,37.7500,37.7500,36.6300,36.8800,26.9404,309100
1998-03-02,36.8100,37.0000,36.6300,36.9400,26.9842,296300
1998-03-03,36.8800,37.1300,36.7500,36.9400,26.9842,827400
1998-03-04,37.0000,37.0000,36.6300,36.7500,26.8454,231800
1998-03-05,36.7500,37.4400,36.5000,37.4400,27.3860,691600
1998-03-06,37.6300,37.9400,37.2500,37.5600,27.4738,203700
1998-03-09,37.5000,37.7500,37.2500,37.5000,27.4299,1095400
1998-03-10,37.5600,37.6900,37.5000,37.5600,27.4738,242800
1998-03-11,37.6300,37.7500,37.3800,37.6900,27.5689,235600
1998-03-12,37.6900,38.0000,37.6300,37.8100,27.6566,233200
1998-03-13,37.9400,38.0000,37.8100,37.8800,27.7078,393000
1998-03-16,37.8800,39.5000,37.7500,39.1900,28.6660,793300
1998-03-17,39.0000,40.3100,39.0000,39.6300,28.9879,294600
1998-03-18,39.8100,40.7500,39.8100,40.3100,29.4853,381900
1998-03-19,40.3800,40.6300,40.0000,40.3100,29.4853,142000
1998-03-20,40.5600,41.5000,40.4400,40.4400,29.5804,212000
1998-03-23,40.1900,40.9400,40.1300,40.8100,29.8510,48400
1998-03-24,40.8100,41.3100,40.5600,40.8800,29.9022,88200
1998-03-25,40.9400,41.6300,40.7500,41.5600,30.3996,114100
1998-03-26,41.5000,41.5600,40.1300,40.5000,29.6243,162600
1998-03-27,40.6300,40.9400,40.2500,40.2500,29.4414,88400
1998-03-30,40.1300,40.8800,39.6900,39.8100,29.1196,182100
1998-03-31,39.8100,41.5000,39.8100,41.1300,30.0851,242600
1998-04-01,41.0600,42.1900,41.0000,42.1900,30.8604,98800
1998-04-02,42.1900,43.5600,42.1300,42.7500,31.2701,207800
1998-04-03,42.8100,44.6300,42.8100,44.0600,32.2283,141000
1998-04-06,44.2500,44.8100,42.3800,42.4400,31.0433,232800
1998-04-07,42.5600,42.6300,42.3800,42.6300,31.1823,102200
1998-04-08,42.5000,44.3800,42.5000,43.5600,31.8625,156200
1998-04-09,43.5000,44.6900,43.3800,44.6900,32.6891,208400
1998-04-13,44.6900,45.0000,43.8800,44.2500,32.3672,208800
1998-04-14,44.3800,44.4400,43.8800,44.2500,32.3672,148000
1998-04-15,44.3800,44.8800,44.2500,44.6300,32.6452,293600
1998-04-16,44.4400,45.2500,44.4400,44.5000,32.5501,88600
1998-04-17,44.2500,44.3100,43.8800,44.3100,32.4111,223000
1998-04-20,44.3100,44.3800,44.0600,44.1300,32.2795,73400
1998-04-21,44.3100,44.3100,43.4400,43.6300,31.9137,351600
1998-04-22,43.3800,44.1300,43.1300,43.4400,31.7748,603700
1998-04-23,43.4400,43.5600,42.9400,43.1300,31.5480,42400
