,open,high,low,close,adj_close,volume
1998-01-02,42.0000,42.8100,42.0000,42.5600,18.3201,270283
1998-01-05,42.5000,43.5000,42.2500,43.5000,18.7247,274332
1998-01-06,43.5000,43.5000,42.1300,42.1300,18.1350,269393
1998-01-07,41.8800,42.0000,40.8800,41.2500,17.7562,282267
1998-01-08,41.3800,41.3800,39.5000,40.4400,17.4075,360972
1998-01-09,40.5000,40.6300,39.0000,39.7500,17.1105,372227
1998-01-12,38.8800,39.6300,38.5000,39.1300,16.8436,357247
1998-01-13,39.5000,40.0000,38.1300,38.1300,16.4132,290931
1998-01-14,38.6300,40.1300,38.3800,39.6300,17.0588,421943
1998-01-15,40.1300,40.2500,39.2500,39.5600,17.0287,180729
1998-01-16,39.7500,40.1300,39.2500,40.1300,17.2741,421862
1998-01-20,40.3800,40.3800,39.6300,40.0000,17.2181,94332
1998-01-21,40.1300,40.1300,39.3800,39.8100,17.1363,165425
1998-01-22,39.7500,39.8800,39.4400,39.6300,17.0588,77895
1998-01-23,39.8800,40.0000,38.2500,38.6300,16.6284,208988
1998-01-26,38.7500,38.8800,38.3800,38.7800,16.6929,173684
1998-01-27,38.5000,39.2500,38.5000,39.0600,16.8135,110688
1998-01-28,39.0000,39.7500,39.0000,39.7500,17.1105,129717
1998-01-29,39.7500,40.3800,39.2500,39.5000,17.0029,212470
1998-01-30,39.6300,40.6900,39.1300,39.1300,16.8436,287206
1998-02-02,39.5000,40.9400,39.3800,40.5000,17.4333,206316
1998-02-03,40.7500,41.1300,40.1300,40.8800,17.5969,244777
1998-02-04,41.1300,41.1300,40.7500,41.1300,17.7045,88016
1998-02-05,41.1300,41.2500,40.5000,41.1900,17.7303,98704
1998-02-06,41.5000,41.7500,40.5000,40.5000,17.4333,220405
1998-02-09,40.0000,40.5000,38.8800,39.1300,16.8436,445749
1998-02-10,39.3800,40.0000,39.2500,39.5600,17.0287,439190
1998-02-11,39.6300,39.6300,39.0000,39.0000,16.7876,389312
1998-02-12,39.0000,39.2500,38.0000,38.4400,16.5466,479109
1998-02-13,38.2500,38.5000,38.0000,38.0000,16.3572,324534
1998-02-17,38.1900,38.4400,37.7500,37.9400,16.3314,525182
1998-02-18,38.0000,38.7500,37.8800,38.6300,16.6284,371579
1998-02-19,38.8100,38.8100,38.3800,38.5600,16.5982,219676
1998-02-20,38.5000,39.2500,38.4400,39.0600,16.8135,1259514
1998-02-23,39.0600,39.7500,39.0000,39.0600,16.8135,516923
1998-02-24,38.9400,39.7500,38.8800,39.6300,17.0588,306964
1998-02-25,39.8800,40.0000,39.3800,39.8800,17.1664,385344
1998-02-26,40.0000,40.0000,39.5000,39.7500,17.1105,221457
1998-02-27,39.6300,40.0000,39.3800,39.7500,17.1105,218057
1998-03-02,40.0000,40.1900,39.7500,39.9700,17.2052,463239
1998-03-03,40.0000,41.2500,39.7500,41.1900,17.7303,620162
1998-03-04,41.1300,41.2500,40.3800,40.7500,17.5409,262105
1998-03-05,40.3800,40.8800,40.1300,40.7500,17.5409,304534
1998-03-06,40.3800,41.2500,40.3800,41.2500,17.7562,871984
1998-03-09,41.0600,41.1900,40.5000,40.7500,17.5409,175385
1998-03-10,41.0000,41.3100,40.6900,41.2500,17.7562,385020
1998-03-11,41.2500,41.2500,40.8800,41.0600,17.6744,239595
1998-03-12,40.7500,41.1900,40.7500,40.8800,17.5969,291741
1998-03-13,41.0000,41.2500,40.5000,40.7500,17.5409,212227
1998-03-16,40.8800,41.7500,40.6900,41.6300,17.9197,362348
1998-03-17,41.5000,41.7500,41.1900,41.6300,17.9197,519919
1998-03-18,41.3800,41.5000,41.2500,41.5000,17.9628,231903
1998-03-19,41.5600,41.5600,41.3800,41.5000,17.9628,105020
1998-03-20,41.6300,41.6300,41.2500,41.5600,17.9887,238057
1998-03-23,41.3800,41.6300,41.3100,41.3800,17.9108,180567
1998-03-24,41.4400,41.5000,41.3100,41.4100,17.9238,170526
1998-03-25,41.4400,42.0000,41.3800,41.8800,18.1273,418138
1998-03-26,41.8800,42.0000,41.5000,42.0000,18.1792,251741
1998-03-27,42.0000,42.0000,41.3800,41.4400,17.9368,190607
1998-03-30,41.5600,41.7500,41.3800,41.5000,17.9628,153441
1998-03-31,41.3800,41.9400,41.3800,41.9400,18.1532,330040
1998-04-01,42.0000,42.0000,41.5600,41.6900,18.0450,288502
1998-04-02,41.7500,42.3100,41.7500,42.0600,18.2052,393765
1998-04-03,42.1300,42.6300,41.7500,41.8800,18.1273,164696
1998-04-06,41.8800,42.4400,41.8800,42.0000,18.1792,329960
1998-04-07,42.0000,42.0000,41.5000,41.5600,17.9887,202591
1998-04-08,41.5000,41.6300,41.0000,41.0000,17.7464,245182
1998-04-09,41.1300,41.5600,41.1300,41.2500,17.8546,362753
1998-04-13,41.4400,42.5000,41.4400,41.8800,18.1273,522753
1998-04-14,41.8800,42.2500,41.5600,42.2500,18.2874,370769
1998-04-15,42.2500,43.2500,42.1300,43.1300,18.6683,568745
1998-04-16,43.2500,43.2500,42.5600,42.6300,18.4519,437328
1998-04-17,42.5000,43.0600,42.3800,43.0000,18.6120,203320
1998-04-20,43.0000,43.0000,42.4400,42.6300,18.4519,118300
1998-04-21,43.0000,43.0000,42.3800,43.0000,18.6120,150526
1998-04-22,44.6300,45.6300,42.7500,44.6300,19.3176,772308
1998-04-23,44.6300,45.3100,44.3100,45.2500,19.5859,397571
1998-04-24,44.8800,45.6300,44.8100,45.0000,19.4777,528421
1998-04-27,44.5600,44.5600,42.1300,43.3800,18.7765,386154
1998-04-28,43.1900,43.5600,43.0000,43.5000,18.8285,373522
1998-04-29,43.5000,44.6300,43.2500,44.3800,19.2094,535789
1998-04-30,44.8800,44.8800,43.3800,43.6300,18.8847,254575
1998-05-01,43.7500,43.8100,43.3800,43.7500,18.9367,74251
1998-05-04,43.2500,43.7500,43.2500,43.2500,18.7202,171174
1998-05-05,43.0000,43.4400,42.5000,42.5600,18.4216,146235
1998-05-06,43.2500,43.6300,42.8800,43.1900,18.6943,534413
1998-05-07,43.1300,43.2500,42.5000,42.7500,18.5038,212955
1998-05-08,42.5000,43.7500,42.5000,43.5000,18.8285,334656
1998-05-11,43.3100,43.8100,42.9400,43.0000,18.6120,92955
1998-05-12,43.2500,43.4400,42.5000,43.4400,18.8025,610688
1998-05-13,43.3800,43.7500,43.0000,43.1900,18.6943,362510
1998-05-14,43.2500,43.4400,42.6300,43.1900,18.6943,280486
1998-05-15,43.0000,43.2500,42.4400,42.5000,18.3956,203725
1998-05-18,42.2500,42.7500,42.1300,42.3800,18.3437,181215
1998-05-19,42.3800,42.6300,42.0000,42.5000,18.3956,404211
1998-05-20,42.5000,43.2500,42.3800,42.9700,18.5991,134494
1998-05-21,42.7500,43.0600,42.2500,42.6300,18.4519,138704
1998-05-22,42.5000,42.8800,42.1600,42.1900,18.2614,538300
1998-05-26,42.3800,43.0000,41.2500,41.4400,17.9368,387449
1998-05-27,41.0000,41.5000,40.7500,40.8800,17.6944,220972
1998-05-28,40.7500,41.2500,40.7500,41.0600,17.7723,178138
1998-05-29,41.2500,41.6300,41.0000,41.1300,17.8026,779433
1998-06-01,40.8800,41.1300,40.3100,40.5000,17.5299,78300
1998-06-02,40.5000,41.0000,40.5000,40.7200,17.6252,337976
1998-06-03,40.6300,41.0000,40.3800,40.8100,17.6641,132551
1998-06-04,40.8100,40.9400,39.8800,40.9400,17.7204,390607
1998-06-05,40.7500,41.0000,40.6300,40.8100,17.6641,159190
1998-06-08,41.1300,41.2500,40.6300,40.6900,17.6122,150526
1998-06-09,40.6900,40.9400,40.2500,40.7500,17.6382,90769
1998-06-10,40.1200,40.8100,40.1200,40.2500,17.4217,126721
1998-06-11,40.2500,40.6300,40.0000,40.1900,17.3958,115628
1998-06-12,40.1300,40.3800,39.5000,39.7500,17.2053,184939
1998-06-15,39.6900,39.6900,38.6300,38.6900,16.8461,438704
1998-06-16,39.2500,39.2500,38.4400,38.6600,16.8330,335142
1998-06-17,38.5600,40.3100,38.5600,40.1300,17.4730,318381
1998-06-18,39.7500,40.2500,39.6300,39.9100,17.3773,536275
1998-06-19,39.8100,40.0600,39.6900,39.7500,17.3076,324291
1998-06-22,39.7500,39.8800,39.5000,39.8100,17.3337,306559
1998-06-23,39.7500,39.8800,39.2500,39.6300,17.2553,477490
1998-06-24,39.7500,40.0000,39.2500,39.6300,17.2553,505101
1998-06-25,39.3800,40.0000,39.0600,39.6900,17.2815,414089
1998-06-26,39.7500,40.1300,39.7500,40.1300,17.4730,407206
1998-06-29,40.0000,40.7500,39.8800,40.7200,17.7299,195870
1998-06-30,41.0000,41.5000,40.8800,41.0600,17.8780,503725
1998-07-01,41.1300,41.7500,40.9400,41.6900,18.1523,592632
1998-07-02,41.6300,41.7500,41.3100,41.5000,18.0696,232794
1998-07-06,41.5000,41.7500,41.2500,41.2500,17.9607,202834
1998-07-07,41.2500,41.6300,41.0600,41.1900,17.9346,144777
1998-07-08,41.5000,41.8100,41.1300,41.5600,18.0957,180891
1998-07-09,41.6300,41.8800,41.4400,41.8800,18.2350,255547
1998-07-10,41.6900,42.1300,41.6900,42.0000,18.2873,344939
1998-07-13,42.1300,42.7500,41.5000,41.6300,18.1262,202510
1998-07-14,41.3800,42.1300,41.3800,42.1300,18.3439,206721
1998-07-15,41.7500,42.3800,41.6300,41.8100,18.2045,147611
1998-07-16,41.5600,42.1900,41.5000,42.0000,18.2873,205587
1998-07-17,42.0600,42.5600,42.0000,42.0600,18.3134,229069
1998-07-20,42.0000,42.7500,41.9400,42.6900,18.5877,365668
1998-07-21,42.6900,42.8100,41.8800,41.8800,18.2350,318543
1998-07-22,41.7500,41.8800,40.7500,41.3800,18.0173,278300
1998-07-23,41.0000,41.4400,40.7500,40.9400,17.8257,155628
1998-07-24,41.0000,41.2500,40.1300,40.3800,17.5819,152227
1998-07-27,40.1300,40.3800,39.5000,40.3400,17.5645,159109
1998-07-28,40.6300,40.7500,39.6900,40.3800,17.5819,191579
1998-07-29,40.3100,40.7500,40.2500,40.5000,17.6342,212551
1998-07-30,40.6300,41.6300,40.3800,41.5000,18.0696,240972
1998-07-31,41.4400,42.3800,40.3800,40.5000,17.6342,1488340
1998-08-03,40.5600,40.7500,39.3800,40.6900,17.7169,387854
1998-08-04,40.5000,40.8800,38.7500,39.0000,16.9810,592632
1998-08-05,38.7500,38.7500,37.5000,37.8800,16.4934,605344
1998-08-06,37.5600,38.8100,37.2500,38.4400,16.7372,820972
1998-08-07,38.7500,39.0600,38.0000,38.5000,16.7633,523806
1998-08-10,38.2500,38.5000,37.7500,38.0000,16.5456,384696
1998-08-11,37.5000,37.7500,36.3800,37.5600,16.3540,289636
1998-08-12,37.5000,37.7500,36.3800,37.6300,16.3845,456680
1998-08-13,37.4400,37.5600,36.5000,37.5000,16.3279,573441
1998-08-14,37.4400,38.1300,37.1900,37.6300,16.3845,770121
1998-08-17,37.8800,38.0000,37.3100,37.3800,16.2757,461134
1998-08-18,37.6900,38.9400,37.3800,38.9400,16.9549,309555
1998-08-19,39.0000,39.0000,38.0000,38.0900,16.5848,268097
1998-08-20,38.0000,38.2500,37.0000,37.1300,16.1668,209069
1998-08-21,37.0600,37.0600,35.3800,36.5600,15.9186,302348
1998-08-24,36.5600,37.2500,36.2500,36.7500,16.0014,125749
1998-08-25,36.7500,37.7500,36.5600,36.8800,16.0580,332065
1998-08-26,40.3800,40.8800,39.0600,39.8100,17.3337,4983725
1998-08-27,39.1300,39.6300,34.1300,34.5000,15.0217,19590445
1998-08-28,36.0000,36.2500,34.6300,35.2500,15.3482,2737976
1998-08-31,35.5000,35.8800,34.2500,34.6300,15.0783,1287935
1998-09-01,34.0000,34.1300,32.6300,34.1300,14.8606,1524534
1998-09-02,34.0600,34.3800,33.1900,34.0000,14.8040,1945101
1998-09-03,33.6300,34.0800,33.3800,33.8100,14.7213,740810
1998-09-04,33.9400,34.1300,33.1300,34.0000,14.8040,1054818
1998-09-08,34.7500,36.0000,34.2500,35.8800,15.6226,564777
1998-09-09,36.0000,36.0000,33.7500,34.1300,14.8606,504615
1998-09-10,34.1300,34.1300,32.8800,33.9400,14.7779,567368
1998-09-11,33.8800,35.6300,32.7500,35.5000,15.4571,608178
1998-09-14,35.8800,37.3800,35.5000,35.5600,15.4832,959028
1998-09-15,35.0000,35.1300,34.3800,34.8800,15.2873,906478
1998-09-16,35.0000,36.2500,34.8800,36.2500,15.8877,673441
1998-09-17,35.8800,35.8800,34.6600,34.7500,15.2303,219595
1998-09-18,35.0000,35.3800,34.1300,34.7500,15.2303,1039514
1998-09-21,34.0000,35.6300,33.6300,35.6300,15.6160,316356
1998-09-22,35.7500,35.7500,34.7500,35.4400,15.5327,299595
1998-09-23,35.5000,36.5000,35.0000,36.5000,15.9973,517490
1998-09-24,36.1300,36.2500,34.3800,34.8100,15.2566,317571
1998-09-25,34.4400,36.1900,34.3800,35.8100,15.6949,261457
1998-09-28,36.4400,36.5600,35.5000,36.0000,15.7782,390040
1998-09-29,36.0000,36.5600,35.7500,36.0000,15.7782,531093
1998-09-30,36.0000,36.3800,35.5000,36.2500,15.8877,437490
1998-10-01,35.6300,36.1300,34.6300,34.6300,15.1777,668016
1998-10-02,34.7500,35.3800,34.3800,35.1300,15.3969,560243
1998-10-05,34.6900,35.1300,33.8100,34.9400,15.3136,385668
1998-10-06,35.6300,36.0000,33.9400,34.5000,15.1207,272065
1998-10-07,34.5000,34.5000,32.5000,33.0600,14.4896,436437
1998-10-08,32.3100,32.3100,28.8800,30.2500,13.2580,1148988
1998-10-09,31.1300,31.5000,29.6900,30.7500,13.4772,1945911
1998-10-12,31.7500,32.4400,31.4400,32.0600,14.0513,385101
1998-10-13,32.1300,32.5000,31.6300,32.2500,14.1346,754332
1998-10-14,32.3100,34.1900,32.1300,33.5000,14.6825,1285425
1998-10-15,33.8800,35.8100,33.5000,35.5300,15.5722,619271
1998-10-16,36.2500,36.5000,35.3100,36.3800,15.9447,495870
1998-10-19,36.0000,36.5600,35.5600,36.3100,15.9140,146397
1998-10-20,36.2500,37.1300,36.0000,36.6300,16.0543,654656
1998-10-21,36.8800,37.0600,36.6300,37.0000,16.2164,512874
1998-10-22,36.7500,37.0600,36.5000,36.9400,16.1901,1298300
1998-10-23,36.6900,36.8100,36.3800,36.3800,15.9447,604939
1998-10-26,36.3800,37.0600,36.3800,37.0000,16.2164,890850
1998-10-27,37.0000,37.0000,36.0900,36.5000,15.9973,404939
1998-10-28,36.0000,37.0000,36.0000,36.6900,16.0806,362429
1998-10-29,36.6300,36.8800,36.4400,36.8100,16.1332,189636
1998-10-30,36.8100,37.0600,36.6900,37.0000,16.2164,441619
1998-11-02,36.9400,37.6900,36.8800,37.1300,16.2734,405911
1998-11-03,37.2500,38.0000,37.2500,37.6300,16.4926,363725
1998-11-04,37.8800,38.2500,37.7500,38.2500,16.7643,837895
1998-11-05,38.0600,39.0600,38.0000,38.9400,17.0667,569960
1998-11-06,38.7500,39.0000,38.5000,38.6900,16.9571,286883
1998-11-09,38.6300,39.5000,38.6300,38.9400,17.0667,472146
1998-11-10,38.7500,39.2500,38.6300,39.0000,17.0930,649879
1998-11-11,38.8800,39.2500,38.6900,38.8100,17.0097,605668
1998-11-12,38.8100,39.1300,38.5600,39.0300,17.1062,610283
1998-11-13,38.8100,39.3800,38.7500,39.0300,17.1062,496113
1998-11-16,39.0000,39.4400,38.7500,39.1300,17.1500,409150
1998-11-17,39.0600,40.2500,39.0600,39.9400,17.5050,738300
1998-11-18,39.6300,40.0000,39.5000,39.7500,17.4217,1012551
1998-11-19,39.7500,40.0600,39.7500,39.9400,17.5050,506316
1998-11-20,40.3100,40.8800,40.0000,40.6300,17.8074,445344
1998-11-23,40.5600,40.8800,40.5000,40.6900,17.8337,590202
1998-11-24,40.6900,40.8800,40.5600,40.6300,17.8074,537247
1998-11-25,40.6200,40.6900,40.1200,40.3700,17.6935,430607
1998-11-27,40.3800,40.7500,40.3800,40.5600,17.7767,110526
1998-11-30,40.3100,40.5600,38.7500,38.7500,16.9834,326154
1998-12-01,38.6300,38.8100,38.3800,38.5600,16.9002,251903
1998-12-02,38.3800,39.0600,38.3800,38.8800,17.0404,312146
1998-12-03,38.7500,39.1300,38.0600,38.1900,16.7380,191174
1998-12-04,38.3800,40.1900,38.2500,39.8800,17.4787,542024
1998-12-07,39.7500,40.2500,39.1300,39.2500,17.2026,246640
1998-12-08,39.0000,39.2500,38.0000,38.0000,16.6547,256113
1998-12-09,38.0600,38.7500,38.0600,38.6300,16.9308,172794
1998-12-10,38.6900,38.6900,38.0000,38.0600,16.6810,159271
1998-12-11,38.0000,38.5000,37.3100,38.4400,16.8476,251579
1998-12-14,38.0000,38.2500,37.5000,37.7500,16.5452,201377
1998-12-15,37.7500,38.3800,37.1300,38.3800,16.9221,325425
1998-12-16,38.1300,38.2800,37.6900,37.9400,16.7281,177733
1998-12-17,38.0600,39.5000,37.9400,39.5000,17.4159,456275
1998-12-18,39.7500,39.8100,39.1300,39.6300,17.4732,537976
1998-12-21,39.6300,39.6300,38.6300,38.6900,17.0588,477328
1998-12-22,38.6900,39.1300,38.1900,39.0000,17.1954,152146
1998-12-23,39.1300,39.6300,38.4400,39.5600,17.4424,498219
1998-12-24,39.4400,39.6300,39.1900,39.3800,17.3630,177733
1998-12-28,39.2500,40.0600,39.2500,39.6900,17.4997,302834
1998-12-29,39.7500,40.1300,39.6300,39.9400,17.6099,300648
1998-12-30,39.8800,40.0600,39.8800,40.0600,17.6628,453603
1998-12-31,39.8800,40.3800,39.8800,40.3100,17.7730,421619
1999-01-04,40.3800,40.8100,40.2500,40.7500,17.9670,833684
1999-01-05,40.8100,41.0600,40.6300,40.9100,18.0376,695951
1999-01-06,40.8800,41.6300,40.8800,41.4400,18.2713,615547
1999-01-07,41.0000,41.0000,40.1300,40.2500,17.7466,505101
1999-01-08,40.2500,40.7500,39.6300,39.8800,17.5834,446397
1999-01-11,39.7500,40.2800,39.5600,40.0000,17.6364,688259
1999-01-12,39.9400,40.2500,39.3800,39.5300,17.4291,421538
1999-01-13,39.0000,39.5200,38.2500,38.9400,17.1690,309150
1999-01-14,39.2500,39.4400,37.5000,37.7500,16.6443,326721
1999-01-15,37.9400,40.5000,37.9400,40.0000,17.6364,893684
1999-01-19,40.0000,40.2500,38.3800,38.8100,17.1117,437895
1999-01-20,38.8800,39.3800,38.1900,39.1300,17.2528,459109
1999-01-21,39.0000,39.6300,38.6300,39.3100,17.3321,364372
1999-01-22,38.7500,39.0000,37.7500,37.9400,16.7281,429717
1999-01-25,38.3800,38.3800,37.5000,37.5000,16.5341,339757
1999-01-26,37.6900,38.5600,37.5600,38.4400,16.9485,358462
1999-01-27,38.2500,38.6300,36.9400,37.0000,16.3136,350769
1999-01-28,37.2500,38.8800,37.1300,37.6600,16.6046,337976
1999-01-29,38.3100,38.4400,37.0600,38.3800,16.9221,401215
1999-02-01,38.5000,38.5000,37.0600,37.4400,16.5076,261862
1999-02-02,37.0600,37.3800,36.2500,37.2200,16.4106,254413
1999-02-03,37.1300,37.9400,37.0000,37.8400,16.6840,338219
1999-02-04,37.9400,38.2500,36.0600,36.5000,16.0932,437490
1999-02-05,36.6300,38.3800,35.4400,36.2500,15.9829,388664
1999-02-08,36.5000,36.6900,35.6300,35.6900,15.7360,362024
1999-02-09,35.8800,36.7200,35.3800,36.2200,15.9697,557976
1999-02-10,36.4400,36.6300,35.8100,36.1900,15.9565,356113
1999-02-11,36.3800,37.1300,35.7500,37.0300,16.3269,356518
1999-02-12,37.0000,37.0300,35.9400,36.1600,15.9433,399190
1999-02-16,36.1300,37.6300,36.1300,37.1900,16.3974,422429
1999-02-17,36.7500,37.2500,36.0000,36.0600,15.8992,358543
1999-02-18,36.1900,36.7500,35.8800,36.5000,16.0932,527854
1999-02-19,36.5600,36.8100,36.1300,36.2500,15.9829,462834
1999-02-22,36.1300,36.8800,36.1300,36.7500,16.2034,665020
1999-02-23,36.8800,37.5600,36.7500,37.4400,16.5076,681053
1999-02-24,37.3800,37.8800,36.6900,36.8800,16.2607,609555
1999-02-25,36.6300,37.6900,36.6300,37.1900,16.3974,870445
1999-02-26,37.5000,38.0000,37.0000,38.0000,16.7545,868178
1999-03-01,37.9400,38.1900,37.5600,38.0300,16.7678,825992
1999-03-02,38.1300,38.1300,37.6300,37.6900,16.6179,465182
1999-03-03,37.6300,38.2500,37.2500,37.6300,16.5914,1163563
1999-03-04,37.3800,38.0600,37.1300,38.0300,16.7678,281134
1999-03-05,38.0600,38.3100,38.0600,38.2500,16.8648,446640
1999-03-08,38.3100,38.3100,37.5000,37.7500,16.6443,369960
1999-03-09,37.6300,38.0600,36.9400,37.6900,16.6179,398704
1999-03-10,37.5000,38.3100,37.2500,38.1900,16.8383,309474
1999-03-11,38.1900,38.5600,37.7500,38.2200,16.8515,363077
1999-03-12,38.2500,38.2500,37.8800,37.8800,16.7016,266073
1999-03-15,37.8800,38.7500,37.7500,38.3800,16.9221,456032
1999-03-16,38.3800,38.5600,37.9400,38.0000,16.8648,330931
1999-03-17,38.0000,38.0000,36.5000,36.7200,16.2967,455385
1999-03-18,36.7500,38.1300,36.5000,37.6300,16.7006,523320
1999-03-19,38.0000,38.5000,37.0600,37.1300,16.4786,612065
1999-03-22,37.0000,37.6900,36.8100,37.3100,16.5585,217814
1999-03-23,37.3100,37.3100,35.8800,36.6900,16.2834,342753
1999-03-24,36.8100,37.0000,36.0000,36.4400,16.1724,319595
1999-03-25,36.3100,36.3800,35.7500,36.0600,16.0038,281457
1999-03-26,36.1300,36.1300,35.3800,35.5000,15.7552,292551
1999-03-29,35.5000,36.2500,35.5000,35.6900,15.8396,488583
1999-03-30,35.5600,35.7500,35.3100,35.3800,15.7020,437328
1999-03-31,35.7500,36.0600,34.5600,34.6300,15.3691,438300
1999-04-01,34.8800,34.9400,34.3800,34.7200,15.4091,750040
1999-04-05,35.3100,35.3100,34.6900,34.9700,15.5200,627449
1999-04-06,34.8800,35.0000,34.7500,34.9700,15.5200,436113
1999-04-07,35.0000,36.1300,34.8800,36.0000,15.9771,462429
1999-04-08,36.0000,36.3800,35.1300,35.5000,15.7552,541296
1999-04-09,35.5000,35.5600,35.0600,35.4100,15.7153,282348
1999-04-12,35.3800,36.2500,35.0600,36.1300,16.0348,413441
1999-04-13,36.0600,36.3100,35.0600,35.1300,15.5910,240810
1999-04-14,35.2500,35.6900,35.1900,35.5000,15.7552,504130
1999-04-15,35.6300,36.0000,34.7500,35.5000,15.7552,294170
1999-04-16,35.3100,35.9400,34.8800,35.6300,15.8129,406640
1999-04-19,35.5000,37.1900,35.5000,37.0900,16.4609,604453
1999-04-20,36.7500,37.3700,36.7500,37.1900,16.5053,371741
1999-04-21,36.8800,37.6300,36.8800,37.1300,16.4786,470202
1999-04-22,37.0600,37.5600,37.0000,37.1900,16.5053,446802
1999-04-23,37.2500,37.4400,37.0600,37.2500,16.5319,227206
1999-04-26,37.2500,37.4400,37.1300,37.3100,16.5585,321781
1999-04-27,37.3100,37.6300,37.2500,37.2500,16.5319,293279
1999-04-28,37.1900,37.5000,37.1900,37.5000,16.6429,241619
1999-04-29,37.3800,38.1900,37.3800,37.8100,16.7804,594494
1999-04-30,37.8800,38.1900,37.5600,37.7500,16.7538,726397
1999-05-03,37.6300,38.5600,37.5600,38.4100,17.0467,502915
1999-05-04,38.1900,38.5600,38.1900,38.5000,17.0867,697814
1999-05-05,38.4400,38.8800,38.0000,38.8800,17.2553,670526
1999-05-06,38.5000,38.8800,37.8800,38.8400,17.2376,532389
1999-05-07,38.6900,39.1300,38.5000,39.1300,17.3663,379352
1999-05-10,38.8100,38.8800,37.7500,37.8800,16.8115,324939
1999-05-11,38.0000,38.9400,38.0000,38.5000,17.0867,517571
1999-05-12,38.5600,38.5600,37.8100,38.4400,17.0600,400405
1999-05-13,38.4400,39.1300,38.1900,38.6300,17.1444,476842
1999-05-14,38.5000,38.8800,38.0000,38.2200,16.9624,441943
1999-05-17,38.1300,38.2500,37.6900,37.9400,16.8381,232955
1999-05-18,37.8100,38.1300,37.2500,37.8100,16.7804,478704
1999-05-19,37.7500,38.5000,37.6900,37.7500,16.7538,439109
1999-05-20,37.6900,37.9400,37.2500,37.3800,16.5896,542186
1999-05-21,37.2500,38.1300,37.2500,38.0600,16.8914,223887
1999-05-24,38.1300,38.1300,37.0600,37.4400,16.6162,434656
1999-05-25,37.1300,38.0000,37.0600,37.3100,16.5585,357247
1999-05-26,37.3100,38.0000,37.3100,37.8100,16.7804,401862
1999-05-27,37.6300,37.6900,36.5000,36.5000,16.1990,428097
1999-05-28,36.5000,37.9400,36.5000,37.8800,16.8115,560405
1999-06-01,37.8800,38.0000,36.2500,36.5600,16.2257,456437
1999-06-02,36.6300,37.5000,36.5000,37.3800,16.5896,366559
1999-06-03,37.5000,37.8800,37.2500,37.8400,16.7938,251012
1999-06-04,37.6300,38.3800,37.6300,38.1900,16.9491,512632
